x0,x1,x2,fitness
0.25,0.25,0.25,-0.963
0.25,0.25,0.75,-0.729
0.25,0.25,1.25,-0.379
0.25,0.25,1.75,-0.853
0.25,0.25,2.25,-0.319
0.25,0.25,2.75,-0.854
0.25,0.25,3.25,-0.876
0.25,0.25,3.75,-0.44
0.25,0.25,4.25,-0.327
0.25,0.25,4.75,-0.6
0.25,0.25,5.25,-0.897
0.25,0.25,5.75,-0.968
0.25,0.25,6.25,-0.808
0.25,0.25,6.75,-0.561
0.25,0.25,7.25,-0.369
0.25,0.25,7.75,-0.309
0.25,0.25,8.25,-0.383
0.25,0.25,8.75,-0.543
0.25,0.25,9.25,-0.726
0.25,0.25,9.75,-0.877
0.25,0.25,10.25,-0.961
0.25,0.75,0.25,-0.729
0.25,0.75,0.75,-0.495
0.25,0.75,1.25,-0.145
0.25,0.75,1.75,-0.62
0.25,0.75,2.25,-0.086
0.25,0.75,2.75,-0.621
0.25,0.75,3.25,-0.642
0.25,0.75,3.75,-0.206
0.25,0.75,4.25,-0.093
0.25,0.75,4.75,-0.366
0.25,0.75,5.25,-0.664
0.25,0.75,5.75,-0.734
0.25,0.75,6.25,-0.575
0.25,0.75,6.75,-0.327
0.25,0.75,7.25,-0.135
0.25,0.75,7.75,-0.075
0.25,0.75,8.25,-0.149
0.25,0.75,8.75,-0.309
0.25,0.75,9.25,-0.492
0.25,0.75,9.75,-0.643
0.25,0.75,10.25,-0.728
0.25,1.25,0.25,-0.379
0.25,1.25,0.75,-0.145
0.25,1.25,1.25,0.206
0.25,1.25,1.75,-0.269
0.25,1.25,2.25,0.265
0.25,1.25,2.75,-0.27
0.25,1.25,3.25,-0.292
0.25,1.25,3.75,0.144
0.25,1.25,4.25,0.257
0.25,1.25,4.75,-0.016
0.25,1.25,5.25,-0.313
0.25,1.25,5.75,-0.383
0.25,1.25,6.25,-0.224
0.25,1.25,6.75,0.023
0.25,1.25,7.25,0.215
0.25,1.25,7.75,0.275
0.25,1.25,8.25,0.201
0.25,1.25,8.75,0.041
0.25,1.25,9.25,-0.142
0.25,1.25,9.75,-0.292
0.25,1.25,10.25,-0.377
0.25,1.75,0.25,-0.853
0.25,1.75,0.75,-0.62
0.25,1.75,1.25,-0.269
0.25,1.75,1.75,-0.744
0.25,1.75,2.25,-0.21
0.25,1.75,2.75,-0.745
0.25,1.75,3.25,-0.767
0.25,1.75,3.75,-0.33
0.25,1.75,4.25,-0.217
0.25,1.75,4.75,-0.49
0.25,1.75,5.25,-0.788
0.25,1.75,5.75,-0.858
0.25,1.75,6.25,-0.699
0.25,1.75,6.75,-0.451
0.25,1.75,7.25,-0.259
0.25,1.75,7.75,-0.199
0.25,1.75,8.25,-0.273
0.25,1.75,8.75,-0.434
0.25,1.75,9.25,-0.616
0.25,1.75,9.75,-0.767
0.25,1.75,10.25,-0.852
0.25,2.25,0.25,-0.319
0.25,2.25,0.75,-0.086
0.25,2.25,1.25,0.265
0.25,2.25,1.75,-0.21
0.25,2.25,2.25,0.324
0.25,2.25,2.75,-0.211
0.25,2.25,3.25,-0.233
0.25,2.25,3.75,0.204
0.25,2.25,4.25,0.317
0.25,2.25,4.75,0.044
0.25,2.25,5.25,-0.254
0.25,2.25,5.75,-0.324
0.25,2.25,6.25,-0.165
0.25,2.25,6.75,0.083
0.25,2.25,7.25,0.275
0.25,2.25,7.75,0.334
0.25,2.25,8.25,0.26
0.25,2.25,8.75,0.1
0.25,2.25,9.25,-0.082
0.25,2.25,9.75,-0.233
0.25,2.25,10.25,-0.318
0.25,2.75,0.25,-0.854
0.25,2.75,0.75,-0.621
0.25,2.75,1.25,-0.27
0.25,2.75,1.75,-0.745
0.25,2.75,2.25,-0.211
0.25,2.75,2.75,-0.746
0.25,2.75,3.25,-0.768
0.25,2.75,3.75,-0.331
0.25,2.75,4.25,-0.218
0.25,2.75,4.75,-0.491
0.25,2.75,5.25,-0.789
0.25,2.75,5.75,-0.859
0.25,2.75,6.25,-0.7
0.25,2.75,6.75,-0.452
0.25,2.75,7.25,-0.26
0.25,2.75,7.75,-0.201
0.25,2.75,8.25,-0.275
0.25,2.75,8.75,-0.435
0.25,2.75,9.25,-0.617
0.25,2.75,9.75,-0.768
0.25,2.75,10.25,-0.853
