x1,x2,fitness
-5.0,-5.0,-1487.743
-5.0,-4.474,-1050.409
-5.0,-3.947,-1500.508
-5.0,-3.421,-903.457
-5.0,-2.895,-1574.226
-5.0,-2.368,-880.94
-5.0,-1.842,-1686.987
-5.0,-1.316,-984.954
-5.0,-0.789,-1689.146
-5.0,-0.263,-1153.143
-5.0,0.263,-1242.282
-5.0,0.789,-934.168
-5.0,1.316,-719.513
-5.0,1.842,-733.63
-5.0,2.368,-804.545
-5.0,2.895,-782.643
-5.0,3.421,-1027.935
-5.0,3.947,-543.007
-5.0,4.474,-1082.051
-5.0,5.0,-625.567
-4.474,-5.0,-780.647
-4.474,-4.474,-347.503
-4.474,-3.947,-785.182
-4.474,-3.421,-196.057
-4.474,-2.895,-858.253
-4.474,-2.368,-176.474
-4.474,-1.842,-980.603
-4.474,-1.316,-328.523
-4.474,-0.789,-1093.369
-4.474,-0.263,-790.836
-4.474,0.263,-996.896
-4.474,0.789,-790.092
-4.474,1.316,-608.128
-4.474,1.842,-621.312
-4.474,2.368,-698.265
-4.474,2.895,-680.866
-4.474,3.421,-864.79
-4.474,3.947,-511.167
-4.474,4.474,-889.608
-4.474,5.0,-587.033
-3.947,-5.0,-1409.254
-3.947,-4.474,-1001.412
-3.947,-3.947,-1436.067
-3.947,-3.421,-870.729
-3.947,-2.895,-1527.536
-3.947,-2.368,-857.551
-3.947,-1.842,-1632.827
-3.947,-1.316,-962.969
-3.947,-0.789,-1558.394
-3.947,-0.263,-1119.985
-3.947,0.263,-1144.282
-3.947,0.789,-881.594
-3.947,1.316,-709.708
-3.947,1.842,-645.958
-3.947,2.368,-742.173
-3.947,2.895,-719.872
-3.947,3.421,-673.969
-3.947,3.947,-708.192
-3.947,4.474,-558.139
-3.947,5.0,-682.759
-3.421,-5.0,-695.237
-3.421,-4.474,-301.474
-3.421,-3.947,-685.692
-3.421,-3.421,-89.847
-3.421,-2.895,-765.914
-3.421,-2.368,-136.261
-3.421,-1.842,-891.614
-3.421,-1.316,-306.181
-3.421,-0.789,-965.082
-3.421,-0.263,-755.362
-3.421,0.263,-859.849
-3.421,0.789,-647.197
-3.421,1.316,-531.801
-3.421,1.842,-433.073
-3.421,2.368,-584.621
-3.421,2.895,-600.285
-3.421,3.421,-416.795
-3.421,3.947,-780.423
-3.421,4.474,-272.055
-3.421,5.0,-718.471
-2.895,-5.0,-1286.532
-2.895,-4.474,-969.839
-2.895,-3.947,-1333.775
-2.895,-3.421,-884.855
-2.895,-2.895,-1480.026
-2.895,-2.368,-898.042
-2.895,-1.842,-1559.477
-2.895,-1.316,-931.45
-2.895,-0.789,-1283.861
-2.895,-0.263,-878.025
-2.895,0.263,-813.434
-2.895,0.789,-578.96
-2.895,1.316,-438.322
-2.895,1.842,-364.178
-2.895,2.368,-497.932
-2.895,2.895,-503.667
-2.895,3.421,-370.686
-2.895,3.947,-642.521
-2.895,4.474,-278.173
