x0,x1,x2,fitness0
-5.0,-5.0,-5.0,-732.344
-5.0,-5.0,-4.5,-791.953
-5.0,-5.0,-4.0,-911.308
-5.0,-5.0,-3.5,-1041.738
-5.0,-5.0,-3.0,-1226.939
-5.0,-5.0,-2.5,-1315.926
-5.0,-5.0,-2.0,-1655.393
-5.0,-5.0,-1.5,-1446.215
-5.0,-5.0,-1.0,-1694.737
-5.0,-5.0,-0.5,-1325.784
-5.0,-5.0,0.0,-1562.222
-5.0,-5.0,0.5,-1202.694
-5.0,-5.0,1.0,-1464.81
-5.0,-5.0,1.5,-1131.052
-5.0,-5.0,2.0,-1419.949
-5.0,-5.0,2.5,-1112.638
-5.0,-5.0,3.0,-1428.19
-5.0,-5.0,3.5,-1147.477
-5.0,-5.0,4.0,-1489.713
-5.0,-5.0,4.5,-1235.657
-5.0,-5.0,5.0,-1604.571
-5.0,-4.5,-5.0,-713.077
-5.0,-4.5,-4.5,-772.327
-5.0,-4.5,-4.0,-890.804
-5.0,-4.5,-3.5,-1013.905
-5.0,-4.5,-3.0,-1181.866
-5.0,-4.5,-2.5,-1211.443
-5.0,-4.5,-2.0,-1483.604
-5.0,-4.5,-1.5,-1219.446
-5.0,-4.5,-1.0,-1447.553
-5.0,-4.5,-0.5,-1071.64
-5.0,-4.5,0.0,-1305.983
-5.0,-4.5,0.5,-946.025
-5.0,-4.5,1.0,-1207.832
-5.0,-4.5,1.5,-874.218
-5.0,-4.5,2.0,-1162.97
-5.0,-4.5,2.5,-855.725
-5.0,-4.5,3.0,-1171.166
-5.0,-4.5,3.5,-890.477
-5.0,-4.5,4.0,-1232.646
-5.0,-4.5,4.5,-978.623
-5.0,-4.5,5.0,-1347.498
-5.0,-4.0,-5.0,-565.704
-5.0,-4.0,-4.5,-627.474
-5.0,-4.0,-4.0,-754.296
-5.0,-4.0,-3.5,-897.979
-5.0,-4.0,-3.0,-1123.965
-5.0,-4.0,-2.5,-1238.948
-5.0,-4.0,-2.0,-1603.535
-5.0,-4.0,-1.5,-1383.64
-5.0,-4.0,-1.0,-1630.262
-5.0,-4.0,-0.5,-1261.332
-5.0,-4.0,0.0,-1497.591
-5.0,-4.0,0.5,-1139.033
-5.0,-4.0,1.0,-1400.96
-5.0,-4.0,1.5,-1068.085
-5.0,-4.0,2.0,-1356.723
-5.0,-4.0,2.5,-1049.771
-5.0,-4.0,3.0,-1365.056
-5.0,-4.0,3.5,-1084.492
-5.0,-4.0,4.0,-1426.564
-5.0,-4.0,4.5,-1172.649
-5.0,-4.0,5.0,-1541.471
-5.0,-3.5,-5.0,-737.031
-5.0,-3.5,-4.5,-797.738
-5.0,-3.5,-4.0,-920.878
-5.0,-3.5,-3.5,-1046.836
-5.0,-3.5,-3.0,-1227.441
-5.0,-3.5,-2.5,-1233.041
-5.0,-3.5,-2.0,-1484.456
-5.0,-3.5,-1.5,-1195.508
-5.0,-3.5,-1.0,-1413.536
-5.0,-3.5,-0.5,-1036.972
-5.0,-3.5,0.0,-1268.895
-5.0,-3.5,0.5,-910.353
-5.0,-3.5,1.0,-1171.084
-5.0,-3.5,1.5,-839.118
-5.0,-3.5,2.0,-1127.0
-5.0,-3.5,2.5,-820.374
-5.0,-3.5,3.0,-1135.061
-5.0,-3.5,3.5,-854.613
-5.0,-3.5,4.0,-1196.315
-5.0,-3.5,4.5,-942.569
-5.0,-3.5,5.0,-1311.163
-5.0,-3.0,-5.0,-751.77
-5.0,-3.0,-4.5,-815.337
-5.0,-3.0,-4.0,-946.478
-5.0,-3.0,-3.5,-1088.612
-5.0,-3.0,-3.0,-1309.278
-5.0,-3.0,-2.5,-1361.114
-5.0,-3.0,-2.0,-1653.385
-5.0,-3.0,-1.5,-1393.568
-5.0,-3.0,-1.0,-1617.989
-5.0,-3.0,-0.5,-1250.314
-5.0,-3.0,0.0,-1481.734
-5.0,-3.0,0.5,-1127.496
-5.0,-3.0,1.0,-1387.728
-5.0,-3.0,1.5,-1059.321
-5.0,-3.0,2.0,-1346.469
-5.0,-3.0,2.5,-1041.338
-5.0,-3.0,3.0,-1355.164
-5.0,-3.0,3.5,-1075.363
-5.0,-3.0,4.0,-1416.54
-5.0,-3.0,4.5,-1163.351
-5.0,-3.0,5.0,-1531.662
-5.0,-2.5,-5.0,-885.742
-5.0,-2.5,-4.5,-948.897
-5.0,-2.5,-4.0,-1075.576
-5.0,-2.5,-3.5,-1195.428
-5.0,-2.5,-3.0,-1358.707
-5.0,-2.5,-2.5,-1308.989
-5.0,-2.5,-2.0,-1503.283
-5.0,-2.5,-1.5,-1217.813
-5.0,-2.5,-1.0,-1416.289
-5.0,-2.5,-0.5,-1052.054
-5.0,-2.5,0.0,-1274.594
-5.0,-2.5,0.5,-925.645
-5.0,-2.5,1.0,-1182.071
-5.0,-2.5,1.5,-859.779
-5.0,-2.5,2.0,-1143.918
-5.0,-2.5,2.5,-841.21
-5.0,-2.5,3.0,-1152.321
-5.0,-2.5,3.5,-873.491
-5.0,-2.5,4.0,-1212.986
-5.0,-2.5,4.5,-960.887
-5.0,-2.5,5.0,-1328.167
-5.0,-2.0,-5.0,-922.112
-5.0,-2.0,-4.5,-988.871
-5.0,-2.0,-4.0,-1120.351
-5.0,-2.0,-3.5,-1244.352
-5.0,-2.0,-3.0,-1410.498
-5.0,-2.0,-2.5,-1383.579
-5.0,-2.0,-2.0,-1585.092
-5.0,-2.0,-1.5,-1369.467
-5.0,-2.0,-1.0,-1572.636
-5.0,-2.0,-0.5,-1244.153
-5.0,-2.0,0.0,-1465.752
-5.0,-2.0,0.5,-1140.033
-5.0,-2.0,1.0,-1397.246
-5.0,-2.0,1.5,-1095.189
-5.0,-2.0,2.0,-1377.936
-5.0,-2.0,2.5,-1084.648
-5.0,-2.0,3.0,-1392.615
-5.0,-2.0,3.5,-1118.288
-5.0,-2.0,4.0,-1455.569
-5.0,-2.0,4.5,-1207.328
-5.0,-2.0,5.0,-1573.014
-5.0,-1.5,-5.0,-917.678
-5.0,-1.5,-4.5,-985.635
-5.0,-1.5,-4.0,-1105.904
-5.0,-1.5,-3.5,-1196.602
-5.0,-1.5,-3.0,-1287.5
-5.0,-1.5,-2.5,-1213.661
-5.0,-1.5,-2.0,-1343.389
-5.0,-1.5,-1.5,-1177.43
-5.0,-1.5,-1.0,-1346.889
-5.0,-1.5,-0.5,-1050.173
-5.0,-1.5,0.0,-1247.016
-5.0,-1.5,0.5,-948.787
-5.0,-1.5,1.0,-1193.533
-5.0,-1.5,1.5,-923.714
-5.0,-1.5,2.0,-1195.339
-5.0,-1.5,2.5,-917.061
-5.0,-1.5,3.0,-1213.682
-5.0,-1.5,3.5,-945.769
-5.0,-1.5,4.0,-1276.491
-5.0,-1.5,4.5,-1033.572
-5.0,-1.5,5.0,-1396.63
-5.0,-1.0,-5.0,-916.247
-5.0,-1.0,-4.5,-988.484
-5.0,-1.0,-4.0,-1103.091
-5.0,-1.0,-3.5,-1187.122
-5.0,-1.0,-3.0,-1254.468
-5.0,-1.0,-2.5,-1215.312
-5.0,-1.0,-2.0,-1324.21
-5.0,-1.0,-1.5,-1248.326
-5.0,-1.0,-1.0,-1401.376
-5.0,-1.0,-0.5,-1164.15
-5.0,-1.0,0.0,-1343.934
-5.0,-1.0,0.5,-1102.382
-5.0,-1.0,1.0,-1343.934
-5.0,-1.0,1.5,-1143.687
-5.0,-1.0,2.0,-1409.843
-5.0,-1.0,2.5,-1170.428
-5.0,-1.0,3.0,-1452.499
-5.0,-1.0,3.5,-1207.559
-5.0,-1.0,4.0,-1523.009
-5.0,-1.0,4.5,-1306.168
-5.0,-1.0,5.0,-1650.285
-5.0,-0.5,-5.0,-879.197
-5.0,-0.5,-4.5,-942.542
-5.0,-0.5,-4.0,-1027.035
-5.0,-0.5,-3.5,-1080.749
-5.0,-0.5,-3.0,-1100.29
-5.0,-0.5,-2.5,-1059.135
-5.0,-0.5,-2.0,-1117.935
-5.0,-0.5,-1.5,-1082.583
-5.0,-0.5,-1.0,-1186.547
