x,y,fitness
-5.0,-5.0,-1305.55
-5.0,-4.47,-744.27
-5.0,-3.95,-451.44
-5.0,-3.42,-900.64
-5.0,-2.89,-1094.84
-5.0,-2.37,-919.18
-5.0,-1.84,-1181.05
-5.0,-1.32,-1483.35
-5.0,-0.79,-1868.27
-5.0,-0.26,-1439.9
-5.0,0.26,-1355.14
-5.0,0.79,-1302.82
-5.0,1.32,-1945.66
-5.0,1.84,-1189.68
-5.0,2.37,-1712.84
-5.0,2.89,-762.14
-5.0,3.42,-1621.34
-5.0,3.95,-1161.61
-5.0,4.47,-1243.83
-5.0,5.0,-734.84
-4.47,-5.0,-1240.22
-4.47,-4.47,-708.97
-4.47,-3.95,-783.12
-4.47,-3.42,-747.03
-4.47,-2.89,-609.84
-4.47,-2.37,-1022.89
-4.47,-1.84,-964.48
-4.47,-1.32,-1104.45
-4.47,-0.79,-1705.39
-4.47,-0.26,-1540.33
-4.47,0.26,-1806.76
-4.47,0.79,-1677.8
-4.47,1.32,-1221.13
-4.47,1.84,-1519.55
-4.47,2.37,-1467.08
-4.47,2.89,-1506.48
-4.47,3.42,-1179.67
-4.47,3.95,-843.75
-4.47,4.47,-992.15
-4.47,5.0,-1061.39
-3.95,-5.0,-926.61
-3.95,-4.47,-852.57
-3.95,-3.95,-904.26
-3.95,-3.42,-733.83
-3.95,-2.89,-667.27
-3.95,-2.37,-583.87
-3.95,-1.84,-768.3
-3.95,-1.32,-1655.74
-3.95,-0.79,-1173.89
-3.95,-0.26,-1773.97
-3.95,0.26,-1098.42
-3.95,0.79,-1990.71
-3.95,1.32,-1557.86
-3.95,1.84,-1651.14
-3.95,2.37,-986.26
-3.95,2.89,-1329.83
-3.95,3.42,-1033.97
-3.95,3.95,-1536.98
-3.95,4.47,-970.51
-3.95,5.0,-794.41
-3.42,-5.0,-717.81
-3.42,-4.47,-934.07
-3.42,-3.95,-740.02
-3.42,-3.42,-49.59
-3.42,-2.89,-504.61
-3.42,-2.37,-851.84
-3.42,-1.84,-1107.58
-3.42,-1.32,-1176.08
-3.42,-0.79,-1362.87
-3.42,-0.26,-1558.51
-3.42,0.26,-1834.17
-3.42,0.79,-1574.46
-3.42,1.32,-1182.78
-3.42,1.84,-1452.19
-3.42,2.37,-1548.82
-3.42,2.89,-1625.89
-3.42,3.42,-1002.47
-3.42,3.95,-919.8
-3.42,4.47,-762.08
-3.42,5.0,-1058.43
-2.89,-5.0,-797.04
-2.89,-4.47,-754.13
-2.89,-3.95,-1121.88
-2.89,-3.42,-614.53
-2.89,-2.89,-644.94
-2.89,-2.37,-1001.95
-2.89,-1.84,-1712.14
-2.89,-1.32,-1350.93
-2.89,-0.79,-1416.28
-2.89,-0.26,-1214.84
-2.89,0.26,-1523.49
-2.89,0.79,-1269.58
-2.89,1.32,-2323.44
-2.89,1.84,-1418.82
-2.89,2.37,-1273.05
-2.89,2.89,-1278.76
-2.89,3.42,-1020.09
-2.89,3.95,-1096.02
-2.89,4.47,-780.0
-2.89,5.0,-618.27
-2.37,-5.0,-1492.37
-2.37,-4.47,-1510.03
-2.37,-3.95,-1307.56
-2.37,-3.42,-854.07
-2.37,-2.89,-870.87
-2.37,-2.37,-1283.24
-2.37,-1.84,-1474.28
-2.37,-1.32,-1413.49
-2.37,-0.79,-1556.91
-2.37,-0.26,-1664.59
-2.37,0.26,-2039.65
-2.37,0.79,-1315.88
-2.37,1.32,-1271.81
-2.37,1.84,-1167.3
-2.37,2.37,-1951.09
-2.37,2.89,-1038.86
-2.37,3.42,-1106.97
-2.37,3.95,-428.68
-2.37,4.47,-590.51
-2.37,5.0,-522.42
-1.84,-5.0,-1933.91
-1.84,-4.47,-2939.04
-1.84,-3.95,-1806.48
-1.84,-3.42,-1101.05
-1.84,-2.89,-1285.8
-1.84,-2.37,-1312.56
-1.84,-1.84,-1200.35
-1.84,-1.32,-1696.93
-1.84,-0.79,-1574.78
-1.84,-0.26,-1554.5
-1.84,0.26,-1570.8
-1.84,0.79,-1383.29
-1.84,1.32,-2007.51
-1.84,1.84,-1620.12
-1.84,2.37,-1114.32
-1.84,2.89,-1328.42
-1.84,3.42,-815.6
-1.84,3.95,-335.17
-1.84,4.47,-85.6
-1.84,5.0,-256.83
-1.32,-5.0,-2134.41
-1.32,-4.47,-2269.32
-1.32,-3.95,-2053.24
-1.32,-3.42,-2152.5
-1.32,-2.89,-1871.97
-1.32,-2.37,-2014.89
-1.32,-1.84,-1620.36
-1.32,-1.32,-1118.2
-1.32,-0.79,-1310.56
-1.32,-0.26,-2006.42
-1.32,0.26,-1245.73
-1.32,0.79,-1695.55
-1.32,1.32,-763.39
-1.32,1.84,-1795.06
-1.32,2.37,-1322.27
-1.32,2.89,-1292.03
-1.32,3.42,-589.46
-1.32,3.95,-292.15
-1.32,4.47,-62.37
-1.32,5.0,-409.22
-0.79,-5.0,-2337.28
-0.79,-4.47,-1434.03
-0.79,-3.95,-1226.09
-0.79,-3.42,-1987.05
-0.79,-2.89,-2277.08
-0.79,-2.37,-2138.2
-0.79,-1.84,-1632.78
-0.79,-1.32,-1782.75
-0.79,-0.79,-1748.38
-0.79,-0.26,-1264.95
-0.79,0.26,-1298.35
-0.79,0.79,-1399.29
-0.79,1.32,-1411.46
-0.79,1.84,-1187.4
-0.79,2.37,-974.28
-0.79,2.89,-994.91
-0.79,3.42,-915.62
-0.79,3.95,-664.14
-0.79,4.47,-413.85
-0.79,5.0,-496.52
-0.26,-5.0,-2348.12
-0.26,-4.47,-2069.88
-0.26,-3.95,-1243.44
-0.26,-3.42,-1269.09
-0.26,-2.89,-2219.26
-0.26,-2.37,-1739.36
-0.26,-1.84,-1635.7
-0.26,-1.32,-1612.68
-0.26,-0.79,-2044.94
-0.26,-0.26,-1356.56
-0.26,0.26,-1205.65
-0.26,0.79,-887.77
-0.26,1.32,-1106.59
-0.26,1.84,-953.7
-0.26,2.37,-1351.53
-0.26,2.89,-923.99
-0.26,3.42,-820.76
-0.26,3.95,-769.88
-0.26,4.47,-722.24
-0.26,5.0,-857.39
0.26,-5.0,-2590.56
0.26,-4.47,-1782.79
0.26,-3.95,-1955.94
0.26,-3.42,-2334.3
0.26,-2.89,-1503.91
0.26,-2.37,-1222.99
0.26,-1.84,-1680.29
0.26,-1.32,-1787.59
0.26,-0.79,-1512.45
0.26,-0.26,-1233.15
0.26,0.26,-1116.5
0.26,0.79,-999.94
0.26,1.32,-1068.85
0.26,1.84,-729.64
0.26,2.37,-743.22
0.26,2.89,-724.06
0.26,3.42,-1040.05
0.26,3.95,-747.08
0.26,4.47,-983.17
0.26,5.0,-651.38
0.79,-5.0,-2274.57
0.79,-4.47,-1560.57
0.79,-3.95,-2337.0
0.79,-3.42,-2908.66
0.79,-2.89,-1806.9
0.79,-2.37,-1383.43
0.79,-1.84,-1384.7
0.79,-1.32,-1526.63
