x,y,z,fitness
-5.0,-5.0,-5.0,-2680.43
-5.0,-5.0,-4.47,-1712.69
-5.0,-5.0,-3.95,-2034.28
-5.0,-5.0,-3.42,-2194.17
-5.0,-5.0,-2.89,-1938.76
-5.0,-5.0,-2.37,-1621.33
-5.0,-5.0,-1.84,-1779.34
-5.0,-5.0,-1.32,-1966.93
-5.0,-5.0,-0.79,-1908.54
-5.0,-5.0,-0.26,-1270.67
-5.0,-5.0,0.26,-1424.63
-5.0,-5.0,0.79,-1343.81
-5.0,-5.0,1.32,-927.72
-5.0,-5.0,1.84,-708.16
-5.0,-5.0,2.37,-630.26
-5.0,-5.0,2.89,-647.01
-5.0,-5.0,3.42,-558.23
-5.0,-5.0,3.95,-684.86
-5.0,-5.0,4.47,-678.89
-5.0,-5.0,5.0,-695.16
-5.0,-4.47,-5.0,-2557.62
-5.0,-4.47,-4.47,-2971.09
-5.0,-4.47,-3.95,-2821.58
-5.0,-4.47,-3.42,-2188.87
-5.0,-4.47,-2.89,-1705.86
-5.0,-4.47,-2.37,-1748.74
-5.0,-4.47,-1.84,-1928.43
-5.0,-4.47,-1.32,-1992.47
-5.0,-4.47,-0.79,-1652.31
-5.0,-4.47,-0.26,-1379.48
-5.0,-4.47,0.26,-1257.78
-5.0,-4.47,0.79,-1001.24
-5.0,-4.47,1.32,-762.0
-5.0,-4.47,1.84,-616.56
-5.0,-4.47,2.37,-637.85
-5.0,-4.47,2.89,-702.03
-5.0,-4.47,3.42,-580.15
-5.0,-4.47,3.95,-644.06
-5.0,-4.47,4.47,-723.37
-5.0,-4.47,5.0,-771.84
-5.0,-3.95,-5.0,-2223.22
-5.0,-3.95,-4.47,-2779.87
-5.0,-3.95,-3.95,-3188.22
-5.0,-3.95,-3.42,-2775.0
-5.0,-3.95,-2.89,-2081.65
-5.0,-3.95,-2.37,-2418.25
-5.0,-3.95,-1.84,-2281.01
-5.0,-3.95,-1.32,-1592.43
-5.0,-3.95,-0.79,-1069.59
-5.0,-3.95,-0.26,-1125.6
-5.0,-3.95,0.26,-1208.68
-5.0,-3.95,0.79,-988.54
-5.0,-3.95,1.32,-985.17
-5.0,-3.95,1.84,-805.42
-5.0,-3.95,2.37,-697.05
-5.0,-3.95,2.89,-635.99
-5.0,-3.95,3.42,-445.5
-5.0,-3.95,3.95,-577.97
-5.0,-3.95,4.47,-778.91
-5.0,-3.95,5.0,-949.08
-5.0,-3.42,-5.0,-1981.12
-5.0,-3.42,-4.47,-2427.35
-5.0,-3.42,-3.95,-2591.35
-5.0,-3.42,-3.42,-2592.35
-5.0,-3.42,-2.89,-2438.09
-5.0,-3.42,-2.37,-2720.71
-5.0,-3.42,-1.84,-2357.5
-5.0,-3.42,-1.32,-2018.22
-5.0,-3.42,-0.79,-1654.33
-5.0,-3.42,-0.26,-1509.02
-5.0,-3.42,0.26,-1212.72
-5.0,-3.42,0.79,-784.06
-5.0,-3.42,1.32,-750.85
-5.0,-3.42,1.84,-664.43
-5.0,-3.42,2.37,-642.55
-5.0,-3.42,2.89,-703.65
-5.0,-3.42,3.42,-756.52
-5.0,-3.42,3.95,-856.93
-5.0,-3.42,4.47,-931.27
-5.0,-3.42,5.0,-900.1
-5.0,-2.89,-5.0,-1898.58
-5.0,-2.89,-4.47,-2335.21
-5.0,-2.89,-3.95,-2034.11
-5.0,-2.89,-3.42,-1839.66
-5.0,-2.89,-2.89,-1959.73
-5.0,-2.89,-2.37,-2180.81
-5.0,-2.89,-1.84,-2303.03
-5.0,-2.89,-1.32,-2297.89
-5.0,-2.89,-0.79,-1934.98
-5.0,-2.89,-0.26,-1779.28
-5.0,-2.89,0.26,-1382.6
-5.0,-2.89,0.79,-892.41
-5.0,-2.89,1.32,-959.42
-5.0,-2.89,1.84,-772.71
-5.0,-2.89,2.37,-770.13
-5.0,-2.89,2.89,-741.13
-5.0,-2.89,3.42,-789.59
-5.0,-2.89,3.95,-847.27
-5.0,-2.89,4.47,-807.85
-5.0,-2.89,5.0,-1177.07
-5.0,-2.37,-5.0,-2016.61
-5.0,-2.37,-4.47,-1894.37
-5.0,-2.37,-3.95,-1733.59
-5.0,-2.37,-3.42,-1616.53
-5.0,-2.37,-2.89,-2309.93
-5.0,-2.37,-2.37,-2483.81
-5.0,-2.37,-1.84,-2075.05
-5.0,-2.37,-1.32,-1874.43
-5.0,-2.37,-0.79,-1707.67
-5.0,-2.37,-0.26,-1494.42
-5.0,-2.37,0.26,-1489.77
-5.0,-2.37,0.79,-1215.34
-5.0,-2.37,1.32,-1337.48
-5.0,-2.37,1.84,-1169.75
-5.0,-2.37,2.37,-986.4
-5.0,-2.37,2.89,-717.69
-5.0,-2.37,3.42,-764.62
-5.0,-2.37,3.95,-930.98
-5.0,-2.37,4.47,-853.35
-5.0,-2.37,5.0,-1315.55
-5.0,-1.84,-5.0,-2534.3
-5.0,-1.84,-4.47,-2189.23
-5.0,-1.84,-3.95,-2242.07
-5.0,-1.84,-3.42,-1712.19
-5.0,-1.84,-2.89,-1775.67
-5.0,-1.84,-2.37,-1484.86
-5.0,-1.84,-1.84,-1625.59
-5.0,-1.84,-1.32,-2101.13
-5.0,-1.84,-0.79,-2132.57
-5.0,-1.84,-0.26,-1937.54
-5.0,-1.84,0.26,-1704.0
-5.0,-1.84,0.79,-1475.28
-5.0,-1.84,1.32,-1042.51
-5.0,-1.84,1.84,-794.8
-5.0,-1.84,2.37,-1096.39
-5.0,-1.84,2.89,-1114.04
-5.0,-1.84,3.42,-1245.7
-5.0,-1.84,3.95,-1496.14
-5.0,-1.84,4.47,-1281.25
-5.0,-1.84,5.0,-1410.86
-5.0,-1.32,-5.0,-3116.27
-5.0,-1.32,-4.47,-2595.72
-5.0,-1.32,-3.95,-2072.51
-5.0,-1.32,-3.42,-2017.04
-5.0,-1.32,-2.89,-2312.86
-5.0,-1.32,-2.37,-2000.43
-5.0,-1.32,-1.84,-1622.47
-5.0,-1.32,-1.32,-1818.9
-5.0,-1.32,-0.79,-1815.72
-5.0,-1.32,-0.26,-1818.88
-5.0,-1.32,0.26,-1473.28
-5.0,-1.32,0.79,-1583.67
-5.0,-1.32,1.32,-1625.99
-5.0,-1.32,1.84,-1377.53
-5.0,-1.32,2.37,-1499.77
-5.0,-1.32,2.89,-1234.6
-5.0,-1.32,3.42,-976.47
-5.0,-1.32,3.95,-1091.74
-5.0,-1.32,4.47,-1141.86
-5.0,-1.32,5.0,-1653.7
-5.0,-0.79,-5.0,-1773.97
-5.0,-0.79,-4.47,-2002.95
-5.0,-0.79,-3.95,-2549.54
-5.0,-0.79,-3.42,-2467.64
-5.0,-0.79,-2.89,-2402.04
-5.0,-0.79,-2.37,-2300.64
-5.0,-0.79,-1.84,-2123.94
-5.0,-0.79,-1.32,-1827.5
-5.0,-0.79,-0.79,-1558.14
-5.0,-0.79,-0.26,-1730.03
-5.0,-0.79,0.26,-1289.81
-5.0,-0.79,0.79,-1672.27
-5.0,-0.79,1.32,-1720.66
-5.0,-0.79,1.84,-1578.75
-5.0,-0.79,2.37,-1538.69
-5.0,-0.79,2.89,-1534.73
-5.0,-0.79,3.42,-1427.52
-5.0,-0.79,3.95,-1494.05
-5.0,-0.79,4.47,-1688.96
-5.0,-0.79,5.0,-1722.66
-5.0,-0.26,-5.0,-2289.03
-5.0,-0.26,-4.47,-2061.53
-5.0,-0.26,-3.95,-2201.49
-5.0,-0.26,-3.42,-2498.02
-5.0,-0.26,-2.89,-2205.88
-5.0,-0.26,-2.37,-1758.67
-5.0,-0.26,-1.84,-1881.77
-5.0,-0.26,-1.32,-2155.63
-5.0,-0.26,-0.79,-2029.39
-5.0,-0.26,-0.26,-2576.79
-5.0,-0.26,0.26,-1938.9
-5.0,-0.26,0.79,-1679.29
-5.0,-0.26,1.32,-1325.02
-5.0,-0.26,1.84,-1208.35
-5.0,-0.26,2.37,-1176.13
-5.0,-0.26,2.89,-1256.53
-5.0,-0.26,3.42,-1821.84
-5.0,-0.26,3.95,-1702.62
-5.0,-0.26,4.47,-1790.44
-5.0,-0.26,5.0,-1807.92
-5.0,0.26,-5.0,-1631.62
-5.0,0.26,-4.47,-1790.15
-5.0,0.26,-3.95,-1908.24
-5.0,0.26,-3.42,-2291.62
-5.0,0.26,-2.89,-2170.41
-5.0,0.26,-2.37,-1974.51
-5.0,0.26,-1.84,-2326.72
-5.0,0.26,-1.32,-2203.56
-5.0,0.26,-0.79,-1709.12
-5.0,0.26,-0.26,-1647.83
-5.0,0.26,0.26,-1454.95
-5.0,0.26,0.79,-1663.63
-5.0,0.26,1.32,-1969.2
-5.0,0.26,1.84,-2080.16
-5.0,0.26,2.37,-2030.63
-5.0,0.26,2.89,-1550.82
-5.0,0.26,3.42,-1704.77
-5.0,0.26,3.95,-1162.98
-5.0,0.26,4.47,-1351.01
-5.0,0.26,5.0,-1522.83
-5.0,0.79,-5.0,-1664.37
-5.0,0.79,-4.47,-2007.98
-5.0,0.79,-3.95,-1916.49
-5.0,0.79,-3.42,-1920.88
-5.0,0.79,-2.89,-2301.72
-5.0,0.79,-2.37,-2031.54
-5.0,0.79,-1.84,-2253.92
-5.0,0.79,-1.32,-2093.68
-5.0,0.79,-0.79,-2024.1
-5.0,0.79,-0.26,-1793.35
-5.0,0.79,0.26,-2028.5
-5.0,0.79,0.79,-1938.86
-5.0,0.79,1.32,-1422.15
-5.0,0.79,1.84,-1338.47
-5.0,0.79,2.37,-1464.4
-5.0,0.79,2.89,-1113.29
-5.0,0.79,3.42,-1929.84
-5.0,0.79,3.95,-1710.26
-5.0,0.79,4.47,-1953.79
-5.0,0.79,5.0,-1648.45
-5.0,1.32,-5.0,-2245.08
-5.0,1.32,-4.47,-2518.18
-5.0,1.32,-3.95,-2520.46
-5.0,1.32,-3.42,-2026.95
-5.0,1.32,-2.89,-1782.54
-5.0,1.32,-2.37,-1546.91
-5.0,1.32,-1.84,-1887.32
-5.0,1.32,-1.32,-1671.51
-5.0,1.32,-0.79,-2242.36
-5.0,1.32,-0.26,-1993.09
-5.0,1.32,0.26,-2201.74
-5.0,1.32,0.79,-1993.46
-5.0,1.32,1.32,-1655.9
-5.0,1.32,1.84,-1359.99
-5.0,1.32,2.37,-1849.66
-5.0,1.32,2.89,-1390.79
-5.0,1.32,3.42,-1699.73
-5.0,1.32,3.95,-1315.75
-5.0,1.32,4.47,-1725.33
-5.0,1.32,5.0,-1396.11
-5.0,1.84,-5.0,-2143.14
-5.0,1.84,-4.47,-2243.37
-5.0,1.84,-3.95,-2123.15
-5.0,1.84,-3.42,-1936.47
-5.0,1.84,-2.89,-2450.06
-5.0,1.84,-2.37,-2453.67
-5.0,1.84,-1.84,-2677.02
-5.0,1.84,-1.32,-1701.15
-5.0,1.84,-0.79,-2126.55
-5.0,1.84,-0.26,-1199.72
-5.0,1.84,0.26,-1492.86
-5.0,1.84,0.79,-1437.24
-5.0,1.84,1.32,-1683.41
-5.0,1.84,1.84,-1641.48
-5.0,1.84,2.37,-2037.63
-5.0,1.84,2.89,-1571.96
-5.0,1.84,3.42,-1542.8
-5.0,1.84,3.95,-1116.09
-5.0,1.84,4.47,-1610.93
-5.0,1.84,5.0,-1257.2
-5.0,2.37,-5.0,-2384.41
-5.0,2.37,-4.47,-2243.91
-5.0,2.37,-3.95,-2387.66
-5.0,2.37,-3.42,-2105.01
-5.0,2.37,-2.89,-2213.3
-5.0,2.37,-2.37,-1865.87
-5.0,2.37,-1.84,-2170.59
-5.0,2.37,-1.32,-1366.66
-5.0,2.37,-0.79,-2208.07
-5.0,2.37,-0.26,-2007.04
-5.0,2.37,0.26,-2186.59
-5.0,2.37,0.79,-1710.09
-5.0,2.37,1.32,-1789.96
-5.0,2.37,1.84,-1261.26
-5.0,2.37,2.37,-1222.13
-5.0,2.37,2.89,-1139.51
-5.0,2.37,3.42,-1590.66
-5.0,2.37,3.95,-1388.38
-5.0,2.37,4.47,-2105.39
-5.0,2.37,5.0,-1584.22
-5.0,2.89,-5.0,-2464.82
-5.0,2.89,-4.47,-2286.62
-5.0,2.89,-3.95,-2509.98
-5.0,2.89,-3.42,-2480.93
-5.0,2.89,-2.89,-2422.74
-5.0,2.89,-2.37,-1865.68
-5.0,2.89,-1.84,-2221.96
-5.0,2.89,-1.32,-1593.39
-5.0,2.89,-0.79,-2140.46
-5.0,2.89,-0.26,-1599.92
-5.0,2.89,0.26,-1910.0
-5.0,2.89,0.79,-1212.55
-5.0,2.89,1.32,-1655.24
-5.0,2.89,1.84,-1515.25
-5.0,2.89,2.37,-1533.93
-5.0,2.89,2.89,-1365.13
-5.0,2.89,3.42,-1638.88
-5.0,2.89,3.95,-1101.16
-5.0,2.89,4.47,-1406.2
-5.0,2.89,5.0,-1191.14
-5.0,3.42,-5.0,-2416.36
-5.0,3.42,-4.47,-1818.11
-5.0,3.42,-3.95,-1736.7
-5.0,3.42,-3.42,-1936.55
-5.0,3.42,-2.89,-2375.67
-5.0,3.42,-2.37,-2080.57
-5.0,3.42,-1.84,-2686.73
-5.0,3.42,-1.32,-2082.67
-5.0,3.42,-0.79,-2120.94
-5.0,3.42,-0.26,-1235.95
-5.0,3.42,0.26,-1725.24
-5.0,3.42,0.79,-1185.5
-5.0,3.42,1.32,-1675.46
-5.0,3.42,1.84,-1610.89
-5.0,3.42,2.37,-1475.28
-5.0,3.42,2.89,-1277.69
-5.0,3.42,3.42,-1599.67
-5.0,3.42,3.95,-1210.82
-5.0,3.42,4.47,-1579.58
-5.0,3.42,5.0,-1316.87
-5.0,3.95,-5.0,-2361.22
-5.0,3.95,-4.47,-2354.57
-5.0,3.95,-3.95,-2723.5
-5.0,3.95,-3.42,-2383.3
-5.0,3.95,-2.89,-2391.68
-5.0,3.95,-2.37,-1732.94
-5.0,3.95,-1.84,-1715.25
-5.0,3.95,-1.32,-1558.87
-5.0,3.95,-0.79,-2012.78
-5.0,3.95,-0.26,-1536.65
-5.0,3.95,0.26,-2288.1
-5.0,3.95,0.79,-1666.04
-5.0,3.95,1.32,-1580.83
-5.0,3.95,1.84,-1038.01
-5.0,3.95,2.37,-1239.68
