x,y,z,fitness
0.25,0.25,0.25,-0.96
0.25,0.25,0.78,-0.85
0.25,0.25,1.3,-0.48
0.25,0.25,1.83,-0.72
0.25,0.25,2.36,-0.39
0.25,0.25,2.88,-0.95
0.25,0.25,3.41,-0.74
0.25,0.25,3.93,-0.34
0.25,0.25,4.46,-0.41
0.25,0.25,4.99,-0.76
0.25,0.25,5.51,-0.97
0.25,0.25,6.04,-0.9
0.25,0.25,6.57,-0.65
0.25,0.25,7.09,-0.42
0.25,0.25,7.62,-0.31
0.25,0.25,8.14,-0.36
0.25,0.25,8.67,-0.51
0.25,0.25,9.2,-0.71
0.25,0.25,9.72,-0.87
0.25,0.25,10.25,-0.96
0.25,0.78,0.25,-0.85
0.25,0.78,0.78,-0.73
0.25,0.78,1.3,-0.36
0.25,0.78,1.83,-0.6
0.25,0.78,2.36,-0.28
0.25,0.78,2.88,-0.83
0.25,0.78,3.41,-0.62
0.25,0.78,3.93,-0.22
0.25,0.78,4.46,-0.3
0.25,0.78,4.99,-0.64
0.25,0.78,5.51,-0.85
0.25,0.78,6.04,-0.78
0.25,0.78,6.57,-0.53
0.25,0.78,7.09,-0.3
0.25,0.78,7.62,-0.19
0.25,0.78,8.14,-0.24
0.25,0.78,8.67,-0.4
0.25,0.78,9.2,-0.59
0.25,0.78,9.72,-0.75
0.25,0.78,10.25,-0.84
0.25,1.3,0.25,-0.48
0.25,1.3,0.78,-0.36
0.25,1.3,1.3,0.01
0.25,1.3,1.83,-0.24
0.25,1.3,2.36,0.09
0.25,1.3,2.88,-0.46
0.25,1.3,3.41,-0.25
0.25,1.3,3.93,0.14
0.25,1.3,4.46,0.07
0.25,1.3,4.99,-0.28
0.25,1.3,5.51,-0.48
0.25,1.3,6.04,-0.41
0.25,1.3,6.57,-0.16
0.25,1.3,7.09,0.07
0.25,1.3,7.62,0.18
0.25,1.3,8.14,0.13
0.25,1.3,8.67,-0.03
0.25,1.3,9.2,-0.22
0.25,1.3,9.72,-0.38
0.25,1.3,10.25,-0.48
0.25,1.83,0.25,-0.72
0.25,1.83,0.78,-0.6
0.25,1.83,1.3,-0.24
0.25,1.83,1.83,-0.48
0.25,1.83,2.36,-0.15
0.25,1.83,2.88,-0.7
0.25,1.83,3.41,-0.5
0.25,1.83,3.93,-0.1
0.25,1.83,4.46,-0.17
0.25,1.83,4.99,-0.52
0.25,1.83,5.51,-0.73
0.25,1.83,6.04,-0.65
0.25,1.83,6.57,-0.41
0.25,1.83,7.09,-0.18
0.25,1.83,7.62,-0.07
0.25,1.83,8.14,-0.12
0.25,1.83,8.67,-0.27
0.25,1.83,9.2,-0.47
0.25,1.83,9.72,-0.63
0.25,1.83,10.25,-0.72
0.25,2.36,0.25,-0.39
0.25,2.36,0.78,-0.28
0.25,2.36,1.3,0.09
0.25,2.36,1.83,-0.15
0.25,2.36,2.36,0.17
0.25,2.36,2.88,-0.38
0.25,2.36,3.41,-0.17
0.25,2.36,3.93,0.23
0.25,2.36,4.46,0.16
0.25,2.36,4.99,-0.19
0.25,2.36,5.51,-0.4
0.25,2.36,6.04,-0.33
0.25,2.36,6.57,-0.08
0.25,2.36,7.09,0.15
0.25,2.36,7.62,0.26
0.25,2.36,8.14,0.21
0.25,2.36,8.67,0.05
0.25,2.36,9.2,-0.14
0.25,2.36,9.72,-0.3
0.25,2.36,10.25,-0.39
0.25,2.88,0.25,-0.95
0.25,2.88,0.78,-0.83
0.25,2.88,1.3,-0.46
0.25,2.88,1.83,-0.7
0.25,2.88,2.36,-0.38
0.25,2.88,2.88,-0.93
0.25,2.88,3.41,-0.72
0.25,2.88,3.93,-0.33
0.25,2.88,4.46,-0.4
0.25,2.88,4.99,-0.74
0.25,2.88,5.51,-0.95
0.25,2.88,6.04,-0.88
0.25,2.88,6.57,-0.63
0.25,2.88,7.09,-0.4
0.25,2.88,7.62,-0.29
0.25,2.88,8.14,-0.34
0.25,2.88,8.67,-0.5
0.25,2.88,9.2,-0.69
0.25,2.88,9.72,-0.85
0.25,2.88,10.25,-0.95
0.25,3.41,0.25,-0.74
0.25,3.41,0.78,-0.62
0.25,3.41,1.3,-0.25
0.25,3.41,1.83,-0.5
0.25,3.41,2.36,-0.17
0.25,3.41,2.88,-0.72
0.25,3.41,3.41,-0.52
0.25,3.41,3.93,-0.12
0.25,3.41,4.46,-0.19
0.25,3.41,4.99,-0.54
0.25,3.41,5.51,-0.74
0.25,3.41,6.04,-0.67
0.25,3.41,6.57,-0.43
0.25,3.41,7.09,-0.2
0.25,3.41,7.62,-0.09
0.25,3.41,8.14,-0.13
0.25,3.41,8.67,-0.29
