x,y,z,fitness
-5.0,-5.0,-5.0,-22.99
-5.0,-5.0,-4.29,7.58
-5.0,-5.0,-3.57,18.85
-5.0,-5.0,-2.86,-18.52
-5.0,-5.0,-2.14,-35.65
-5.0,-5.0,-1.43,104.03
-5.0,-5.0,-0.71,-106.33
-5.0,-5.0,0.0,36.04
-5.0,-5.0,0.71,23.25
-5.0,-5.0,1.43,-17.96
-5.0,-5.0,2.14,-12.91
-5.0,-5.0,2.86,18.71
-5.0,-5.0,3.57,6.96
-5.0,-5.0,4.29,-49.7
-5.0,-5.0,5.0,78.06
-5.0,-4.29,-5.0,7.58
-5.0,-4.29,-4.29,-2.5
-5.0,-4.29,-3.57,-6.22
-5.0,-4.29,-2.86,6.11
-5.0,-4.29,-2.14,11.76
-5.0,-4.29,-1.43,-34.32
-5.0,-4.29,-0.71,35.08
-5.0,-4.29,0.0,-11.89
-5.0,-4.29,0.71,-7.67
-5.0,-4.29,1.43,5.92
-5.0,-4.29,2.14,4.26
-5.0,-4.29,2.86,-6.17
-5.0,-4.29,3.57,-2.29
-5.0,-4.29,4.29,16.39
-5.0,-4.29,5.0,-25.75
-5.0,-3.57,-5.0,18.85
-5.0,-3.57,-4.29,-6.22
-5.0,-3.57,-3.57,-15.45
-5.0,-3.57,-2.86,15.18
-5.0,-3.57,-2.14,29.23
-5.0,-3.57,-1.43,-85.29
-5.0,-3.57,-0.71,87.17
-5.0,-3.57,0.0,-29.55
-5.0,-3.57,0.71,-19.06
-5.0,-3.57,1.43,14.72
-5.0,-3.57,2.14,10.58
-5.0,-3.57,2.86,-15.34
-5.0,-3.57,3.57,-5.7
-5.0,-3.57,4.29,40.75
-5.0,-3.57,5.0,-64.0
-5.0,-2.86,-5.0,-18.52
-5.0,-2.86,-4.29,6.11
-5.0,-2.86,-3.57,15.18
-5.0,-2.86,-2.86,-14.92
-5.0,-2.86,-2.14,-28.72
-5.0,-2.86,-1.43,83.8
-5.0,-2.86,-0.71,-85.66
-5.0,-2.86,0.0,29.04
-5.0,-2.86,0.71,18.73
-5.0,-2.86,1.43,-14.46
-5.0,-2.86,2.14,-10.4
-5.0,-2.86,2.86,15.07
-5.0,-2.86,3.57,5.6
-5.0,-2.86,4.29,-40.04
-5.0,-2.86,5.0,62.88
-5.0,-2.14,-5.0,-35.65
-5.0,-2.14,-4.29,11.76
-5.0,-2.14,-3.57,29.23
-5.0,-2.14,-2.86,-28.72
-5.0,-2.14,-2.14,-55.29
-5.0,-2.14,-1.43,161.33
-5.0,-2.14,-0.71,-164.9
-5.0,-2.14,0.0,55.9
-5.0,-2.14,0.71,36.05
-5.0,-2.14,1.43,-27.85
-5.0,-2.14,2.14,-20.02
-5.0,-2.14,2.86,29.01
-5.0,-2.14,3.57,10.79
-5.0,-2.14,4.29,-77.08
-5.0,-2.14,5.0,121.06
-5.0,-1.43,-5.0,104.03
-5.0,-1.43,-4.29,-34.32
-5.0,-1.43,-3.57,-85.29
-5.0,-1.43,-2.86,83.8
-5.0,-1.43,-2.14,161.33
-5.0,-1.43,-1.43,-470.75
-5.0,-1.43,-0.71,481.18
-5.0,-1.43,0.0,-163.11
-5.0,-1.43,0.71,-105.21
-5.0,-1.43,1.43,81.26
-5.0,-1.43,2.14,58.42
-5.0,-1.43,2.86,-84.65
-5.0,-1.43,3.57,-31.48
-5.0,-1.43,4.29,224.91
-5.0,-1.43,5.0,-353.24
-5.0,-0.71,-5.0,-106.33
-5.0,-0.71,-4.29,35.08
-5.0,-0.71,-3.57,87.17
-5.0,-0.71,-2.86,-85.66
-5.0,-0.71,-2.14,-164.9
-5.0,-0.71,-1.43,481.18
-5.0,-0.71,-0.71,-491.83
-5.0,-0.71,0.0,166.72
-5.0,-0.71,0.71,107.54
-5.0,-0.71,1.43,-83.06
-5.0,-0.71,2.14,-59.71
-5.0,-0.71,2.86,86.53
-5.0,-0.71,3.57,32.18
-5.0,-0.71,4.29,-229.89
-5.0,-0.71,5.0,361.06
-5.0,0.0,-5.0,36.04
-5.0,0.0,-4.29,-11.89
-5.0,0.0,-3.57,-29.55
-5.0,0.0,-2.86,29.04
-5.0,0.0,-2.14,55.9
-5.0,0.0,-1.43,-163.11
-5.0,0.0,-0.71,166.72
-5.0,0.0,0.0,-56.51
-5.0,0.0,0.71,-36.45
-5.0,0.0,1.43,28.15
-5.0,0.0,2.14,20.24
-5.0,0.0,2.86,-29.33
-5.0,0.0,3.57,-10.91
-5.0,0.0,4.29,77.93
-5.0,0.0,5.0,-122.39
-5.0,0.71,-5.0,23.25
-5.0,0.71,-4.29,-7.67
-5.0,0.71,-3.57,-19.06
-5.0,0.71,-2.86,18.73
-5.0,0.71,-2.14,36.05
-5.0,0.71,-1.43,-105.21
-5.0,0.71,-0.71,107.54
-5.0,0.71,0.0,-36.45
-5.0,0.71,0.71,-23.51
-5.0,0.71,1.43,18.16
-5.0,0.71,2.14,13.06
-5.0,0.71,2.86,-18.92
-5.0,0.71,3.57,-7.04
-5.0,0.71,4.29,50.26
-5.0,0.71,5.0,-78.94
-5.0,1.43,-5.0,-17.96
-5.0,1.43,-4.29,5.92
-5.0,1.43,-3.57,14.72
-5.0,1.43,-2.86,-14.46
-5.0,1.43,-2.14,-27.85
-5.0,1.43,-1.43,81.26
-5.0,1.43,-0.71,-83.06
-5.0,1.43,0.0,28.15
-5.0,1.43,0.71,18.16
-5.0,1.43,1.43,-14.03
-5.0,1.43,2.14,-10.08
-5.0,1.43,2.86,14.61
-5.0,1.43,3.57,5.43
-5.0,1.43,4.29,-38.82
-5.0,1.43,5.0,60.97
-5.0,2.14,-5.0,-12.91
-5.0,2.14,-4.29,4.26
-5.0,2.14,-3.57,10.58
-5.0,2.14,-2.86,-10.4
-5.0,2.14,-2.14,-20.02
-5.0,2.14,-1.43,58.42
-5.0,2.14,-0.71,-59.71
-5.0,2.14,0.0,20.24
-5.0,2.14,0.71,13.06
-5.0,2.14,1.43,-10.08
-5.0,2.14,2.14,-7.25
-5.0,2.14,2.86,10.51
-5.0,2.14,3.57,3.91
-5.0,2.14,4.29,-27.91
-5.0,2.14,5.0,43.83
-5.0,2.86,-5.0,18.71
-5.0,2.86,-4.29,-6.17
-5.0,2.86,-3.57,-15.34
-5.0,2.86,-2.86,15.07
-5.0,2.86,-2.14,29.01
-5.0,2.86,-1.43,-84.65
-5.0,2.86,-0.71,86.53
-5.0,2.86,0.0,-29.33
-5.0,2.86,0.71,-18.92
-5.0,2.86,1.43,14.61
-5.0,2.86,2.14,10.51
-5.0,2.86,2.86,-15.22
-5.0,2.86,3.57,-5.66
-5.0,2.86,4.29,40.44
-5.0,2.86,5.0,-63.52
-5.0,3.57,-5.0,6.96
-5.0,3.57,-4.29,-2.29
-5.0,3.57,-3.57,-5.7
-5.0,3.57,-2.86,5.6
-5.0,3.57,-2.14,10.79
-5.0,3.57,-1.43,-31.48
-5.0,3.57,-0.71,32.18
-5.0,3.57,0.0,-10.91
-5.0,3.57,0.71,-7.04
-5.0,3.57,1.43,5.43
-5.0,3.57,2.14,3.91
-5.0,3.57,2.86,-5.66
-5.0,3.57,3.57,-2.11
-5.0,3.57,4.29,15.04
-5.0,3.57,5.0,-23.62
-5.0,4.29,-5.0,-49.7
-5.0,4.29,-4.29,16.39
-5.0,4.29,-3.57,40.75
-5.0,4.29,-2.86,-40.04
-5.0,4.29,-2.14,-77.08
-5.0,4.29,-1.43,224.91
-5.0,4.29,-0.71,-229.89
-5.0,4.29,0.0,77.93
-5.0,4.29,0.71,50.26
-5.0,4.29,1.43,-38.82
-5.0,4.29,2.14,-27.91
-5.0,4.29,2.86,40.44
-5.0,4.29,3.57,15.04
-5.0,4.29,4.29,-107.45
-5.0,4.29,5.0,168.76
-5.0,5.0,-5.0,78.06
-5.0,5.0,-4.29,-25.75
-5.0,5.0,-3.57,-64.0
-5.0,5.0,-2.86,62.88
-5.0,5.0,-2.14,121.06
-5.0,5.0,-1.43,-353.24
-5.0,5.0,-0.71,361.06
-5.0,5.0,0.0,-122.39
-5.0,5.0,0.71,-78.94
-5.0,5.0,1.43,60.97
-5.0,5.0,2.14,43.83
-5.0,5.0,2.86,-63.52
-5.0,5.0,3.57,-23.62
-5.0,5.0,4.29,168.76
-5.0,5.0,5.0,-265.06
-4.29,-5.0,-5.0,7.58
-4.29,-5.0,-4.29,-2.5
-4.29,-5.0,-3.57,-6.22
-4.29,-5.0,-2.86,6.11
-4.29,-5.0,-2.14,11.76
