x0,x1,fitness
-5.0,-5.0,-8.085
-5.0,-4.474,7.757
-5.0,-3.947,-8.098
-5.0,-3.421,6.525
-5.0,-2.895,-8.078
-5.0,-2.368,5.532
-5.0,-1.842,-8.565
-5.0,-1.316,31.136
-5.0,-0.789,-41.189
-5.0,-0.263,22.48
-5.0,0.263,-9.608
-5.0,0.789,10.444
-5.0,1.316,-8.321
-5.0,1.842,7.543
-5.0,2.368,-7.563
-5.0,2.895,5.531
-5.0,3.421,-6.621
-5.0,3.947,3.372
-5.0,4.474,-4.833
-5.0,5.0,27.453
-4.474,-5.0,7.757
-4.474,-4.474,-7.442
-4.474,-3.947,7.769
-4.474,-3.421,-6.26
-4.474,-2.895,7.75
-4.474,-2.368,-5.307
-4.474,-1.842,8.218
-4.474,-1.316,-29.873
-4.474,-0.789,39.518
-4.474,-0.263,-21.568
-4.474,0.263,9.218
-4.474,0.789,-10.02
-4.474,1.316,7.984
-4.474,1.842,-7.237
-4.474,2.368,7.256
-4.474,2.895,-5.307
-4.474,3.421,6.352
-4.474,3.947,-3.235
-4.474,4.474,4.637
-4.474,5.0,-26.339
-3.947,-5.0,-8.098
-3.947,-4.474,7.769
-3.947,-3.947,-8.111
-3.947,-3.421,6.535
-3.947,-2.895,-8.091
-3.947,-2.368,5.541
-3.947,-1.842,-8.579
-3.947,-1.316,31.187
-3.947,-0.789,-41.256
-3.947,-0.263,22.516
-3.947,0.263,-9.623
-3.947,0.789,10.461
-3.947,1.316,-8.335
-3.947,1.842,7.556
-3.947,2.368,-7.575
-3.947,2.895,5.54
-3.947,3.421,-6.631
-3.947,3.947,3.377
-3.947,4.474,-4.841
-3.947,5.0,27.498
-3.421,-5.0,6.525
-3.421,-4.474,-6.26
-3.421,-3.947,6.535
-3.421,-3.421,-5.265
-3.421,-2.895,6.519
-3.421,-2.368,-4.464
-3.421,-1.842,6.912
-3.421,-1.316,-25.127
-3.421,-0.789,33.24
-3.421,-0.263,-18.141
-3.421,0.263,7.754
-3.421,0.789,-8.429
-3.421,1.316,6.716
-3.421,1.842,-6.088
-3.421,2.368,6.103
-3.421,2.895,-4.464
-3.421,3.421,5.343
-3.421,3.947,-2.721
-3.421,4.474,3.9
-3.421,5.0,-22.155
-2.895,-5.0,-8.078
-2.895,-4.474,7.75
-2.895,-3.947,-8.091
-2.895,-3.421,6.519
-2.895,-2.895,-8.071
-2.895,-2.368,5.527
-2.895,-1.842,-8.558
-2.895,-1.316,31.109
-2.895,-0.789,-41.154
-2.895,-0.263,22.46
-2.895,0.263,-9.6
-2.895,0.789,10.435
-2.895,1.316,-8.314
-2.895,1.842,7.537
-2.895,2.368,-7.556
-2.895,2.895,5.526
-2.895,3.421,-6.615
-2.895,3.947,3.369
-2.895,4.474,-4.829
-2.895,5.0,27.43
-2.368,-5.0,5.532
-2.368,-4.474,-5.307
-2.368,-3.947,5.541
-2.368,-3.421,-4.464
-2.368,-2.895,5.527
-2.368,-2.368,-3.785
-2.368,-1.842,5.86
-2.368,-1.316,-21.304
-2.368,-0.789,28.183
-2.368,-0.263,-15.381
-2.368,0.263,6.574
-2.368,0.789,-7.146
-2.368,1.316,5.694
-2.368,1.842,-5.161
-2.368,2.368,5.174
-2.368,2.895,-3.784
-2.368,3.421,4.53
-2.368,3.947,-2.307
