x1,x2,x3,fitness
-5.0,-5.0,-5.0,-22.988
-5.0,-5.0,-4.474,22.055
-5.0,-5.0,-3.947,-23.025
-5.0,-5.0,-3.421,18.552
-5.0,-5.0,-2.895,-22.968
-5.0,-5.0,-2.368,15.729
-5.0,-5.0,-1.842,-24.353
-5.0,-5.0,-1.316,88.531
-5.0,-5.0,-0.789,-117.116
-5.0,-5.0,-0.263,63.918
-5.0,-5.0,0.263,-27.318
-5.0,-5.0,0.789,29.696
-5.0,-5.0,1.316,-23.661
-5.0,-5.0,1.842,21.449
-5.0,-5.0,2.368,-21.503
-5.0,-5.0,2.895,15.726
-5.0,-5.0,3.421,-18.825
-5.0,-5.0,3.947,9.587
-5.0,-5.0,4.474,-13.741
-5.0,-5.0,5.0,78.059
-5.0,-4.474,-5.0,22.055
-5.0,-4.474,-4.474,-21.161
-5.0,-4.474,-3.947,22.091
-5.0,-4.474,-3.421,-17.799
-5.0,-4.474,-2.895,22.037
-5.0,-4.474,-2.368,-15.091
-5.0,-4.474,-1.842,23.366
-5.0,-4.474,-1.316,-84.94
-5.0,-4.474,-0.789,112.365
-5.0,-4.474,-0.263,-61.325
-5.0,-4.474,0.263,26.21
-5.0,-4.474,0.789,-28.492
-5.0,-4.474,1.316,22.701
-5.0,-4.474,1.842,-20.579
-5.0,-4.474,2.368,20.631
-5.0,-4.474,2.895,-15.088
-5.0,-4.474,3.421,18.061
-5.0,-4.474,3.947,-9.198
-5.0,-4.474,4.474,13.184
-5.0,-4.474,5.0,-74.893
-5.0,-3.947,-5.0,-23.025
-5.0,-3.947,-4.474,22.091
-5.0,-3.947,-3.947,-23.063
-5.0,-3.947,-3.421,18.582
-5.0,-3.947,-2.895,-23.006
-5.0,-3.947,-2.368,15.754
-5.0,-3.947,-1.842,-24.393
-5.0,-3.947,-1.316,88.675
-5.0,-3.947,-0.789,-117.307
-5.0,-3.947,-0.263,64.022
-5.0,-3.947,0.263,-27.363
-5.0,-3.947,0.789,29.745
-5.0,-3.947,1.316,-23.7
-5.0,-3.947,1.842,21.484
-5.0,-3.947,2.368,-21.538
-5.0,-3.947,2.895,15.752
-5.0,-3.947,3.421,-18.856
-5.0,-3.947,3.947,9.603
-5.0,-3.947,4.474,-13.764
-5.0,-3.947,5.0,78.186
-5.0,-3.421,-5.0,18.552
-5.0,-3.421,-4.474,-17.799
-5.0,-3.421,-3.947,18.582
-5.0,-3.421,-3.421,-14.971
-5.0,-3.421,-2.895,18.536
-5.0,-3.421,-2.368,-12.693
-5.0,-3.421,-1.842,19.654
-5.0,-3.421,-1.316,-71.446
-5.0,-3.421,-0.789,94.515
-5.0,-3.421,-0.263,-51.583
-5.0,-3.421,0.263,22.046
-5.0,-3.421,0.789,-23.965
-5.0,-3.421,1.316,19.095
-5.0,-3.421,1.842,-17.309
-5.0,-3.421,2.368,17.353
-5.0,-3.421,2.895,-12.691
-5.0,-3.421,3.421,15.192
-5.0,-3.421,3.947,-7.737
-5.0,-3.421,4.474,11.089
-5.0,-3.421,5.0,-62.995
-5.0,-2.895,-5.0,-22.968
-5.0,-2.895,-4.474,22.037
-5.0,-2.895,-3.947,-23.006
-5.0,-2.895,-3.421,18.536
-5.0,-2.895,-2.895,-22.949
-5.0,-2.895,-2.368,15.715
-5.0,-2.895,-1.842,-24.333
-5.0,-2.895,-1.316,88.456
-5.0,-2.895,-0.789,-117.016
-5.0,-2.895,-0.263,63.863
-5.0,-2.895,0.263,-27.295
-5.0,-2.895,0.789,29.671
-5.0,-2.895,1.316,-23.641
-5.0,-2.895,1.842,21.43
-5.0,-2.895,2.368,-21.485
-5.0,-2.895,2.895,15.713
-5.0,-2.895,3.421,-18.809
-5.0,-2.895,3.947,9.579
-5.0,-2.895,4.474,-13.729
-5.0,-2.895,5.0,77.992
-5.0,-2.368,-5.0,15.729
-5.0,-2.368,-4.474,-15.091
-5.0,-2.368,-3.947,15.754
-5.0,-2.368,-3.421,-12.693
-5.0,-2.368,-2.895,15.715
-5.0,-2.368,-2.368,-10.762
-5.0,-2.368,-1.842,16.663
-5.0,-2.368,-1.316,-60.575
-5.0,-2.368,-0.789,80.133
-5.0,-2.368,-0.263,-43.734
-5.0,-2.368,0.263,18.692
-5.0,-2.368,0.789,-20.319
-5.0,-2.368,1.316,16.189
-5.0,-2.368,1.842,-14.676
-5.0,-2.368,2.368,14.713
-5.0,-2.368,2.895,-10.76
-5.0,-2.368,3.421,12.88
-5.0,-2.368,3.947,-6.56
-5.0,-2.368,4.474,9.402
-5.0,-2.368,5.0,-53.41
-5.0,-1.842,-5.0,-24.353
-5.0,-1.842,-4.474,23.366
-5.0,-1.842,-3.947,-24.393
-5.0,-1.842,-3.421,19.654
-5.0,-1.842,-2.895,-24.333
-5.0,-1.842,-2.368,16.663
-5.0,-1.842,-1.842,-25.8
-5.0,-1.842,-1.316,93.79
-5.0,-1.842,-0.789,-124.073
-5.0,-1.842,-0.263,67.715
-5.0,-1.842,0.263,-28.941
-5.0,-1.842,0.789,31.46
-5.0,-1.842,1.316,-25.067
-5.0,-1.842,1.842,22.723
-5.0,-1.842,2.368,-22.78
-5.0,-1.842,2.895,16.66
-5.0,-1.842,3.421,-19.943
-5.0,-1.842,3.947,10.157
-5.0,-1.842,4.474,-14.557
-5.0,-1.842,5.0,82.696
-5.0,-1.316,-5.0,88.531
-5.0,-1.316,-4.474,-84.94
-5.0,-1.316,-3.947,88.675
-5.0,-1.316,-3.421,-71.446
-5.0,-1.316,-2.895,88.456
-5.0,-1.316,-2.368,-60.575
-5.0,-1.316,-1.842,93.79
-5.0,-1.316,-1.316,-340.954
-5.0,-1.316,-0.789,451.039
-5.0,-1.316,-0.263,-246.162
-5.0,-1.316,0.263,105.209
-5.0,-1.316,0.789,-114.367
-5.0,-1.316,1.316,91.124
-5.0,-1.316,1.842,-82.603
-5.0,-1.316,2.368,82.813
-5.0,-1.316,2.895,-60.566
-5.0,-1.316,3.421,72.499
-5.0,-1.316,3.947,-36.923
