x,y,z,fitness
0.25,0.25,0.25,-0.96
0.25,0.25,0.96,-0.77
0.25,0.25,1.68,-0.94
0.25,0.25,2.39,-0.42
0.25,0.25,3.11,-0.95
0.25,0.25,3.82,-0.39
0.25,0.25,4.54,-0.46
0.25,0.25,5.25,-0.9
0.25,0.25,5.96,-0.92
0.25,0.25,6.68,-0.59
0.25,0.25,7.39,-0.34
0.25,0.25,8.11,-0.35
0.25,0.25,8.82,-0.57
0.25,0.25,9.54,-0.82
0.25,0.25,10.25,-0.96
0.25,0.96,0.25,-0.77
0.25,0.96,0.96,-0.59
0.25,0.96,1.68,-0.75
0.25,0.96,2.39,-0.24
0.25,0.96,3.11,-0.77
0.25,0.96,3.82,-0.21
0.25,0.96,4.54,-0.27
0.25,0.96,5.25,-0.71
0.25,0.96,5.96,-0.73
0.25,0.96,6.68,-0.41
0.25,0.96,7.39,-0.15
0.25,0.96,8.11,-0.16
0.25,0.96,8.82,-0.38
0.25,0.96,9.54,-0.63
0.25,0.96,10.25,-0.77
0.25,1.68,0.25,-0.94
0.25,1.68,0.96,-0.75
0.25,1.68,1.68,-0.91
0.25,1.68,2.39,-0.4
0.25,1.68,3.11,-0.93
0.25,1.68,3.82,-0.37
0.25,1.68,4.54,-0.43
0.25,1.68,5.25,-0.87
0.25,1.68,5.96,-0.9
0.25,1.68,6.68,-0.57
0.25,1.68,7.39,-0.31
0.25,1.68,8.11,-0.33
0.25,1.68,8.82,-0.54
0.25,1.68,9.54,-0.8
0.25,1.68,10.25,-0.94
0.25,2.39,0.25,-0.42
0.25,2.39,0.96,-0.24
0.25,2.39,1.68,-0.4
0.25,2.39,2.39,0.11
0.25,2.39,3.11,-0.42
0.25,2.39,3.82,0.14
0.25,2.39,4.54,0.08
0.25,2.39,5.25,-0.36
0.25,2.39,5.96,-0.38
0.25,2.39,6.68,-0.06
0.25,2.39,7.39,0.2
0.25,2.39,8.11,0.19
0.25,2.39,8.82,-0.03
0.25,2.39,9.54,-0.28
0.25,2.39,10.25,-0.42
0.25,3.11,0.25,-0.95
0.25,3.11,0.96,-0.77
0.25,3.11,1.68,-0.93
0.25,3.11,2.39,-0.42
0.25,3.11,3.11,-0.95
0.25,3.11,3.82,-0.39
0.25,3.11,4.54,-0.45
0.25,3.11,5.25,-0.89
0.25,3.11,5.96,-0.91
0.25,3.11,6.68,-0.59
0.25,3.11,7.39,-0.33
