x0,x1,x2,fitness
0.25,0.25,0.25,-0.963
0.25,0.25,0.776,-0.831
0.25,0.25,1.303,-0.483
0.25,0.25,1.829,-0.723
0.25,0.25,2.355,-0.389
0.25,0.25,2.882,-0.947
0.25,0.25,3.408,-0.742
0.25,0.25,3.934,-0.34
0.25,0.25,4.461,-0.414
0.25,0.25,4.987,-0.759
0.25,0.25,5.513,-0.968
0.25,0.25,6.039,-0.896
0.25,0.25,6.566,-0.652
0.25,0.25,7.092,-0.417
0.25,0.25,7.618,-0.311
0.25,0.25,8.145,-0.358
0.25,0.25,8.671,-0.515
0.25,0.25,9.197,-0.707
0.25,0.25,9.724,-0.87
0.25,0.25,10.25,-0.961
0.25,0.776,0.25,-0.831
0.25,0.776,0.776,-0.7
0.25,0.776,1.303,-0.352
0.25,0.776,1.829,-0.592
0.25,0.776,2.355,-0.258
0.25,0.776,2.882,-0.816
0.25,0.776,3.408,-0.611
0.25,0.776,3.934,-0.209
0.25,0.776,4.461,-0.282
0.25,0.776,4.987,-0.628
0.25,0.776,5.513,-0.837
0.25,0.776,6.039,-0.765
0.25,0.776,6.566,-0.521
0.25,0.776,7.092,-0.286
0.25,0.776,7.618,-0.179
0.25,0.776,8.145,-0.227
0.25,0.776,8.671,-0.383
0.25,0.776,9.197,-0.576
0.25,0.776,9.724,-0.739
0.25,0.776,10.25,-0.83
0.25,1.303,0.25,-0.483
0.25,1.303,0.776,-0.352
0.25,1.303,1.303,-0.004
0.25,1.303,1.829,-0.244
0.25,1.303,2.355,0.09
0.25,1.303,2.882,-0.468
0.25,1.303,3.408,-0.263
0.25,1.303,3.934,0.139
0.25,1.303,4.461,0.066
0.25,1.303,4.987,-0.28
0.25,1.303,5.513,-0.489
0.25,1.303,6.039,-0.417
0.25,1.303,6.566,-0.173
0.25,1.303,7.092,0.062
0.25,1.303,7.618,0.169
0.25,1.303,8.145,0.121
0.25,1.303,8.671,-0.035
0.25,1.303,9.197,-0.228
0.25,1.303,9.724,-0.391
0.25,1.303,10.25,-0.482
0.25,1.829,0.25,-0.723
0.25,1.829,0.776,-0.592
0.25,1.829,1.303,-0.244
0.25,1.829,1.829,-0.483
0.25,1.829,2.355,-0.149
0.25,1.829,2.882,-0.707
0.25,1.829,3.408,-0.502
0.25,1.829,3.934,-0.1
0.25,1.829,4.461,-0.174
0.25,1.829,4.987,-0.519
0.25,1.829,5.513,-0.728
0.25,1.829,6.039,-0.656
0.25,1.829,6.566,-0.412
0.25,1.829,7.092,-0.177
0.25,1.829,7.618,-0.071
0.25,1.829,8.145,-0.118
0.25,1.829,8.671,-0.275
0.25,1.829,9.197,-0.467
0.25,1.829,9.724,-0.63
0.25,1.829,10.25,-0.721
0.25,2.355,0.25,-0.389
0.25,2.355,0.776,-0.258
0.25,2.355,1.303,0.09
0.25,2.355,1.829,-0.149
0.25,2.355,2.355,0.184
0.25,2.355,2.882,-0.374
0.25,2.355,3.408,-0.169
0.25,2.355,3.934,0.233
0.25,2.355,4.461,0.16
0.25,2.355,4.987,-0.186
