id,x0,x1,x2,fitness-1,fitness-2,fitness-2.5,fitness-1.5,fitness0,fitness-3,fitness-5,fitness-3.5,fitness-4,fitness-4.5,fitness-0.5,fitness0.5,fitness1
30,2.22253,0.491711,-2.71555,-213.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,2.21847,0.784322,-3.64954,NA,-57.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,1.42111,1.18044,-3.96741,NA,NA,-18.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,1.64163,2.33134,-4.47767,NA,NA,NA,-46.525,NA,NA,NA,NA,NA,NA,NA,NA,NA
830,1.23345,1.27346,-4.86154,-92.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1135,1.98943,2.72735,-4.53261,NA,NA,NA,NA,-138.833,NA,NA,NA,NA,NA,NA,NA,NA
1305,1.99189,2.65045,-4.79613,NA,-36.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,3.27264,3.56397,-4.29756,NA,NA,-128.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1754,4.46623,1.68516,-4.59932,NA,NA,NA,NA,NA,-163.316,NA,NA,NA,NA,NA,NA,NA
1952,4.63314,1.73747,-4.32372,NA,NA,NA,NA,NA,NA,-316.974,NA,NA,NA,NA,NA,NA
2183,3.72267,2.23693,-4.05297,NA,NA,NA,NA,NA,-107.41,NA,NA,NA,NA,NA,NA,NA
2256,3.55947,1.18246,-4.68453,NA,NA,NA,NA,NA,NA,NA,-92.504,NA,NA,NA,NA,NA
2521,3.67127,2.15639,-4.57431,NA,NA,-85.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2671,2.07698,1.09062,-3.8835,NA,NA,-20.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2839,0.881532,2.07806,-3.68773,-97.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3084,1.37173,1.59838,-4.84061,NA,NA,NA,NA,NA,-20.667,NA,NA,NA,NA,NA,NA,NA
3324,1.83586,0.598474,-3.95998,NA,NA,-62.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3537,1.94938,1.07242,-4.80013,NA,NA,NA,NA,NA,-30.048,NA,NA,NA,NA,NA,NA,NA
3745,1.95272,1.96363,-4.68115,NA,NA,NA,NA,NA,-14.087,NA,NA,NA,NA,NA,NA,NA
3864,1.19824,2.67639,-4.86201,NA,-44.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4122,2.29421,3.25059,-3.82287,-115.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4212,2.16136,3.14921,-4.33097,NA,NA,NA,NA,-168.985,NA,NA,NA,NA,NA,NA,NA,NA
4470,2.25664,3.24726,-4.16844,NA,NA,-63.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4703,2.15606,2.56351,-3.493,NA,-54.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4852,4.66282,3.16577,-4.82637,NA,NA,-226.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5073,2.89982,2.39825,-4.16205,NA,NA,NA,NA,NA,-48.611,NA,NA,NA,NA,NA,NA,NA
5278,2.5957,1.41358,-3.96539,NA,NA,NA,NA,NA,NA,NA,NA,-66.168,NA,NA,NA,NA
5538,1.62409,1.52193,-4.00105,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.284,NA,NA,NA
5704,0.2517,1.72963,-4.46196,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130.618,NA,NA,NA
5976,1.45047,2.68664,-4.46358,NA,NA,NA,NA,NA,NA,NA,NA,-74.329,NA,NA,NA,NA
6189,1.04505,1.24064,-3.57966,NA,NA,NA,NA,NA,NA,NA,-66.154,NA,NA,NA,NA,NA
6325,2.08838,0.503764,-3.58192,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.343,NA,NA,NA
6414,1.24783,0.43924,-3.27322,NA,NA,NA,NA,NA,NA,NA,-125.348,NA,NA,NA,NA,NA
6783,2.96534,1.35158,-4.77892,NA,NA,-42.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6863,2.75283,1.52182,-4.19341,NA,-32.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7102,3.58806,2.45864,-4.96682,NA,NA,NA,NA,NA,-98.287,NA,NA,NA,NA,NA,NA,NA
7248,2.9733,0.296519,-4.30166,NA,NA,NA,NA,NA,NA,-211.77,NA,NA,NA,NA,NA,NA
