id,x0,x1,x2,fitness-5,fitness-3.5,fitness-3,fitness-2,fitness-4,fitness-2.5,fitness-1.5,fitness-1,fitness-4.5,fitness-0.5
95,2.79681,-0.923437,-4.36401,-360.846,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,2.52339,-0.385086,-3.99892,NA,-199.09,NA,NA,NA,NA,NA,NA,NA,NA
540,1.43433,1.076,-4.43247,NA,NA,-28.381,NA,NA,NA,NA,NA,NA,NA
781,1.33977,1.36609,-4.24064,NA,NA,NA,-14.62,NA,NA,NA,NA,NA,NA
955,1.32587,1.97081,-3.65254,NA,-48.189,NA,NA,NA,NA,NA,NA,NA,NA
1020,2.00855,1.97606,-4.0883,NA,NA,NA,NA,-47.84,NA,NA,NA,NA,NA
1388,2.32427,2.24153,-3.61284,NA,NA,NA,NA,NA,-31.976,NA,NA,NA,NA
1457,2.53504,0.952383,-4.50321,NA,NA,NA,NA,NA,-37.485,NA,NA,NA,NA
1724,1.92002,1.01638,-4.89908,NA,NA,NA,NA,NA,-27.218,NA,NA,NA,NA
1816,1.60717,0.86886,-4.59727,NA,NA,NA,NA,NA,NA,-77.644,NA,NA,NA
2164,1.31406,1.18398,-4.83607,NA,NA,NA,NA,NA,NA,NA,-79.077,NA,NA
2226,2.21202,1.72967,-4.23712,NA,NA,NA,-9.906,NA,NA,NA,NA,NA,NA
2589,1.69052,2.51807,-4.08522,NA,NA,NA,-25.969,NA,NA,NA,NA,NA,NA
2776,1.49306,2.07171,-4.98816,NA,NA,NA,NA,NA,-19.864,NA,NA,NA,NA
2819,1.04307,0.925938,-4.98073,NA,NA,NA,NA,NA,-69.157,NA,NA,NA,NA
3017,2.00981,0.750704,-4.8801,NA,NA,NA,-54.483,NA,NA,NA,NA,NA,NA
3395,1.41592,1.49011,-4.10255,NA,NA,NA,-14.365,NA,NA,NA,NA,NA,NA
3508,2.24389,1.53896,-3.52254,NA,NA,NA,NA,NA,-27.168,NA,NA,NA,NA
3611,1.47876,2.20423,-4.50543,NA,NA,NA,NA,NA,NA,-46.233,NA,NA,NA
3992,2.20062,2.00147,-3.71842,NA,NA,NA,NA,NA,NA,-43.117,NA,NA,NA
4042,2.44788,1.63792,-4.07687,NA,NA,NA,NA,NA,NA,-30.173,NA,NA,NA
4302,0.935846,1.00125,-4.42592,NA,NA,NA,NA,NA,-52.95,NA,NA,NA,NA
4477,1.25856,2.64221,-4.97672,NA,NA,NA,NA,NA,-39.719,NA,NA,NA,NA
4792,1.70524,2.34305,-4.63529,NA,NA,-20.114,NA,NA,NA,NA,NA,NA,NA
4835,1.77518,1.82723,-4.45751,NA,NA,NA,-8.534,NA,NA,NA,NA,NA,NA
5125,2.69299,1.78114,-4.33704,NA,NA,NA,NA,NA,NA,-46.084,NA,NA,NA
5367,2.13002,2.44307,-4.40436,NA,NA,NA,NA,NA,-20.194,NA,NA,NA,NA
5600,1.00282,1.49382,-4.73238,NA,NA,-31.677,NA,NA,NA,NA,NA,NA,NA
5718,0.978759,1.44987,-4.6915,NA,NA,NA,NA,NA,-27.949,NA,NA,NA,NA
5866,0.446707,2.54162,-4.85219,NA,NA,NA,NA,NA,NA,-86.97,NA,NA,NA
6195,1.15646,1.51358,-4.41118,NA,NA,NA,-27.331,NA,NA,NA,NA,NA,NA
6384,2.51742,2.79601,-4.36118,NA,NA,NA,NA,NA,-43.63,NA,NA,NA,NA
6452,2.22947,2.38055,-4.83655,NA,NA,-27.889,NA,NA,NA,NA,NA,NA,NA
6727,2.02005,1.43476,-4.55194,NA,NA,NA,NA,NA,-6.312,NA,NA,NA,NA
6872,1.51671,1.41211,-4.33696,NA,NA,-8.162,NA,NA,NA,NA,NA,NA,NA
7020,2.26132,1.60062,-3.70814,NA,NA,-27.031,NA,NA,NA,NA,NA,NA,NA
7244,1.77981,0.566746,-3.34989,NA,NA,NA,-100.405,NA,NA,NA,NA,NA,NA
7546,2.13833,0.91712,-4.69107,NA,NA,NA,NA,NA,NA,-55.657,NA,NA,NA
7604,1.748,1.33458,-4.35715,NA,NA,NA,-5.991,NA,NA,NA,NA,NA,NA
7936,2.92775,1.35248,-4.9568,NA,NA,-45.711,NA,NA,NA,NA,NA,NA,NA
8059,2.65741,1.32872,-4.59253,NA,NA,-34.012,NA,NA,NA,NA,NA,NA,NA
8310,2.36113,2.15139,-3.80201,NA,NA,NA,-32.155,NA,NA,NA,NA,NA,NA
8535,2.11045,1.84366,-4.47831,NA,NA,-12.82,NA,NA,NA,NA,NA,NA,NA
8626,1.72462,2.59721,-4.67509,NA,-38.612,NA,NA,NA,NA,NA,NA,NA,NA
8865,2.23029,1.76458,-4.63413,NA,NA,-13.584,NA,NA,NA,NA,NA,NA,NA
9076,1.91034,0.882284,-4.82539,NA,NA,-35.005,NA,NA,NA,NA,NA,NA,NA
9202,1.39798,1.49795,-4.0586,NA,NA,NA,-15.073,NA,NA,NA,NA,NA,NA
9425,2.78163,2.47657,-4.01486,NA,NA,-46.935,NA,NA,NA,NA,NA,NA,NA
9687,3.06475,1.58059,-4.43665,NA,NA,NA,NA,NA,-41.868,NA,NA,NA,NA
9865,3.00109,2.31587,-4.92496,NA,NA,-56.379,NA,NA,NA,NA,NA,NA,NA
10018,2.39663,1.22679,-4.65325,NA,NA,NA,NA,NA,NA,-41.937,NA,NA,NA
10228,2.07333,2.53027,-3.80779,NA,-57.918,NA,NA,NA,NA,NA,NA,NA,NA
10477,2.86874,2.42378,-4.4435,NA,NA,NA,-46.235,NA,NA,NA,NA,NA,NA
10717,2.7098,1.68533,-4.63163,NA,NA,NA,-28.932,NA,NA,NA,NA,NA,NA
10938,2.42972,0.75434,-4.69354,NA,NA,-49.332,NA,NA,NA,NA,NA,NA,NA
11184,1.93259,2.08645,-3.5198,NA,NA,-27.678,NA,NA,NA,NA,NA,NA,NA
11354,2.11365,1.34845,-4.29363,NA,NA,NA,NA,NA,-6.859,NA,NA,NA,NA
11401,2.42499,1.75149,-4.75119,NA,NA,NA,-22.512,NA,NA,NA,NA,NA,NA
11786,3.11812,2.44435,-4.17704,NA,NA,NA,-60.221,NA,NA,NA,NA,NA,NA
11975,2.69978,2.96297,-3.60557,NA,NA,NA,NA,NA,-74.836,NA,NA,NA,NA
12101,2.97603,2.34278,-4.64553,NA,-68.03,NA,NA,NA,NA,NA,NA,NA,NA
12360,1.95336,2.32967,-3.17623,NA,NA,NA,-50.001,NA,NA,NA,NA,NA,NA
12428,1.25747,2.53202,-4.25214,NA,NA,-35.131,NA,NA,NA,NA,NA,NA,NA
12780,-1.02469,2.13188,-4.72123,NA,NA,NA,-191.949,NA,NA,NA,NA,NA,NA
12855,0.917399,1.96735,-3.61212,NA,NA,NA,NA,NA,NA,-67.014,NA,NA,NA
13065,0.862598,1.44466,-4.76489,NA,NA,NA,NA,NA,NA,-70.021,NA,NA,NA
13310,1.9049,1.23003,-4.39389,NA,NA,NA,-22.208,NA,NA,NA,NA,NA,NA
13515,2.38199,2.19752,-4.50046,NA,NA,NA,NA,NA,-18.798,NA,NA,NA,NA
13607,1.21365,1.81966,-3.2191,NA,NA,NA,NA,NA,-46.675,NA,NA,NA,NA
13830,1.36168,1.57819,-3.03196,NA,NA,NA,-65.1,NA,NA,NA,NA,NA,NA
14059,1.3344,1.69862,-4.09708,NA,NA,NA,NA,NA,NA,NA,-58.413,NA,NA
14367,1.64551,2.04971,-4.92707,NA,NA,-18.959,NA,NA,NA,NA,NA,NA,NA
14488,2.23479,2.01622,-3.74816,NA,NA,NA,NA,NA,-20.076,NA,NA,NA,NA
14668,2.26349,1.59866,-3.05323,NA,NA,NA,NA,-110.761,NA,NA,NA,NA,NA
14886,1.96995,0.689878,-4.58068,NA,-57.386,NA,NA,NA,NA,NA,NA,NA,NA
15094,3.26247,1.36595,-3.49673,NA,NA,NA,-80.777,NA,NA,NA,NA,NA,NA
15204,1.82955,2.26075,-3.51882,NA,NA,-37.46,NA,NA,NA,NA,NA,NA,NA
15561,1.21348,1.63154,-4.82562,NA,NA,NA,NA,NA,-18.512,NA,NA,NA,NA
15676,0.504505,1.65908,-4.70407,NA,NA,NA,NA,NA,NA,NA,-106.132,NA,NA
15845,1.59026,2.74883,-4.96569,NA,NA,NA,NA,NA,-39.637,NA,NA,NA,NA
16040,1.83116,2.48174,-3.50001,NA,NA,NA,-39.152,NA,NA,NA,NA,NA,NA
16245,2.58433,2.54831,-4.36519,NA,NA,-46.686,NA,NA,NA,NA,NA,NA,NA
