id,x0,x1,x2,fitness-0.5,fitness-1.5,fitness-3,fitness-2.5,fitness-2,fitness-3.5,fitness-4,fitness-1
166,0.578191,4.16702,-2.65032,-431.905,NA,NA,NA,NA,NA,NA,NA
310,0.981417,2.91892,-3.58928,NA,-95.933,NA,NA,NA,NA,NA,NA
576,0.982093,2.41079,-4.97841,NA,NA,-47.5,NA,NA,NA,NA,NA
798,1.26906,2.00825,-4.82338,NA,NA,NA,-18.193,NA,NA,NA,NA
923,1.90023,2.20933,-4.01817,NA,NA,NA,-13.738,NA,NA,NA,NA
1052,1.97133,1.17488,-4.6551,NA,NA,NA,-13.222,NA,NA,NA,NA
1228,2.48593,1.78932,-3.83012,NA,NA,NA,NA,-28.297,NA,NA,NA
1513,2.04848,2.52575,-3.52532,NA,NA,-44.175,NA,NA,NA,NA,NA
1631,1.37883,1.65806,-4.46973,NA,NA,-11.935,NA,NA,NA,NA,NA
1858,1.41837,1.65484,-4.00609,NA,NA,NA,NA,-16.377,NA,NA,NA
2045,1.88786,1.85655,-4.59798,NA,NA,NA,-5.294,NA,NA,NA,NA
2214,2.17711,1.34268,-4.21589,NA,NA,NA,NA,-10.467,NA,NA,NA
2561,2.27597,2.17284,-4.82345,NA,NA,NA,-21.201,NA,NA,NA,NA
2763,2.27364,1.23831,-4.37891,NA,NA,-22.996,NA,NA,NA,NA,NA
2949,1.11141,2.11482,-4.74636,NA,NA,NA,NA,NA,-36.441,NA,NA
3106,1.51361,2.71214,-4.57116,NA,NA,-33.189,NA,NA,NA,NA,NA
3279,1.60874,2.0485,-4.42923,NA,NA,NA,NA,NA,-23.046,NA,NA
3413,1.39067,1.88468,-4.57898,NA,NA,-22.002,NA,NA,NA,NA,NA
3704,1.39419,1.60774,-4.87313,NA,NA,NA,-14.461,NA,NA,NA,NA
3873,3.01538,2.18506,-4.75419,NA,-57.1,NA,NA,NA,NA,NA,NA
4168,2.6025,1.58332,-4.46854,NA,NA,NA,-20.769,NA,NA,NA,NA
4267,1.69658,1.83362,-4.27371,NA,NA,NA,NA,NA,-24.639,NA,NA
4448,1.72663,1.38089,-4.52021,NA,-25.275,NA,NA,NA,NA,NA,NA
4662,1.43221,0.959078,-4.22816,NA,NA,NA,NA,NA,-46.722,NA,NA
4898,1.68354,1.72823,-4.31223,NA,NA,NA,-1.025,NA,NA,NA,NA
5023,2.26352,1.28299,-4.10954,NA,NA,NA,-14.037,NA,NA,NA,NA
5353,2.24824,1.60213,-4.48672,NA,NA,NA,NA,-10.657,NA,NA,NA
5596,1.8829,2.45298,-4.97769,NA,NA,-28.871,NA,NA,NA,NA,NA
5758,1.44845,1.43362,-4.62214,NA,NA,NA,-9.114,NA,NA,NA,NA
5844,1.47249,2.04921,-4.8959,NA,NA,-19.82,NA,NA,NA,NA,NA
6090,1.40355,1.19061,-4.72507,NA,NA,-21.617,NA,NA,NA,NA,NA
6334,0.79875,2.19215,-4.30658,NA,NA,NA,-34.058,NA,NA,NA,NA
6535,1.34718,2.18986,-4.52066,NA,NA,NA,NA,-16.784,NA,NA,NA
6606,1.26971,1.39054,-4.20331,NA,NA,NA,NA,-16.913,NA,NA,NA
6852,1.42768,2.14482,-4.80842,NA,NA,NA,-17.413,NA,NA,NA,NA
7014,2.15439,2.28047,-4.80655,NA,NA,NA,NA,NA,-34.209,NA,NA
7240,1.32305,1.43894,-4.58037,NA,NA,-15.093,NA,NA,NA,NA,NA
7512,1.57531,1.10806,-4.3952,NA,NA,-21.817,NA,NA,NA,NA,NA
7744,2.68223,0.936339,-3.83928,NA,NA,NA,NA,-55.192,NA,NA,NA
7971,2.87311,1.4162,-4.0666,NA,NA,-39.502,NA,NA,NA,NA,NA
8151,2.56215,1.89401,-4.50352,NA,NA,-20.813,NA,NA,NA,NA,NA
8235,1.17389,2.08714,-4.2191,NA,NA,NA,NA,NA,-29.833,NA,NA
8436,0.97921,1.30343,-4.28327,NA,NA,NA,NA,-39.46,NA,NA,NA
8615,2.66043,2.15204,-3.86818,NA,NA,NA,-33.858,NA,NA,NA,NA
8862,2.31767,2.26037,-4.10139,NA,NA,NA,-20.567,NA,NA,NA,NA
9186,1.25552,1.60528,-4.00492,NA,-52.354,NA,NA,NA,NA,NA,NA
9259,1.47642,1.41361,-4.44052,NA,NA,-14.167,NA,NA,NA,NA,NA
9514,2.00828,2.33786,-4.96709,NA,NA,NA,-24.378,NA,NA,NA,NA
9697,1.74501,1.35042,-4.47416,NA,NA,NA,-4.21,NA,NA,NA,NA
9860,2.64595,2.06764,-4.33743,NA,NA,NA,NA,-29.423,NA,NA,NA
10034,1.46334,2.48989,-4.83222,NA,NA,NA,NA,-37.538,NA,NA,NA
10355,1.79814,2.04679,-4.86952,NA,NA,NA,-13.761,NA,NA,NA,NA
10547,2.45755,2.14901,-4.66942,NA,NA,NA,NA,NA,-42.558,NA,NA
10752,1.99737,2.27783,-3.76682,NA,-46.226,NA,NA,NA,NA,NA,NA
10975,2.60223,2.2906,-3.78289,NA,-58.62,NA,NA,NA,NA,NA,NA
11087,1.33545,2.27753,-4.83222,NA,NA,NA,NA,-32.725,NA,NA,NA
11388,1.93313,1.44868,-4.93958,NA,NA,-18.268,NA,NA,NA,NA,NA
11542,2.70334,1.27965,-4.18701,NA,NA,NA,NA,NA,-49.111,NA,NA
11701,2.77502,1.15214,-4.10801,NA,NA,NA,-37.874,NA,NA,NA,NA
11875,2.4895,1.60527,-4.84899,NA,-37.312,NA,NA,NA,NA,NA,NA
12072,2.48058,1.59996,-4.8642,NA,NA,NA,NA,NA,-38.716,NA,NA
12356,2.3282,1.23172,-4.57794,NA,NA,NA,NA,NA,-39.07,NA,NA
12412,1.89016,0.976442,-4.32052,NA,NA,NA,-20.923,NA,NA,NA,NA
12604,2.30487,2.21453,-3.86917,NA,NA,NA,-22.208,NA,NA,NA,NA
12920,1.90338,1.94282,-3.32963,NA,NA,NA,-31.158,NA,NA,NA,NA
13086,1.75832,1.03053,-4.17788,NA,NA,-19.502,NA,NA,NA,NA,NA
13302,2.149,2.2016,-4.83741,NA,NA,-19.885,NA,NA,NA,NA,NA
13449,1.83688,1.28463,-4.90242,NA,NA,NA,-15.567,NA,NA,NA,NA
13800,1.58916,2.37466,-4.88609,NA,NA,NA,NA,-33.234,NA,NA,NA
13979,1.6209,2.02902,-4.4489,NA,NA,NA,NA,-9.795,NA,NA,NA
14177,1.68744,1.07592,-3.73732,NA,NA,NA,-26.916,NA,NA,NA,NA
14246,1.83226,1.12907,-4.50356,NA,NA,NA,-12.001,NA,NA,NA,NA
14450,1.94963,1.45013,-3.83618,NA,NA,-20.48,NA,NA,NA,NA,NA
14774,1.55512,1.39308,-3.49217,NA,NA,-35.294,NA,NA,NA,NA,NA
14938,1.70957,2.20559,-3.60007,NA,NA,NA,-23.509,NA,NA,NA,NA
15179,1.48132,2.31686,-4.68221,NA,NA,-20.165,NA,NA,NA,NA,NA
15339,1.53018,2.30969,-3.33322,NA,-61.619,NA,NA,NA,NA,NA,NA
15443,1.2075,1.92703,-4.83152,NA,-35.58,NA,NA,NA,NA,NA,NA
15685,1.8834,1.94322,-4.50466,NA,NA,NA,NA,-7.478,NA,NA,NA
