id,x0,x1,x2,fitness-2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5
106,3.06758,1.30379,-3.80529,-63.754,NA,NA,NA,NA
348,1.7639,2.20779,-4.84019,NA,-39.11,NA,NA,NA
465,2.56841,1.52043,-4.22157,NA,NA,-19.874,NA,NA
748,1.98069,1.26445,-4.03009,NA,NA,-9.869,NA,NA
933,2.85669,2.06897,-4.10606,NA,NA,-36.033,NA,NA
1026,1.90266,1.92706,-4.08621,NA,NA,NA,-18.824,NA
1242,2.71275,1.41933,-4.33774,-30.245,NA,NA,NA,NA
1551,1.90873,1.79755,-4.71828,NA,NA,-6.716,NA,NA
1638,2.05414,1.76299,-4.31187,NA,NA,NA,NA,-21.577
1820,1.15315,1.27921,-4.67178,-30.208,NA,NA,NA,NA
2184,2.25451,1.21311,-4.27644,NA,NA,-15.369,NA,NA
2362,2.01834,2.07161,-3.78856,NA,NA,-16.135,NA,NA
2496,2.01536,1.85312,-4.52766,NA,NA,NA,-16.192,NA
2607,1.83262,1.78453,-4.43344,-12.742,NA,NA,NA,NA
2987,1.62663,1.65984,-4.69284,NA,NA,NA,-14.49,NA
3124,2.07066,1.61926,-4.92542,NA,NA,-13.429,NA,NA
3258,2.29359,0.894275,-4.37162,-37.316,NA,NA,NA,NA
3576,1.62055,1.18532,-4.38271,NA,NA,-10.223,NA,NA
3751,2.13114,1.29867,-4.32595,NA,NA,NA,-19.635,NA
3958,1.92844,2.33132,-3.73421,NA,NA,NA,-24.421,NA
4165,1.42787,1.36411,-4.90099,NA,NA,NA,-23.7,NA
4266,1.91252,2.12748,-4.37694,-14.188,NA,NA,NA,NA
4554,2.03195,1.80689,-4.60121,-13.765,NA,NA,NA,NA
4778,2.4641,1.5857,-4.89999,NA,NA,-22.03,NA,NA
4873,2.52551,1.92247,-4.41202,NA,NA,NA,-20.357,NA
5050,1.72103,1.78519,-4.35679,-4.674,NA,NA,NA,NA
5335,1.95702,2.21718,-4.01127,NA,NA,NA,-14.691,NA
5488,2.32088,2.348,-4.5689,NA,NA,-23.077,NA,NA
5761,1.19819,1.84381,-4.72398,-19.965,NA,NA,NA,NA
5942,1.74854,1.41564,-4.90952,-21.52,NA,NA,NA,NA
6152,1.79844,2.00599,-4.16994,NA,NA,-6.976,NA,NA
6336,1.7024,1.04366,-4.88457,-44.309,NA,NA,NA,NA
6454,1.29195,2.11115,-4.80218,-24.338,NA,NA,NA,NA
6690,2.27753,1.87567,-4.97131,NA,NA,NA,-31.311,NA
6945,1.50582,2.24656,-4.4813,NA,NA,-13.217,NA,NA
7013,2.20171,2.2779,-4.42825,NA,NA,NA,-27.296,NA
7288,2.13836,1.5786,-4.696,-15.765,NA,NA,NA,NA
7563,2.12424,2.12784,-4.0168,-15.227,NA,NA,NA,NA
7737,2.29749,1.54239,-4.19328,NA,NA,NA,-13.659,NA
7989,1.61071,2.11925,-3.71951,-22.101,NA,NA,NA,NA
8158,2.26524,1.75402,-4.45335,-13.8,NA,NA,NA,NA
8347,1.52339,2.32322,-4.08154,NA,NA,NA,-18.393,NA
8422,1.09912,1.55226,-4.65502,NA,NA,-20.257,NA,NA
8726,1.12011,1.91884,-4.70174,NA,NA,-19.199,NA,NA
8842,2.07906,1.69263,-4.44328,NA,NA,-4.112,NA,NA
9190,2.30446,1.33037,-4.84977,NA,NA,NA,-25.435,NA
9371,1.56413,1.49167,-4.28151,NA,NA,NA,-9.189,NA
9593,2.04721,2.91363,-4.00004,NA,NA,-42.774,NA,NA
9767,3.10233,2.08161,-4.46227,NA,NA,NA,-47.996,NA
9825,2.5545,1.15129,-4.37513,NA,NA,-28.735,NA,NA
10179,2.14794,2.07463,-3.90828,NA,NA,NA,-24.603,NA
10380,1.53796,1.53138,-4.47007,NA,NA,NA,NA,-21.905
10422,1.86678,1.76992,-4.8003,NA,NA,NA,-10.385,NA
10730,1.33696,1.43841,-4.98189,NA,NA,NA,-23.153,NA
10945,2.04565,1.38092,-4.02562,NA,NA,-7.665,NA,NA
11106,2.15467,1.84463,-4.47792,-9.745,NA,NA,NA,NA
11381,2.17552,1.41257,-4.69802,NA,NA,-12.275,NA,NA
11420,2.26843,1.16256,-4.66913,NA,NA,NA,-21.021,NA
11659,2.59228,1.36181,-4.79019,NA,NA,-27.82,NA,NA
11892,1.34014,1.62373,-4.57999,NA,NA,-9.66,NA,NA
12103,1.5953,1.76679,-4.65231,NA,NA,-5.717,NA,NA
12249,2.08034,1.21127,-3.90685,-21.426,NA,NA,NA,NA
12517,1.82153,1.00222,-4.12714,NA,NA,-19.684,NA,NA
12645,1.52581,1.74432,-4.37656,NA,NA,NA,-5.742,NA
12914,2.15075,1.87881,-4.50679,NA,NA,-7.604,NA,NA
13161,1.77648,2.33256,-4.77655,-25.39,NA,NA,NA,NA
13347,1.67204,1.92702,-4.05009,-8.752,NA,NA,NA,NA
13578,2.00847,1.51,-3.55578,NA,-39.944,NA,NA,NA
13703,1.86989,1.57276,-4.19089,-18.18,NA,NA,NA,NA
13808,2.15087,2.04409,-3.90535,NA,NA,NA,-18.339,NA
14037,1.69024,1.5729,-4.22104,NA,NA,NA,-13.342,NA
14287,2.11665,1.47224,-3.40861,NA,NA,-30.385,NA,NA
14518,1.88489,1.46398,-4.40025,NA,NA,NA,-9.915,NA
14718,2.08086,1.80876,-4.82519,NA,NA,NA,-12.762,NA
14869,1.17109,1.75712,-4.61016,NA,NA,-15.514,NA,NA
15052,1.93168,1.72594,-4.75738,NA,NA,NA,-11.858,NA
15330,1.28756,1.78504,-4.66862,-23.396,NA,NA,NA,NA
15462,1.95653,0.995494,-4.50781,NA,NA,-19.102,NA,NA
15627,2.10353,1.18304,-4.81681,NA,NA,-19.135,NA,NA
15829,1.97765,1.54167,-4.76929,-11.439,NA,NA,NA,NA
16151,1.77033,1.27393,-4.74017,NA,NA,NA,-19.338,NA
16310,2.0804,2.04261,-4.64824,NA,NA,NA,-14.375,NA
16484,1.99687,1.80234,-4.49376,NA,NA,NA,-6.608,NA
16622,1.52296,1.8471,-3.78782,NA,NA,NA,-16.392,NA
16965,1.52108,1.84646,-3.88373,NA,NA,NA,-12.365,NA
17168,2.17743,1.78823,-4.75328,NA,NA,NA,NA,-35.829
17232,2.80255,2.43407,-4.02096,NA,NA,NA,-55.677,NA
17522,2.20647,1.91871,-4.93085,NA,NA,-17.32,NA,NA
17657,1.66307,1.48293,-4.73041,NA,NA,NA,-11.159,NA
17874,1.07207,2.27881,-3.91671,NA,NA,-29.271,NA,NA
18093,1.47247,1.96278,-3.6481,NA,NA,-20.106,NA,NA
18270,1.73466,2.07151,-4.56201,NA,NA,-8.469,NA,NA
18449,1.11879,2.42309,-4.89698,NA,NA,-33.988,NA,NA
18604,2.09784,2.02601,-4.68671,NA,NA,-11.935,NA,NA
18941,2.50399,1.56699,-4.96448,NA,NA,-25.613,NA,NA
19163,1.77281,2.36687,-4.03261,NA,NA,NA,-19.586,NA
19375,1.59655,2.45095,-4.78073,NA,NA,-23.432,NA,NA
19560,2.11611,2.02571,-4.76884,-14.6,NA,NA,NA,NA
19781,1.37764,1.47243,-4.6572,-17.191,NA,NA,NA,NA
19845,2.09361,1.49452,-4.77701,NA,NA,-10.312,NA,NA
20057,1.308,1.65864,-4.70995,NA,NA,NA,-19.882,NA
20373,1.22089,1.93855,-4.60272,NA,NA,-14.37,NA,NA
20417,1.66592,1.94687,-3.89777,NA,NA,NA,-15.644,NA
20654,1.71122,2.45439,-4.49497,NA,NA,NA,NA,-31.355
20816,1.45233,1.80077,-3.81022,NA,NA,NA,NA,-36.192
21010,1.95672,1.91216,-4.87884,NA,NA,NA,-15.248,NA
21275,1.73791,1.38219,-4.5265,NA,NA,NA,-12.718,NA
21525,1.03727,1.26646,-4.68458,NA,NA,-32.789,NA,NA
21681,1.86016,1.4188,-4.10448,NA,NA,-4.063,NA,NA
21812,2.51971,1.98021,-4.67491,NA,NA,NA,-26.053,NA
22078,2.11042,1.7071,-4.29237,NA,NA,-4.153,NA,NA
22394,2.44912,1.59228,-4.70297,NA,NA,NA,-18.619,NA
22501,2.17175,1.98552,-4.72767,NA,NA,-12.707,NA,NA
22624,2.33268,1.18822,-4.23883,-26.631,NA,NA,NA,NA
22974,1.98442,1.40672,-4.45183,NA,NA,-3.836,NA,NA
23169,1.04197,1.9546,-4.65132,NA,NA,-21.881,NA,NA
23367,1.90705,1.64852,-4.5316,NA,NA,-2.467,NA,NA
