id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-1.5,fitness-1,fitness-3,fitness-2,fitness-4.5,fitness-0.5,fitness0,fitness-4,fitness-5,fitness0.5
12,-0.332559,2.57225,-4.02085,-132.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,-1.49449,1.7312,-2.85411,NA,-350.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,-0.529529,2.13503,-4.54037,NA,NA,-151.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,-0.208714,2.16132,-2.94794,NA,NA,NA,-262.154,NA,NA,NA,NA,NA,NA,NA,NA
854,0.94041,1.27012,-3.03668,NA,NA,NA,NA,-76.582,NA,NA,NA,NA,NA,NA,NA
1099,1.18428,1.65358,-4.56232,NA,-13.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255,1.46411,1.55853,-4.46421,NA,NA,-24.826,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,1.64247,2.98664,-4.54714,NA,NA,NA,NA,NA,-44.452,NA,NA,NA,NA,NA,NA
1737,-0.219806,3.04164,-4.54179,NA,-126.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,0.846885,3.08968,-4.46166,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2085,0.059742,2.10487,-4.92209,NA,NA,NA,NA,NA,NA,-154.723,NA,NA,NA,NA,NA
2381,-0.59381,2.83346,-3.99819,NA,NA,NA,NA,-162.515,NA,NA,NA,NA,NA,NA,NA
2596,0.370068,2.24763,-4.96356,NA,NA,-89.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
2740,0.952086,3.70439,-4.20098,NA,-106.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2914,0.577865,3.33137,-4.42597,NA,NA,NA,NA,NA,-96.637,NA,NA,NA,NA,NA,NA
3130,1.16075,2.81912,-4.57165,NA,-42.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3336,0.775161,2.01196,-2.55897,NA,-111.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3547,1.05328,2.93392,-3.97197,NA,NA,NA,NA,NA,-57.184,NA,NA,NA,NA,NA,NA
3742,1.27053,1.21952,-4.33125,NA,NA,NA,NA,-23.79,NA,NA,NA,NA,NA,NA,NA
3847,0.611615,0.185696,-3.92116,NA,-216.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4180,-0.700094,1.91087,-4.59766,NA,NA,NA,-215.891,NA,NA,NA,NA,NA,NA,NA,NA
4269,0.571736,1.87322,-4.8241,NA,NA,NA,NA,-50.883,NA,NA,NA,NA,NA,NA,NA
4556,1.12108,1.90267,-4.57974,-41.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4762,1.09006,2.51222,-4.4588,NA,NA,NA,NA,NA,-33.514,NA,NA,NA,NA,NA,NA
4963,2.01799,2.73618,-3.50825,NA,NA,-64.628,NA,NA,NA,NA,NA,NA,NA,NA,NA
5109,1.11432,3.19825,-4.97757,NA,NA,NA,-114.187,NA,NA,NA,NA,NA,NA,NA,NA
5367,1.68449,2.75157,-4.46039,NA,NA,NA,-81.263,NA,NA,NA,NA,NA,NA,NA,NA
5409,2.29445,3.93458,-4.74471,NA,NA,NA,NA,NA,-122.159,NA,NA,NA,NA,NA,NA
5690,1.41195,3.96464,-4.51798,NA,NA,NA,NA,NA,-128.304,NA,NA,NA,NA,NA,NA
5828,1.99916,4.17475,-3.82849,NA,-144.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6072,2.98416,3.42309,-4.97146,NA,NA,NA,NA,-117.037,NA,NA,NA,NA,NA,NA,NA
6341,2.91946,2.33684,-4.01858,NA,NA,NA,NA,NA,-55.532,NA,NA,NA,NA,NA,NA
6403,2.36662,1.15611,-2.97925,NA,NA,NA,NA,-74.325,NA,NA,NA,NA,NA,NA,NA
6707,3.01099,1.71054,-3.18578,NA,-80.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6886,2.7442,1.6147,-2.59703,-168.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7191,3.80152,1.57956,-3.24263,NA,-143.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7390,2.87164,0.699232,-3.53796,NA,NA,-104.193,NA,NA,NA,NA,NA,NA,NA,NA,NA
7589,1.71882,2.35071,-3.63953,NA,NA,NA,NA,NA,-32.791,NA,NA,NA,NA,NA,NA
7755,2.11191,3.04564,-4.21663,NA,NA,NA,NA,NA,-53.125,NA,NA,NA,NA,NA,NA
7846,2.29066,2.86202,-4.72725,NA,NA,NA,NA,-47.225,NA,NA,NA,NA,NA,NA,NA
8087,1.64507,3.86615,-4.42116,NA,NA,NA,NA,-109.619,NA,NA,NA,NA,NA,NA,NA
8298,1.51182,3.78116,-4.65754,NA,NA,NA,NA,NA,NA,NA,-184.301,NA,NA,NA,NA
8420,2.03274,4.08312,-4.12719,NA,NA,NA,NA,NA,NA,NA,NA,-255.3,NA,NA,NA
8774,2.40215,3.09482,-4.13858,NA,NA,NA,NA,NA,NA,NA,NA,-190.675,NA,NA,NA
8886,1.7612,1.42878,-4.34922,NA,-2.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9001,1.2934,1.18649,-4.8728,NA,NA,NA,NA,NA,-40.654,NA,NA,NA,NA,NA,NA
9261,2.39516,1.30497,-4.76199,NA,NA,NA,NA,NA,-28.999,NA,NA,NA,NA,NA,NA
9429,1.41935,1.67357,-3.58882,NA,NA,NA,NA,NA,NA,NA,-124.104,NA,NA,NA,NA
9774,0.571637,0.203582,-3.10607,NA,-254.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9831,2.01629,0.732529,-3.90299,NA,-46.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10167,2.47072,1.62763,-3.92139,NA,NA,NA,NA,-30.753,NA,NA,NA,NA,NA,NA,NA
10303,1.48014,1.3837,-3.50807,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.162,NA,NA
10483,2.06344,0.738866,-4.25801,NA,NA,NA,NA,NA,NA,-100.826,NA,NA,NA,NA,NA
10604,2.42892,2.18876,-4.45081,-50.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10954,0.533727,1.93827,-4.11833,NA,NA,NA,NA,-45.853,NA,NA,NA,NA,NA,NA,NA
11186,2.24771,1.69449,-3.75715,-33.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11397,0.949849,1.70899,-4.79041,-43.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11485,0.362539,1.46858,-4.7888,NA,-64.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11753,1.87184,0.6797,-4.26568,-61.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
