id,x0,x1,x2,fitness-3.5,fitness-2,fitness-1.5,fitness-0.5,fitness-2.5,fitness-3,fitness-4,fitness-1,fitness-5,fitness-4.5
181,0.816232,1.50445,-3.577,-61.152,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,1.28179,1.10164,-4.33841,NA,-36.692,NA,NA,NA,NA,NA,NA,NA,NA
446,1.21828,1.85651,-3.3457,NA,-43.581,NA,NA,NA,NA,NA,NA,NA,NA
619,1.94316,0.710411,-4.78834,NA,NA,-70.136,NA,NA,NA,NA,NA,NA,NA
918,2.57415,0.862601,-4.94292,NA,NA,NA,-145.07,NA,NA,NA,NA,NA,NA
1141,2.86647,1.89726,-3.56185,NA,NA,NA,NA,-49.507,NA,NA,NA,NA,NA
1247,2.73313,2.59317,-4.56239,NA,NA,NA,NA,NA,-45.804,NA,NA,NA,NA
1547,3.14878,1.76505,-3.27006,NA,-83.233,NA,NA,NA,NA,NA,NA,NA,NA
1790,2.64254,2.16847,-3.54908,NA,-49.869,NA,NA,NA,NA,NA,NA,NA,NA
1939,1.73073,1.07488,-3.89977,NA,NA,NA,NA,-22.624,NA,NA,NA,NA,NA
2142,1.34864,1.43786,-4.41711,NA,-17.825,NA,NA,NA,NA,NA,NA,NA,NA
2293,1.34149,2.67689,-4.60376,NA,-37.804,NA,NA,NA,NA,NA,NA,NA,NA
2484,2.05193,2.22286,-4.96929,NA,NA,-36.289,NA,NA,NA,NA,NA,NA,NA
2628,1.31044,2.64501,-4.79193,NA,-41.291,NA,NA,NA,NA,NA,NA,NA,NA
2959,2.67054,2.19685,-4.38077,NA,NA,NA,NA,NA,-35.961,NA,NA,NA,NA
3053,2.19015,1.87464,-4.65266,NA,NA,NA,NA,-11.437,NA,NA,NA,NA,NA
3256,2.04596,2.01489,-3.98526,NA,NA,-42.003,NA,NA,NA,NA,NA,NA,NA
3497,1.16268,2.89136,-4.42341,NA,NA,NA,NA,NA,-46.767,NA,NA,NA,NA
3713,1.01428,2.05283,-4.65996,NA,NA,NA,NA,NA,-25.379,NA,NA,NA,NA
