id,x0,x1,x2,fitness-3,fitness-2,fitness-2.5,fitness-3.5,fitness-1.5,fitness-4
75,4.13431,2.71882,-4.21657,-157.895,NA,NA,NA,NA,NA
262,3.03767,2.40857,-3.79739,NA,-63.375,NA,NA,NA,NA
575,1.07202,2.95159,-3.97202,-54.945,NA,NA,NA,NA,NA
748,1.97193,2.45626,-4.96793,-32.43,NA,NA,NA,NA,NA
945,2.42855,1.91929,-4.44624,NA,NA,-15.002,NA,NA,NA
1162,2.21726,2.1575,-4.50736,NA,NA,NA,-28.124,NA,NA
1290,1.95609,1.79043,-4.68576,NA,-9.001,NA,NA,NA,NA
1598,2.02699,1.74294,-4.85204,-14.074,NA,NA,NA,NA,NA
1779,2.15598,1.96036,-4.29514,NA,NA,-8.555,NA,NA,NA
2000,1.66167,2.13648,-4.87222,-19.374,NA,NA,NA,NA,NA
2124,1.4344,1.21191,-4.52824,NA,NA,-13.424,NA,NA,NA
2305,1.7742,2.0072,-4.30972,NA,-13.874,NA,NA,NA,NA
2481,1.53688,1.72999,-4.0309,NA,-7.1,NA,NA,NA,NA
2637,1.65897,1.68312,-4.92541,NA,NA,-12.241,NA,NA,NA
2953,2.14721,1.34864,-4.12267,NA,NA,-8.39,NA,NA,NA
3149,1.32327,1.65232,-4.21835,NA,NA,-7.053,NA,NA,NA
3375,1.42529,1.87732,-4.50122,-10.563,NA,NA,NA,NA,NA
3458,1.80943,1.29319,-4.14006,-8.275,NA,NA,NA,NA,NA
3797,1.62378,1.6388,-4.24912,NA,NA,-1.461,NA,NA,NA
3895,2.10492,1.78905,-3.97901,NA,-15.212,NA,NA,NA,NA
4062,2.14525,2.03563,-4.0514,NA,-13.908,NA,NA,NA,NA
4370,1.25539,1.1087,-4.72666,NA,-42.358,NA,NA,NA,NA
4584,2.49258,1.95959,-3.98109,NA,NA,-20.378,NA,NA,NA
4797,2.64205,1.40411,-4.58108,NA,NA,-25.446,NA,NA,NA
4989,2.33451,0.819562,-4.43802,-40.088,NA,NA,NA,NA,NA
5063,2.16903,1.57291,-4.34995,NA,NA,NA,-24.311,NA,NA
5356,0.85494,1.82174,-3.84693,NA,-40.219,NA,NA,NA,NA
5574,1.32408,2.00639,-4.27203,NA,-20.161,NA,NA,NA,NA
5649,1.65522,1.59601,-4.23292,NA,NA,-1.849,NA,NA,NA
5845,1.75996,2.1869,-3.98675,NA,-17.104,NA,NA,NA,NA
6156,1.79614,1.97979,-4.36668,NA,NA,-4.555,NA,NA,NA
6296,2.05233,2.6368,-4.69546,NA,NA,-28.853,NA,NA,NA
6480,1.96407,0.986525,-4.67361,NA,NA,-22.628,NA,NA,NA
6619,1.79107,1.21419,-4.22929,NA,NA,-7.988,NA,NA,NA
6967,1.49156,1.71606,-4.94761,-17.561,NA,NA,NA,NA,NA
7105,2.06104,1.83302,-4.28804,-15.869,NA,NA,NA,NA,NA
7371,1.81366,1.61929,-4.13327,-13.144,NA,NA,NA,NA,NA
7485,2.16653,1.45747,-4.25332,NA,NA,-7.186,NA,NA,NA
7694,1.45974,1.99492,-4.91784,NA,-20.79,NA,NA,NA,NA
7856,1.64262,1.33283,-4.709,NA,NA,-10.212,NA,NA,NA
8133,1.49889,1.86083,-4.64627,-18.151,NA,NA,NA,NA,NA
8325,2.13456,1.95431,-4.01944,NA,NA,-9.691,NA,NA,NA
8524,1.00278,2.3309,-3.89667,NA,NA,-34.413,NA,NA,NA
8698,2.23247,1.25776,-4.2583,NA,NA,-12.312,NA,NA,NA
8869,1.46852,2.13008,-4.96185,-22.826,NA,NA,NA,NA,NA
9156,1.47774,1.9416,-4.68397,-15.01,NA,NA,NA,NA,NA
9225,1.14125,2.32505,-4.67587,NA,NA,-25.512,NA,NA,NA
9463,1.62684,1.58505,-4.38236,NA,-8.539,NA,NA,NA,NA
9645,2.18667,1.26717,-4.72139,-17.146,NA,NA,NA,NA,NA
9845,1.26602,1.41126,-4.29849,-24.434,NA,NA,NA,NA,NA
10078,1.38599,1.64683,-4.66443,NA,NA,-10.037,NA,NA,NA
10300,2.01448,1.76079,-4.87404,NA,NA,-11.485,NA,NA,NA
10430,2.03971,1.49523,-4.45417,NA,NA,-4.169,NA,NA,NA
10791,1.4392,1.89657,-4.31997,-13.359,NA,NA,NA,NA,NA
10892,1.18207,1.45055,-4.43936,NA,NA,NA,-31.706,NA,NA
11173,1.95681,1.81894,-4.97536,NA,NA,-14.853,NA,NA,NA
11253,2.02343,1.60088,-4.65367,-7.58,NA,NA,NA,NA,NA
11568,1.58621,1.63388,-4.82789,NA,NA,NA,-25.006,NA,NA
11629,2.24237,1.09901,-4.27389,NA,NA,-18.596,NA,NA,NA
11867,1.68374,1.40354,-3.5981,NA,-28.046,NA,NA,NA,NA
12076,1.63341,0.876228,-4.58931,NA,NA,-31.683,NA,NA,NA
12322,1.53759,2.18555,-4.37231,-15.578,NA,NA,NA,NA,NA
12408,2.09114,2.21047,-4.4847,-24.929,NA,NA,NA,NA,NA
12794,1.85029,2.14721,-4.00971,NA,NA,-10.785,NA,NA,NA
12918,1.94046,1.69784,-3.96012,NA,NA,-5.625,NA,NA,NA
13054,1.24006,1.94281,-4.23195,NA,-24.046,NA,NA,NA,NA
13204,1.56928,1.79026,-4.38907,NA,NA,-2.821,NA,NA,NA
13493,1.92501,1.56728,-3.63844,NA,-19.027,NA,NA,NA,NA
13639,1.67877,1.53692,-4.40223,NA,NA,-0.693,NA,NA,NA
13964,1.54519,1.99815,-3.60804,-26.329,NA,NA,NA,NA,NA
14093,2.48204,1.66305,-3.9243,NA,-21.745,NA,NA,NA,NA
14298,1.93945,1.47592,-4.09566,NA,NA,-3.766,NA,NA,NA
14434,2.4421,1.14496,-4.4948,-24.463,NA,NA,NA,NA,NA
14644,1.97619,2.15943,-4.83037,NA,NA,-15.344,NA,NA,NA
14892,1.17801,2.1037,-4.62279,NA,NA,-18.44,NA,NA,NA
15171,1.25342,1.84497,-4.49624,NA,NA,-11.588,NA,NA,NA
15380,1.84899,1.3964,-3.86942,NA,NA,-10.386,NA,NA,NA
15457,1.92066,1.73316,-4.71363,NA,NA,-7.898,NA,NA,NA
15636,1.44497,1.84428,-4.84475,NA,NA,-12.978,NA,NA,NA
15900,1.97665,2.35019,-4.61482,NA,NA,-17.643,NA,NA,NA
16032,1.93656,1.76518,-4.60989,NA,NA,-6.044,NA,NA,NA
16254,2.1573,1.81118,-4.29167,-9.621,NA,NA,NA,NA,NA
