id,x0,x1,x2,fitness-4.5,fitness-4,fitness-3.5,fitness-2.5,fitness-1.5,fitness-2,fitness-3,fitness-0.5,fitness-1,fitness-5,fitness0,fitness0.5
129,1.94578,-2.62211,-4.28052,-1079.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,1.20132,-2.38679,-4.53638,NA,-1115.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,0.928626,0.824498,-4.98517,-129.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,0.28521,0.43489,-4.80398,-206.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,0.999047,0.225358,-3.80938,NA,NA,-163.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
1134,1.97078,0.593601,-3.37225,NA,NA,-94.656,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,3.52583,1.34294,-4.01043,NA,-113.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,3.07512,0.270932,-2.6816,NA,NA,NA,-186.276,NA,NA,NA,NA,NA,NA,NA,NA
1647,4.64408,1.45043,-3.21128,NA,NA,NA,NA,-240.41,NA,NA,NA,NA,NA,NA,NA
1978,3.66715,2.32429,-4.35514,NA,NA,NA,NA,NA,-92.337,NA,NA,NA,NA,NA,NA
2004,2.91104,2.83454,-3.60567,NA,NA,-107.624,NA,NA,NA,NA,NA,NA,NA,NA,NA
2332,2.00432,2.78456,-4.41977,NA,NA,NA,NA,NA,NA,-39.228,NA,NA,NA,NA,NA
2502,1.68976,2.91472,-4.90465,NA,NA,NA,NA,NA,NA,-51.95,NA,NA,NA,NA,NA
2669,3.25993,0.490857,-4.05222,NA,NA,NA,NA,-119.8,NA,NA,NA,NA,NA,NA,NA
2841,3.64002,0.499964,-3.44311,NA,NA,NA,NA,-167.468,NA,NA,NA,NA,NA,NA,NA
3039,2.17683,1.82179,-4.57047,NA,NA,NA,NA,NA,NA,-9.589,NA,NA,NA,NA,NA
3201,3.405,0.983941,-4.9847,NA,NA,NA,NA,NA,-89.863,NA,NA,NA,NA,NA,NA
3472,3.11523,0.994314,-4.07385,NA,NA,NA,NA,NA,NA,-62.637,NA,NA,NA,NA,NA
3781,0.907813,1.8666,-4.40585,NA,NA,NA,NA,NA,NA,NA,-132.779,NA,NA,NA,NA
