id,x0,x1,x2,fitness-2,fitness-2.5,fitness-3,fitness-1.5,fitness-3.5,fitness-4,fitness-4.5,fitness-1,fitness-0.5,fitness-5
114,-0.102811,2.87478,-4.13969,-115.932,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,-0.85658,2.71534,-4.89805,NA,-178.243,NA,NA,NA,NA,NA,NA,NA,NA
407,-1.42381,2.60749,-4.53978,-250.926,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,-0.0965412,1.21894,-4.55865,-119.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
954,0.807718,3.53847,-4.40025,NA,NA,-105.343,NA,NA,NA,NA,NA,NA,NA
1096,1.09763,2.56813,-4.3407,NA,-32.727,NA,NA,NA,NA,NA,NA,NA,NA
1349,1.78463,2.08803,-3.68336,NA,-19.47,NA,NA,NA,NA,NA,NA,NA,NA
1574,2.38096,1.86569,-3.16161,NA,NA,-54.676,NA,NA,NA,NA,NA,NA,NA
1619,2.78768,2.13303,-4.97984,-50.478,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,3.41306,2.30813,-4.48276,-72.077,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130,2.96292,3.13021,-3.99305,NA,NA,NA,-105.796,NA,NA,NA,NA,NA,NA
2281,2.73272,2.09427,-4.84584,NA,NA,NA,-55.866,NA,NA,NA,NA,NA,NA
2402,1.43506,2.40689,-4.97216,NA,NA,NA,-51.349,NA,NA,NA,NA,NA,NA
2732,1.64136,2.04874,-4.75497,NA,NA,NA,-29.149,NA,NA,NA,NA,NA,NA
2937,1.60888,2.81885,-4.50312,-40.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
3198,2.4462,2.23531,-3.96913,NA,-24.775,NA,NA,NA,NA,NA,NA,NA,NA
3288,3.0652,2.3162,-4.278,NA,NA,NA,-78.928,NA,NA,NA,NA,NA,NA
3591,2.1139,2.36981,-3.62932,-34.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
3759,1.94934,2.28367,-4.93064,NA,NA,NA,-40.647,NA,NA,NA,NA,NA,NA
3802,1.37241,2.00235,-4.61648,NA,NA,NA,NA,-31.43,NA,NA,NA,NA,NA
4081,0.731447,1.71938,-3.97528,NA,NA,-41.576,NA,NA,NA,NA,NA,NA,NA
4229,1.74813,2.69907,-3.49337,-48.943,NA,NA,NA,NA,NA,NA,NA,NA,NA
4450,1.6839,2.06251,-4.18748,-8.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
4741,0.920367,2.7122,-4.66274,NA,NA,NA,NA,-71.515,NA,NA,NA,NA,NA
4857,0.999429,2.05882,-4.1006,NA,NA,NA,NA,NA,-57.858,NA,NA,NA,NA
5123,1.55809,1.31163,-4.67963,NA,NA,NA,NA,-29.461,NA,NA,NA,NA,NA
5301,1.56924,1.49989,-3.94645,NA,-7.304,NA,NA,NA,NA,NA,NA,NA,NA
5522,1.47641,1.86348,-3.93569,-11.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
5601,1.21527,2.31947,-3.52955,-51.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
5854,2.39288,1.95293,-4.15768,NA,-15.091,NA,NA,NA,NA,NA,NA,NA,NA
6044,1.9398,1.41514,-4.58061,NA,NA,NA,NA,-27.353,NA,NA,NA,NA,NA
6289,1.15222,0.614533,-3.85599,NA,NA,NA,NA,NA,NA,-163.783,NA,NA,NA
6538,1.32958,1.20155,-3.32386,NA,NA,NA,NA,-63.738,NA,NA,NA,NA,NA
6613,1.49275,2.45055,-4.1861,-21.792,NA,NA,NA,NA,NA,NA,NA,NA,NA
6945,1.56056,1.89213,-4.5757,NA,NA,-17.18,NA,NA,NA,NA,NA,NA,NA
7133,2.40807,1.49841,-4.95077,NA,-22.81,NA,NA,NA,NA,NA,NA,NA,NA
7290,1.83366,1.9248,-4.84231,NA,NA,-18.368,NA,NA,NA,NA,NA,NA,NA
7486,1.64623,2.55014,-4.37698,NA,NA,NA,NA,-33.977,NA,NA,NA,NA,NA
7657,1.17102,1.99206,-4.46514,NA,-15.341,NA,NA,NA,NA,NA,NA,NA,NA
7930,2.12288,1.50772,-4.29815,-10.856,NA,NA,NA,NA,NA,NA,NA,NA,NA
8066,2.95197,1.42508,-3.92694,NA,-42.467,NA,NA,NA,NA,NA,NA,NA,NA
8327,2.31335,0.950195,-4.37243,NA,-28.469,NA,NA,NA,NA,NA,NA,NA,NA
8518,1.69549,1.37092,-4.72687,NA,-9.014,NA,NA,NA,NA,NA,NA,NA,NA
8677,2.73435,1.4493,-3.4728,-51.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
8816,2.11683,1.42165,-3.99251,NA,NA,NA,NA,NA,NA,NA,-58.826,NA,NA
9015,1.9843,1.01233,-4.44291,-36.231,NA,NA,NA,NA,NA,NA,NA,NA,NA
9232,2.28972,1.55143,-4.36416,-18.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
