id,x0,x1,x2,fitness-3.5,fitness-2,fitness-3,fitness-2.5,fitness-1.5,fitness-1,fitness-4,fitness-0.5
101,2.13946,1.9649,-4.01991,-38.316,NA,NA,NA,NA,NA,NA,NA
276,1.41345,2.11492,-4.89796,NA,-24.052,NA,NA,NA,NA,NA,NA
517,0.687451,1.76545,-4.47404,NA,NA,-43.054,NA,NA,NA,NA,NA
621,1.40097,2.50504,-4.40203,NA,NA,-29.063,NA,NA,NA,NA,NA
901,2.56815,2.00546,-3.72873,NA,NA,NA,-31.581,NA,NA,NA,NA
1068,1.43615,1.88707,-4.45565,NA,-15.855,NA,NA,NA,NA,NA,NA
1233,1.79597,1.56794,-3.99632,NA,NA,NA,NA,-24.602,NA,NA,NA
1439,2.66467,1.2404,-4.64463,NA,-38.096,NA,NA,NA,NA,NA,NA
1800,1.34003,1.99846,-4.23691,NA,NA,NA,-10.069,NA,NA,NA,NA
1815,1.76763,1.92166,-4.20868,NA,NA,NA,-3.701,NA,NA,NA,NA
2095,2.43378,2.94788,-3.59359,NA,-65.264,NA,NA,NA,NA,NA,NA
2283,2.42902,2.12283,-3.64799,NA,-39.41,NA,NA,NA,NA,NA,NA
2517,2.00565,1.41766,-4.99833,NA,NA,-19.849,NA,NA,NA,NA,NA
2612,1.23781,2.50563,-3.78504,NA,NA,NA,-33.285,NA,NA,NA,NA
2938,1.17964,2.45142,-3.78589,NA,-39.9,NA,NA,NA,NA,NA,NA
3112,1.29122,1.32462,-3.93994,NA,-21.627,NA,NA,NA,NA,NA,NA
3233,1.05662,2.69463,-4.3623,NA,NA,NA,-39.148,NA,NA,NA,NA
3577,1.62884,2.12536,-3.66382,NA,NA,-26.936,NA,NA,NA,NA,NA
3651,2.07735,2.23048,-3.56024,-42.263,NA,NA,NA,NA,NA,NA,NA
3802,2.33193,1.77692,-3.67754,-43.602,NA,NA,NA,NA,NA,NA,NA
4039,1.20177,1.85698,-4.61061,NA,-19.671,NA,NA,NA,NA,NA,NA
4297,1.40233,1.3292,-4.83062,NA,NA,-21.24,NA,NA,NA,NA,NA
4431,0.938127,1.83613,-4.90722,NA,NA,-33.216,NA,NA,NA,NA,NA
4723,2.3558,0.930082,-4.59046,NA,NA,NA,-34.95,NA,NA,NA,NA
4929,1.22216,1.50964,-4.30306,NA,NA,NA,NA,-36.341,NA,NA,NA
5080,2.1074,2.57698,-4.49283,NA,NA,-26.77,NA,NA,NA,NA,NA
5359,1.67494,2.16261,-4.53875,NA,NA,-12.792,NA,NA,NA,NA,NA
5469,2.23599,1.82292,-3.74848,NA,-23.399,NA,NA,NA,NA,NA,NA
5655,2.21146,2.12708,-4.22333,NA,-18.734,NA,NA,NA,NA,NA,NA
5925,1.63884,1.26879,-4.96894,NA,NA,-33.3,NA,NA,NA,NA,NA
6023,2.53036,2.29759,-4.49842,NA,-32.901,NA,NA,NA,NA,NA,NA
6393,1.92352,2.04521,-4.40049,NA,NA,NA,-7.15,NA,NA,NA,NA
6569,1.45218,2.603,-4.49549,NA,NA,-28.862,NA,NA,NA,NA,NA
6723,2.22189,2.29134,-3.95764,NA,NA,NA,NA,-33.66,NA,NA,NA
6849,2.72474,2.41683,-3.36749,NA,NA,NA,NA,-75.16,NA,NA,NA
7051,2.8974,2.01085,-4.45802,NA,NA,NA,-34.987,NA,NA,NA,NA
7215,2.35034,2.33278,-4.65866,NA,NA,NA,-23.952,NA,NA,NA,NA
7459,0.917624,2.23932,-4.38547,NA,NA,NA,NA,-54.545,NA,NA,NA
7673,1.42475,1.88434,-4.68335,NA,NA,NA,NA,-42.522,NA,NA,NA
7931,1.69477,2.14017,-4.69872,NA,NA,NA,NA,NA,-59.205,NA,NA
8043,2.06824,1.87917,-4.41036,NA,-10.34,NA,NA,NA,NA,NA,NA
8201,1.85674,2.07061,-4.95506,NA,NA,NA,-16.171,NA,NA,NA,NA
8427,1.95233,1.67713,-4.73942,NA,-9.425,NA,NA,NA,NA,NA,NA
8720,2.25344,1.31475,-4.25892,NA,NA,NA,-10.832,NA,NA,NA,NA
8883,2.77051,1.15753,-4.44193,NA,-41.504,NA,NA,NA,NA,NA,NA
9174,2.72155,1.39936,-4.44361,NA,-37.971,NA,NA,NA,NA,NA,NA
9372,1.75774,2.34716,-4.98741,NA,-33.762,NA,NA,NA,NA,NA,NA
9576,2.20024,1.47828,-4.95076,NA,-20.463,NA,NA,NA,NA,NA,NA
9706,2.20191,2.2677,-4.21085,NA,NA,NA,NA,NA,-54.104,NA,NA
9964,1.9377,1.6194,-3.61755,NA,NA,-21.72,NA,NA,NA,NA,NA
10108,1.93018,1.29635,-4.51949,NA,NA,-11.429,NA,NA,NA,NA,NA
10380,2.34488,1.62385,-3.95234,NA,-23.764,NA,NA,NA,NA,NA,NA
10549,1.88332,1.96027,-4.72822,NA,NA,-10.509,NA,NA,NA,NA,NA
10643,2.58471,2.2337,-4.57676,NA,-31.424,NA,NA,NA,NA,NA,NA
10834,2.52469,2.36989,-4.7987,NA,NA,NA,-31.662,NA,NA,NA,NA
11197,3.04523,2.26768,-4.66057,NA,NA,NA,-48.712,NA,NA,NA,NA
11225,2.05097,2.46837,-4.08927,-33.446,NA,NA,NA,NA,NA,NA,NA
11589,0.977901,2.35883,-4.03334,NA,NA,NA,-31.928,NA,NA,NA,NA
11727,0.853603,2.68496,-4.08623,NA,NA,NA,-47.356,NA,NA,NA,NA
11986,1.88519,2.47292,-4.53171,NA,-20.894,NA,NA,NA,NA,NA,NA
12031,1.80008,2.08105,-4.65303,NA,NA,NA,-9.724,NA,NA,NA,NA
12290,2.28908,2.14847,-4.07563,NA,NA,NA,-16.215,NA,NA,NA,NA
12491,2.88137,2.76274,-4.8703,NA,NA,NA,-61.298,NA,NA,NA,NA
12763,2.55548,1.53807,-4.63217,-51.538,NA,NA,NA,NA,NA,NA,NA
12965,2.68363,2.25041,-4.13559,NA,NA,-39.909,NA,NA,NA,NA,NA
13141,3.01401,1.78673,-4.45443,NA,-44.264,NA,NA,NA,NA,NA,NA
13220,2.1334,1.85139,-4.10372,NA,NA,NA,-7.764,NA,NA,NA,NA
13572,1.65708,0.991276,-3.63072,NA,NA,NA,-38.116,NA,NA,NA,NA
13765,1.88774,2.01473,-4.16301,NA,NA,-14.671,NA,NA,NA,NA,NA
13938,1.6128,2.9929,-4.23453,NA,NA,NA,-42.739,NA,NA,NA,NA
14049,1.06057,2.67234,-4.7405,NA,-43.273,NA,NA,NA,NA,NA,NA
14290,1.16004,1.44532,-4.60038,NA,NA,-23.06,NA,NA,NA,NA,NA
14492,1.78693,2.03172,-4.82323,NA,NA,-21.492,NA,NA,NA,NA,NA
14766,2.03306,1.19827,-4.86314,NA,NA,-25.636,NA,NA,NA,NA,NA
14894,1.64008,1.94305,-4.98575,NA,-19.859,NA,NA,NA,NA,NA,NA
15007,1.98925,1.9601,-4.36438,NA,NA,NA,NA,-26.107,NA,NA,NA
15211,1.35219,1.66162,-4.88525,NA,NA,-19.348,NA,NA,NA,NA,NA
15411,1.48347,1.86625,-4.50723,NA,-9.932,NA,NA,NA,NA,NA,NA
15721,1.02205,2.08053,-4.52696,NA,NA,NA,-22.775,NA,NA,NA,NA
15954,1.59151,1.13948,-4.04404,NA,NA,-24.153,NA,NA,NA,NA,NA
16183,1.34245,1.28318,-3.85781,-38.549,NA,NA,NA,NA,NA,NA,NA
16335,1.81487,1.28338,-3.94817,-27.269,NA,NA,NA,NA,NA,NA,NA
16564,1.71582,1.59778,-3.76705,NA,NA,-19.054,NA,NA,NA,NA,NA
16667,0.959509,1.98862,-4.33282,NA,-31.087,NA,NA,NA,NA,NA,NA
16999,0.596337,2.38326,-4.03704,NA,NA,NA,NA,-74.246,NA,NA,NA
17020,1.54268,1.88825,-4.08237,NA,-8.174,NA,NA,NA,NA,NA,NA
17356,0.985399,2.3708,-4.66085,NA,NA,NA,-31.673,NA,NA,NA,NA
17454,1.14646,2.03318,-4.99156,NA,NA,NA,-27.037,NA,NA,NA,NA
17778,1.74954,2.39212,-3.56248,-47.946,NA,NA,NA,NA,NA,NA,NA
17967,1.74666,2.21808,-4.19838,NA,NA,NA,-11.409,NA,NA,NA,NA
18041,1.84328,1.80742,-4.27473,NA,NA,NA,-3.274,NA,NA,NA,NA
18253,1.75025,1.04042,-4.08125,NA,-26.277,NA,NA,NA,NA,NA,NA
18475,2.24658,1.24966,-4.10091,NA,NA,NA,-15.115,NA,NA,NA,NA
18637,1.53083,2.30977,-4.47132,NA,NA,-24.7,NA,NA,NA,NA,NA
18844,0.887155,1.79782,-3.80854,-45.259,NA,NA,NA,NA,NA,NA,NA
19035,1.81083,2.10715,-4.91978,NA,NA,-27.783,NA,NA,NA,NA,NA
19395,1.4897,1.91439,-4.74251,-31.354,NA,NA,NA,NA,NA,NA,NA
19518,1.03807,1.97756,-3.8715,NA,NA,-30.213,NA,NA,NA,NA,NA
19782,0.970667,2.46175,-4.10401,NA,-40.356,NA,NA,NA,NA,NA,NA
19850,1.87448,2.20949,-4.99577,NA,NA,-29.155,NA,NA,NA,NA,NA
20041,1.5238,2.07928,-3.97823,NA,NA,NA,-11.274,NA,NA,NA,NA
20323,1.56615,1.91674,-3.86229,NA,NA,NA,-10.733,NA,NA,NA,NA
20506,1.59067,1.5603,-3.80401,NA,NA,NA,-11.693,NA,NA,NA,NA
20781,1.27838,1.76141,-4.71173,NA,NA,-16.949,NA,NA,NA,NA,NA
20818,3.02365,2.16052,-3.79439,NA,-56.091,NA,NA,NA,NA,NA,NA
21047,1.70774,1.69405,-4.54898,NA,-16.963,NA,NA,NA,NA,NA,NA
21279,1.09535,1.83388,-3.91385,NA,NA,NA,NA,-43.591,NA,NA,NA
21517,1.94114,1.71043,-3.73973,NA,NA,NA,-12.142,NA,NA,NA,NA
21674,1.28478,1.08134,-4.86745,NA,NA,NA,-34.456,NA,NA,NA,NA
21846,1.68583,0.934599,-4.28365,NA,NA,NA,-23.127,NA,NA,NA,NA
22140,2.49075,1.5709,-4.94008,NA,-33.677,NA,NA,NA,NA,NA,NA
22314,2.593,1.95338,-4.88801,NA,NA,NA,-27.678,NA,NA,NA,NA
22482,1.71233,0.796836,-4.38191,NA,NA,-36.412,NA,NA,NA,NA,NA
22643,2.05761,1.34855,-4.88945,NA,NA,-22.741,NA,NA,NA,NA,NA
22999,2.04672,1.92482,-3.75533,NA,NA,NA,NA,-49.047,NA,NA,NA
23150,1.97366,2.33766,-4.61144,NA,NA,NA,-16.331,NA,NA,NA,NA
23295,1.04643,1.74228,-3.91648,NA,NA,NA,-23.038,NA,NA,NA,NA
23554,2.20546,1.91005,-4.76105,NA,NA,NA,-13.846,NA,NA,NA,NA
23609,1.01726,2.28079,-4.23396,NA,NA,NA,-26.732,NA,NA,NA,NA
23981,1.9761,1.3798,-3.52788,NA,NA,NA,-24.553,NA,NA,NA,NA
24167,1.95835,1.62795,-4.85503,NA,NA,-11.665,NA,NA,NA,NA,NA
24256,2.07964,1.58039,-4.08078,NA,NA,NA,-5.134,NA,NA,NA,NA
24450,1.80632,1.87702,-3.823,NA,NA,NA,-10.198,NA,NA,NA,NA
24757,1.83418,1.9385,-4.14601,NA,NA,NA,-4.407,NA,NA,NA,NA
24853,1.3522,2.44457,-4.77267,NA,-27.108,NA,NA,NA,NA,NA,NA
25173,2.53773,2.41336,-4.64533,NA,NA,NA,-30.786,NA,NA,NA,NA
25316,2.25732,1.96481,-4.89336,NA,NA,-29.387,NA,NA,NA,NA,NA
25510,2.92548,1.47689,-4.45162,NA,-43.611,NA,NA,NA,NA,NA,NA
25619,2.80103,1.10584,-4.64653,NA,NA,-45.053,NA,NA,NA,NA,NA
25927,1.95887,1.52093,-4.35112,NA,NA,-11.369,NA,NA,NA,NA,NA
26133,1.31244,1.27261,-4.4132,NA,NA,NA,-13.564,NA,NA,NA,NA
26332,1.72337,1.96255,-4.08347,NA,NA,-15.301,NA,NA,NA,NA,NA
26456,1.49409,1.38148,-3.8072,NA,NA,NA,NA,-52.87,NA,NA,NA
26699,1.5208,2.14881,-4.18224,NA,NA,NA,-11.165,NA,NA,NA,NA
26947,2.11917,1.63979,-3.65176,NA,NA,NA,-18.972,NA,NA,NA,NA
27025,2.33573,1.48317,-4.63155,NA,NA,-18.392,NA,NA,NA,NA,NA
27310,2.03733,1.96771,-3.92805,NA,NA,NA,-10.181,NA,NA,NA,NA
27599,1.78949,2.35061,-4.46736,NA,NA,NA,NA,-30.824,NA,NA,NA
27654,1.49015,2.86699,-4.81595,NA,NA,NA,-41.44,NA,NA,NA,NA
27830,1.9582,2.61646,-4.07739,NA,NA,NA,NA,-55.69,NA,NA,NA
28016,2.12933,2.43421,-4.03551,NA,NA,NA,NA,-36.414,NA,NA,NA
28211,2.27333,1.65571,-3.75316,NA,NA,-20.935,NA,NA,NA,NA,NA
