id,x0,x1,x2,fitness-4,fitness-4.5,fitness-3,fitness-2,fitness-1,fitness-5,fitness-3.5,fitness-2.5,fitness-1.5,fitness-0.5,fitness0,fitness0.5,fitness1.5
66,-1.3249,4.6699,-2.78203,-530.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,-0.89493,4.5761,-2.75059,-445.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,-1.35448,3.23733,-4.0519,-313.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
766,1.15519,2.35462,-2.80617,NA,-160.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,0.0988272,1.95204,-3.0262,-138.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,1.03566,1.75115,-2.72711,NA,NA,-86.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1374,0.844091,2.3477,-3.52162,NA,NA,-59.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1525,1.19707,1.83817,-2.66143,NA,-134.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609,0.621197,1.55937,-3.2645,NA,NA,-74.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,0.664516,1.54895,-3.40915,NA,NA,NA,-72.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130,1.15773,1.25983,-3.87267,NA,NA,NA,NA,-79.997,NA,NA,NA,NA,NA,NA,NA,NA
2397,1.00217,1.24213,-4.75412,NA,NA,NA,-47.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
2590,1.30205,2.6624,-4.68527,NA,NA,NA,-42.887,NA,NA,NA,NA,NA,NA,NA,NA,NA
2667,3.14594,1.44564,-3.17969,NA,NA,-94.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2807,1.59398,0.768731,-4.53873,NA,NA,-45.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3115,0.489629,1.3659,-4.97464,-102.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3247,0.246156,2.3279,-4.4095,NA,-145.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3520,0.721554,1.18792,-4.64843,NA,NA,NA,NA,NA,-155.677,NA,NA,NA,NA,NA,NA,NA
3675,0.849996,1.18187,-3.22883,NA,-141.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3906,1.38626,1.39751,-4.2113,-60.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4098,2.71344,2.46974,-4.97803,NA,NA,NA,NA,NA,NA,-71.795,NA,NA,NA,NA,NA,NA
4218,2.93766,1.92035,-4.17296,NA,NA,-39.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4525,2.29878,2.99741,-3.98989,NA,NA,NA,NA,NA,NA,-81.855,NA,NA,NA,NA,NA,NA
4693,1.53953,2.37674,-4.64249,-67.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000,1.89959,3.23797,-4.63452,NA,NA,-60.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,1.62861,3.07456,-3.72494,NA,NA,-63.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5250,1.41527,3.9115,-2.63029,-241.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5470,0.105866,3.09583,-2.65014,NA,NA,NA,NA,NA,NA,NA,-185.711,NA,NA,NA,NA,NA
5737,0.287532,2.66223,-4.1712,NA,NA,-78.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5934,1.63202,3.42841,-4.88363,NA,NA,NA,NA,NA,NA,-98.777,NA,NA,NA,NA,NA,NA
6132,2.23202,3.42578,-3.74394,NA,NA,-92.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6276,2.77481,3.44902,-2.93669,NA,NA,NA,NA,NA,NA,NA,-157.257,NA,NA,NA,NA,NA
6418,2.15694,2.22239,-3.0072,NA,NA,NA,NA,NA,NA,NA,-60.62,NA,NA,NA,NA,NA
6698,2.42607,3.48537,-3.59923,NA,NA,NA,-100.563,NA,NA,NA,NA,NA,NA,NA,NA,NA
6868,3.15615,2.77307,-2.8099,NA,NA,NA,NA,NA,NA,NA,NA,-157.726,NA,NA,NA,NA
7148,2.36146,2.34613,-4.92055,NA,NA,NA,NA,-81.426,NA,NA,NA,NA,NA,NA,NA,NA
7382,2.92677,1.50806,-4.10853,NA,NA,NA,NA,NA,NA,NA,NA,-66.057,NA,NA,NA,NA
7423,1.68628,1.1871,-4.6961,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.44,NA,NA,NA
7704,3.06314,2.20115,-4.01888,NA,NA,NA,NA,-81.901,NA,NA,NA,NA,NA,NA,NA,NA
7846,3.11649,1.29114,-3.92282,NA,NA,NA,-56.404,NA,NA,NA,NA,NA,NA,NA,NA,NA
8040,3.04705,1.13839,-4.58045,NA,NA,NA,NA,NA,NA,NA,-49.909,NA,NA,NA,NA,NA
8254,1.57603,0.814841,-4.77281,NA,NA,-51.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8485,1.21968,1.51924,-4.86962,NA,NA,NA,NA,NA,NA,-36.206,NA,NA,NA,NA,NA,NA
8721,2.7218,1.94112,-4.12489,NA,NA,-29.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8899,1.56416,1.45017,-3.86589,NA,NA,NA,NA,NA,NA,NA,-10.367,NA,NA,NA,NA,NA
9094,0.734157,2.29298,-4.69181,NA,NA,NA,NA,NA,NA,-51.825,NA,NA,NA,NA,NA,NA
9306,1.01217,1.35423,-4.13268,-64.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9544,0.582248,2.90993,-4.53792,NA,-159.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9704,-0.316757,2.64385,-4.796,-171.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9818,-0.138913,1.8116,-4.99356,NA,NA,NA,NA,NA,NA,NA,-104.219,NA,NA,NA,NA,NA
10113,0.613513,1.45927,-3.6387,NA,NA,NA,NA,-123.203,NA,NA,NA,NA,NA,NA,NA,NA
10205,0.770067,1.07478,-3.76728,NA,NA,NA,NA,NA,NA,NA,NA,-113.505,NA,NA,NA,NA
