id,x0,x1,x2,fitness-4,fitness-3.5,fitness-2,fitness-1.5,fitness-2.5,fitness-4.5,fitness-3,fitness-1,fitness-5,fitness-0.5,fitness0
9,4.44249,1.0929,-4.84855,-208.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,3.00049,1.71511,-4.85259,NA,-62.302,NA,NA,NA,NA,NA,NA,NA,NA,NA
594,2.86452,2.32795,-4.90086,NA,NA,-49.715,NA,NA,NA,NA,NA,NA,NA,NA
786,3.87275,1.87883,-4.23986,NA,NA,NA,-116.226,NA,NA,NA,NA,NA,NA,NA
884,2.62214,2.16502,-3.8468,NA,NA,NA,-51.685,NA,NA,NA,NA,NA,NA,NA
1053,1.98142,1.19135,-4.81302,NA,-33.595,NA,NA,NA,NA,NA,NA,NA,NA,NA
1213,0.932052,1.36386,-3.99528,NA,NA,NA,NA,-32.274,NA,NA,NA,NA,NA,NA
1445,1.33228,1.84143,-4.73829,NA,NA,NA,NA,-13.225,NA,NA,NA,NA,NA,NA
1670,2.38147,1.37697,-3.7035,NA,NA,NA,NA,NA,-128.679,NA,NA,NA,NA,NA
1876,2.56322,1.44567,-4.46037,NA,NA,NA,NA,NA,NA,-25.376,NA,NA,NA,NA
2163,2.73363,1.14391,-4.80184,NA,NA,NA,NA,-39.235,NA,NA,NA,NA,NA,NA
2302,2.28497,1.51819,-4.89475,NA,NA,NA,NA,NA,NA,-21.216,NA,NA,NA,NA
2465,1.89835,1.79238,-4.20369,NA,NA,NA,NA,NA,NA,-16.534,NA,NA,NA,NA
2682,1.64359,2.41863,-3.34664,NA,NA,-44.989,NA,NA,NA,NA,NA,NA,NA,NA
2888,2.57741,2.86959,-3.35148,NA,NA,NA,NA,-77.484,NA,NA,NA,NA,NA,NA
3031,1.11448,2.65052,-2.50833,NA,NA,NA,NA,NA,NA,-118.756,NA,NA,NA,NA
3335,1.80846,2.79965,-4.29025,-73.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3468,2.18258,2.51754,-3.81608,NA,NA,NA,NA,NA,NA,-32.463,NA,NA,NA,NA
3737,0.704452,2.51766,-3.72248,NA,NA,NA,NA,-57.683,NA,NA,NA,NA,NA,NA
3942,1.21474,1.21961,-4.26533,NA,-37.128,NA,NA,NA,NA,NA,NA,NA,NA,NA
4026,1.43389,1.96307,-4.09379,NA,NA,NA,NA,NA,NA,-13.542,NA,NA,NA,NA
4306,2.46319,2.18334,-4.57585,NA,-44.316,NA,NA,NA,NA,NA,NA,NA,NA,NA
4548,2.2263,0.916697,-4.48312,NA,NA,NA,NA,NA,NA,-32.509,NA,NA,NA,NA
4795,1.54263,1.26514,-4.88969,NA,NA,NA,NA,-18.298,NA,NA,NA,NA,NA,NA
4961,1.54554,0.651366,-3.5586,NA,NA,NA,NA,NA,NA,-73.432,NA,NA,NA,NA
5082,1.93218,1.42914,-4.52548,NA,-32.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
5325,2.98237,1.45968,-4.63746,NA,NA,NA,NA,-40.096,NA,NA,NA,NA,NA,NA
5597,2.10035,1.06798,-4.25179,NA,NA,NA,NA,NA,NA,-20.757,NA,NA,NA,NA
5672,2.57851,1.32047,-4.70235,NA,-54.589,NA,NA,NA,NA,NA,NA,NA,NA,NA
5915,2.25805,1.97664,-4.81832,NA,-28.698,NA,NA,NA,NA,NA,NA,NA,NA,NA
6016,1.53272,1.47149,-3.75045,NA,NA,NA,-52.062,NA,NA,NA,NA,NA,NA,NA
6299,1.58296,1.8778,-4.40431,NA,NA,NA,NA,-4.194,NA,NA,NA,NA,NA,NA
6451,2.81019,1.31521,-4.28665,NA,NA,NA,NA,NA,NA,-33.837,NA,NA,NA,NA
6783,1.62986,1.6802,-4.27338,NA,NA,-13.197,NA,NA,NA,NA,NA,NA,NA,NA
6948,1.67976,1.53368,-4.71737,NA,NA,NA,NA,-6.334,NA,NA,NA,NA,NA,NA
7169,1.35104,1.37255,-4.1292,NA,NA,NA,NA,NA,NA,-23.663,NA,NA,NA,NA
7339,1.90618,2.68785,-4.28082,NA,NA,-35.905,NA,NA,NA,NA,NA,NA,NA,NA
7565,1.56133,2.86898,-4.37246,NA,NA,-41.492,NA,NA,NA,NA,NA,NA,NA,NA
7719,1.68361,2.19783,-4.58829,NA,NA,-22.952,NA,NA,NA,NA,NA,NA,NA,NA
7858,1.39055,1.79448,-3.67805,NA,NA,NA,NA,NA,NA,-21.589,NA,NA,NA,NA
8115,1.28238,2.15361,-4.82935,NA,NA,NA,NA,NA,NA,NA,-55.573,NA,NA,NA
8318,2.83012,0.873271,-4.38058,NA,NA,NA,NA,-52.473,NA,NA,NA,NA,NA,NA
8579,2.0839,0.960232,-4.60387,-64.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8787,2.55419,2.51053,-4.32894,NA,NA,NA,NA,-33.557,NA,NA,NA,NA,NA,NA
8995,1.26221,1.34843,-4.84317,NA,-41.096,NA,NA,NA,NA,NA,NA,NA,NA,NA
9066,2.4971,1.9662,-4.39411,NA,NA,-20.148,NA,NA,NA,NA,NA,NA,NA,NA
9269,1.98555,1.8449,-4.83854,NA,NA,NA,NA,-12.026,NA,NA,NA,NA,NA,NA
9584,1.57979,2.0645,-4.83674,NA,NA,NA,NA,-14.191,NA,NA,NA,NA,NA,NA
9761,0.935539,1.47999,-4.10229,-62.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9856,0.991184,1.16226,-3.90119,NA,NA,NA,NA,NA,NA,NA,NA,-141.795,NA,NA
10069,1.80956,1.95979,-4.97105,NA,NA,NA,NA,NA,NA,-17.704,NA,NA,NA,NA
10399,2.09877,0.733227,-4.54154,NA,NA,-49.441,NA,NA,NA,NA,NA,NA,NA,NA
10463,2.66562,0.610561,-4.2506,NA,NA,-70.295,NA,NA,NA,NA,NA,NA,NA,NA
10759,2.87123,1.18808,-4.4722,NA,NA,-42.375,NA,NA,NA,NA,NA,NA,NA,NA
10981,3.05026,0.793458,-4.21339,NA,NA,NA,NA,NA,NA,-73.08,NA,NA,NA,NA
11061,1.21897,1.73706,-4.18583,-51.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11273,1.61057,1.27501,-3.64248,NA,NA,NA,NA,-23.644,NA,NA,NA,NA,NA,NA
11487,1.928,1.53096,-3.08679,-79.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11770,2.41496,1.90972,-4.30364,NA,NA,NA,NA,NA,NA,-25.571,NA,NA,NA,NA
11813,2.43073,2.37899,-4.87591,NA,-60.641,NA,NA,NA,NA,NA,NA,NA,NA,NA
12087,2.68574,1.84069,-4.4332,NA,NA,-25.352,NA,NA,NA,NA,NA,NA,NA,NA
12309,2.72734,1.5707,-4.49836,NA,-38.606,NA,NA,NA,NA,NA,NA,NA,NA,NA
12427,2.7373,1.81586,-4.28371,-74.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12787,2.1069,1.79518,-3.99113,NA,NA,NA,NA,NA,-86.052,NA,NA,NA,NA,NA
12928,1.61681,1.88985,-3.76513,NA,NA,NA,NA,-12.781,NA,NA,NA,NA,NA,NA
13077,2.73571,0.782206,-4.77549,NA,NA,NA,-88.648,NA,NA,NA,NA,NA,NA,NA
13380,1.93215,1.75648,-4.33985,NA,NA,NA,NA,-2.032,NA,NA,NA,NA,NA,NA
