id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-3,fitness-1.5,fitness-2,fitness-4,fitness-1
145,1.94123,3.08138,-4.92183,-74.814,NA,NA,NA,NA,NA,NA
355,2.43293,2.861,-4.10211,-64.53,NA,NA,NA,NA,NA,NA
415,1.3473,4.0968,-4.82,NA,-135.587,NA,NA,NA,NA,NA
605,1.07128,2.01281,-4.43177,-33.315,NA,NA,NA,NA,NA,NA
890,1.42629,2.28296,-3.43869,NA,NA,-36.338,NA,NA,NA,NA
1078,1.77446,2.24499,-3.86203,NA,-16.371,NA,NA,NA,NA,NA
1360,0.905391,1.28486,-4.79013,NA,-41.121,NA,NA,NA,NA,NA
1425,1.45025,2.48712,-3.85897,NA,NA,NA,-43.38,NA,NA,NA
1739,2.46258,2.42743,-4.60105,NA,NA,NA,-43.641,NA,NA,NA
1956,1.2606,1.69148,-4.55105,NA,NA,NA,NA,-18.086,NA,NA
2173,1.22807,2.53502,-4.46589,NA,NA,-32.851,NA,NA,NA,NA
2222,1.27954,1.67374,-4.56144,NA,-10.624,NA,NA,NA,NA,NA
2512,1.82377,1.5214,-3.53587,NA,NA,-22.441,NA,NA,NA,NA
2774,1.61757,2.54498,-4.51452,NA,NA,NA,NA,-29.598,NA,NA
2835,2.14332,1.46751,-4.10638,NA,-7.837,NA,NA,NA,NA,NA
3055,2.14048,2.13088,-4.16136,NA,-12.369,NA,NA,NA,NA,NA
3220,2.09894,1.88602,-3.98816,NA,NA,NA,NA,-13.797,NA,NA
3495,1.20785,2.01088,-4.87523,NA,-22.1,NA,NA,NA,NA,NA
3751,1.60706,1.97314,-4.39272,-23.558,NA,NA,NA,NA,NA,NA
3861,1.03379,1.25123,-4.66562,NA,-34.412,NA,NA,NA,NA,NA
4076,0.603361,1.63172,-3.80238,NA,-52.923,NA,NA,NA,NA,NA
4398,1.8258,1.40887,-4.81587,NA,NA,NA,-48.885,NA,NA,NA
4521,1.63238,2.28691,-3.99922,NA,-15.207,NA,NA,NA,NA,NA
4643,1.09179,1.87453,-4.7577,-40.79,NA,NA,NA,NA,NA,NA
4836,1.51147,1.52157,-3.94637,NA,NA,-14.51,NA,NA,NA,NA
5122,1.45276,1.14213,-3.62879,NA,NA,-37.594,NA,NA,NA,NA
5251,1.47933,1.70181,-3.94822,NA,NA,NA,NA,-11.837,NA,NA
5572,0.784662,2.42075,-4.06287,NA,-41.093,NA,NA,NA,NA,NA
5631,1.83524,2.24253,-4.51856,NA,NA,NA,-39.426,NA,NA,NA
5833,1.55804,1.39499,-4.38034,NA,NA,NA,NA,-13.817,NA,NA
6194,1.74814,1.51344,-4.40527,NA,NA,NA,-26.266,NA,NA,NA
6356,1.73487,0.698548,-4.65433,NA,NA,-50.959,NA,NA,NA,NA
6405,1.7599,1.62759,-4.90927,NA,NA,-21.431,NA,NA,NA,NA
6771,0.944511,2.06263,-4.27338,NA,-24.753,NA,NA,NA,NA,NA
6967,1.61622,2.55237,-4.08688,NA,NA,NA,-42.468,NA,NA,NA
7178,1.87789,2.65319,-4.29998,NA,NA,NA,NA,-30.587,NA,NA
7293,1.47668,2.20679,-4.62933,NA,-15.22,NA,NA,NA,NA,NA
