id,x0,x1,x2,fitness-2,fitness-3,fitness-4.5,fitness-4,fitness-5,fitness-2.5,fitness-3.5,fitness-1.5
192,-2.77985,4.32579,-2.8258,-349.792,NA,NA,NA,NA,NA,NA,NA
349,-2.66464,4.41488,-2.7919,NA,-265.066,NA,NA,NA,NA,NA,NA
403,-2.68977,4.74789,-3.58345,NA,NA,-114.767,NA,NA,NA,NA,NA
715,-2.53285,4.76898,-4.40357,NA,NA,NA,-83.695,NA,NA,NA,NA
801,-1.80549,4.98686,-3.70225,NA,NA,NA,NA,-106.512,NA,NA,NA
1012,-1.56265,2.81513,-3.4646,NA,NA,NA,NA,-171.304,NA,NA,NA
1360,-1.54416,2.26991,-4.41992,NA,NA,NA,NA,NA,-330.579,NA,NA
1467,-2.62802,2.47086,-3.64635,-303.928,NA,NA,NA,NA,NA,NA,NA
1704,-0.597744,2.47444,-4.81007,NA,-372.08,NA,NA,NA,NA,NA,NA
1975,0.109298,4.10423,-4.73907,NA,NA,NA,NA,-195.244,NA,NA,NA
2077,-0.84152,4.6738,-4.74553,NA,NA,NA,NA,-86.443,NA,NA,NA
2253,-0.531978,4.06038,-4.26623,NA,NA,NA,-170.539,NA,NA,NA,NA
2405,-1.67833,3.97159,-4.53476,NA,NA,-26.435,NA,NA,NA,NA,NA
2768,-2.26518,3.99887,-4.25801,NA,NA,-60.545,NA,NA,NA,NA,NA
2985,-2.8435,3.78575,-4.27387,NA,NA,NA,-88.021,NA,NA,NA,NA
3053,-3.11675,4.88843,-4.76849,NA,NA,-100.589,NA,NA,NA,NA,NA
3206,-4.7725,4.01358,-4.15148,NA,NA,NA,NA,-244.998,NA,NA,NA
3443,-3.06554,4.36427,-4.40653,NA,NA,-84.309,NA,NA,NA,NA,NA
3660,-3.26787,4.64569,-4.73017,NA,NA,NA,NA,NA,NA,-103.956,NA
3977,-3.87589,4.91873,-4.0235,NA,NA,NA,-174.636,NA,NA,NA,NA
4053,-3.7888,4.07206,-4.93213,NA,NA,-126.537,NA,NA,NA,NA,NA
4364,-3.37999,4.20501,-4.71327,NA,NA,-97.915,NA,NA,NA,NA,NA
4446,-3.53801,4.99955,-4.8922,NA,NA,-134.76,NA,NA,NA,NA,NA
4666,-3.34961,4.32493,-4.87331,NA,NA,NA,NA,-107.297,NA,NA,NA
4860,-4.24667,3.3372,-4.84005,NA,NA,-176.158,NA,NA,NA,NA,NA
5087,-4.06339,2.78436,-4.47931,NA,NA,NA,-184.364,NA,NA,NA,NA
5292,-2.64473,4.22535,-4.74492,NA,-127.745,NA,NA,NA,NA,NA,NA
5445,-2.69216,3.78569,-4.78961,NA,NA,NA,NA,NA,-175.337,NA,NA
5678,-3.0522,4.11882,-4.4198,NA,-134.891,NA,NA,NA,NA,NA,NA
5911,-2.21117,4.54487,-4.8215,NA,NA,NA,NA,NA,NA,-90.048,NA
6008,-1.8095,4.77965,-4.73049,NA,NA,NA,NA,-67.825,NA,NA,NA
6306,-2.06621,3.36475,-4.92956,NA,NA,-30.084,NA,NA,NA,NA,NA
6576,-2.21249,3.12978,-4.64226,NA,NA,NA,-76.522,NA,NA,NA,NA
6687,-1.93254,3.92813,-3.15779,NA,NA,-124.385,NA,NA,NA,NA,NA
6947,-2.12213,4.12197,-3.62594,NA,NA,NA,-111.635,NA,NA,NA,NA
7044,-2.81327,4.4259,-2.71234,NA,NA,-188.796,NA,NA,NA,NA,NA
7296,-4.97051,4.63667,-3.97474,NA,NA,-284.698,NA,NA,NA,NA,NA
7457,-4.04065,3.84197,-4.13936,NA,NA,NA,-167.112,NA,NA,NA,NA
7612,-2.09378,4.01609,-4.48237,NA,NA,-42.396,NA,NA,NA,NA,NA
7841,-1.77638,4.62173,-3.72432,NA,NA,-90.452,NA,NA,NA,NA,NA
8053,-1.8966,4.34501,-3.85736,NA,NA,NA,NA,-89.355,NA,NA,NA
8276,-1.52338,4.99993,-4.1979,NA,NA,-96.146,NA,NA,NA,NA,NA
8420,-2.10051,3.85171,-3.83955,NA,NA,-85.562,NA,NA,NA,NA,NA
8729,-2.35197,4.06584,-3.36124,NA,NA,NA,-121.588,NA,NA,NA,NA
8908,-1.31636,4.40768,-2.71322,NA,NA,-190.682,NA,NA,NA,NA,NA
9182,-1.63511,4.59065,-3.67398,NA,NA,-89.782,NA,NA,NA,NA,NA
9379,-3.08029,4.77829,-4.78585,NA,NA,-94.518,NA,NA,NA,NA,NA
9454,-4.00694,4.51982,-4.89839,NA,NA,NA,-155.864,NA,NA,NA,NA
9637,-3.00499,4.17953,-3.70717,NA,NA,NA,-120.106,NA,NA,NA,NA
9807,-4.41668,3.80084,-4.00799,NA,NA,NA,NA,NA,-266.565,NA,NA
10160,-4.09832,4.57934,-3.62956,NA,NA,NA,NA,NA,-271.225,NA,NA
10258,-2.94694,3.92864,-4.26284,NA,-158.333,NA,NA,NA,NA,NA,NA
10439,-3.90939,3.19767,-4.73875,NA,NA,NA,-160.003,NA,NA,NA,NA
10707,-2.84699,3.237,-4.90379,NA,-153.826,NA,NA,NA,NA,NA,NA
10849,-3.76918,3.66091,-4.95336,NA,-159.209,NA,NA,NA,NA,NA,NA
11152,-3.62232,4.58721,-3.71489,NA,NA,NA,NA,NA,NA,-174.824,NA
11227,-2.81689,2.95871,-4.32058,NA,NA,-108.805,NA,NA,NA,NA,NA
11487,-2.28111,3.69717,-4.01425,NA,NA,NA,-78.612,NA,NA,NA,NA
11653,-2.50614,2.9295,-3.9217,NA,NA,NA,-126.568,NA,NA,NA,NA
11833,-3.50527,3.23952,-4.48353,NA,NA,NA,NA,NA,NA,-142.784,NA
12096,-2.80235,4.45953,-4.74192,NA,NA,-73.33,NA,NA,NA,NA,NA
12276,-3.00722,3.42627,-4.72266,NA,NA,-80.185,NA,NA,NA,NA,NA
12411,-2.21529,4.0488,-4.96285,NA,NA,-41.491,NA,NA,NA,NA,NA
12633,-1.39612,4.56405,-4.05226,NA,NA,-86.776,NA,NA,NA,NA,NA
12865,-2.31864,4.44468,-3.87469,NA,NA,-88.178,NA,NA,NA,NA,NA
13090,-2.92931,4.50775,-4.84436,NA,NA,NA,NA,-82.402,NA,NA,NA
13393,-3.80609,3.27604,-4.78557,NA,NA,NA,NA,-137.773,NA,NA,NA
13594,-4.14825,4.85917,-3.7816,NA,NA,NA,NA,-211.201,NA,NA,NA
13688,-3.76062,4.40538,-3.285,NA,NA,NA,NA,NA,NA,-209.884,NA
13907,-4.3755,4.16947,-4.32068,NA,NA,NA,NA,NA,-275.344,NA,NA
14141,-3.37341,3.17821,-4.70303,NA,NA,-107.607,NA,NA,NA,NA,NA
14260,-4.4608,3.64897,-4.94364,NA,NA,NA,-191.532,NA,NA,NA,NA
14511,-3.80289,3.60594,-4.4872,NA,NA,NA,NA,NA,NA,-157.242,NA
14616,-3.14499,3.25313,-4.98072,NA,-134.42,NA,NA,NA,NA,NA,NA
14993,-3.53059,4.48921,-4.84319,NA,NA,NA,-114.578,NA,NA,NA,NA
15037,-1.52526,4.46187,-4.42368,NA,NA,NA,NA,-65.929,NA,NA,NA
15337,-1.12306,3.80791,-3.35457,NA,NA,NA,NA,-121.323,NA,NA,NA
15495,-1.34744,4.86938,-4.56283,NA,NA,NA,-88.487,NA,NA,NA,NA
15660,-3.10501,3.90355,-3.81862,NA,NA,-106.615,NA,NA,NA,NA,NA
15860,-2.34849,3.49654,-3.50058,NA,NA,NA,-130.755,NA,NA,NA,NA
16173,-1.30486,4.42662,-4.37882,NA,-190.233,NA,NA,NA,NA,NA,NA
16268,-1.91649,3.82282,-4.50444,NA,NA,NA,-31.964,NA,NA,NA,NA
16477,-0.981315,4.10924,-3.44893,NA,NA,NA,NA,-157.232,NA,NA,NA
16636,-1.71462,2.01865,-4.83954,NA,NA,-133.703,NA,NA,NA,NA,NA
16828,-1.85393,3.95158,-4.90501,NA,NA,-20.03,NA,NA,NA,NA,NA
17141,-2.42237,4.23015,-3.14853,NA,NA,NA,NA,-140.668,NA,NA,NA
17331,-1.06528,3.86371,-3.86941,NA,NA,-67.967,NA,NA,NA,NA,NA
17427,-0.409141,4.67151,-4.00732,NA,NA,NA,-188.6,NA,NA,NA,NA
17655,-0.99194,4.67591,-4.18097,NA,NA,NA,NA,-90.583,NA,NA,NA
17849,-0.804809,3.24853,-3.86189,NA,NA,NA,-236.694,NA,NA,NA,NA
18056,-1.62409,3.0931,-3.3551,NA,NA,NA,NA,-148.317,NA,NA,NA
18354,-2.34928,3.51692,-3.90972,NA,NA,NA,-99.193,NA,NA,NA,NA
18544,-3.16885,2.95256,-3.24422,NA,NA,NA,NA,NA,NA,-212.023,NA
18787,-2.69974,3.78507,-3.81386,NA,NA,NA,-92.32,NA,NA,NA,NA
18951,-3.15936,2.13637,-4.09132,NA,NA,-176.891,NA,NA,NA,NA,NA
19020,-2.641,3.71828,-2.79213,NA,NA,NA,NA,NA,NA,-244.609,NA
19379,-1.33548,4.37973,-4.18939,NA,NA,-93.414,NA,NA,NA,NA,NA
19409,-1.90712,3.9237,-2.53804,NA,NA,NA,NA,-196.416,NA,NA,NA
19759,-1.99612,4.34846,-3.53508,NA,NA,-101.638,NA,NA,NA,NA,NA
19928,-2.706,4.08524,-3.22927,NA,NA,-136.013,NA,NA,NA,NA,NA
