id,x0,x1,x2,fitness-4,fitness-3.5,fitness-4.5,fitness-5
130,-3.30388,2.189,-3.34539,-225.241,NA,NA,NA
201,-2.72172,3.99987,-4.20059,NA,-97.39,NA,NA
517,-2.04337,4.19245,-4.92283,NA,NA,-25.827,NA
654,-1.46701,4.48997,-4.93647,NA,NA,-51.247,NA
943,-1.19372,3.60991,-4.98179,-21.999,NA,NA,NA
1064,-1.60109,3.99966,-4.96723,-18.555,NA,NA,NA
1388,-2.75213,4.13535,-4.9374,NA,NA,-65.805,NA
1471,-1.98471,4.41977,-4.72901,NA,NA,-46.729,NA
1752,-1.43932,3.20639,-4.66528,-37.544,NA,NA,NA
1871,-1.40537,3.48964,-4.76483,NA,NA,-13.728,NA
2021,-2.26548,3.7494,-4.80568,NA,NA,-29.962,NA
2220,-2.18257,3.76939,-4.99959,NA,NA,-41.2,NA
2486,-1.22538,3.96317,-4.72744,NA,NA,-23.018,NA
2733,-1.40598,3.71733,-4.72662,NA,NA,-6.592,NA
2801,-1.06191,3.50247,-4.53752,-72.731,NA,NA,NA
3092,-1.96371,3.44455,-4.63572,NA,NA,-29.239,NA
3257,-2.47633,4.23279,-4.25111,NA,NA,-66.479,NA
3547,-1.68573,3.50278,-4.62952,NA,NA,NA,-45.611
3707,-2.33532,3.9497,-4.8081,NA,NA,-36.584,NA
3972,-1.7856,4.23327,-4.7855,NA,NA,-36.761,NA
4096,-1.98306,4.19286,-4.55955,NA,NA,-43.778,NA
4273,-1.39551,3.42801,-4.90072,NA,NA,-5.994,NA
4426,-2.22306,3.33779,-4.74345,NA,NA,-60.944,NA
4638,-2.25303,3.61384,-4.31886,NA,NA,NA,-60.72
4968,-2.25252,4.08115,-4.83687,NA,NA,-46.386,NA
5050,-2.19533,3.38399,-4.66492,NA,NA,NA,-53.448
5338,-1.82506,4.085,-4.31044,NA,NA,-46.014,NA
5570,-2.47624,4.47774,-4.78774,-65.913,NA,NA,NA
5685,-1.6112,4.24469,-4.67302,NA,NA,-39.235,NA
5863,-1.22497,3.52565,-4.86559,-19.641,NA,NA,NA
6136,-1.07061,3.46739,-4.85692,NA,NA,NA,-43.109
6387,-1.98541,3.77734,-4.59877,NA,NA,-31.784,NA
6467,-2.12897,3.30047,-4.69598,NA,NA,-44.1,NA
6724,-1.54622,3.79763,-4.53265,-27.428,NA,NA,NA
6916,-1.91751,4.16208,-4.72263,-43.532,NA,NA,NA
7058,-1.82461,4.02329,-4.3225,NA,NA,-45.056,NA
7216,-1.48048,3.63106,-4.88995,NA,NA,NA,-32.951
7465,-1.41232,3.62492,-4.50075,NA,NA,NA,-42.325
7628,-2.15017,3.59943,-4.97289,NA,NA,NA,-44.728
7972,-2.56239,3.84406,-4.37875,NA,NA,-50.838,NA
8069,-2.48992,3.67104,-4.6679,NA,NA,NA,-57.641
8335,-2.39965,3.55132,-4.18927,NA,NA,-72.448,NA
8498,-1.73276,3.74466,-4.94835,-7.309,NA,NA,NA
8606,-2.87495,4.77262,-4.82944,NA,NA,-85.082,NA
8894,-1.4949,3.71822,-4.35525,NA,NA,-26.986,NA
9013,-1.38807,3.36271,-4.71373,NA,NA,-11.819,NA
9335,-1.81804,3.56013,-4.90688,NA,NA,-15.284,NA
9553,-1.70092,3.7973,-4.53486,-27.855,NA,NA,NA
9613,-2.32232,3.48572,-4.37366,NA,NA,-45.015,NA
9934,-1.83234,3.91804,-4.44368,NA,NA,-39.456,NA
10185,-1.64498,4.06454,-4.72619,-22.064,NA,NA,NA
10332,-1.40854,4.82121,-4.93328,NA,NA,-89.598,NA
10594,-1.63117,3.75599,-4.55937,NA,NA,-20.253,NA
10764,-1.85941,3.85264,-4.41586,NA,NA,NA,-44.383
10975,-1.62441,3.36425,-4.74571,NA,NA,-31.195,NA
11037,-2.29339,3.51482,-4.43802,NA,NA,-52.835,NA
