id,x0,x1,x2,fitness-1.5,fitness-2,fitness-2.5,fitness-4,fitness-3.5,fitness-4.5,fitness-3,fitness-5
175,-0.608601,4.21329,-2.1435,-679.846,NA,NA,NA,NA,NA,NA,NA
266,-2.12956,4.01759,-1.95709,NA,-576.849,NA,NA,NA,NA,NA,NA
450,-2.12416,4.97133,-2.97393,NA,NA,-259.136,NA,NA,NA,NA,NA
792,-3.2235,3.58511,-2.458,NA,NA,NA,-253,NA,NA,NA,NA
884,-3.33152,4.74342,-2.72337,NA,NA,NA,-226.324,NA,NA,NA,NA
1047,-3.09317,4.42368,-3.02617,NA,NA,NA,-169.473,NA,NA,NA,NA
1249,-2.65158,4.0534,-3.93085,NA,NA,NA,-95.484,NA,NA,NA,NA
1600,-2.52401,4.72816,-4.97622,NA,-200.32,NA,NA,NA,NA,NA,NA
1646,-2.56508,4.18303,-3.81141,NA,NA,NA,NA,-127.803,NA,NA,NA
1806,-2.70507,4.13074,-4.19056,NA,NA,NA,NA,-108.099,NA,NA,NA
2138,-2.18512,2.84403,-3.52684,NA,NA,NA,-176.637,NA,NA,NA,NA
2396,-2.09226,3.27754,-4.54356,NA,NA,NA,NA,NA,-56.631,NA,NA
2562,-2.26363,3.87705,-3.9682,NA,NA,NA,NA,NA,-67.105,NA,NA
2726,-3.09019,3.34487,-4.06711,NA,NA,NA,-109.543,NA,NA,NA,NA
2838,-2.44484,4.05264,-4.78067,NA,NA,NA,NA,NA,-53.143,NA,NA
3150,-3.06524,2.62516,-3.78129,NA,NA,NA,NA,NA,NA,-219.5,NA
3358,-2.0385,4.42949,-4.29519,NA,NA,NA,NA,NA,-70.644,NA,NA
3408,-3.18525,3.41119,-3.88603,NA,NA,NA,NA,NA,NA,-163.919,NA
3698,-2.48956,3.93083,-3.14575,NA,NA,NA,NA,-170.825,NA,NA,NA
3977,-2.45657,2.30895,-4.18386,NA,-341.902,NA,NA,NA,NA,NA,NA
4039,-2.66743,4.50767,-3.61504,NA,NA,NA,NA,NA,NA,-173.491,NA
4210,-4.30558,4.12598,-4.73152,NA,NA,NA,NA,NA,-176.222,NA,NA
4532,-4.4382,4.12022,-4.52583,NA,NA,NA,NA,NA,-192.928,NA,NA
4797,-3.90828,3.73533,-4.93369,NA,NA,NA,-139.24,NA,NA,NA,NA
4861,-4.09081,2.60075,-4.6668,NA,NA,NA,NA,-221.808,NA,NA,NA
5191,-4.06524,2.76487,-4.18872,NA,NA,NA,NA,NA,-184.688,NA,NA
5243,-2.56954,3.90047,-3.66451,NA,NA,NA,NA,NA,-96.875,NA,NA
5428,-1.64174,3.45297,-4.09993,NA,NA,NA,NA,NA,NA,NA,-88.178
5605,-2.07816,4.33876,-4.53328,NA,NA,NA,NA,NA,NA,NA,-52.194
5896,-2.85888,4.78863,-4.01727,NA,NA,NA,-102.679,NA,NA,NA,NA
