id,x0,x1,x2,fitness-3.5,fitness-4,fitness-2.5,fitness-4.5,fitness-5,fitness-3
57,-2.65207,4.77696,-4.41661,-110.824,NA,NA,NA,NA,NA
365,-1.71918,4.00136,-3.70686,NA,-120.826,NA,NA,NA,NA
445,-2.94343,4.78382,-3.74187,NA,NA,-245.811,NA,NA,NA
648,-2.99823,4.41882,-4.13198,NA,NA,-197.226,NA,NA,NA
894,-4.86647,3.33745,-3.74993,NA,NA,NA,-274.834,NA,NA
1120,-3.62623,3.63305,-3.56892,NA,NA,NA,NA,-152.976,NA
1354,-2.30508,4.31851,-4.67973,NA,NA,NA,-55.228,NA,NA
1537,-1.34,4.00433,-4.94857,NA,-28.793,NA,NA,NA,NA
1771,-1.51866,3.47568,-3.83276,NA,NA,NA,-94.39,NA,NA
1878,-1.55375,3.79333,-4.71785,NA,NA,NA,-4.897,NA,NA
2113,-1.44583,4.46989,-4.48633,NA,NA,NA,NA,-65.827,NA
2396,-2.94569,4.90312,-4.32769,NA,NA,NA,-101.94,NA,NA
2553,-3.46876,3.54091,-4.56809,NA,NA,NA,NA,-109.4,NA
2732,-1.88869,4.87041,-4.24739,NA,NA,NA,-76.621,NA,NA
2951,-2.11837,3.8578,-4.20116,NA,-57.712,NA,NA,NA,NA
3056,-1.9243,3.27887,-4.49544,NA,NA,NA,-54.791,NA,NA
3205,-1.01022,4.66358,-4.83626,NA,NA,NA,NA,-102.248,NA
3424,-1.93759,4.41255,-4.99818,NA,NA,NA,NA,-55.474,NA
3627,-2.6779,4.80632,-3.7031,NA,NA,NA,-121.104,NA,NA
3959,-2.28099,4.47101,-4.43722,NA,NA,NA,-60.834,NA,NA
4043,-2.05668,4.04765,-3.96181,NA,NA,NA,-72.308,NA,NA
4344,-2.2965,4.22958,-4.99863,-75.228,NA,NA,NA,NA,NA
4520,-2.13696,2.79269,-4.74065,NA,-101.17,NA,NA,NA,NA
4662,-1.49423,4.55763,-4.82318,-108.372,NA,NA,NA,NA,NA
4925,-1.98918,4.09136,-4.20135,NA,-64.082,NA,NA,NA,NA
5180,-0.543055,4.28412,-4.62255,-156.688,NA,NA,NA,NA,NA
5249,-1.42259,3.82505,-4.45863,-97.49,NA,NA,NA,NA,NA
5530,-1.9994,3.51472,-4.50779,NA,-50.554,NA,NA,NA,NA
5775,-1.82138,4.44053,-4.59598,NA,NA,NA,NA,-54.804,NA
5950,-1.50132,4.63371,-4.71845,NA,NA,NA,NA,-60.748,NA
6070,-1.7625,4.03782,-4.28173,NA,NA,NA,NA,-58.008,NA
6398,-1.99131,4.05513,-4.23044,NA,NA,NA,NA,-56.173,NA
6465,-1.25192,3.42771,-4.91636,NA,NA,NA,-17.019,NA,NA
6625,-1.52919,3.17665,-4.60193,NA,NA,NA,-49.79,NA,NA
6824,-2.77291,3.35579,-4.95953,NA,NA,NA,NA,-78.167,NA
7059,-2.70994,3.09474,-4.82779,NA,NA,NA,NA,-77.005,NA
7314,-2.07891,3.8763,-4.70481,NA,NA,NA,-39.513,NA,NA
7577,-3.37433,2.94432,-4.61054,-137.892,NA,NA,NA,NA,NA
7624,-2.76057,4.20757,-4.56444,NA,NA,NA,NA,-69.913,NA
7888,-2.59896,4.01083,-4.96452,NA,NA,NA,-59.783,NA,NA
8074,-2.32294,3.82927,-4.40802,NA,NA,NA,NA,-44.615,NA
8310,-2.22997,4.21669,-3.78838,NA,-97.461,NA,NA,NA,NA
8459,-1.3087,3.57168,-4.35491,NA,NA,NA,NA,-65.917,NA
8671,-2.08821,4.20465,-4.49853,NA,NA,NA,NA,-48.475,NA
8993,-2.10092,3.87591,-3.85502,NA,NA,NA,NA,-70.656,NA
9189,-2.6779,4.78034,-4.90094,NA,NA,NA,-77.067,NA,NA
9229,-2.89316,3.93263,-4.30581,NA,NA,NA,-79.509,NA,NA
9574,-2.36324,3.43619,-4.57041,NA,-61.198,NA,NA,NA,NA
9656,-2.71491,3.82866,-4.6816,NA,-68.139,NA,NA,NA,NA
10000,-2.25046,4.19268,-4.7926,-64.657,NA,NA,NA,NA,NA
10179,-1.61767,3.89632,-4.39315,-71.388,NA,NA,NA,NA,NA
10227,-1.44022,3.82714,-4.88018,NA,-16.097,NA,NA,NA,NA
10512,-1.30814,3.3207,-4.99701,NA,NA,NA,NA,-81.052,NA
10776,-2.71273,3.18784,-4.26999,NA,-98.159,NA,NA,NA,NA
10854,-1.42245,3.75122,-4.75997,NA,NA,NA,-19.742,NA,NA
11100,-0.626428,4.15146,-4.70176,NA,NA,NA,-106.865,NA,NA
11339,-1.95813,4.99228,-4.24963,NA,NA,NA,NA,-79.999,NA
11537,-2.66568,3.88885,-4.41395,NA,NA,NA,-68.502,NA,NA
11797,-1.83921,4.91473,-4.8951,NA,NA,NA,NA,-70.1,NA
11879,-2.63335,4.56823,-4.86965,NA,-73.421,NA,NA,NA,NA
12018,-2.0999,4.59002,-4.75925,NA,NA,NA,-57.166,NA,NA
12266,-2.09179,4.51827,-4.94554,NA,NA,NA,NA,-54.413,NA
12520,-1.98439,4.48208,-3.22577,NA,NA,NA,NA,-127.268,NA
12644,-1.52931,3.26073,-4.65299,NA,NA,NA,-40.373,NA,NA
12951,-2.45104,3.81459,-4.32017,NA,-71.008,NA,NA,NA,NA
13034,-2.063,3.57246,-4.95292,NA,NA,NA,-29.885,NA,NA
13203,-1.68475,3.19318,-4.97217,NA,NA,NA,-41.576,NA,NA
13480,-1.07924,4.88424,-4.57759,NA,NA,NA,-95.06,NA,NA
13623,-2.73967,4.51128,-4.76805,NA,NA,NA,-71.538,NA,NA
13895,-2.46902,4.80065,-4.68609,-95.516,NA,NA,NA,NA,NA
14041,-2.15131,4.99932,-4.48095,-95.604,NA,NA,NA,NA,NA
14205,-1.98211,3.78351,-3.54757,NA,NA,NA,-120.74,NA,NA
14517,-2.56813,3.68417,-4.00626,NA,-93.203,NA,NA,NA,NA
14776,-1.22122,4.16906,-4.0205,NA,NA,NA,-89.437,NA,NA
14947,-1.83943,4.10567,-4.37751,NA,-44.217,NA,NA,NA,NA
15042,-0.328851,4.60406,-4.03473,NA,NA,NA,-191.625,NA,NA
15222,-1.90358,3.81804,-4.77283,-64.692,NA,NA,NA,NA,NA
15492,-2.45873,3.28351,-4.52612,NA,-79.815,NA,NA,NA,NA
15790,-2.70422,3.85312,-4.74258,NA,NA,NA,-74.606,NA,NA
15903,-2.39253,4.46012,-4.51088,NA,NA,NA,NA,-64.834,NA
16122,-3.35089,4.07575,-4.22328,NA,-107.405,NA,NA,NA,NA
16250,-2.66987,4.77681,-4.94157,NA,-83.845,NA,NA,NA,NA
16423,-2.52556,4.93258,-4.70234,NA,NA,NA,-79.134,NA,NA
16786,-2.47708,3.16492,-4.7239,-125.436,NA,NA,NA,NA,NA
16913,-2.19552,3.55741,-4.97771,-80.085,NA,NA,NA,NA,NA
17099,-1.93713,4.29948,-4.83534,NA,-49.895,NA,NA,NA,NA
17336,-2.58266,3.7472,-4.31304,-113.704,NA,NA,NA,NA,NA
17518,-3.46774,3.09179,-4.92237,-136.402,NA,NA,NA,NA,NA
17731,-3.01543,4.49889,-4.87884,-99.497,NA,NA,NA,NA,NA
17865,-2.8158,4.35592,-4.66664,NA,NA,NA,NA,-73.014,NA
18025,-3.38653,4.15783,-4.45578,-113.916,NA,NA,NA,NA,NA
18205,-4.12381,3.94703,-4.26921,-181.417,NA,NA,NA,NA,NA
18430,-3.8665,4.02077,-4.56789,-145.686,NA,NA,NA,NA,NA
18604,-2.89677,2.93879,-4.35018,NA,NA,NA,NA,-85.904,NA
18829,-2.53697,3.81565,-3.74297,NA,-93.602,NA,NA,NA,NA
