id,x0,x1,x2,fitness-5,fitness-4.5,fitness-4,fitness-3.5,fitness-3
145,0.919179,2.48194,-3.57615,-480.706,NA,NA,NA,NA
233,-0.936878,3.08902,-4.30342,NA,-139.138,NA,NA,NA
429,-1.12838,3.65649,-4.83837,NA,NA,-64.149,NA,NA
741,-2.04205,3.89531,-4.73726,NA,-35.631,NA,NA,NA
831,-2.2131,4.43655,-4.70253,NA,NA,-57.81,NA,NA
1186,-2.15899,4.60816,-4.28306,-73.655,NA,NA,NA,NA
1220,-2.04645,4.05048,-4.86988,NA,-35.445,NA,NA,NA
1402,-1.80558,4.07216,-4.8304,NA,-25.227,NA,NA,NA
1668,-1.85444,3.86828,-4.82123,NA,-17.46,NA,NA,NA
1881,-2.37726,4.54043,-3.75424,NA,-88.62,NA,NA,NA
2021,-1.69623,4.38278,-4.15572,NA,-63.396,NA,NA,NA
2350,-1.16015,3.59411,-4.97925,-42.991,NA,NA,NA,NA
2493,-1.78253,3.92019,-4.63609,-38.251,NA,NA,NA,NA
2723,-1.27264,4.0168,-4.47218,NA,NA,-56.602,NA,NA
2804,-2.10475,3.49926,-4.63305,-48.127,NA,NA,NA,NA
3200,-2.37119,4.84959,-4.65874,NA,-70.276,NA,NA,NA
3385,-2.81851,4.60569,-4.84332,NA,-76.147,NA,NA,NA
3544,-2.1853,3.97955,-4.72246,-47.381,NA,NA,NA,NA
3718,-1.70381,4.76824,-4.92022,-80.989,NA,NA,NA,NA
3881,-2.75093,4.30358,-4.03709,NA,-84.609,NA,NA,NA
4112,-2.51371,4.27695,-4.82094,NA,NA,-73.02,NA,NA
4294,-2.40799,4.45784,-4.89105,-60.229,NA,NA,NA,NA
4467,-1.98658,4.17808,-3.53273,-104.86,NA,NA,NA,NA
4623,-3.07872,4.15445,-4.59309,NA,-81.895,NA,NA,NA
4990,-2.37805,4.47642,-4.98642,-59.385,NA,NA,NA,NA
5110,-2.67655,3.4455,-4.52405,-69.383,NA,NA,NA,NA
5336,-1.46099,2.92423,-4.49003,NA,-76.555,NA,NA,NA
5506,-2.74564,3.48876,-4.55645,NA,NA,NA,-95.022,NA
5617,-1.80841,3.62302,-4.72502,NA,-16.863,NA,NA,NA
5946,-2.37251,4.68475,-4.25478,NA,NA,NA,-71.022,NA
6144,-2.76367,3.51106,-4.65684,-74.595,NA,NA,NA,NA
6228,-2.19226,4.14412,-4.39892,NA,-51.231,NA,NA,NA
6460,-2.23999,4.25991,-4.40505,NA,-46.463,NA,NA,NA
6662,-1.99218,4.45194,-4.80713,NA,NA,-72.159,NA,NA
7000,-2.14196,4.04693,-4.82942,NA,NA,-38.831,NA,NA
7175,-1.42586,3.89554,-4.78967,NA,NA,-15.541,NA,NA
7271,-1.32977,3.34117,-4.41573,NA,NA,-52.866,NA,NA
7529,-1.66104,3.37463,-4.89273,NA,-29.575,NA,NA,NA
7795,-1.81433,3.75765,-4.22655,NA,NA,-57.117,NA,NA
7932,-1.51799,3.40915,-4.77856,-57.148,NA,NA,NA,NA
8079,-1.4047,4.47824,-4.0036,NA,-87.384,NA,NA,NA
8251,-1.07265,4.33166,-4.98061,NA,-61.013,NA,NA,NA
8524,-2.39941,4.59201,-4.66339,NA,-60.017,NA,NA,NA
8649,-2.10753,4.79653,-4.17452,NA,NA,-90.932,NA,NA
8965,-2.08573,3.52324,-4.57878,NA,-42.13,NA,NA,NA
9186,-1.65191,3.58463,-4.7284,NA,NA,NA,-83.319,NA
9320,-1.99204,3.93789,-3.56819,NA,NA,-110.076,NA,NA
9411,-2.587,4.4406,-4.19304,NA,NA,-83.612,NA,NA
9745,-2.33552,3.79437,-4.69809,NA,-41.48,NA,NA,NA
9885,-1.88002,4.47972,-4.9406,NA,-50.373,NA,NA,NA
10120,-1.67179,4.49074,-4.87046,NA,-46.962,NA,NA,NA
10335,-1.93949,3.69787,-4.98378,NA,-25.336,NA,NA,NA
10579,-1.80984,4.15871,-4.96519,-38.453,NA,NA,NA,NA
10729,-1.99545,4.86852,-4.87574,NA,-75.728,NA,NA,NA
10860,-1.84871,3.96175,-4.59605,NA,NA,-33.061,NA,NA
11129,-2.93814,4.16835,-4.56401,NA,NA,-85.487,NA,NA
11326,-1.61382,4.29969,-4.70545,-44.179,NA,NA,NA,NA
11542,-2.63137,4.27804,-4.77873,NA,-50.119,NA,NA,NA
11603,-1.73733,4.74525,-4.94785,NA,-60.959,NA,NA,NA
11956,-1.37774,4.62195,-4.62768,-66.569,NA,NA,NA,NA
12048,-1.62943,4.28826,-4.21155,NA,NA,-49.277,NA,NA
12266,-2.751,4.21727,-4.70314,NA,-62.566,NA,NA,NA
12547,-1.04571,3.94395,-4.34263,-65.206,NA,NA,NA,NA
12782,-1.56404,4.15246,-4.01826,NA,-75.888,NA,NA,NA
12919,-1.51731,4.13389,-4.60372,-44.011,NA,NA,NA,NA
13186,-1.92575,3.92913,-4.22123,NA,-41.705,NA,NA,NA
13283,-2.85792,3.73275,-4.49613,NA,-78.277,NA,NA,NA
13494,-2.11736,3.20785,-4.23376,-75.468,NA,NA,NA,NA
13689,-2.83924,3.85815,-4.0793,NA,-87.426,NA,NA,NA
13980,-1.70293,4.27763,-4.26321,-86.31,NA,NA,NA,NA
14128,-2.12923,4.46456,-4.24476,NA,NA,-69.003,NA,NA
14237,-2.3357,4.67628,-4.63406,NA,-61.146,NA,NA,NA
14567,-2.16602,4.0973,-4.81745,NA,-40.46,NA,NA,NA
14771,-2.00497,4.35746,-4.37949,-50.183,NA,NA,NA,NA
14897,-2.14334,4.66095,-4.43275,NA,-62.595,NA,NA,NA
15116,-1.32916,4.3731,-4.61756,-62.443,NA,NA,NA,NA
15331,-1.53139,3.83485,-4.92213,-27.507,NA,NA,NA,NA
15478,-1.33143,4.41063,-4.3635,-61.231,NA,NA,NA,NA
15605,-1.50392,4.58681,-4.96922,NA,NA,-63.63,NA,NA
15826,-1.04852,4.93132,-4.60236,NA,-100.74,NA,NA,NA
16154,-1.81097,3.69362,-4.50035,NA,NA,-41.13,NA,NA
16234,-2.36268,4.88848,-4.88796,-77.118,NA,NA,NA,NA
16517,-2.59582,4.74899,-4.5093,NA,-77.968,NA,NA,NA
16709,-2.43922,4.52469,-4.55767,NA,NA,-70.206,NA,NA
16955,-2.10857,4.48416,-4.37522,NA,NA,-65.35,NA,NA
17052,-1.53207,3.33049,-4.32616,-69.202,NA,NA,NA,NA
17337,-1.65546,3.4488,-4.80097,NA,NA,-16.489,NA,NA
17509,-1.99548,4.25723,-4.79548,NA,NA,-47.411,NA,NA
17672,-1.65473,4.67324,-4.87803,-72.107,NA,NA,NA,NA
17882,-1.66928,4.0725,-4.50375,NA,-40.649,NA,NA,NA
18043,-1.22661,3.44492,-4.79567,NA,NA,NA,-103.327,NA
18225,-1.60224,3.93579,-4.59771,NA,-17.065,NA,NA,NA
18448,-2.27124,3.64841,-4.44855,NA,NA,-58.532,NA,NA
18746,-2.43289,3.78174,-4.36114,NA,-65.76,NA,NA,NA
18825,-2.18722,3.56588,-4.78479,NA,-42.677,NA,NA,NA
19102,-1.40356,3.57545,-4.58261,-41.153,NA,NA,NA,NA
19329,-2.74105,3.92619,-4.76138,NA,NA,-69.357,NA,NA
19528,-1.84062,4.49345,-4.48132,NA,-56.327,NA,NA,NA
19678,-1.54805,3.91823,-4.87417,-36.469,NA,NA,NA,NA
19856,-1.5623,3.17762,-4.9241,NA,NA,-62.743,NA,NA
20008,-2.12266,3.59279,-4.36733,-57.308,NA,NA,NA,NA
20248,-1.27928,4.14766,-4.94036,NA,-36.082,NA,NA,NA
20440,-1.94977,4.51111,-4.3287,-70.63,NA,NA,NA,NA
20619,-1.88121,4.37918,-4.77915,NA,NA,-43.913,NA,NA
20862,-2.42041,4.73326,-4.68552,NA,-64.446,NA,NA,NA
21114,-2.40101,4.33275,-4.84502,-50.93,NA,NA,NA,NA
21263,-0.993276,4.48796,-4.94792,-84.579,NA,NA,NA,NA
21481,-1.47336,4.26583,-4.72002,NA,-37.248,NA,NA,NA
21715,-1.6527,3.36232,-4.72449,-32.313,NA,NA,NA,NA
21873,-1.39675,3.71887,-4.8669,NA,NA,-2.441,NA,NA
22159,-1.95035,4.84583,-4.44875,NA,-73.881,NA,NA,NA
22359,-1.43894,3.38384,-4.32367,-41.814,NA,NA,NA,NA
22420,-2.27582,4.46198,-4.46386,NA,NA,-72.403,NA,NA
22671,-1.94052,4.66886,-4.95172,NA,NA,NA,-74.042,NA
22928,-3.00756,3.99209,-4.69483,NA,-74.971,NA,NA,NA
23154,-2.14428,4.65695,-4.98288,NA,NA,-64.765,NA,NA
23271,-1.42801,3.96682,-4.80809,NA,NA,-22.455,NA,NA
23461,-1.52078,3.67204,-4.75731,-29.042,NA,NA,NA,NA
23669,-1.12827,4.468,-4.24144,NA,-85.04,NA,NA,NA
23963,-2.64166,4.77808,-4.72039,NA,NA,-85.033,NA,NA
24199,-2.19488,4.16403,-4.63774,NA,NA,-56.805,NA,NA
24271,-1.45109,4.12702,-4.47662,NA,-44.427,NA,NA,NA
24419,-1.84568,4.62239,-4.97619,NA,NA,-60.96,NA,NA
24720,-1.7471,4.47067,-4.91674,NA,NA,-53.671,NA,NA
24816,-1.02929,4.16624,-4.92016,-48.016,NA,NA,NA,NA
25092,-1.37121,3.71268,-4.23302,NA,-65.44,NA,NA,NA
25273,-1.08173,3.77426,-4.50831,NA,NA,-57.855,NA,NA
25481,-1.37646,3.80013,-4.94352,NA,NA,NA,-22.994,NA
25605,-1.54303,3.98069,-4.7481,NA,NA,-23.994,NA,NA
25801,-2.46369,4.08486,-4.44025,NA,-60.314,NA,NA,NA
26026,-1.46074,3.68024,-4.91197,NA,-19.496,NA,NA,NA
26234,-2.05777,3.6667,-4.51755,NA,NA,-40.644,NA,NA
26560,-1.1184,4.24805,-3.90053,NA,-139.042,NA,NA,NA
26668,-1.36968,4.44763,-4.10287,NA,-86.605,NA,NA,NA
26874,-1.14762,4.82545,-4.23395,-86.691,NA,NA,NA,NA
27016,-2.50001,4.70235,-4.39147,NA,NA,-76.682,NA,NA
27313,-3.03017,3.87953,-4.8293,NA,NA,-70.13,NA,NA
27487,-2.18321,3.71911,-4.12821,NA,-65.236,NA,NA,NA
27620,-2.1594,3.74527,-4.28523,NA,NA,-63.283,NA,NA
27930,-1.11503,3.92853,-3.72691,NA,NA,-115.006,NA,NA
28072,-1.2351,3.27613,-4.74783,NA,NA,-41.578,NA,NA
28378,-1.26844,3.79617,-4.86637,NA,NA,-23.934,NA,NA
28539,-1.82606,3.64265,-4.26926,NA,-48.945,NA,NA,NA
28637,-2.04132,3.22071,-4.37921,NA,NA,-71.563,NA,NA
28872,-2.54516,4.1597,-4.25354,NA,NA,-73.362,NA,NA
29099,-2.49786,4.10975,-4.65854,NA,-56.334,NA,NA,NA
29357,-2.1825,4.21889,-4.91054,NA,-45.715,NA,NA,NA
29504,-1.75546,4.00654,-4.73484,NA,-31.855,NA,NA,NA
29769,-1.83155,3.93927,-4.29943,NA,-46.627,NA,NA,NA
29945,-1.26919,3.93328,-4.72025,NA,-20.253,NA,NA,NA
30185,-1.5307,3.48039,-4.52044,NA,-22.168,NA,NA,NA
30353,-0.713235,4.56312,-4.13199,NA,-119.887,NA,NA,NA
30570,-1.01055,4.57244,-4.21476,-94.228,NA,NA,NA,NA
30739,-1.83842,4.04932,-4.89881,NA,NA,-37.836,NA,NA
30845,-1.85974,3.79004,-4.31069,NA,-40.531,NA,NA,NA
31174,-2.12737,3.47748,-4.46365,-52.507,NA,NA,NA,NA
31319,-2.09469,2.89586,-3.85021,-93.829,NA,NA,NA,NA
31478,-2.60591,3.76392,-4.99096,NA,NA,-67.928,NA,NA
31693,-1.97925,3.95837,-4.84504,NA,NA,-34.331,NA,NA
31978,-2.58965,3.36938,-4.81646,NA,-58.542,NA,NA,NA
32116,-1.75256,3.61729,-4.87044,-30.677,NA,NA,NA,NA
32311,-1.60591,4.0547,-4.93782,NA,-29.693,NA,NA,NA
32570,-2.23648,4.71506,-4.47617,NA,-74.495,NA,NA,NA
32765,-1.93292,4.4068,-4.70587,NA,NA,-51.606,NA,NA
32811,-1.54436,3.73295,-4.88213,-35.406,NA,NA,NA,NA
33065,-1.89976,4.48845,-4.91653,NA,-49.004,NA,NA,NA
33398,-1.83904,3.55955,-4.4941,NA,NA,-36.265,NA,NA
33412,-1.80561,4.88702,-4.6981,NA,-67.881,NA,NA,NA
33688,-1.78277,4.50036,-4.739,NA,-48.906,NA,NA,NA
33943,-1.46633,4.32253,-4.86764,NA,-35.877,NA,NA,NA
34007,-2.18628,4.62291,-4.61256,NA,NA,-77.289,NA,NA
34206,-2.25816,4.42222,-4.7093,NA,NA,NA,-67.128,NA
34552,-1.97577,4.29766,-4.91784,NA,NA,NA,-93.094,NA
34681,-2.25373,4.84384,-4.62219,-75.812,NA,NA,NA,NA
34894,-1.93088,4.61472,-4.35714,NA,-66.271,NA,NA,NA
35197,-2.59176,4.36695,-4.16604,-74.128,NA,NA,NA,NA
35371,-1.36881,3.73095,-4.42501,NA,-22.516,NA,NA,NA
35434,-1.53227,4.85992,-4.11395,-91.356,NA,NA,NA,NA
35796,-1.93942,4.26591,-4.85374,NA,-31.338,NA,NA,NA
35972,-2.4957,3.26142,-4.6695,NA,NA,-83.086,NA,NA
36012,-2.29209,4.82842,-4.67901,NA,-64.727,NA,NA,NA
36275,-2.05973,4.64375,-4.60883,NA,-63.269,NA,NA,NA
36574,-2.36085,3.35487,-4.35045,NA,-42.868,NA,NA,NA
36733,-2.31925,3.74035,-4.29801,-48.615,NA,NA,NA,NA
36889,-1.91768,4.54711,-4.84571,NA,-57.512,NA,NA,NA
37150,-1.27612,4.06319,-4.9589,NA,NA,-25.598,NA,NA
37289,-2.36732,4.25651,-4.22307,NA,-64.306,NA,NA,NA
37552,-2.71969,4.46636,-4.69736,NA,-69.126,NA,NA,NA
37790,-1.83554,4.27535,-4.58478,NA,NA,-48.595,NA,NA
37949,-1.56166,4.91006,-4.75643,NA,-73.402,NA,NA,NA
38173,-1.46737,3.57512,-4.73985,NA,NA,-3.975,NA,NA
38234,-1.85617,3.40295,-4.09652,NA,NA,-85.743,NA,NA
38548,-2.25664,3.09587,-4.00041,NA,-96.402,NA,NA,NA
38645,-1.70192,4.81856,-4.95938,NA,-52.573,NA,NA,NA
38997,-1.53921,4.14376,-4.55774,NA,-33.085,NA,NA,NA
39168,-1.14445,3.43218,-4.61419,-65.481,NA,NA,NA,NA
39226,-1.71759,3.90588,-3.88192,-100.198,NA,NA,NA,NA
39531,-2.48507,4.29903,-4.87696,-62.413,NA,NA,NA,NA
39778,-2.04806,4.68505,-4.92926,NA,-58.244,NA,NA,NA
39906,-1.46456,4.87853,-3.93704,NA,-99.824,NA,NA,NA
40148,-2.36266,4.43424,-4.73646,-59.073,NA,NA,NA,NA
40328,-1.48567,4.40827,-4.45073,NA,-58.343,NA,NA,NA
40426,-2.4127,3.44934,-4.65616,NA,NA,-65.415,NA,NA
40747,-2.20269,4.00058,-4.10346,NA,-67.87,NA,NA,NA
40802,-2.0684,4.81576,-4.48896,NA,NA,NA,-97.529,NA
41151,-2.29557,4.33987,-3.81161,-74.059,NA,NA,NA,NA
41398,-2.38532,4.0276,-4.32341,NA,-63.06,NA,NA,NA
41484,-1.36007,3.72952,-4.2916,NA,NA,-49.63,NA,NA
41757,-1.97529,4.26052,-4.37642,-42.747,NA,NA,NA,NA
41843,-1.49712,3.27259,-4.36086,NA,-63.927,NA,NA,NA
42114,-1.82422,4.04802,-4.87599,NA,NA,-30.755,NA,NA
42310,-0.916257,4.48818,-4.67004,NA,-87.57,NA,NA,NA
42415,-1.5879,3.73516,-4.32633,NA,-42.173,NA,NA,NA
