id,x0,x1,x2,fitness-4.5,fitness-3,fitness-3.5,fitness-4,fitness-5,fitness-2.5
22,-2.2104,4.30051,-4.81687,-54.958,NA,NA,NA,NA,NA
255,-2.00515,4.10973,-4.11234,NA,-143.843,NA,NA,NA,NA
490,-1.75763,4.01712,-4.56006,-28.913,NA,NA,NA,NA,NA
663,-1.21968,3.93134,-4.85505,-18.445,NA,NA,NA,NA,NA
845,-1.45121,4.55925,-4.30856,-59.673,NA,NA,NA,NA,NA
1080,-2.34002,4.33266,-4.98649,NA,NA,-56.082,NA,NA,NA
1289,-1.66678,3.89234,-4.98463,NA,NA,NA,-8.595,NA,NA
1496,-1.81067,4.1136,-4.60343,NA,NA,NA,-38.206,NA,NA
1629,-1.24899,4.30954,-4.84676,NA,NA,NA,-61.941,NA,NA
1963,-1.69335,3.88863,-4.34276,-51.052,NA,NA,NA,NA,NA
2127,-1.54318,4.46161,-4.77034,NA,NA,NA,NA,-59.584,NA
2316,-1.58575,4.46881,-4.73884,NA,NA,NA,-50.673,NA,NA
2538,-3.23287,4.84158,-4.70068,-106.624,NA,NA,NA,NA,NA
2602,-3.27302,4.25747,-4.36257,-96.759,NA,NA,NA,NA,NA
2909,-1.74357,3.96664,-4.55263,NA,NA,NA,-27.436,NA,NA
3036,-1.04813,4.6028,-4.81707,-55.534,NA,NA,NA,NA,NA
3343,-2.02944,4.61919,-4.48733,-56.002,NA,NA,NA,NA,NA
3427,-1.29175,4.00144,-4.90156,NA,NA,NA,NA,-35.007,NA
3706,-1.9823,4.61022,-4.85954,NA,NA,NA,-51.978,NA,NA
3857,-1.90664,3.60989,-4.29301,-45.517,NA,NA,NA,NA,NA
4128,-1.56938,4.2172,-4.9308,NA,NA,NA,-32.806,NA,NA
4282,-1.81634,4.75955,-4.92519,NA,NA,NA,NA,-68.056,NA
4594,-1.87722,4.10157,-4.25395,NA,NA,NA,-55.251,NA,NA
4741,-2.04376,4.44059,-4.61523,NA,NA,NA,-56.259,NA,NA
4959,-2.47999,3.36016,-4.96358,-61.7,NA,NA,NA,NA,NA
5018,-1.73292,4.12374,-4.99307,NA,NA,NA,NA,-37.077,NA
5310,-2.07599,3.31288,-4.44322,-70.975,NA,NA,NA,NA,NA
5597,-1.26767,3.27637,-4.96303,NA,NA,NA,-35.084,NA,NA
5674,-1.95933,4.65625,-4.96888,NA,NA,NA,NA,-52.435,NA
5989,-2.33164,3.77753,-4.9433,-44.412,NA,NA,NA,NA,NA
6172,-2.67977,3.59519,-4.53212,-67.46,NA,NA,NA,NA,NA
6389,-2.1224,3.38005,-4.69623,-39.544,NA,NA,NA,NA,NA
6586,-1.52706,3.83138,-4.77954,-8.348,NA,NA,NA,NA,NA
6655,-2.08172,4.26519,-4.93765,-30.949,NA,NA,NA,NA,NA
6869,-0.980917,3.47608,-4.59188,-73.122,NA,NA,NA,NA,NA
7192,-1.77759,3.49056,-4.76768,-19.687,NA,NA,NA,NA,NA
7304,-2.03723,3.52075,-4.45831,-50.181,NA,NA,NA,NA,NA
7477,-1.43683,3.08014,-4.5038,NA,NA,NA,-64.212,NA,NA
7608,-2.24608,4.14252,-4.94749,NA,NA,NA,-51.677,NA,NA
7869,-2.84051,4.45181,-4.82447,-73.875,NA,NA,NA,NA,NA
