id,x0,x1,x2,fitness-1,fitness-2.5,fitness-3,fitness-4,fitness-4.5,fitness-5,fitness-3.5,fitness-2
74,0.428104,3.03836,-4.80735,-475.864,NA,NA,NA,NA,NA,NA,NA
291,-0.637789,3.4782,-4.61992,-555.934,NA,NA,NA,NA,NA,NA,NA
532,-1.48719,3.26094,-4.8321,NA,-313.126,NA,NA,NA,NA,NA,NA
660,-0.0303791,3.36422,-4.5886,NA,NA,-360.941,NA,NA,NA,NA,NA
967,0.452819,4.72972,-4.91689,NA,NA,NA,-347.721,NA,NA,NA,NA
1048,-1.29194,4.13297,-4.21247,NA,NA,NA,-76.595,NA,NA,NA,NA
1356,-1.03842,3.51881,-4.56249,NA,NA,NA,NA,-58.102,NA,NA,NA
1415,-0.922132,3.78326,-4.38332,NA,NA,NA,NA,NA,-90.414,NA,NA
1708,-2.1139,4.4863,-3.4295,NA,NA,-205.252,NA,NA,NA,NA,NA
1812,-1.54833,3.39854,-3.71611,NA,-300.51,NA,NA,NA,NA,NA,NA
2114,-1.85859,2.69254,-2.86128,NA,NA,NA,NA,NA,NA,-292.435,NA
2346,-1.37744,2.9747,-4.70477,NA,NA,NA,NA,NA,-62.055,NA,NA
2505,-1.33438,2.62986,-3.05958,NA,NA,NA,NA,NA,-228.994,NA,NA
2682,-2.65634,2.74028,-4.32396,NA,NA,NA,-108.278,NA,NA,NA,NA
2865,-1.10744,3.11046,-4.65384,NA,NA,NA,NA,NA,NA,-160.444,NA
3077,-1.83901,3.55474,-4.29283,NA,-193.272,NA,NA,NA,NA,NA,NA
3331,-2.95754,3.74435,-4.62455,NA,NA,-123.579,NA,NA,NA,NA,NA
3429,-1.34919,3.72024,-4.64721,NA,NA,NA,NA,-27.115,NA,NA,NA
3601,-1.46365,3.39628,-4.94964,NA,NA,NA,-20.904,NA,NA,NA,NA
3801,-1.90799,3.44082,-4.25395,NA,NA,-185.972,NA,NA,NA,NA,NA
4012,-2.99086,3.57998,-4.40891,NA,NA,-139.118,NA,NA,NA,NA,NA
4319,-3.67471,3.64887,-4.13489,NA,NA,-178.136,NA,NA,NA,NA,NA
4409,-2.43322,4.21534,-4.69622,NA,NA,-134.655,NA,NA,NA,NA,NA
4633,-1.82691,2.7248,-4.32373,NA,NA,NA,NA,NA,NA,-152.064,NA
4991,-1.51672,4.38887,-3.95672,NA,NA,NA,-86.134,NA,NA,NA,NA
5184,-2.56716,4.21594,-3.39106,NA,NA,NA,NA,-114.135,NA,NA,NA
5228,-2.1575,4.1084,-2.72615,NA,NA,NA,NA,NA,NA,-211.102,NA
5599,-1.96993,4.34891,-3.95448,NA,NA,NA,NA,NA,NA,-117.746,NA
5612,-1.92439,4.53579,-2.7444,NA,NA,NA,NA,NA,NA,-199.364,NA
5963,-3.24879,4.37969,-4.46327,NA,NA,NA,NA,-100.971,NA,NA,NA
6146,-2.8231,4.62178,-3.94466,NA,NA,NA,NA,NA,NA,-125.762,NA
6223,-2.86458,3.1793,-4.69386,NA,NA,NA,NA,NA,NA,-103.177,NA
6404,-2.44696,3.36982,-4.64945,NA,NA,-131.763,NA,NA,NA,NA,NA
6602,-2.47413,4.19939,-4.51002,NA,NA,NA,NA,NA,NA,-85.572,NA
6923,-2.90166,4.41343,-3.68876,NA,NA,-179.94,NA,NA,NA,NA,NA
7060,-3.82792,4.21686,-4.56715,NA,NA,NA,NA,-133.637,NA,NA,NA
