id,x0,x1,x2,fitness-4.5,fitness-3,fitness-5,fitness-4,fitness-3.5,fitness-2.5
124,-0.000928645,4.84587,-3.01949,-294.596,NA,NA,NA,NA,NA
394,-0.487002,3.79877,-4.5908,NA,-255.525,NA,NA,NA,NA
578,-1.60048,3.72882,-4.86473,NA,NA,-42.297,NA,NA,NA
792,-1.86918,2.31855,-4.09587,NA,NA,NA,-191.3,NA,NA
894,-1.82818,3.15982,-4.49539,-61.913,NA,NA,NA,NA,NA
1103,-1.84623,3.90102,-4.35983,NA,NA,-46.754,NA,NA,NA
1294,-1.50572,3.9353,-4.52304,-25.431,NA,NA,NA,NA,NA
1549,-1.45839,4.14115,-4.60495,-32.475,NA,NA,NA,NA,NA
1639,-2.2921,4.01913,-4.64257,NA,NA,-54.164,NA,NA,NA
1914,-2.3138,3.95294,-4.56915,-50.076,NA,NA,NA,NA,NA
2120,-2.28755,4.16315,-4.40989,NA,NA,-61.784,NA,NA,NA
2238,-1.43304,4.65904,-4.98861,NA,NA,NA,-73.477,NA,NA
2564,-3.11023,4.77641,-4.49216,NA,NA,NA,-105.721,NA,NA
2649,-1.60147,4.21211,-4.46787,-37.462,NA,NA,NA,NA,NA
2903,-1.59599,3.57346,-4.52911,NA,NA,NA,-20.795,NA,NA
3172,-2.04102,3.62734,-4.75399,-33.004,NA,NA,NA,NA,NA
3308,-2.52311,4.46946,-4.64856,NA,NA,NA,-68.267,NA,NA
3427,-3.63939,4.04157,-4.35337,-119.995,NA,NA,NA,NA,NA
3701,-3.89402,4.80572,-3.83596,NA,-212.873,NA,NA,NA,NA
3972,-3.23012,4.70844,-4.32879,-110.571,NA,NA,NA,NA,NA
4054,-2.01326,4.53158,-3.96889,NA,NA,-79.466,NA,NA,NA
4294,-2.16102,4.98082,-4.18567,NA,NA,-87.695,NA,NA,NA
4453,-1.22928,4.38553,-4.69635,NA,NA,-68.781,NA,NA,NA
4777,-2.47509,4.69238,-4.63256,-69.298,NA,NA,NA,NA,NA
4924,-2.13572,4.34646,-4.86504,NA,NA,-54.152,NA,NA,NA
5057,-2.06431,4.16635,-4.51273,-47.384,NA,NA,NA,NA,NA
5349,-1.36618,4.92587,-3.70254,-122.62,NA,NA,NA,NA,NA
5414,-1.46232,4.66397,-4.94945,-67.899,NA,NA,NA,NA,NA
5712,-3.15578,3.60802,-4.91622,NA,NA,NA,-91.799,NA,NA
5888,-3.74156,3.24808,-4.86172,-128.534,NA,NA,NA,NA,NA
6113,-3.26162,3.53513,-4.42251,-101.683,NA,NA,NA,NA,NA
6316,-2.51008,2.37858,-4.89484,-122.647,NA,NA,NA,NA,NA
6430,-2.78728,3.27807,-4.5104,-82.381,NA,NA,NA,NA,NA
6702,-3.67053,3.00027,-4.78284,NA,NA,-137.766,NA,NA,NA
6847,-2.38878,3.87887,-3.52232,-102.2,NA,NA,NA,NA,NA
7111,-2.17518,4.56952,-4.36758,-65.748,NA,NA,NA,NA,NA
7258,-2.84314,3.68486,-4.98967,-67.221,NA,NA,NA,NA,NA
7411,-3.08233,3.9003,-3.99875,NA,NA,-100.147,NA,NA,NA
7706,-2.91316,4.68981,-4.459,-93.988,NA,NA,NA,NA,NA
7893,-3.00443,4.81496,-4.20443,NA,NA,NA,-105.396,NA,NA
8172,-2.14471,4.93936,-4.32379,NA,NA,NA,-95.431,NA,NA
8347,-1.5933,4.58079,-4.55316,NA,NA,NA,-64.799,NA,NA
8439,-2.20638,4.50708,-4.79025,NA,NA,NA,-64.164,NA,NA
8628,-1.69298,4.83583,-4.38384,NA,NA,NA,-75.134,NA,NA
8911,-2.8114,4.20993,-4.54794,NA,NA,NA,-83.918,NA,NA
9187,-2.35191,4.76568,-4.89362,NA,NA,NA,-86.254,NA,NA
9313,-2.60552,4.01489,-4.73384,NA,NA,NA,-62.739,NA,NA
9409,-3.23766,3.75506,-4.29401,NA,NA,NA,-93.054,NA,NA
9703,-2.85075,4.63165,-3.53938,-120.222,NA,NA,NA,NA,NA
9944,-1.5938,3.28442,-4.52284,NA,NA,-52.699,NA,NA,NA
10077,-0.967519,4.58766,-4.30156,NA,NA,NA,-112.964,NA,NA
10260,-1.12176,4.84936,-3.8071,NA,NA,NA,-115.199,NA,NA
10425,-2.4538,4.14727,-4.54981,NA,NA,NA,-61.463,NA,NA
10612,-1.67349,4.73752,-4.19997,NA,NA,NA,NA,-70.35,NA
10942,-2.37849,4.45833,-3.82761,NA,NA,NA,NA,-136.276,NA
11088,-2.20235,4.94643,-3.11681,-149.636,NA,NA,NA,NA,NA
11316,-3.09671,4.85175,-3.66264,NA,NA,NA,-136.051,NA,NA
11523,-2.37163,4.9302,-4.30169,NA,NA,-83.704,NA,NA,NA
11624,-2.25241,3.8945,-4.75082,NA,NA,NA,NA,-83.255,NA
11805,-1.89684,4.54419,-4.70753,-54.065,NA,NA,NA,NA,NA
12048,-2.48845,4.7822,-4.98407,NA,NA,NA,-76.34,NA,NA
12289,-2.23316,4.7991,-3.37538,NA,NA,-118.626,NA,NA,NA
12444,-1.31794,4.51131,-3.51899,-130.878,NA,NA,NA,NA,NA
12704,-1.57496,4.89205,-3.23595,NA,NA,-143.349,NA,NA,NA
12869,-0.969323,4.52232,-4.00959,-119.605,NA,NA,NA,NA,NA
13171,-1.64468,4.30254,-4.47286,NA,NA,-59.133,NA,NA,NA
13285,-1.49611,4.51585,-4.47066,-59.969,NA,NA,NA,NA,NA
13502,-1.7158,3.80856,-4.05937,-65.553,NA,NA,NA,NA,NA
13657,-2.45296,3.77164,-4.41177,-65.675,NA,NA,NA,NA,NA
13996,-2.42974,3.35005,-3.76538,-99.27,NA,NA,NA,NA,NA
14014,-2.14209,4.02697,-3.61776,-96.799,NA,NA,NA,NA,NA
14304,-3.21924,3.29412,-4.69135,NA,NA,NA,-98.859,NA,NA
14559,-2.31249,3.38177,-4.57658,NA,NA,NA,-68.224,NA,NA
