id,x0,x1,x2,fitness-4,fitness-4.5,fitness-3.5,fitness-5,fitness-3
33,-3.0646,3.01638,-4.23953,-117.747,NA,NA,NA,NA
201,-2.40544,3.48168,-3.84397,NA,-107.274,NA,NA,NA
545,-1.39143,3.66209,-3.77785,NA,-109.007,NA,NA,NA
760,-0.909807,4.78538,-4.70763,NA,-99.813,NA,NA,NA
896,-2.28665,3.99986,-4.94255,NA,NA,-74.158,NA,NA
1077,-2.25346,3.72559,-4.2433,-61.014,NA,NA,NA,NA
1317,-2.20226,3.67611,-4.62346,NA,NA,NA,-47.632,NA
1562,-1.45653,3.11736,-4.49325,NA,-61.225,NA,NA,NA
1769,-2.85143,4.13212,-4.22827,-82.989,NA,NA,NA,NA
1927,-1.86958,3.93718,-4.45863,-54.006,NA,NA,NA,NA
2190,-1.79776,4.03129,-4.73393,NA,NA,-56.152,NA,NA
2212,-2.71292,4.06747,-4.38879,NA,-72.227,NA,NA,NA
2458,-1.65182,3.87138,-4.13395,NA,NA,NA,-54.458,NA
2764,-1.02934,3.98865,-4.61405,NA,-54.595,NA,NA,NA
2924,-1.38559,3.42515,-4.66579,NA,-12.759,NA,NA,NA
3190,-0.822796,4.29069,-4.31038,NA,NA,NA,-71.619,NA
3327,-1.4928,3.78863,-4.96545,NA,-3.956,NA,NA,NA
3503,-0.958822,4.25402,-4.70727,NA,-75.43,NA,NA,NA
3794,-2.12505,4.07243,-4.95068,NA,NA,-72.727,NA,NA
3981,-2.5993,4.7537,-3.5084,-123.763,NA,NA,NA,NA
4143,-2.34981,3.9856,-4.72293,NA,-45.19,NA,NA,NA
4212,-2.67221,4.07081,-4.88689,NA,-58.606,NA,NA,NA
4417,-2.56796,4.8077,-4.23159,NA,-77.434,NA,NA,NA
4689,-1.92757,4.11288,-4.49606,-45.835,NA,NA,NA,NA
4999,-2.32195,4.28282,-4.94485,NA,NA,NA,-47.162,NA
5189,-1.83929,4.10144,-4.33128,-46.669,NA,NA,NA,NA
5296,-1.92904,3.91733,-3.75203,-88.091,NA,NA,NA,NA
5427,-1.61479,4.872,-4.51041,NA,-76.782,NA,NA,NA
5731,-2.27175,4.36351,-4.71733,NA,-54.042,NA,NA,NA
5868,-1.38248,4.66782,-4.68671,NA,NA,NA,-57.933,NA
6055,-2.05393,4.49648,-4.77001,NA,NA,NA,-56.347,NA
6290,-1.66221,3.51689,-4.91724,NA,-17.636,NA,NA,NA
6446,-2.08172,4.98862,-4.41588,-85.955,NA,NA,NA,NA
6757,-1.83955,3.93001,-4.40904,-40.909,NA,NA,NA,NA
6919,-1.67946,4.06263,-4.39328,NA,NA,-98.316,NA,NA
7124,-1.31198,4.76111,-4.84969,-82.294,NA,NA,NA,NA
7355,-2.40509,4.89627,-4.78944,NA,NA,-101.214,NA,NA
7599,-1.81797,4.54732,-4.63477,-70.069,NA,NA,NA,NA
7653,-1.78554,3.25845,-4.85339,-39.594,NA,NA,NA,NA
7956,-2.06517,3.87333,-4.28635,-38.269,NA,NA,NA,NA
8170,-1.97236,4.16616,-3.88642,NA,NA,NA,-90.501,NA
8337,-1.71013,4.11247,-4.4325,NA,NA,NA,-58.952,NA
8497,-1.96961,2.73843,-4.62977,NA,NA,NA,-97.521,NA
8604,-1.8826,4.56795,-4.65828,NA,-55.346,NA,NA,NA
8991,-1.94773,4.22371,-4.98138,NA,-38.608,NA,NA,NA
9070,-1.68998,3.54867,-4.08698,NA,-64.699,NA,NA,NA
9250,-2.49232,3.37998,-4.97503,NA,-62.935,NA,NA,NA
9465,-2.52503,3.60738,-4.70941,NA,NA,NA,-62.338,NA
9683,-2.71473,3.88739,-4.69294,NA,-66.871,NA,NA,NA
9955,-1.27459,3.48756,-4.80267,NA,-11.057,NA,NA,NA
10113,-1.80044,4.72558,-4.47556,NA,NA,NA,-64.867,NA
10213,-1.1008,4.61519,-4.50157,-93.888,NA,NA,NA,NA
10538,-1.91262,4.25241,-4.14288,NA,-70.703,NA,NA,NA
10692,-1.38063,4.40409,-4.61988,NA,-56.719,NA,NA,NA
10810,-2.01805,4.16622,-4.6471,NA,NA,NA,-49.322,NA
11103,-2.19275,4.71426,-4.92328,NA,-59.849,NA,NA,NA
11347,-1.85206,3.92017,-4.79625,NA,NA,NA,-40.088,NA
11455,-3.01113,3.27411,-4.91297,NA,NA,NA,-78.019,NA
11739,-2.56963,4.06265,-4.90012,NA,-54.746,NA,NA,NA
11854,-1.63912,4.23489,-4.56739,NA,-37.784,NA,NA,NA
12143,-1.85574,3.87953,-4.83419,NA,-24.226,NA,NA,NA
12397,-2.35243,3.2617,-4.60365,NA,NA,-105.242,NA,NA
12499,-1.93612,3.67889,-4.86733,NA,NA,-64.373,NA,NA
12775,-2.13774,4.316,-4.65205,-51.085,NA,NA,NA,NA
