id,x0,x1,x2,fitness-2,fitness-1.5,fitness-4,fitness-4.5,fitness-5,fitness-3.5
48,-1.58432,2.83504,-2.84284,-453.023,NA,NA,NA,NA,NA
356,-1.81358,2.89616,-3.74813,NA,-353.591,NA,NA,NA,NA
434,-3.24509,3.17182,-3.97713,NA,NA,-136.841,NA,NA,NA
631,-2.61694,2.55793,-3.57031,NA,NA,NA,-148.969,NA,NA
925,-2.28588,3.48229,-4.56195,NA,NA,-56.027,NA,NA,NA
1184,-2.19181,3.10896,-4.69065,NA,NA,NA,NA,-74.629,NA
1325,-1.83944,3.90318,-4.8809,NA,NA,NA,-16.428,NA,NA
1575,-1.45172,3.9331,-4.64588,NA,NA,NA,-17.399,NA,NA
1717,-0.969311,4.73744,-4.92482,NA,NA,NA,-72.834,NA,NA
1932,-2.00525,4.31997,-4.53126,NA,NA,NA,NA,-49.638,NA
2006,-1.36819,3.60615,-4.76871,NA,NA,NA,-7.716,NA,NA
2240,-1.75976,3.39087,-4.50925,NA,NA,NA,-28.265,NA,NA
2445,-2.58502,3.76758,-4.61257,NA,NA,NA,NA,-60.817,NA
2732,-2.11508,4.65172,-4.20463,NA,NA,NA,-65.458,NA,NA
2916,-1.88153,3.74646,-4.14731,NA,NA,NA,NA,-68.673,NA
3038,-1.89959,4.57393,-4.53909,NA,NA,NA,NA,-60.71,NA
3288,-1.78116,3.64479,-4.68024,NA,NA,-27.147,NA,NA,NA
3502,-2.5462,3.84676,-4.71277,NA,NA,NA,NA,-55.006,NA
3706,-1.89425,3.72329,-4.76145,NA,NA,NA,NA,-33.642,NA
3824,-1.79401,3.13634,-4.87736,NA,NA,NA,-43.49,NA,NA
4132,-2.41863,4.08369,-4.86266,NA,NA,NA,NA,-51.724,NA
4228,-1.88612,3.41431,-4.74611,NA,NA,NA,NA,-43.364,NA
4571,-1.14302,3.89443,-4.84265,NA,NA,NA,-38.029,NA,NA
4623,-2.64742,4.01811,-4.94805,NA,NA,NA,NA,-61.921,NA
4962,-1.1127,3.77887,-4.79247,NA,NA,-41.523,NA,NA,NA
5148,-1.63381,4.28539,-4.7842,NA,NA,-36.562,NA,NA,NA
5327,-1.9785,3.80101,-4.78604,NA,NA,NA,-33.81,NA,NA
5476,-1.80884,4.09118,-4.61484,NA,NA,NA,-30.335,NA,NA
5674,-1.85507,4.04186,-4.95331,NA,NA,NA,-29.017,NA,NA
5982,-0.818166,4.32118,-4.95987,NA,NA,NA,-59.738,NA,NA
6063,-2.44321,4.22132,-4.74368,NA,NA,NA,-58.685,NA,NA
6291,-2.30156,2.8464,-4.38868,NA,NA,NA,NA,-76.36,NA
6491,-1.70232,4.03021,-4.76472,NA,NA,NA,-18.135,NA,NA
6610,-1.56249,4.24726,-4.35633,NA,NA,NA,-44.821,NA,NA
6922,-1.28482,4.07811,-4.61698,NA,NA,NA,-41.13,NA,NA
7106,-1.97671,3.66589,-4.98598,NA,NA,NA,NA,NA,-57.788
7290,-1.85146,4.79417,-3.99018,NA,NA,NA,-87.205,NA,NA
7471,-1.54895,4.48685,-4.91941,NA,NA,NA,NA,-57.837,NA
7748,-1.37037,4.26104,-4.46784,NA,NA,-63.099,NA,NA,NA
7995,-1.58495,4.11857,-4.6646,NA,NA,NA,NA,-38.672,NA
8097,-2.39922,4.24184,-4.39176,NA,NA,NA,-50.832,NA,NA
8295,-1.86055,4.06117,-4.68901,NA,NA,NA,NA,-41.22,NA
8486,-1.77753,3.8713,-4.96153,NA,NA,-57.693,NA,NA,NA
8786,-1.50676,3.66353,-4.48246,NA,NA,-35.729,NA,NA,NA
8970,-1.31701,3.77429,-4.7831,NA,NA,NA,-18.7,NA,NA
9009,-2.14881,3.14409,-4.34378,NA,NA,NA,-76.182,NA,NA
9340,-2.3825,3.47864,-4.70998,NA,NA,NA,-62.911,NA,NA
9562,-1.16284,3.52582,-4.81084,NA,NA,NA,-31.925,NA,NA
9771,-2.45013,3.48579,-4.98962,NA,NA,NA,-56.761,NA,NA
9991,-2.41805,3.69956,-4.4159,NA,NA,NA,-60.929,NA,NA
10136,-2.48999,3.58181,-4.71789,NA,NA,NA,-56.256,NA,NA
10400,-1.73394,3.24367,-4.72274,NA,NA,-44.024,NA,NA,NA
10447,-1.4193,4.13076,-4.73346,NA,NA,NA,-31.443,NA,NA
10745,-1.07713,3.53245,-4.69848,NA,NA,-42.767,NA,NA,NA
10868,-1.73725,4.08114,-4.35689,NA,NA,NA,-36.652,NA,NA
11174,-1.6107,4.37104,-4.98864,NA,NA,NA,NA,-45.542,NA
11383,-1.85151,3.89421,-4.9239,NA,NA,NA,-18.867,NA,NA
11573,-3.13042,3.91564,-4.68531,NA,NA,NA,-82.539,NA,NA
11635,-1.9821,3.90718,-4.96326,NA,NA,-32.117,NA,NA,NA
11907,-1.12704,3.83655,-4.56171,NA,NA,-41.695,NA,NA,NA
12072,-1.64939,4.17021,-4.78852,NA,NA,NA,NA,-32.057,NA
12276,-2.14517,4.33111,-4.81253,NA,NA,NA,NA,-55.875,NA
12465,-2.9644,4.06121,-4.74919,NA,NA,NA,-75.826,NA,NA
12641,-2.22815,4.21057,-4.98602,NA,NA,-51.252,NA,NA,NA
12906,-1.93966,4.75808,-4.94859,NA,NA,-70.214,NA,NA,NA
13002,-1.942,3.83667,-4.97558,NA,NA,-28.676,NA,NA,NA
13353,-2.5777,4.26982,-4.82128,NA,NA,NA,-51.018,NA,NA
13418,-2.37478,4.4906,-4.87027,NA,NA,NA,-57.663,NA,NA
13615,-2.54193,4.70928,-4.37226,NA,NA,NA,-73.55,NA,NA
13891,-1.84573,4.62946,-4.79999,NA,NA,NA,NA,-58.321,NA
14113,-1.1256,4.09587,-4.81347,NA,NA,NA,-45.622,NA,NA
14250,-1.18928,3.22954,-4.8573,NA,NA,NA,-60.749,NA,NA
14417,-1.19138,3.82896,-4.57578,NA,NA,NA,NA,-54.038,NA
14642,-1.57897,3.74409,-4.65859,NA,NA,-8.903,NA,NA,NA
14861,-1.43951,4.34914,-4.59573,NA,NA,NA,-45.313,NA,NA
15163,-2.14354,4.92176,-4.19834,NA,NA,NA,NA,-83.645,NA
15287,-1.52972,4.9591,-4.80057,NA,NA,NA,-76.005,NA,NA
15407,-1.24329,3.48883,-4.90437,NA,NA,-40.289,NA,NA,NA
15782,-1.66823,4.32913,-4.52118,NA,NA,-46.236,NA,NA,NA
15990,-2.43124,4.0234,-4.58782,NA,NA,-57.022,NA,NA,NA
16168,-1.38088,3.89346,-4.90933,NA,NA,NA,-11.834,NA,NA
16254,-1.39618,3.28402,-4.49313,NA,NA,NA,-54.749,NA,NA
16507,-1.4252,3.8934,-4.81693,NA,NA,NA,NA,-23.171,NA
16685,-1.82479,4.01684,-4.88656,NA,NA,NA,NA,-43.831,NA
16954,-1.62991,4.12594,-4.86125,NA,NA,-27.408,NA,NA,NA
17036,-1.28216,4.17287,-4.81377,NA,NA,-27.457,NA,NA,NA
17267,-2.72331,4.00571,-4.84974,NA,NA,NA,NA,-62.6,NA
17407,-1.63057,3.59547,-4.82509,NA,NA,NA,-15.03,NA,NA
17774,-1.30879,4.07292,-4.49469,NA,NA,-46.124,NA,NA,NA
17802,-2.10605,3.46521,-4.24031,NA,NA,NA,NA,-57.467,NA
18179,-1.61824,4.62731,-4.62256,NA,NA,NA,-56.543,NA,NA
18327,-1.74823,3.20873,-4.82992,NA,NA,NA,-44.891,NA,NA
18569,-2.41138,4.09643,-4.16254,NA,NA,NA,-64.393,NA,NA
18693,-2.47962,3.97542,-4.64697,NA,NA,NA,NA,-56.538,NA
18936,-1.83979,3.99517,-4.6307,NA,NA,NA,NA,-47.034,NA
19169,-2.21684,3.15447,-4.88529,NA,NA,NA,-60.794,NA,NA
19252,-2.51838,3.6105,-4.64322,NA,NA,NA,-59.817,NA,NA
19587,-2.07063,3.38321,-4.88669,NA,NA,NA,-22.812,NA,NA
19700,-2.06695,4.18956,-4.7788,NA,NA,-41.612,NA,NA,NA
19879,-2.29368,4.03756,-4.77546,NA,NA,-48.19,NA,NA,NA
20163,-1.29951,3.32383,-4.59635,NA,NA,NA,-43.109,NA,NA
20387,-1.04899,3.47189,-4.63392,NA,NA,NA,-54.505,NA,NA
20563,-1.52904,3.86242,-4.38443,NA,NA,NA,NA,-47.638,NA
20665,-1.50889,3.87867,-4.89164,NA,NA,NA,NA,-23.939,NA
20856,-1.85303,3.97137,-4.88364,NA,NA,NA,-23.167,NA,NA
21007,-1.94386,4.25164,-4.40028,NA,NA,NA,NA,-44.339,NA
21393,-1.48222,3.83915,-4.48376,NA,NA,NA,-24.263,NA,NA
21520,-1.85664,4.15833,-4.58855,NA,NA,NA,-38.472,NA,NA
21774,-1.51346,4.61499,-4.56029,NA,NA,-65.768,NA,NA,NA
