id,x0,x1,x2,fitness-2.5,fitness-4,fitness-4.5,fitness-3,fitness-3.5,fitness-5,fitness-2,fitness-1.5,fitness-1
106,-2.65354,3.77568,-0.602277,-795.074,NA,NA,NA,NA,NA,NA,NA,NA
213,-3.19159,4.29587,-0.00804747,NA,-759.115,NA,NA,NA,NA,NA,NA,NA
572,-3.78366,4.0629,-2.16074,NA,NA,-298.567,NA,NA,NA,NA,NA,NA
636,-4.27829,2.66248,-0.942023,NA,NA,NA,-774.926,NA,NA,NA,NA,NA
925,-3.72835,3.42088,-0.843897,NA,NA,NA,NA,-819.342,NA,NA,NA,NA
1146,-2.88944,4.85655,-0.967908,NA,NA,NA,NA,NA,-691.184,NA,NA,NA
1310,-1.26357,4.90537,-2.19046,NA,NA,-271.725,NA,NA,NA,NA,NA,NA
1404,-1.19594,4.57357,-4.42923,NA,NA,NA,NA,NA,-78.996,NA,NA,NA
1606,-1.9156,4.17248,-3.5368,NA,-104.878,NA,NA,NA,NA,NA,NA,NA
1812,-2.12314,2.95595,-3.39238,NA,NA,-142.776,NA,NA,NA,NA,NA,NA
2054,-3.07725,2.8211,-4.7749,NA,-124.676,NA,NA,NA,NA,NA,NA,NA
2272,-1.04617,2.85372,-4.25977,NA,NA,-176.332,NA,NA,NA,NA,NA,NA
2597,-1.85352,4.12256,-4.6044,NA,NA,-33.04,NA,NA,NA,NA,NA,NA
2642,-3.01644,3.34862,-3.68324,NA,NA,NA,NA,-139.215,NA,NA,NA,NA
2851,-2.7807,3.77696,-3.86735,NA,NA,-93.633,NA,NA,NA,NA,NA,NA
3129,-1.71792,4.98663,-3.16057,NA,NA,NA,NA,-190.317,NA,NA,NA,NA
3355,-1.10684,3.55717,-3.83443,NA,NA,NA,NA,-178.491,NA,NA,NA,NA
3468,-1.16552,4.36818,-4.38961,NA,-124.125,NA,NA,NA,NA,NA,NA,NA
3773,-2.1096,4.71272,-4.4221,NA,NA,NA,NA,-103.712,NA,NA,NA,NA
3893,-1.26156,4.10102,-4.37247,NA,NA,NA,-173.369,NA,NA,NA,NA,NA
4180,-0.435636,4.1351,-4.61425,NA,NA,NA,-289.861,NA,NA,NA,NA,NA
4216,-2.85255,4.81533,-4.93909,NA,NA,-81.685,NA,NA,NA,NA,NA,NA
4487,-3.45207,3.62533,-3.99056,NA,NA,-120.127,NA,NA,NA,NA,NA,NA
4654,-2.98431,2.93628,-4.67912,NA,NA,NA,NA,-133.182,NA,NA,NA,NA
4938,-4.13901,2.80751,-4.13213,NA,NA,NA,-249.049,NA,NA,NA,NA,NA
5157,-3.48686,2.46666,-4.78535,NA,-149.437,NA,NA,NA,NA,NA,NA,NA
5278,-4.24876,1.12961,-4.25816,NA,NA,-334.04,NA,NA,NA,NA,NA,NA
5410,-4.35351,3.0311,-3.78201,NA,NA,-215.914,NA,NA,NA,NA,NA,NA
5696,-4.30123,2.98949,-4.68507,NA,NA,NA,NA,NA,-193.26,NA,NA,NA
5990,-2.73886,3.40787,-3.97006,NA,NA,NA,-140.222,NA,NA,NA,NA,NA
6047,-1.87963,4.17514,-4.16863,NA,NA,-60.306,NA,NA,NA,NA,NA,NA
6312,-2.87149,4.34934,-4.99867,NA,-77.243,NA,NA,NA,NA,NA,NA,NA
6427,-1.62987,3.92517,-4.06023,NA,NA,NA,NA,-108.463,NA,NA,NA,NA
6630,-2.01083,3.85197,-4.55878,NA,NA,NA,-131.8,NA,NA,NA,NA,NA
6819,-3.07234,4.36455,-4.81815,NA,NA,NA,NA,-114.168,NA,NA,NA,NA
7015,-2.73104,3.94583,-4.46512,NA,NA,NA,NA,-104.674,NA,NA,NA,NA
7350,-2.85127,4.18765,-2.37769,NA,NA,NA,NA,-268.402,NA,NA,NA,NA
7425,-3.54973,4.40367,-4.40775,NA,NA,-113.618,NA,NA,NA,NA,NA,NA
7644,-2.01547,4.88629,-4.63488,NA,NA,NA,NA,-102.233,NA,NA,NA,NA
7959,-1.92285,4.27394,-4.33332,NA,NA,NA,NA,NA,-50.423,NA,NA,NA
8168,-1.5256,3.55475,-4.97171,NA,NA,-4.37,NA,NA,NA,NA,NA,NA
8237,-1.60826,3.84321,-3.84838,NA,NA,NA,-160.023,NA,NA,NA,NA,NA
8498,-1.64468,4.64634,-3.89429,NA,NA,-73.686,NA,NA,NA,NA,NA,NA
8783,-0.558052,3.99917,-4.80139,NA,-166.732,NA,NA,NA,NA,NA,NA,NA
8811,-1.44534,4.54456,-4.02189,NA,-96.748,NA,NA,NA,NA,NA,NA,NA
9131,-1.82333,4.20909,-4.39104,NA,NA,NA,NA,-89.197,NA,NA,NA,NA
9254,-3.07681,3.23935,-3.81526,-225.135,NA,NA,NA,NA,NA,NA,NA,NA
9538,-2.62099,3.80367,-4.52773,NA,NA,-58.18,NA,NA,NA,NA,NA,NA
9733,-2.47274,3.20474,-4.90576,NA,NA,NA,NA,NA,-68.655,NA,NA,NA
9849,-2.87903,4.02503,-4.30391,NA,-83.253,NA,NA,NA,NA,NA,NA,NA
10168,-2.15269,4.98741,-4.6571,NA,NA,NA,-117.355,NA,NA,NA,NA,NA
10343,-3.05595,4.03641,-4.33101,NA,NA,NA,NA,-100.145,NA,NA,NA,NA
10576,-3.96766,4.05017,-4.98314,NA,NA,-141.862,NA,NA,NA,NA,NA,NA
10640,-2.80779,4.29414,-4.95063,NA,NA,-69.054,NA,NA,NA,NA,NA,NA
10921,-3.2562,3.80113,-4.30338,NA,NA,-88.224,NA,NA,NA,NA,NA,NA
11106,-3.71889,4.07825,-3.91507,NA,NA,NA,NA,-156.201,NA,NA,NA,NA
11240,-2.74886,3.05489,-4.20142,NA,NA,NA,-147.113,NA,NA,NA,NA,NA
11420,-2.41997,4.46362,-2.84357,NA,-182.7,NA,NA,NA,NA,NA,NA,NA
11652,-3.26856,4.22975,-4.28823,NA,-95.56,NA,NA,NA,NA,NA,NA,NA
11902,-3.01035,3.21717,-3.29805,NA,NA,-139.897,NA,NA,NA,NA,NA,NA
12041,-2.90797,4.38082,-4.28744,NA,NA,NA,NA,-112.653,NA,NA,NA,NA
12308,-1.89692,4.49814,-4.69473,NA,NA,NA,NA,-100.256,NA,NA,NA,NA
12595,-0.970103,4.66151,-4.21528,NA,NA,-114.6,NA,NA,NA,NA,NA,NA
12776,-1.42059,3.97612,-4.07855,NA,NA,-70.48,NA,NA,NA,NA,NA,NA
12979,-2.68662,4.3453,-3.69463,NA,NA,NA,NA,-133.032,NA,NA,NA,NA
13066,-3.62946,3.81049,-4.70087,NA,NA,-107.4,NA,NA,NA,NA,NA,NA
13356,-2.54434,3.67491,-3.08384,NA,NA,-142.257,NA,NA,NA,NA,NA,NA
13592,-2.80349,3.11294,-3.51229,NA,-150.063,NA,NA,NA,NA,NA,NA,NA
13793,-2.9836,2.95088,-3.60365,NA,-159.47,NA,NA,NA,NA,NA,NA,NA
13966,-2.47538,4.85573,-3.50611,NA,NA,NA,NA,NA,-120.532,NA,NA,NA
14139,-1.61107,4.46904,-3.6672,NA,NA,-102.691,NA,NA,NA,NA,NA,NA
14265,-1.22138,4.95435,-4.51653,NA,NA,-92.964,NA,NA,NA,NA,NA,NA
14523,-1.09219,4.68376,-4.56106,NA,NA,NA,NA,-118.393,NA,NA,NA,NA
14656,-1.44466,4.61361,-4.91414,NA,NA,-70.478,NA,NA,NA,NA,NA,NA
14981,-2.14839,4.7793,-4.63745,NA,NA,NA,NA,NA,-68.292,NA,NA,NA
15198,-2.97552,3.53605,-3.91937,NA,-108.743,NA,NA,NA,NA,NA,NA,NA
15259,-3.59234,3.01269,-2.84154,NA,NA,NA,NA,NA,-230.631,NA,NA,NA
15567,-4.71008,4.25077,-3.04292,NA,NA,-296.948,NA,NA,NA,NA,NA,NA
15620,-4.9304,4.23887,-4.7117,NA,NA,-253.266,NA,NA,NA,NA,NA,NA
15973,-4.50634,3.45873,-4.0935,NA,NA,-211.4,NA,NA,NA,NA,NA,NA
16046,-4.20422,3.01109,-4.76692,NA,NA,NA,NA,NA,-187.16,NA,NA,NA
16329,-2.95476,4.47415,-3.54595,NA,NA,NA,NA,NA,-122.877,NA,NA,NA
16457,-2.61736,4.74654,-4.65517,NA,NA,NA,NA,NA,-74.047,NA,NA,NA
16626,-1.08977,4.65401,-4.77569,NA,-76.009,NA,NA,NA,NA,NA,NA,NA
16905,-0.215962,4.55987,-4.76512,NA,NA,NA,NA,NA,-149.175,NA,NA,NA
17114,-0.329683,3.92429,-3.72955,NA,NA,-210.552,NA,NA,NA,NA,NA,NA
17211,-0.294777,4.82113,-4.95151,NA,NA,-157.864,NA,NA,NA,NA,NA,NA
17494,-0.485765,4.73038,-4.0065,NA,NA,-157.491,NA,NA,NA,NA,NA,NA
17725,-2.59009,4.64475,-4.19507,NA,-87.512,NA,NA,NA,NA,NA,NA,NA
17808,-2.12673,4.21038,-4.68888,NA,NA,NA,-120.483,NA,NA,NA,NA,NA
18049,-1.14002,4.24728,-4.83388,NA,NA,NA,NA,-92.641,NA,NA,NA,NA
18203,-1.63615,4.01916,-3.27953,NA,NA,-139.733,NA,NA,NA,NA,NA,NA
18578,-2.67563,3.77909,-3.64776,NA,-120.26,NA,NA,NA,NA,NA,NA,NA
18762,-2.95782,4.92812,-4.85685,NA,NA,NA,NA,NA,-98.595,NA,NA,NA
18921,-3.07722,4.15115,-4.18284,NA,NA,-89.682,NA,NA,NA,NA,NA,NA
19200,-2.25578,4.93389,-4.839,NA,-78.835,NA,NA,NA,NA,NA,NA,NA
19365,-2.35738,4.62748,-4.27271,NA,NA,NA,NA,-72.713,NA,NA,NA,NA
19596,-2.50522,4.21384,-3.69439,NA,NA,-90.479,NA,NA,NA,NA,NA,NA
19642,-2.48269,3.53222,-4.91765,NA,NA,NA,NA,-95.324,NA,NA,NA,NA
19922,-3.06112,3.97162,-4.4886,NA,-85.593,NA,NA,NA,NA,NA,NA,NA
20137,-1.04256,4.10325,-4.19721,NA,NA,NA,NA,NA,-95.858,NA,NA,NA
20267,-1.54853,4.42102,-4.13601,NA,NA,NA,NA,NA,-75.453,NA,NA,NA
20463,-1.32203,3.91734,-4.73644,NA,NA,NA,NA,NA,-31.969,NA,NA,NA
20601,-0.560466,4.82494,-4.61846,NA,NA,-133.797,NA,NA,NA,NA,NA,NA
20903,-2.08201,4.66561,-3.97007,NA,NA,NA,-140.75,NA,NA,NA,NA,NA
21136,-2.89276,4.25994,-3.53423,NA,NA,-119.537,NA,NA,NA,NA,NA,NA
21374,-2.98953,4.23732,-4.07574,NA,NA,-90.044,NA,NA,NA,NA,NA,NA
21453,-2.61029,4.84235,-3.04974,NA,NA,-153.641,NA,NA,NA,NA,NA,NA
21727,-2.78945,4.2793,-4.30093,NA,NA,-79.711,NA,NA,NA,NA,NA,NA
21815,-2.78557,4.55441,-4.07639,NA,-92.567,NA,NA,NA,NA,NA,NA,NA
22022,-3.43277,4.7747,-4.70736,NA,-118.444,NA,NA,NA,NA,NA,NA,NA
22264,-2.40381,3.95272,-4.76416,NA,NA,-48.95,NA,NA,NA,NA,NA,NA
22493,-3.85463,2.9186,-4.85291,NA,NA,-157.718,NA,NA,NA,NA,NA,NA
22662,-2.74536,3.22044,-3.93912,NA,NA,NA,NA,-133.973,NA,NA,NA,NA
22927,-1.68283,3.8737,-3.76819,NA,NA,-91.455,NA,NA,NA,NA,NA,NA
23090,-2.42469,3.15741,-3.25467,NA,NA,-149.499,NA,NA,NA,NA,NA,NA
23205,-2.07822,3.88276,-3.13674,NA,NA,-128.427,NA,NA,NA,NA,NA,NA
23576,-2.44615,4.78611,-3.34665,NA,NA,NA,NA,NA,-124.741,NA,NA,NA
23624,-3.13111,3.46061,-4.40529,NA,NA,NA,-143.31,NA,NA,NA,NA,NA
23924,-3.03583,4.06035,-3.39795,NA,NA,NA,-170.739,NA,NA,NA,NA,NA
24010,-2.70267,4.78695,-3.08521,NA,NA,-149.184,NA,NA,NA,NA,NA,NA
24245,-1.52478,4.96046,-2.30488,NA,NA,NA,NA,NA,-248.867,NA,NA,NA
24518,-1.40662,4.93626,-3.06667,NA,-182.304,NA,NA,NA,NA,NA,NA,NA
24781,-0.39062,4.02414,-4.47875,NA,NA,NA,NA,NA,-149.678,NA,NA,NA
24916,-1.97889,3.80769,-4.23105,NA,NA,NA,NA,NA,-73.209,NA,NA,NA
25081,-1.98,4.76399,-4.12475,NA,NA,NA,NA,NA,-89.259,NA,NA,NA
25305,-3.22919,4.01809,-3.89436,NA,-115.241,NA,NA,NA,NA,NA,NA,NA
25419,-2.27883,4.87115,-4.861,NA,NA,-71.832,NA,NA,NA,NA,NA,NA
25675,-2.01571,4.2502,-4.8932,NA,NA,NA,NA,NA,-53.437,NA,NA,NA
25985,-1.28205,4.87279,-3.20061,NA,NA,-154.344,NA,NA,NA,NA,NA,NA
26045,-2.06907,4.2455,-3.75985,NA,NA,-64.504,NA,NA,NA,NA,NA,NA
26330,-3.89284,4.7545,-4.89609,NA,NA,-152.124,NA,NA,NA,NA,NA,NA
26487,-4.65494,4.58516,-4.19064,NA,NA,-235.969,NA,NA,NA,NA,NA,NA
26734,-2.88777,4.65434,-3.85738,NA,NA,-99.594,NA,NA,NA,NA,NA,NA
26951,-2.40772,3.67954,-4.60904,NA,-65.014,NA,NA,NA,NA,NA,NA,NA
27055,-2.97164,4.35023,-4.33908,NA,NA,-74.327,NA,NA,NA,NA,NA,NA
27354,-1.76035,4.28807,-3.27502,NA,NA,NA,NA,NA,-150.697,NA,NA,NA
27563,-2.09003,4.75038,-4.13686,NA,NA,NA,NA,NA,-82.928,NA,NA,NA
27770,-1.66067,4.62841,-4.88801,NA,NA,-60.39,NA,NA,NA,NA,NA,NA
27838,-1.67634,4.04282,-4.10851,NA,NA,NA,NA,-109.144,NA,NA,NA,NA
28139,-0.177964,4.23359,-3.76151,NA,NA,NA,NA,NA,-301.441,NA,NA,NA
28223,-1.25238,4.32661,-3.67411,NA,-140.372,NA,NA,NA,NA,NA,NA,NA
28540,-1.99419,4.62956,-4.40896,NA,NA,NA,NA,NA,-74.279,NA,NA,NA
28722,-2.06248,4.16826,-4.77347,NA,NA,NA,NA,NA,-51.141,NA,NA,NA
28914,-2.57795,2.98769,-3.62385,NA,NA,NA,NA,NA,-110.415,NA,NA,NA
29075,-2.17977,1.8143,-4.62923,NA,NA,-196.515,NA,NA,NA,NA,NA,NA
29344,-2.13536,1.88696,-4.87241,NA,NA,-187.94,NA,NA,NA,NA,NA,NA
29551,-2.2464,2.3434,-3.77715,NA,NA,NA,NA,NA,-143.121,NA,NA,NA
29686,-1.83008,2.06576,-4.71649,NA,-230.389,NA,NA,NA,NA,NA,NA,NA
29961,-2.63696,1.9803,-4.54905,NA,NA,NA,NA,NA,-173.083,NA,NA,NA
30016,-3.80042,2.96659,-4.57589,NA,-148.806,NA,NA,NA,NA,NA,NA,NA
30394,-3.51622,4.75962,-3.51334,NA,NA,NA,NA,NA,-164.185,NA,NA,NA
30463,-4.22161,2.52529,-4.65839,NA,NA,-203.194,NA,NA,NA,NA,NA,NA
30617,-3.46772,3.29216,-4.1143,NA,NA,-121.045,NA,NA,NA,NA,NA,NA
30866,-3.71194,3.2985,-3.35393,NA,NA,NA,NA,NA,-180.441,NA,NA,NA
31062,-3.16794,3.53889,-4.19427,NA,NA,NA,NA,NA,-98.033,NA,NA,NA
31386,-3.39072,3.20308,-3.86886,NA,-149.23,NA,NA,NA,NA,NA,NA,NA
31546,-2.65368,3.80053,-4.05872,NA,NA,NA,NA,NA,-83.364,NA,NA,NA
31722,-1.37129,4.26022,-4.96215,NA,-43.621,NA,NA,NA,NA,NA,NA,NA
31871,-0.689672,4.44706,-4.93852,NA,NA,NA,NA,-171.81,NA,NA,NA,NA
32155,-0.714968,4.01912,-3.75584,NA,NA,-164.718,NA,NA,NA,NA,NA,NA
32281,-0.541725,4.60813,-3.88245,NA,NA,NA,NA,-243.821,NA,NA,NA,NA
32528,-0.266457,4.14596,-4.4203,NA,NA,NA,NA,-228.332,NA,NA,NA,NA
32755,-1.38866,4.17693,-4.79341,NA,-31.353,NA,NA,NA,NA,NA,NA,NA
32949,-1.40172,4.21498,-4.96621,NA,NA,-26.854,NA,NA,NA,NA,NA,NA
33047,-0.716052,4.40163,-4.91824,NA,NA,NA,NA,NA,-110.382,NA,NA,NA
33280,-0.678094,3.89894,-4.27961,NA,NA,-79.926,NA,NA,NA,NA,NA,NA
33485,-0.896417,4.68278,-4.2172,NA,-115.035,NA,NA,NA,NA,NA,NA,NA
33794,-0.735592,4.53798,-3.70907,NA,NA,-187.837,NA,NA,NA,NA,NA,NA
33929,-0.988622,3.95759,-4.92101,NA,-40.07,NA,NA,NA,NA,NA,NA,NA
34087,-2.83658,3.14261,-4.04255,NA,-107.472,NA,NA,NA,NA,NA,NA,NA
34326,-3.75184,4.98526,-4.11412,NA,NA,NA,NA,-171.211,NA,NA,NA,NA
34520,-2.53293,4.95317,-4.68907,-174.455,NA,NA,NA,NA,NA,NA,NA,NA
34667,-3.0536,4.99172,-4.73547,NA,NA,NA,NA,-118.691,NA,NA,NA,NA
34927,-2.24795,4.25228,-4.78216,NA,-49.029,NA,NA,NA,NA,NA,NA,NA
35054,-1.2885,2.54015,-4.1322,NA,-192.79,NA,NA,NA,NA,NA,NA,NA
35203,-2.3039,2.20016,-2.87656,NA,-279.821,NA,NA,NA,NA,NA,NA,NA
35548,-4.73483,2.55846,-2.76595,NA,-355.54,NA,NA,NA,NA,NA,NA,NA
35744,-3.91038,2.801,-4.34137,NA,NA,-157.727,NA,NA,NA,NA,NA,NA
35898,-4.12998,2.15839,-3.86755,NA,NA,NA,NA,NA,-242.141,NA,NA,NA
36114,-4.26719,3.73398,-4.80842,NA,-168.984,NA,NA,NA,NA,NA,NA,NA
36363,-4.68945,4.62653,-4.79765,NA,NA,-230.567,NA,NA,NA,NA,NA,NA
36420,-4.27205,4.68643,-4.65328,NA,-193.901,NA,NA,NA,NA,NA,NA,NA
36674,-4.2358,3.05226,-4.68221,NA,NA,-176.352,NA,NA,NA,NA,NA,NA
36802,-3.5484,3.54582,-3.64634,NA,NA,-147.434,NA,NA,NA,NA,NA,NA
37052,-3.41548,4.78413,-3.49406,NA,NA,NA,NA,NA,-162.265,NA,NA,NA
37367,-3.00252,4.98585,-3.52464,NA,-144.191,NA,NA,NA,NA,NA,NA,NA
37438,-2.22884,3.68213,-4.01598,NA,NA,-73.151,NA,NA,NA,NA,NA,NA
37721,-2.2362,4.00217,-4.84872,NA,-40.726,NA,NA,NA,NA,NA,NA,NA
37968,-2.11158,4.46743,-4.66297,NA,NA,NA,NA,NA,-59.599,NA,NA,NA
38133,-3.08067,3.16528,-4.67663,NA,NA,-93.988,NA,NA,NA,NA,NA,NA
38252,-3.50837,4.30768,-3.43361,NA,NA,-152.976,NA,NA,NA,NA,NA,NA
38485,-3.34063,4.00831,-4.96876,NA,NA,-93.481,NA,NA,NA,NA,NA,NA
38606,-4.42312,2.97391,-4.41869,NA,-204.929,NA,NA,NA,NA,NA,NA,NA
38834,-3.17186,3.69777,-4.41704,NA,-111.283,NA,NA,NA,NA,NA,NA,NA
39026,-1.59963,4.43045,-3.82012,NA,-102.525,NA,NA,NA,NA,NA,NA,NA
39362,-3.4282,3.89768,-2.95434,NA,NA,NA,NA,-219.86,NA,NA,NA,NA
39467,-3.52714,4.19083,-2.96982,NA,NA,NA,NA,NA,-192.991,NA,NA,NA
39660,-3.32266,3.99743,-3.38722,NA,-152.732,NA,NA,NA,NA,NA,NA,NA
39929,-3.4006,4.45118,-4.4825,NA,NA,NA,NA,-118.54,NA,NA,NA,NA
40064,-2.88349,4.3602,-4.5824,NA,-82.52,NA,NA,NA,NA,NA,NA,NA
40364,-2.08366,3.85893,-4.17993,NA,-47.996,NA,NA,NA,NA,NA,NA,NA
