id,x0,x1,x2,fitness-4,fitness-5,fitness-3,fitness-2,fitness-1,fitness0,fitness-1.5,fitness-2.5,fitness-3.5,fitness-0.5,fitness1.5,fitness1,fitness2.5,fitness4.5,fitness3,fitness5,fitness2,fitness3.5,fitness4,fitness0.5,fitness-4.5
182,-3.28681,3.03412,-3.79607,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,-4.39917,2.16448,-4.06426,NA,21.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,-4.41301,2.40238,-3.86104,10.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,-3.3998,3.59293,-2.65024,NA,NA,9.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
822,-2.7613,3.15948,-1.63611,NA,NA,14.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,-3.85341,3.04412,-1.75525,NA,NA,NA,5.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1232,-3.13033,1.4679,-2.30379,NA,NA,NA,NA,19.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,-1.98564,1.03061,-3.31852,NA,NA,NA,NA,NA,53.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1678,-2.02846,0.343151,-4.07052,NA,NA,NA,NA,NA,NA,613.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1834,-2.93873,2.51369,-4.95679,NA,NA,NA,NA,NA,NA,NA,17.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2057,-4.13796,2.16572,-4.86034,NA,NA,NA,NA,NA,NA,NA,NA,18.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2369,-4.87305,1.65027,-4.05769,NA,NA,NA,NA,NA,NA,NA,NA,-22.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2425,-4.41432,-0.512623,-3.4825,NA,NA,NA,NA,NA,NA,187.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2772,-4.3974,0.862887,-3.97019,NA,NA,NA,NA,NA,NA,126.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2826,-4.88495,0.370468,-3.24867,NA,NA,-5.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3177,-4.04357,-0.956441,-3.4886,NA,NA,67.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3262,-3.58004,-0.841911,-2.47587,NA,NA,NA,NA,NA,NA,NA,255.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3523,-3.5121,-0.0310218,-1.41859,NA,NA,NA,1079.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3732,-4.6005,0.805264,-2.67622,NA,NA,NA,NA,161.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3840,-4.25675,2.00956,-3.42385,NA,NA,NA,NA,NA,NA,-2.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4165,-4.91124,2.13101,-4.33163,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4249,-4.44393,1.51328,-4.19437,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4414,-3.74453,1.41476,-4.15068,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4631,-3.31809,0.603677,-4.0273,NA,NA,NA,NA,12.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4899,-2.86188,-0.959595,-4.23931,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5050,-2.36661,0.0274096,-3.54533,NA,NA,NA,NA,237.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5391,-2.73002,1.80454,-4.25499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5412,-2.73712,0.797362,-4.77095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
5800,-2.92362,-0.712957,-4.93837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-206.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5886,-2.53645,-0.589001,-4.44608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6055,-2.67115,0.381062,-4.08412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.706,NA,NA,NA,NA,NA,NA,NA,NA,NA
6326,-3.85664,0.0591915,-4.35265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
6465,-3.75968,-0.924684,-4.94751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6674,-1.84209,-1.02147,-4.71218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.299,NA,NA,NA,NA,NA,NA,NA,NA
6826,-2.37513,-3.59369,-4.38078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.17,NA,NA,NA,NA,NA,NA,NA
7142,-0.54295,-4.68896,-4.21979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.514,NA,NA,NA,NA,NA,NA
7206,-1.18553,-4.64746,-4.51754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.008,NA,NA,NA,NA,NA,NA
7540,-0.968828,-4.07018,-4.84556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541.505,NA,NA,NA,NA,NA
7796,-0.2432,-4.26497,-4.75979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.454,NA,NA,NA,NA,NA,NA,NA,NA
7849,-0.00664148,-3.81374,-3.40593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.588,NA,NA,NA,NA,NA,NA,NA,NA
8131,1.03438,-3.57668,-2.46236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8306,-0.573208,-4.52867,-2.55466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.018,NA,NA,NA,NA
8475,0.0756133,-4.90747,-3.31955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.695,NA,NA,NA,NA,NA,NA,NA,NA
8627,2.06296,-4.84623,-4.20594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103,NA,NA,NA
8815,2.37205,-4.49669,-3.34904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.986,NA,NA,NA
9180,3.8968,-2.95018,-1.37927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.307,NA,NA,NA,NA,NA,NA
9306,3.31235,-3.48897,0.673119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.819,NA,NA
9543,3.24531,-3.32574,-0.339497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.465,NA,NA,NA,NA
9670,4.79461,-3.28049,0.508524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9977,3.96157,-3.40062,-0.601993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10110,2.80418,-2.84063,-0.446527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.564,NA
10321,2.7421,-4.92965,-2.96769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.706,NA
10422,1.92766,-3.58422,-2.71427,NA,NA,NA,NA,NA,NA,-44.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10627,1.17859,-3.99471,-3.22132,NA,NA,-12.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10814,2.33775,-2.80228,-3.61698,9.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11113,0.521246,-3.64991,-3.05775,NA,16.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11378,2.07752,-4.53653,-3.34504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.321
11405,1.64454,-4.40389,-2.95505,NA,NA,NA,NA,NA,NA,NA,NA,25.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11792,1.51816,-4.29187,-2.03418,NA,NA,NA,17.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11807,1.45051,-2.85132,-2.34826,NA,NA,NA,NA,17.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12013,1.46693,-2.90374,-2.78021,NA,NA,NA,NA,NA,27.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12292,3.23004,-1.5128,-2.33508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.499,NA,NA,NA,NA,NA,NA,NA,NA,NA
12532,2.58323,-1.78806,-1.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.509,NA
12625,1.47764,-2.50051,-1.63665,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12992,2.48265,-2.94986,-1.4299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
13140,2.10102,-2.78215,-2.71071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.964,NA,NA,NA,NA,NA,NA,NA,NA,NA
13325,2.23673,-2.88726,-3.96339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.405,NA,NA,NA,NA,NA,NA,NA,NA
13462,1.93026,-3.39992,-4.04192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA
13658,1.53688,-3.85395,-3.53606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.512,NA,NA
13847,0.0661041,-3.42074,-3.62155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.085,NA,NA,NA,NA,NA,NA,NA
14019,0.517261,-4.97599,-3.78502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.795,NA,NA,NA
14269,0.357321,-3.69386,-3.97327,NA,NA,NA,NA,NA,-36.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14587,0.428467,-4.74067,-4.34535,NA,NA,NA,NA,NA,NA,-21.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14683,0.108118,-4.50247,-3.7002,NA,NA,NA,4.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14970,0.482349,-4.75192,-3.21862,NA,NA,-2.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15022,-1.62389,-3.74387,-3.31338,NA,NA,NA,NA,NA,NA,NA,NA,-0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15249,-1.6219,-4.43173,-3.68335,37.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15536,-1.74403,-3.98221,-4.96603,6.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15669,-0.84944,-2.37341,-2.26876,NA,NA,NA,NA,NA,NA,NA,NA,7.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15945,-1.3082,-1.34394,-2.508,743.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16124,-1.08471,-2.29621,-1.59149,NA,NA,NA,NA,NA,NA,NA,NA,5.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16397,-2.34754,-1.52704,-2.10088,NA,NA,NA,NA,NA,NA,NA,NA,34.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16514,-3.93458,-1.67569,-0.602581,NA,264.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16660,-4.67591,-0.903873,-0.669465,312.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16956,-4.50482,-0.911192,-1.56349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545.721
17050,-1.65553,-0.4941,-1.61809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.317
17275,-2.19599,0.0493244,-0.423535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.434
17582,-1.81326,-0.746419,0.247669,NA,NA,-25.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17706,-1.1513,1.11219,0.582634,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17829,0.306105,0.735884,0.0426557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.709
18194,1.51316,-0.610367,-0.320954,89.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18379,0.499546,-0.412618,-1.39338,-37.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18482,0.468043,-1.68431,-1.24847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.248
18697,2.23013,-2.26252,-1.79202,NA,-5.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18968,2.17358,-1.78051,-2.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.704
19103,2.50059,-3.84913,-1.87721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.747
19373,1.93,-3.80329,-3.08087,19.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19581,3.38519,-4.57737,-3.79213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.827
19661,3.97336,-4.05528,-3.01398,7.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19892,2.12232,-1.83363,-3.15868,NA,NA,NA,NA,NA,NA,NA,25.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
