id,x0,x1,x2,fitness1.5,fitness0.5,fitness1,fitness-0.5,fitness-1,fitness0,fitness-1.5,fitness-3,fitness-4.5,fitness-2.5,fitness-2,fitness2.5,fitness-3.5,fitness-4,fitness-5,fitness3,fitness3.5,fitness5,fitness4,fitness2,fitness4.5
112,-1.52322,-1.88948,1.41837,281.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,-0.791287,-1.49353,3.7874,583.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,0.690726,-1.51428,4.56248,NA,268.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,0.0572611,-2.68964,3.29005,NA,NA,23.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
823,-0.823145,-2.30984,4.59593,NA,NA,NA,146.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1149,-1.61667,-2.16466,4.49693,NA,70.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1205,0.610593,-0.617084,3.46939,NA,NA,NA,110.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1406,-0.573017,-1.52785,3.15646,NA,NA,NA,NA,2945.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1708,-0.212075,-2.06565,4.68811,NA,NA,NA,NA,1930.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,-0.609297,-1.3514,4.89284,NA,NA,NA,NA,NA,11306.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,-0.722726,-1.37697,3.39942,NA,NA,NA,712.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2326,-0.782392,-0.764424,2.0842,NA,NA,NA,NA,798.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2512,-1.61272,0.747522,0.459414,NA,NA,NA,NA,NA,NA,883.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2637,-0.199909,-0.365833,-0.450603,NA,NA,NA,NA,NA,NA,NA,24.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2997,-0.245904,-0.639245,-1.36564,NA,NA,NA,NA,NA,NA,NA,NA,1960.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3058,0.792494,-2.0277,-0.747413,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3279,0.483119,-2.38617,-1.02593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3410,-0.68632,-1.18324,-1.50874,NA,NA,NA,NA,NA,NA,NA,NA,NA,1849.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3657,-1.19549,-0.91439,-1.16369,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3851,-2.4153,-0.608852,-1.10426,NA,NA,NA,NA,413.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4112,-0.87733,0.345489,-0.261267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2488.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4262,-0.928878,-0.542147,0.851033,NA,NA,NA,NA,2916.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4416,-0.849112,0.523606,0.899262,NA,217.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
