id,x0,x1,x2,fitness0.5,fitness-0.5,fitness-1.5,fitness-1,fitness-2.5,fitness-2,fitness0,fitness1.5,fitness1,fitness2,fitness2.5,fitness5,fitness3.5,fitness4,fitness4.5,fitness3,fitness-3,fitness-4,fitness-3.5,fitness-4.5,fitness-5
72,0.999323,-0.725176,3.37819,94.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,0.653765,-1.65542,3.14699,NA,163.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,-0.845691,-2.43849,4.65506,NA,NA,3189.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,-0.380048,-1.81005,4.3311,NA,NA,NA,543.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
864,-1.59369,-2.07195,4.75999,NA,NA,5998.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,-1.5362,-1.54938,4.41068,NA,NA,NA,NA,588.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1321,-0.269831,-1.29499,4.9715,NA,NA,NA,NA,NA,5255.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1417,-1.52688,-0.533403,4.85434,NA,NA,5580.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1796,-2.42052,-0.761949,3.7657,NA,NA,1818.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,-1.29615,-2.51572,4.42992,NA,NA,NA,NA,263.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2068,-1.49919,-2.61585,3.68011,NA,NA,NA,NA,NA,80.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2307,-0.189392,-1.88305,3.81381,NA,NA,1285.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2522,-1.33279,-1.38836,4.04059,NA,NA,NA,NA,566.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2605,0.107496,-1.98192,3.23645,NA,NA,NA,NA,NA,64.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2996,-0.656283,-2.53546,2.60368,NA,NA,317.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3108,-1.64691,-1.58229,4.85984,NA,NA,NA,NA,NA,1717.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3277,-0.64913,-1.60581,3.88745,NA,NA,2140.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3404,-0.882772,-1.64008,4.64924,NA,NA,5129.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3721,-1.28541,-1.83985,4.95519,NA,NA,NA,NA,NA,NA,2752.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3903,-1.70489,-2.16564,4.67183,NA,466.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
