id,x0,x1,x2,fitness-2,fitness-1,fitness-1.5,fitness0,fitness-0.5,fitness0.5,fitness-2.5,fitness1,fitness-3,fitness-3.5,fitness1.5,fitness2,fitness-5,fitness-4
92,0.458451,4.16892,-0.281302,478.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,0.80104,4.07784,-0.98455,412.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,1.66863,4.96545,-1.52904,NA,2550.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,0.485529,4.25829,-0.874782,NA,NA,2181.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
939,1.34754,4.7934,-1.64431,NA,NA,NA,1899.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,0.327333,4.95854,-0.721232,NA,NA,NA,NA,1936.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,-0.377777,4.97959,-1.55116,NA,NA,NA,NA,1604.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563,-0.558239,4.82315,-1.29336,NA,NA,NA,2592.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1624,-0.292092,4.6374,-1.63181,NA,4144.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,0.00677194,3.63109,-2.09141,NA,114.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2111,0.723332,4.78425,-0.323359,NA,3258.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2350,-0.166287,4.77637,0.216808,NA,NA,3005.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2518,-0.338977,4.8627,-0.0329578,1208.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2701,-0.836283,4.21523,-0.169225,3245.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850,-1.63416,4.17279,-1.44829,NA,NA,4035.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3184,-2.33213,4.77179,-0.810791,NA,NA,2143.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3346,-1.47544,4.89536,-1.71925,NA,NA,NA,NA,2465.107,NA,NA,NA,NA,NA,NA,NA,NA,NA
3511,-0.102179,4.86662,-3.11994,NA,NA,NA,2140.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3659,-0.885967,4.84535,-2.43006,NA,NA,3467.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3874,-0.710985,4.65722,-1.22003,NA,NA,7227.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4162,-0.592474,4.12552,-0.268299,NA,3499.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4361,-0.170459,4.72711,-0.595324,NA,NA,NA,NA,1669.312,NA,NA,NA,NA,NA,NA,NA,NA,NA
4543,-0.234954,4.15075,-0.818354,NA,NA,NA,NA,3690.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
4779,-0.236526,4.26119,-2.45812,NA,NA,NA,1389.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4972,-0.882604,4.9139,-0.149095,NA,NA,NA,11497.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,0.204026,4.83771,-1.98189,NA,2581.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5308,-0.906389,4.77921,-0.102174,NA,NA,NA,4242.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5532,-0.359669,3.76075,-0.814875,NA,NA,NA,2035.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5720,-1.86892,4.63378,-1.05547,NA,1535.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5877,-0.902843,4.95304,-1.16878,NA,NA,5343.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6198,-1.06418,4.85167,-1.42359,NA,NA,8408.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6292,-1.57426,4.46895,-1.49833,NA,NA,2030.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6506,-1.27069,4.7524,-0.540195,NA,3352.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6777,-1.86295,4.99183,-1.45099,NA,NA,6020.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6999,-1.93377,4.71889,-1.97091,NA,NA,NA,NA,455.339,NA,NA,NA,NA,NA,NA,NA,NA,NA
7029,-1.13833,4.87954,-0.847133,NA,NA,2577.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7344,-0.131743,4.9544,-0.617948,NA,NA,NA,3673.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7413,-0.499296,4.78643,-0.521141,NA,1631.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7797,-1.05723,3.73149,-0.808229,1250.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7927,-0.830067,4.17053,-1.40235,5194.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8085,-1.01256,3.73427,-0.295476,NA,NA,NA,1518.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8262,-1.00145,3.71628,-1.00646,NA,NA,NA,NA,NA,771.882,NA,NA,NA,NA,NA,NA,NA,NA
8519,-1.46285,4.37551,-1.50462,NA,NA,NA,6400.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8685,-0.286772,3.76784,-1.6905,NA,1399.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8952,0.312692,3.7293,-0.587418,NA,NA,NA,NA,376.693,NA,NA,NA,NA,NA,NA,NA,NA,NA
9176,-0.698121,2.37909,-1.52745,NA,NA,NA,NA,4639.465,NA,NA,NA,NA,NA,NA,NA,NA,NA
9368,-1.90497,0.403462,-0.873428,NA,NA,NA,1956.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9417,-0.112444,0.0243293,-0.684436,NA,NA,NA,2429.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9750,-0.304393,1.65461,-0.355735,NA,NA,NA,NA,464.763,NA,NA,NA,NA,NA,NA,NA,NA,NA
9814,-0.779547,1.96476,-1.45297,NA,NA,NA,1998.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10184,-1.2286,1.4271,-1.17195,NA,NA,NA,NA,250.092,NA,NA,NA,NA,NA,NA,NA,NA,NA
10370,-1.17423,2.22785,-2.08865,NA,NA,NA,NA,669.869,NA,NA,NA,NA,NA,NA,NA,NA,NA
10530,-0.670821,0.766791,-1.27132,NA,NA,NA,3164.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10766,-0.734249,0.990346,-1.00595,NA,NA,NA,NA,NA,719.132,NA,NA,NA,NA,NA,NA,NA,NA
10905,-0.910321,0.619828,-1.5732,NA,NA,NA,1125.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11157,-1.71718,-0.916168,-1.32003,NA,NA,NA,3049.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11267,-1.61815,-1.92578,-0.798491,NA,8592.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11541,-1.98833,-1.34977,-0.061554,NA,NA,NA,4001.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11723,-1.57084,-0.969396,0.281796,NA,NA,NA,NA,1166.084,NA,NA,NA,NA,NA,NA,NA,NA,NA
11814,-1.78992,-1.66792,-1.07723,NA,NA,NA,NA,194.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
12004,-2.21377,-1.64133,-2.05324,NA,NA,NA,NA,779.751,NA,NA,NA,NA,NA,NA,NA,NA,NA
12334,-1.27098,-3.00322,-2.12356,949.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12416,-1.05838,-3.16072,-0.706853,NA,NA,898.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12790,-0.735519,-1.87546,-1.27334,NA,7240.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12910,-0.923462,-0.751623,-2.4495,NA,4881.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13133,-0.519589,-0.00740311,-0.763198,NA,3631.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13242,-0.304507,-0.817253,-0.353563,NA,NA,NA,NA,3653.099,NA,NA,NA,NA,NA,NA,NA,NA,NA
13435,-0.133867,-0.680208,-0.754079,NA,NA,NA,NA,NA,5283.039,NA,NA,NA,NA,NA,NA,NA,NA
13730,0.196711,-1.44425,-1.6596,NA,NA,1029.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000,-0.562331,-1.70547,-2.54635,NA,NA,195.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14091,-0.236379,-2.59253,-1.4309,NA,NA,NA,NA,4074.393,NA,NA,NA,NA,NA,NA,NA,NA,NA
