id,x0,x1,x2,fitness-2,fitness-1,fitness0,fitness-0.5,fitness-1.5,fitness0.5,fitness1.5,fitness4,fitness3,fitness4.5,fitness5,fitness3.5,fitness2.5,fitness2,fitness1,fitness-2.5,fitness-4,fitness-3.5,fitness-4.5,fitness-3,fitness-5
175,-4.01029,0.999907,2.14203,40.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,-3.29261,-0.509119,1.42301,NA,8.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,-2.09302,-0.260413,1.95576,NA,NA,558.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
673,-1.83301,-0.301342,0.64348,NA,NA,NA,160.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816,-1.33725,-1.26783,-0.779921,NA,6205.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,-0.954451,-1.56404,-1.45139,NA,NA,9512.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1307,-0.246749,-1.63984,-1.39803,NA,9169.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,0.712597,-1.09656,-2.07935,NA,374.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1630,0.164536,-1.94508,-1.59226,251.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1834,1.55059,-2.37001,-1.61721,NA,NA,NA,NA,50.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2112,0.634292,-0.715032,-1.87626,409.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2212,0.445459,-1.36797,-2.03081,1306.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2457,0.43324,-0.832012,-0.906012,NA,NA,NA,NA,4578.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2627,-0.240835,-0.9419,0.454256,NA,NA,NA,NA,NA,915.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2810,0.216861,-1.01849,-0.324776,NA,NA,NA,1002.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3052,0.350666,-2.08478,0.017223,NA,NA,NA,304.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3256,0.674009,-2.68089,-0.533604,NA,NA,55.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3549,-0.14341,-3.53705,-1.24824,NA,NA,NA,NA,NA,583.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3738,0.456457,-4.20473,-2.56745,NA,NA,NA,NA,NA,13.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3897,0.00601491,-3.89652,-3.85983,NA,NA,NA,NA,NA,NA,2.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4117,-1.44729,-2.86832,-3.5462,NA,NA,NA,NA,NA,NA,NA,155.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4219,-1.96838,-3.22793,-4.58034,NA,NA,NA,NA,NA,NA,NA,NA,15.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4506,-2.6312,-3.27201,-4.04573,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4688,-0.988056,-2.10504,-4.18996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4820,-1.62049,-2.32614,-4.06443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5060,-0.709862,-1.2596,-3.58644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.361,NA,NA,NA,NA,NA,NA,NA,NA,NA
5387,-0.268752,-2.10883,-3.91695,NA,NA,NA,NA,NA,NA,NA,NA,370.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5443,-0.181525,-0.774623,-3.82565,NA,NA,NA,NA,NA,NA,NA,NA,412.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5683,-0.646567,0.837927,-3.51032,NA,NA,NA,NA,NA,NA,NA,NA,278.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5876,-0.529578,0.967625,-4.14295,NA,NA,NA,NA,NA,NA,NA,NA,20.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6180,-1.50493,0.631217,-3.77013,NA,NA,NA,NA,NA,NA,NA,NA,8.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6383,-0.285016,-0.6798,-1.32341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12195.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6593,-2.42335,-2.02382,-1.42737,NA,NA,NA,NA,NA,NA,NA,760.979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6692,-2.49301,-1.00851,-1.24996,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6825,-2.31799,-2.3251,-1.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7160,-1.94145,-1.88887,-2.48804,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7370,-2.09838,-2.54509,-3.17117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.141,NA,NA,NA,NA,NA,NA,NA,NA
7545,-2.61852,-3.20932,-3.6909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.91,NA,NA,NA,NA,NA,NA,NA,NA
7756,-4.06177,-3.71165,-4.21544,NA,NA,NA,NA,NA,NA,NA,1.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7981,-3.91058,-1.43185,-3.43211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.431,NA,NA,NA,NA,NA,NA,NA,NA,NA
8039,-4.98201,-1.72838,-2.53251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.288,NA,NA,NA,NA,NA,NA,NA,NA
8366,-3.96274,-1.00083,-2.98854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.533,NA,NA,NA,NA,NA,NA,NA,NA,NA
8600,-2.94533,-0.755817,-2.02319,NA,NA,NA,NA,NA,NA,NA,979.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8638,-2.37149,-0.677963,-1.898,NA,NA,NA,NA,NA,NA,NA,NA,375.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8869,-2.60733,-0.159123,-2.62537,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9199,-1.22162,-0.40968,-2.57393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.937,NA,NA,NA,NA,NA,NA,NA,NA,NA
9298,-2.53681,-0.557491,-2.41969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.876,NA,NA,NA,NA,NA,NA,NA,NA,NA
9472,-2.01121,-0.731859,-2.46799,NA,NA,NA,NA,NA,NA,NA,1179.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9665,-2.18546,-1.68706,-2.18312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.704,NA,NA,NA,NA,NA,NA,NA,NA,NA
