id,x0,x1,x2,fitness-1,fitness0,fitness-0.5,fitness-3,fitness-2.5,fitness-1.5,fitness-2,fitness0.5,fitness1,fitness3,fitness-3.5,fitness2,fitness1.5,fitness2.5,fitness4.5,fitness5,fitness3.5,fitness4,fitness-4.5,fitness-4
162,2.838,-1.46797,-0.158102,2254.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,2.68286,-1.40063,0.371409,NA,817.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569,3.37195,-1.7359,-0.832694,NA,NA,510.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794,2.84296,-1.72673,-0.71593,NA,247.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
855,2.6009,-2.02631,-0.955543,156.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1134,3.57852,-1.59103,-1.37399,NA,NA,NA,413.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1386,4.44738,-0.79826,-0.655557,NA,NA,NA,NA,776.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1586,4.81866,-0.259872,-1.94201,NA,NA,NA,NA,2024.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1679,4.89641,-1.29618,-1.0776,NA,NA,NA,NA,NA,4020.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,4.11371,-1.67657,0.217289,NA,NA,NA,NA,NA,NA,260.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2036,4.94212,-2.36447,-1.29516,NA,NA,NA,NA,NA,NA,1255.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2253,4.86058,-2.00205,-1.62895,3398.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2499,4.63115,-2.84305,-1.62223,NA,NA,NA,NA,NA,785.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2776,4.68648,-1.39243,-1.22497,10649.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2801,4.68475,-2.2054,-1.26257,NA,NA,633.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3033,4.47516,-0.57585,0.186411,NA,NA,NA,NA,NA,165.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3355,3.23876,-0.899824,-0.197962,NA,NA,NA,NA,NA,NA,2265.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3440,4.94463,-0.268425,-0.744747,NA,NA,NA,NA,NA,16226.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3620,4.86327,-0.273538,0.0693334,2515.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3827,4.43629,-2.02789,-0.331867,NA,NA,1306.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4027,4.71199,-1.49199,-0.701606,NA,NA,NA,NA,NA,9045.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4331,4.55208,-0.867318,-0.303351,755.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4515,4.05106,-0.807761,0.741933,NA,157.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4635,4.21811,-1.33461,-0.190999,NA,NA,NA,NA,NA,NA,NA,1742.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4832,4.34983,-2.17782,-0.170616,NA,NA,867.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5165,4.45989,-0.223032,-2.02924,NA,NA,1651.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5291,4.87655,-2.13032,-2.00272,NA,NA,NA,NA,NA,NA,1466.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5589,4.30331,-1.25484,-2.24292,NA,NA,NA,NA,NA,NA,431.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5759,4.70268,-1.00985,-2.36807,NA,NA,NA,NA,NA,878.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5955,3.56878,-0.354912,-2.42855,NA,NA,NA,NA,NA,NA,74.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6061,4.6879,0.891314,-1.43125,NA,NA,NA,NA,NA,NA,1477.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6383,3.44247,2.17295,-1.24227,NA,NA,428.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6447,2.50528,0.279583,0.695723,111.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6603,-0.000800986,-1.23736,-0.795471,NA,NA,NA,NA,NA,2722.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6805,1.18908,-0.734922,-0.66674,NA,NA,NA,NA,NA,2004.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7055,-0.528125,-0.764548,-0.473248,NA,NA,NA,NA,NA,559.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7350,0.307464,-1.03234,0.725209,NA,NA,729.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7580,-0.904984,-0.266899,-0.02846,NA,NA,NA,NA,NA,NA,NA,NA,2003.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7719,-1.2264,1.05054,-0.343863,411.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7848,-1.37741,0.478587,-0.970558,NA,NA,316.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8145,-1.37147,0.883927,-1.21583,NA,206.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8247,-0.8031,0.383519,-1.51622,2650.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8419,-0.895047,-0.69485,-3.09986,NA,NA,NA,NA,NA,NA,NA,1047.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8658,-0.355007,-0.893806,-3.09502,2709.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8862,-0.349293,-1.68556,-3.44058,NA,NA,NA,NA,NA,NA,343.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9068,-0.603565,-1.96723,-1.95833,NA,NA,NA,NA,NA,3899.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9347,-0.690196,-1.22134,-2.83113,546.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9564,-1.88588,-1.18395,-1.72025,NA,366.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9774,-0.724197,-1.45173,-0.157539,NA,NA,NA,NA,NA,NA,NA,4637.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9869,0.0289332,-0.878076,-0.245259,NA,NA,NA,NA,NA,NA,NA,NA,958.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10078,-0.533345,-1.3422,-0.585959,NA,1028.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
