id,x0,x1,x2,fitness0,fitness-0.5,fitness-1.5,fitness-1,fitness-2.5,fitness1,fitness0.5,fitness-2,fitness-3,fitness1.5,fitness-3.5,fitness-4,fitness-4.5,fitness-5
165,0.328849,-0.226123,-2.46361,886.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,1.25884,-0.107784,-1.05936,NA,1184.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,-0.906668,-0.689763,0.251823,NA,NA,4133.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
771,-1.28982,-0.873448,0.493964,NA,2662.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,-0.886692,-1.47212,1.30558,NA,NA,NA,5054.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,-1.27038,-0.788147,0.871721,NA,NA,NA,NA,1256.715,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,-1.04588,-1.29859,0.0418909,NA,NA,2012.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1510,-0.843297,-1.16768,-0.637425,NA,3151.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1781,-1.90298,-0.946132,0.22651,NA,NA,1551.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,-2.00156,-0.837348,-0.930747,NA,NA,NA,7953.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2118,-1.89731,-0.691072,-2.43205,NA,NA,NA,2609.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2281,-1.20244,-1.86599,-1.70952,NA,494.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2515,-1.25831,-1.39443,-0.860135,11527.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2603,-1.21964,-2.15246,-0.771211,NA,NA,NA,841.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2961,-1.36669,-2.5094,-2.22445,750.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
