id,x0,x1,x2,fitness-3.5,fitness-1.5,fitness-0.5,fitness1,fitness2,fitness1.5,fitness3,fitness4,fitness3.5,fitness0,fitness0.5,fitness2.5,fitness5,fitness4.5,fitness-2,fitness-1,fitness-4,fitness-4.5,fitness-5,fitness-3,fitness-2.5
108,1.79852,-0.0741635,-3.02709,147.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,1.71595,0.897451,-2.00137,NA,309.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,0.881039,-0.315185,-1.24737,NA,NA,2392.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,-0.767516,-1.28816,-1.73884,NA,NA,1103.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,-0.993492,-0.145279,-1.15806,NA,NA,NA,515.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,-0.96994,-0.265674,0.983415,NA,NA,NA,NA,169.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253,-0.612783,-0.120419,1.02219,NA,NA,NA,NA,NA,146.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1512,-0.106101,0.0804842,0.682793,NA,NA,NA,NA,-75.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1678,-1.15019,0.349582,-1.49532,NA,NA,NA,NA,231.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,0.0134161,-1.09992,-1.39483,NA,NA,NA,NA,NA,NA,7.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2069,0.714547,-1.57115,-0.445626,NA,NA,NA,NA,NA,NA,NA,-4.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
