id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness3.5,fitness2.5,fitness3,fitness2,fitness0.5,fitness-1,fitness-1.5,fitness-2,fitness-3,fitness-2.5,fitness-0.5,fitness0,fitness1.5,fitness1,fitness-3.5,fitness-4,fitness-4.5,fitness-5
101,-1.10015,2.71014,-3.15457,40.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,-0.820472,2.79534,-3.12008,309.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,0.339706,2.01702,-3.89292,24.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
766,1.40777,1.96253,-4.89831,58.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
861,2.31827,0.166034,-4.23055,NA,-0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1074,2.81552,1.95512,-2.51074,NA,86.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,3.07623,2.92559,-1.39499,NA,NA,312.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1489,2.78349,4.58881,-0.969252,NA,NA,1203.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1648,1.05739,4.1867,-0.237821,NA,NA,304.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,1.76506,4.89439,0.179269,NA,NA,683.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.418185,4.41051,0.689393,NA,NA,NA,119.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2294,-0.0656989,4.7487,-0.60952,NA,NA,NA,2040.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2535,-0.310981,4.46965,-0.416152,NA,45.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2758,0.0761951,4.43841,-0.0083239,NA,NA,264.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2833,1.41709,3.86369,-0.800462,NA,NA,NA,56.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3067,0.705416,3.31158,-2.11077,NA,NA,NA,NA,107.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3345,0.949953,3.33923,-0.691723,NA,NA,NA,54.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3437,-0.651794,4.71646,0.690738,NA,NA,NA,NA,NA,116.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
