id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness2.5,fitness1,fitness-1,fitness0,fitness-2,fitness-3.5,fitness-2.5,fitness-1.5,fitness-3,fitness-0.5,fitness1.5,fitness0.5,fitness2,fitness-4
154,-1.65909,-1.3275,-1.45625,4884.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,-2.36422,-1.27591,-0.69734,1740.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,-0.718326,-0.516079,-1.33775,2215.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
787,0.280541,-0.817372,-0.746463,NA,2334.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,-0.51968,-1.60022,-1.65186,2029.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,-0.782325,-0.995011,-1.27845,6917.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1325,-0.289383,-1.89179,-0.898492,NA,1343.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1587,-0.783419,-0.711297,-0.894914,NA,NA,31826.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1763,-1.07013,-0.848022,-1.60501,2400.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,-1.52987,1.44244,-1.67087,NA,NA,1416.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2084,-0.349078,3.66264,-0.913102,NA,NA,2288.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2220,-0.827099,2.90886,-0.754996,NA,NA,NA,1028.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2597,-1.31915,4.73756,-0.914077,NA,NA,NA,NA,2678.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2718,-1.68684,4.61982,-1.18294,NA,NA,NA,NA,NA,1374.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
