id,x0,x1,x2,fitness-1.5,fitness0,fitness-0.5,fitness1,fitness2.5,fitness5,fitness4.5,fitness4,fitness3.5,fitness3,fitness2,fitness1.5,fitness0.5,fitness-2,fitness-2.5,fitness-1,fitness-3,fitness-3.5,fitness-5,fitness-4,fitness-4.5
161,4.92287,-3.15822,-2.31497,179.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,4.26213,-2.69124,-2.35042,145.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,3.44705,-1.52237,-2.62392,713.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,3.4243,-3.13439,-3.76871,NA,32.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819,3.2742,-1.42608,-4.3885,NA,348.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,4.67973,-0.318676,-3.42241,NA,NA,771.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1322,3.32165,-0.255798,-1.63006,NA,NA,NA,752.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,3.89717,-1.87729,-1.68605,NA,NA,NA,NA,12.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1791,3.85822,-3.68606,-3.19058,NA,NA,NA,NA,NA,44.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,2.71517,-2.45325,-2.90622,NA,NA,NA,NA,NA,NA,46.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2045,3.10372,-0.84125,-3.47619,NA,NA,NA,NA,NA,NA,343.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2335,2.78391,-0.646428,-2.95258,NA,NA,NA,NA,NA,NA,NA,280.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2535,-0.228769,-1.21311,-1.32515,NA,NA,NA,NA,NA,NA,2638.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2604,-0.0626388,-1.04269,-1.26243,NA,NA,NA,NA,NA,3173.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2814,1.02345,-0.835343,-2.54732,NA,NA,NA,NA,NA,839.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3054,1.75564,-0.832548,-2.61862,NA,NA,NA,NA,NA,NA,NA,352.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3368,0.170256,-1.43235,-0.652019,NA,NA,NA,NA,NA,NA,NA,NA,718.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3437,1.18141,-2.39787,-0.816807,NA,NA,NA,NA,NA,NA,NA,354.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3686,2.74608,-3.01319,-0.838987,NA,NA,NA,NA,NA,NA,NA,39.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3976,3.22215,-1.58461,0.138604,NA,NA,NA,NA,NA,NA,89.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4078,2.34699,-0.547998,0.0727673,NA,NA,NA,NA,NA,NA,NA,30.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4298,-0.0546438,-0.292546,0.0890683,NA,NA,NA,NA,NA,NA,NA,326.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4563,-0.418754,-1.12524,-1.2127,NA,NA,NA,NA,NA,NA,NA,11.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4776,-0.414513,-0.274761,-0.415794,NA,NA,NA,NA,NA,NA,239.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4852,-0.105592,-0.673243,-1.15517,NA,NA,NA,NA,NA,NA,NA,300.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5073,0.915687,-0.732236,-0.891994,NA,NA,NA,NA,NA,NA,3037.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5201,-0.617166,-0.772276,-1.9019,NA,NA,NA,NA,NA,8264.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5530,-0.759519,-0.261354,-1.86829,NA,NA,NA,NA,NA,NA,NA,2057.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5644,-2.04734,-1.29124,-1.67551,NA,NA,NA,NA,NA,3710.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5972,-3.55261,-1.67286,-2.84184,NA,NA,NA,NA,NA,NA,119.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6128,-3.33393,-3.47933,-2.07174,NA,NA,NA,NA,NA,211.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6349,-1.10424,-1.79753,-1.52175,NA,NA,NA,NA,NA,NA,NA,97.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6412,-2.07611,-1.71237,-1.51564,NA,NA,NA,NA,NA,NA,NA,596.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6644,-1.53778,-2.19264,-0.742773,NA,NA,NA,NA,NA,NA,2354.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6989,-2.44486,-2.03272,-0.123153,NA,NA,NA,NA,NA,NA,NA,NA,469.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7085,-2.32505,-2.11193,-0.839216,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7253,-2.27992,-2.11943,-1.05417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7507,-2.72363,0.572179,-2.51404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7744,-2.7013,-1.22331,-1.3885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7820,-2.85007,-1.19243,-1.10378,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8020,-2.92503,-2.71349,-3.40002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.501,NA,NA,NA,NA,NA,NA,NA,NA,NA
8311,-1.04579,-1.29878,-3.78844,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8583,-0.667983,-1.22685,-2.52832,NA,NA,NA,NA,647.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8771,-0.18797,-1.6861,-2.36111,NA,NA,NA,NA,160.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8950,-1.5236,-2.16626,-2.88465,NA,NA,NA,NA,324.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9096,-0.687416,-1.58417,-0.934436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2074.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9229,0.142055,-0.5894,-3.98185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9579,0.910498,0.834954,-3.29659,NA,NA,NA,NA,-3.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9743,-0.373482,0.376854,-3.81905,NA,NA,NA,NA,NA,NA,NA,-13.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9863,-1.91192,0.702916,-3.61931,NA,NA,NA,NA,NA,327.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
