id,x0,x1,x2,fitness-1,fitness-0.5,fitness0.5,fitness1,fitness0,fitness-1.5,fitness-2,fitness-2.5,fitness-3,fitness-3.5,fitness1.5,fitness2.5,fitness3,fitness4.5,fitness3.5,fitness5,fitness4,fitness2,fitness-4,fitness-4.5
147,-0.323678,-2.39084,0.409907,229.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,-0.0448473,-0.903956,1.49305,1418.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,0.713363,-1.05319,-0.545419,276.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
687,0.323111,-3.06637,-0.159557,NA,1453.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
950,1.20144,-2.22874,-0.180969,NA,NA,124.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1198,-0.598099,-0.59632,-0.682826,NA,NA,NA,2796.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290,-1.29027,-1.71413,-1.00667,NA,NA,NA,NA,1879.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,-0.534283,-1.19948,-1.23648,NA,NA,NA,NA,NA,1737.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1763,-0.057242,0.27256,-1.52229,NA,NA,NA,NA,2072.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,-0.834481,-0.730846,-1.6189,NA,NA,5170.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2179,-0.58967,-1.25269,-0.66225,7934.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2264,-0.165306,-2.17018,0.292673,427.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2445,-0.361653,-2.83037,0.448882,286.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2634,-0.30654,-1.8297,-0.235632,NA,NA,NA,NA,NA,1752.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2941,0.304528,-0.994826,-0.645689,NA,NA,NA,NA,NA,3354.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3007,-0.891422,-0.624381,-0.332583,4446.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3237,0.160375,-0.0648807,-0.825647,1207.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
