id,x0,x1,x2,fitness-3,fitness-1.5,fitness-0.5,fitness-1,fitness-2,fitness0,fitness0.5,fitness-2.5,fitness-3.5,fitness-4,fitness1,fitness1.5,fitness2
8,-0.132844,-0.613434,0.184954,480.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,-1.09227,0.206398,-0.669002,NA,731.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,-1.06089,-0.215551,-1.31298,NA,NA,2351.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,-0.840703,-0.495442,-0.1131,NA,NA,NA,3653.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
848,-0.654458,-1.51609,1.14236,NA,NA,1783.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1145,-1.45587,-2.04651,0.71668,NA,2353.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303,-0.145414,-1.95221,0.440285,NA,NA,NA,809.131,NA,NA,NA,NA,NA,NA,NA,NA,NA
1593,-0.737181,-1.72375,0.229516,NA,NA,1048.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1638,-1.72666,-1.38093,-0.967074,NA,3334.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,-1.06316,-0.729478,0.81886,NA,NA,NA,1630.263,NA,NA,NA,NA,NA,NA,NA,NA,NA
2079,-0.310535,-0.853808,1.84375,NA,2491.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2272,-0.563532,-1.38116,-0.325267,NA,3139.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2529,-1.82039,-1.46419,-0.746704,NA,NA,NA,NA,2158.806,NA,NA,NA,NA,NA,NA,NA,NA
2685,-1.67238,-1.32732,-0.78115,NA,10258.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2819,-0.802828,-1.00106,-1.06803,NA,NA,NA,1946.912,NA,NA,NA,NA,NA,NA,NA,NA,NA
3131,-0.766473,-0.273331,-1.52115,NA,15954.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3377,0.00336675,-0.865644,-2.08871,NA,NA,3050.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3504,0.989232,-1.5641,-1.45935,NA,NA,2069.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3798,0.283459,-0.121793,-1.37884,NA,NA,NA,NA,NA,2733.109,NA,NA,NA,NA,NA,NA,NA
3941,0.786464,-0.927042,-2.11444,NA,NA,NA,NA,NA,NA,682.971,NA,NA,NA,NA,NA,NA
4040,0.40724,-1.2853,-0.696969,NA,NA,5802.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4359,-0.650046,-0.614471,-0.886935,NA,NA,NA,NA,NA,9512.759,NA,NA,NA,NA,NA,NA,NA
4432,-1.68688,-0.227771,0.657126,NA,NA,756.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4759,-1.52026,-1.06226,-1.31918,NA,6320.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4807,-0.884185,0.440762,-0.647331,NA,3778.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104,-0.662596,-0.671926,-0.674235,NA,20714.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5278,-0.5453,-0.51472,-1.48203,NA,NA,2022.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5404,-0.166138,-1.01126,-0.831652,NA,NA,8729.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5699,-1.50044,-1.95609,-1.49449,NA,NA,NA,NA,NA,6835.618,NA,NA,NA,NA,NA,NA,NA
5835,-2.55809,-1.25657,-0.873759,NA,NA,740.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6095,-2.94705,-1.22724,-0.84531,NA,NA,NA,4320.826,NA,NA,NA,NA,NA,NA,NA,NA,NA
6275,-2.10755,-2.02911,-2.53236,NA,NA,NA,NA,670.879,NA,NA,NA,NA,NA,NA,NA,NA
6409,-1.96379,-1.62609,-1.35984,NA,6363.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6629,-2.62222,-2.5543,-1.34961,NA,NA,NA,940.692,NA,NA,NA,NA,NA,NA,NA,NA,NA
6866,-0.780077,-1.84022,-1.70926,NA,NA,NA,NA,811.479,NA,NA,NA,NA,NA,NA,NA,NA
7074,-0.755703,-1.99758,-2.37503,NA,NA,NA,2595.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
7295,-0.793574,-0.0903388,-2.09784,NA,NA,NA,7880.522,NA,NA,NA,NA,NA,NA,NA,NA,NA
7450,-0.922115,-1.16111,-2.12156,NA,NA,NA,2237.966,NA,NA,NA,NA,NA,NA,NA,NA,NA
7660,-1.05094,-0.802299,-1.36435,NA,NA,8726.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7919,-0.832909,-0.972533,-2.20743,NA,NA,NA,NA,NA,3007.616,NA,NA,NA,NA,NA,NA,NA
8171,-1.43979,-0.89324,-1.5079,NA,25385.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8321,-2.5198,0.0254139,-1.34938,NA,NA,NA,816.477,NA,NA,NA,NA,NA,NA,NA,NA,NA
8547,-3.14123,-2.05724,-3.16823,NA,NA,NA,NA,NA,222.923,NA,NA,NA,NA,NA,NA,NA
8676,-1.5742,-2.13019,-0.788146,NA,NA,NA,1419.687,NA,NA,NA,NA,NA,NA,NA,NA,NA
8994,-1.89776,-1.36867,-0.609504,NA,NA,NA,2710.389,NA,NA,NA,NA,NA,NA,NA,NA,NA
9183,-2.0924,-0.862362,-1.36749,NA,NA,NA,5960.149,NA,NA,NA,NA,NA,NA,NA,NA,NA
9331,-0.673327,-0.767754,-0.112429,NA,NA,10403.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9479,-0.528172,-0.757844,-0.971791,NA,4869.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9767,-0.0273573,-0.828041,-0.303189,NA,5472.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9808,-0.676811,-2.09625,-0.205558,NA,NA,NA,NA,3056.162,NA,NA,NA,NA,NA,NA,NA,NA
10005,-0.588703,-1.74589,-1.31674,NA,1303.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10395,-0.794292,-0.914535,-0.642598,NA,NA,NA,NA,NA,NA,NA,6375.646,NA,NA,NA,NA,NA
10578,-0.26681,-0.565818,-1.03642,NA,NA,NA,1729.914,NA,NA,NA,NA,NA,NA,NA,NA,NA
10778,-0.63691,-2.21613,-0.587778,NA,NA,NA,NA,NA,1399.493,NA,NA,NA,NA,NA,NA,NA
10932,-1.47636,-1.95703,-0.336356,NA,5272.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11109,-0.985929,-2.90925,-1.93203,NA,1729.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11226,-0.754727,-0.986039,-1.35471,NA,NA,NA,NA,8875.075,NA,NA,NA,NA,NA,NA,NA,NA
11419,-1.49126,-0.841699,-1.5396,NA,NA,NA,12792.975,NA,NA,NA,NA,NA,NA,NA,NA,NA
11767,-1.26137,-0.342365,0.35851,NA,NA,NA,672.301,NA,NA,NA,NA,NA,NA,NA,NA,NA
11847,-1.48082,-0.425178,-0.105412,168.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12189,-1.55463,0.978245,-1.18144,NA,NA,NA,871.009,NA,NA,NA,NA,NA,NA,NA,NA,NA
12321,-0.548262,-0.285898,-0.947256,NA,NA,2795.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12481,-0.389574,-0.291035,-1.54205,NA,NA,NA,NA,1133.809,NA,NA,NA,NA,NA,NA,NA,NA
12623,-0.220399,-0.137326,-0.77104,NA,12183.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12898,-0.714913,-1.32476,-0.962478,NA,NA,13483.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13095,0.729569,-2.49039,-0.667841,NA,NA,NA,NA,NA,1111.476,NA,NA,NA,NA,NA,NA,NA
13240,1.13062,-2.47963,-1.48861,NA,491.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13425,0.228116,-1.56115,-0.760784,NA,NA,NA,NA,1011.163,NA,NA,NA,NA,NA,NA,NA,NA
13748,-1.49302,-1.55221,-1.99196,NA,9295.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13891,0.429081,-0.822134,-2.89581,NA,NA,NA,NA,NA,977.901,NA,NA,NA,NA,NA,NA,NA
14093,0.325852,-1.58048,-1.67434,NA,NA,NA,NA,NA,1051.141,NA,NA,NA,NA,NA,NA,NA
14301,-0.124978,-1.47763,-0.395595,NA,NA,NA,3743.688,NA,NA,NA,NA,NA,NA,NA,NA,NA
14490,-1.46215,-1.73305,-0.992986,NA,2143.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14628,-0.752324,-2.39253,-1.49176,NA,4282.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14896,-0.556777,-2.34856,-1.72079,NA,NA,NA,179.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
15075,-1.40548,-1.88261,-2.01915,NA,NA,NA,2119.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
15357,-0.642355,-1.32515,-0.765334,NA,NA,NA,NA,6162.495,NA,NA,NA,NA,NA,NA,NA,NA
15567,-0.229066,-0.738832,-1.39119,NA,NA,NA,NA,NA,NA,NA,4886.005,NA,NA,NA,NA,NA
15651,-0.0834186,-1.41106,-0.796746,NA,7403.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15987,-0.560622,-1.66885,-0.961429,NA,NA,3050.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16157,-1.5739,-1.99348,-1.01347,NA,NA,4454.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16294,-1.00029,-2.46999,-1.57858,NA,NA,589.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16458,-0.205925,-1.59148,-0.938478,NA,NA,NA,NA,NA,3232.367,NA,NA,NA,NA,NA,NA,NA
16670,-1.23752,-1.48412,-0.853462,NA,NA,NA,NA,NA,5737.95,NA,NA,NA,NA,NA,NA,NA
16840,-0.76292,-0.883537,-0.905423,NA,NA,14869.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17154,-1.06866,-1.36361,-0.903443,NA,NA,1799.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17304,-0.71645,-1.42326,-0.34516,NA,NA,NA,6850.426,NA,NA,NA,NA,NA,NA,NA,NA,NA
17501,-1.6254,-1.49362,-2.12979,NA,NA,726.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17654,-2.44909,-0.338041,-1.00566,NA,NA,NA,1118.716,NA,NA,NA,NA,NA,NA,NA,NA,NA
