id,x0,x1,x2,fitness7.5,fitness7,fitness8.5,fitness8,fitness6.5,fitness9,fitness9.5,fitness6,fitness10,fitness3.5,fitness4,fitness5.5,fitness4.5,fitness5,fitness3,fitness2.5,fitness1,fitness0.5,fitness2
66,8.17189,8.49981,7.99779,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,7.45294,9.85452,7.03015,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,6.88174,8.39513,6.13664,NA,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,8.01255,8.35065,7.15897,0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
966,6.9569,9.0005,6.44032,NA,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1168,7.83344,7.6996,5.59313,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1270,8.94251,7.91483,6.77993,NA,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1437,8.44851,8.30697,7.6887,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1650,9.87464,8.23196,7.45363,NA,NA,0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,9.88536,7.952,7.59495,0.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2058,9.3507,7.54742,7.99228,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2284,8.08243,7.58421,8.00347,0.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2548,7.7351,7.25457,7.67536,0.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2721,6.69739,7.31412,7.96938,0.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2888,8.08759,7.8998,7.94185,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3035,7.85543,7.77104,8.40268,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3353,7.58331,5.9732,8.39011,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3455,7.6062,6.93518,8.28434,NA,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3748,6.83785,7.41383,7.18428,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3843,7.1915,9.96502,8.27071,NA,NA,NA,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4100,7.43355,8.85141,7.74735,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4373,7.2809,8.20314,7.13234,NA,NA,NA,NA,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
