id,x0,x1,x2,fitness8,fitness9,fitness8.5,fitness7.5,fitness6.5,fitness7,fitness9.5,fitness10
161,7.06996,7.98942,9.44649,0.485,NA,NA,NA,NA,NA,NA,NA
277,7.31403,8.34517,9.31834,NA,0.384,NA,NA,NA,NA,NA,NA
463,7.22187,8.15605,8.49973,NA,NA,0.736,NA,NA,NA,NA,NA
717,7.89188,7.33331,8.53569,NA,NA,NA,0.843,NA,NA,NA,NA
941,7.53713,7.80196,9.49731,NA,NA,NA,0.613,NA,NA,NA,NA
1125,7.8752,8.27525,8.81641,NA,NA,NA,NA,0.44,NA,NA,NA
1244,8.10507,7.10127,8.57715,NA,NA,NA,0.759,NA,NA,NA,NA
1413,7.92037,7.2805,8.44488,NA,NA,NA,0.835,NA,NA,NA,NA
1728,8.36574,6.73681,7.74628,NA,NA,NA,0.724,NA,NA,NA,NA
1879,8.19268,7.00259,8.22823,NA,NA,NA,0.769,NA,NA,NA,NA
2174,7.77603,7.0589,7.6447,NA,NA,NA,0.89,NA,NA,NA,NA
2215,8.32121,7.46606,7.9789,0.88,NA,NA,NA,NA,NA,NA,NA
2587,7.88667,7.45285,8.79111,NA,NA,NA,NA,NA,0.722,NA,NA
2704,7.11244,8.06605,7.13378,NA,NA,NA,NA,NA,0.652,NA,NA
2991,7.96538,7.85731,6.8154,NA,NA,NA,NA,NA,0.743,NA,NA
3109,7.22096,7.77614,7.531,NA,NA,NA,0.936,NA,NA,NA,NA
3201,7.01119,7.13866,7.96481,NA,NA,NA,0.797,NA,NA,NA,NA
3537,8.42538,8.58239,7.83939,0.758,NA,NA,NA,NA,NA,NA,NA
3767,7.32052,7.89283,8.99369,0.671,NA,NA,NA,NA,NA,NA,NA
3814,7.95757,8.23593,7.76856,NA,NA,NA,0.922,NA,NA,NA,NA
4161,7.74101,7.80072,8.63141,0.829,NA,NA,NA,NA,NA,NA,NA
4320,7.78366,8.16404,8.00165,NA,NA,NA,NA,NA,0.871,NA,NA
4552,7.90286,7.23889,7.98044,NA,NA,0.819,NA,NA,NA,NA,NA
4753,7.37195,8.12191,7.25101,NA,0.677,NA,NA,NA,NA,NA,NA
4906,7.73007,8.06138,7.31017,NA,NA,0.876,NA,NA,NA,NA,NA
5056,7.83197,7.85121,7.89179,NA,NA,NA,0.984,NA,NA,NA,NA
5206,8.01787,6.9226,7.40274,0.826,NA,NA,NA,NA,NA,NA,NA
5528,7.31093,7.81306,6.60206,NA,NA,NA,0.695,NA,NA,NA,NA
5625,7.46485,7.91955,7.99787,0.957,NA,NA,NA,NA,NA,NA,NA
5847,7.01892,8.24897,8.45461,NA,NA,0.672,NA,NA,NA,NA,NA
6017,7.03264,8.10954,7.39832,NA,NA,0.786,NA,NA,NA,NA,NA
6378,7.8849,8.22203,7.17413,NA,NA,0.77,NA,NA,NA,NA,NA
6570,8.33069,7.27106,7.0044,0.726,NA,NA,NA,NA,NA,NA,NA
6772,7.85677,8.17901,7.25019,NA,NA,0.839,NA,NA,NA,NA,NA
6841,7.76408,8.8185,7.27909,NA,NA,0.639,NA,NA,NA,NA,NA
7076,8.11106,8.1308,6.4152,0.576,NA,NA,NA,NA,NA,NA,NA
7230,8.17209,6.95496,7.74264,0.83,NA,NA,NA,NA,NA,NA,NA
7535,7.27089,7.73867,7.9491,NA,NA,NA,NA,NA,0.825,NA,NA
7702,7.33993,7.33135,7.95424,0.926,NA,NA,NA,NA,NA,NA,NA
7837,7.65834,6.5125,7.70995,NA,NA,NA,NA,NA,0.65,NA,NA
8040,7.63155,6.82565,8.18321,NA,NA,NA,NA,NA,0.726,NA,NA
8306,7.77848,6.67245,8.22601,NA,NA,NA,NA,NA,0.634,NA,NA
8489,7.74952,7.19223,8.16038,NA,NA,NA,NA,NA,0.831,NA,NA
8741,7.701,7.88321,7.45428,NA,NA,NA,0.945,NA,NA,NA,NA
8881,7.21706,8.1627,7.37466,NA,NA,NA,NA,NA,0.838,NA,NA
9141,7.70556,8.65883,7.26295,NA,NA,NA,0.802,NA,NA,NA,NA
9290,8.28988,7.9377,7.21436,NA,NA,NA,0.873,NA,NA,NA,NA
9465,8.02735,7.79574,8.18987,NA,NA,NA,NA,NA,0.759,NA,NA
9641,8.84328,8.34008,7.54383,NA,NA,NA,0.711,NA,NA,NA,NA
9866,7.50706,7.76515,7.37995,NA,0.784,NA,NA,NA,NA,NA,NA
10192,7.81741,8.64353,7.2227,NA,0.618,NA,NA,NA,NA,NA,NA
10379,7.14655,8.4351,7.64742,NA,NA,NA,0.813,NA,NA,NA,NA
10449,8.24592,8.63392,7.42258,NA,NA,NA,NA,0.529,NA,NA,NA
10653,8.9102,7.80625,7.64078,NA,NA,NA,0.777,NA,NA,NA,NA
10806,7.31399,8.2344,8.22832,0.822,NA,NA,NA,NA,NA,NA,NA
11138,7.11846,7.95332,7.15044,NA,NA,NA,0.838,NA,NA,NA,NA
11332,7.5895,7.54375,7.18831,NA,NA,NA,0.931,NA,NA,NA,NA
11591,8.23084,8.57262,6.56832,0.549,NA,NA,NA,NA,NA,NA,NA
11603,7.54078,8.70871,7.96573,NA,NA,NA,0.814,NA,NA,NA,NA
11859,7.31595,8.40099,7.67302,NA,NA,NA,NA,NA,0.77,NA,NA
12079,7.06471,7.70255,7.71525,NA,NA,NA,NA,0.711,NA,NA,NA
12209,7.24858,8.34609,8.2501,NA,NA,NA,NA,NA,0.653,NA,NA
12544,6.88167,8.09758,8.12801,0.788,NA,NA,NA,NA,NA,NA,NA
12740,7.28704,7.66272,7.43894,NA,NA,NA,NA,NA,0.883,NA,NA
12948,7.79639,7.60824,7.33589,NA,NA,NA,NA,0.614,NA,NA,NA
13019,8.29359,7.90077,7.36389,NA,NA,NA,NA,NA,0.796,NA,NA
13350,8.23553,6.60346,8.28272,0.619,NA,NA,NA,NA,NA,NA,NA
13532,8.67002,7.74558,8.24888,NA,NA,NA,NA,NA,0.659,NA,NA
13720,7.58202,8.45581,7.94303,NA,NA,NA,NA,NA,0.798,NA,NA
13941,7.68701,8.49709,8.58374,NA,NA,NA,0.758,NA,NA,NA,NA
14097,7.20534,6.58587,7.95094,NA,NA,NA,NA,NA,0.626,NA,NA
14203,6.82235,7.39586,8.03024,0.782,NA,NA,NA,NA,NA,NA,NA
14500,6.7585,7.45169,7.5817,0.757,NA,NA,NA,NA,NA,NA,NA
14691,6.79701,7.70442,7.33554,NA,NA,NA,0.797,NA,NA,NA,NA
14882,7.94202,8.63907,7.48375,NA,NA,NA,NA,NA,0.761,NA,NA
15100,7.66387,7.76622,7.67193,NA,NA,NA,0.963,NA,NA,NA,NA
15281,8.31664,7.89326,8.26656,NA,NA,NA,NA,NA,0.704,NA,NA
15435,7.81077,7.72258,8.50276,0.872,NA,NA,NA,NA,NA,NA,NA
15633,8.38006,8.15877,6.87041,NA,NA,NA,0.73,NA,NA,NA,NA
15863,8.48558,6.96038,8.01374,NA,NA,NA,0.75,NA,NA,NA,NA
16185,7.74876,7.53381,7.41016,0.963,NA,NA,NA,NA,NA,NA,NA
16298,7.86447,7.76005,7.80065,NA,NA,NA,0.969,NA,NA,NA,NA
16430,7.6798,7.00573,6.6189,NA,NA,NA,0.657,NA,NA,NA,NA
16652,7.87519,6.58493,7.41769,NA,NA,NA,0.697,NA,NA,NA,NA
16829,8.12834,6.89496,7.37647,NA,NA,NA,0.802,NA,NA,NA,NA
17139,7.25835,6.96288,7.96183,NA,NA,NA,0.825,NA,NA,NA,NA
17309,7.59244,6.16334,7.83789,NA,NA,NA,NA,NA,0.544,NA,NA
17492,7.1518,6.92633,8.18093,NA,NA,NA,0.76,NA,NA,NA,NA
17788,6.95813,8.18109,7.52383,NA,NA,NA,0.83,NA,NA,NA,NA
17902,7.98363,7.97927,7.36542,NA,0.757,NA,NA,NA,NA,NA,NA
18176,6.88187,7.47448,7.42203,NA,NA,NA,0.827,NA,NA,NA,NA
18259,7.06781,7.19561,7.22092,NA,NA,NA,0.801,NA,NA,NA,NA
18440,7.43245,7.58983,8.13837,NA,NA,NA,NA,NA,0.824,NA,NA
18608,8.16957,7.44201,7.74014,NA,NA,NA,NA,NA,0.842,NA,NA
18894,8.15424,7.93306,7.80974,NA,NA,NA,NA,NA,0.9,NA,NA
19191,7.95435,7.68987,7.31134,NA,NA,NA,NA,NA,0.861,NA,NA
19365,8.12979,7.21256,7.62193,0.909,NA,NA,NA,NA,NA,NA,NA
19593,7.56542,7.89416,7.9155,NA,NA,NA,NA,NA,0.912,NA,NA
19711,7.18584,7.03855,8.45751,NA,NA,NA,0.744,NA,NA,NA,NA
19890,6.64147,7.7803,7.99301,NA,NA,0.656,NA,NA,NA,NA,NA
20110,7.38897,6.95298,7.49699,NA,NA,NA,0.847,NA,NA,NA,NA
20295,8.15859,7.04077,7.78665,0.857,NA,NA,NA,NA,NA,NA,NA
20444,8.01677,7.20848,7.18259,NA,NA,NA,0.849,NA,NA,NA,NA
20754,8.67028,8.30298,7.69938,0.774,NA,NA,NA,NA,NA,NA,NA
20950,8.53932,7.80853,8.14151,0.814,NA,NA,NA,NA,NA,NA,NA
21036,7.52515,8.99709,8.01196,0.71,NA,NA,NA,NA,NA,NA,NA
21232,7.52349,7.97918,7.00413,NA,0.667,NA,NA,NA,NA,NA,NA
21440,7.12931,7.97768,7.2989,0.851,NA,NA,NA,NA,NA,NA,NA
21616,6.86774,7.83192,7.902,0.829,NA,NA,NA,NA,NA,NA,NA
21825,6.82024,9.20951,7.67109,0.491,NA,NA,NA,NA,NA,NA,NA
22174,7.33389,8.24295,7.65279,NA,NA,NA,0.888,NA,NA,NA,NA
22311,7.40505,8.40801,7.1929,NA,NA,NA,NA,NA,0.778,NA,NA
22445,7.42988,8.3629,7.22684,NA,NA,NA,0.854,NA,NA,NA,NA
22696,7.7695,8.31033,7.16845,NA,NA,0.794,NA,NA,NA,NA,NA
22926,8.17355,8.10333,9.01031,NA,NA,NA,0.656,NA,NA,NA,NA
23060,8.37666,7.41985,8.87331,0.645,NA,NA,NA,NA,NA,NA,NA
23267,7.24544,8.25999,8.2745,NA,NA,0.775,NA,NA,NA,NA,NA
23404,7.06473,7.80986,7.62785,0.898,NA,NA,NA,NA,NA,NA,NA
23665,8.24901,7.14054,7.19404,NA,0.586,NA,NA,NA,NA,NA,NA
23974,7.87768,7.4555,7.48202,NA,NA,0.888,NA,NA,NA,NA,NA
24041,7.97795,9.28819,7.42137,NA,NA,0.561,NA,NA,NA,NA,NA
24299,7.00912,9.16882,8.2724,0.534,NA,NA,NA,NA,NA,NA,NA
24567,7.03033,7.36195,8.57409,NA,NA,NA,0.747,NA,NA,NA,NA
24616,7.45578,8.19618,7.87411,NA,NA,NA,0.935,NA,NA,NA,NA
24857,7.95893,8.66307,7.11215,NA,NA,NA,0.753,NA,NA,NA,NA
25059,7.10062,8.14373,6.94216,NA,NA,NA,0.754,NA,NA,NA,NA
25369,7.20528,8.17061,6.84628,NA,NA,NA,0.748,NA,NA,NA,NA
25442,7.53781,7.85425,7.43205,NA,0.786,NA,NA,NA,NA,NA,NA
25749,7.70629,6.63622,7.41819,NA,NA,NA,0.749,NA,NA,NA,NA
25840,7.50164,7.17938,6.41671,NA,NA,NA,0.582,NA,NA,NA,NA
26102,7.11883,7.79489,8.04481,NA,NA,NA,0.867,NA,NA,NA,NA
26255,7.29451,8.88791,7.61179,0.714,NA,NA,NA,NA,NA,NA,NA
26470,8.16259,7.78697,7.42827,0.937,NA,NA,NA,NA,NA,NA,NA
26643,8.73731,7.27018,7.84983,NA,NA,NA,0.78,NA,NA,NA,NA
26875,7.7282,7.66427,6.92324,NA,NA,NA,0.852,NA,NA,NA,NA
27013,6.00522,7.76383,7.40357,0.524,NA,NA,NA,NA,NA,NA,NA
27265,7.37985,8.50186,8.12149,NA,NA,NA,NA,NA,0.713,NA,NA
27527,7.4493,8.26779,8.64734,NA,NA,NA,NA,NA,0.715,NA,NA
27730,8.50616,7.36033,8.06313,NA,NA,NA,0.836,NA,NA,NA,NA
27988,8.3808,9.01207,7.90319,NA,NA,NA,0.633,NA,NA,NA,NA
28041,7.91713,8.92188,7.29466,NA,NA,NA,0.73,NA,NA,NA,NA
28267,7.16924,8.52703,7.53881,0.81,NA,NA,NA,NA,NA,NA,NA
28463,7.26452,7.23907,7.65876,0.901,NA,NA,NA,NA,NA,NA,NA
28764,6.36264,7.10029,7.72744,NA,NA,NA,0.553,NA,NA,NA,NA
28982,6.6677,7.67104,7.00034,NA,NA,NA,0.657,NA,NA,NA,NA
29034,7.71074,8.00225,7.54232,0.929,NA,NA,NA,NA,NA,NA,NA
29366,7.61093,8.25084,7.78084,NA,NA,NA,0.936,NA,NA,NA,NA
29562,8.01447,7.61127,6.9971,NA,NA,NA,0.871,NA,NA,NA,NA
29666,7.85124,7.16919,7.12625,NA,NA,NA,0.851,NA,NA,NA,NA
29938,7.5694,7.27981,6.45595,0.654,NA,NA,NA,NA,NA,NA,NA
30168,7.12442,7.73998,7.05876,NA,NA,NA,0.823,NA,NA,NA,NA
30242,4.63596,8.12943,8.37948,NA,NA,0.663,NA,NA,NA,NA,NA
30481,7.73338,8.20911,8.56051,0.824,NA,NA,NA,NA,NA,NA,NA
30690,7.25127,8.46962,8.75716,0.672,NA,NA,NA,NA,NA,NA,NA
