id,x0,x1,x2,fitness7.5,fitness8,fitness8.5,fitness7,fitness6.5,fitness9,fitness9.5
57,4.02863,4.96543,7.34742,0.639,NA,NA,NA,NA,NA,NA
311,3.90817,4.42971,7.81336,NA,0.857,NA,NA,NA,NA,NA
545,4.35693,3.87643,7.20169,0.858,NA,NA,NA,NA,NA,NA
628,4.67631,6.45295,7.31205,NA,0.463,NA,NA,NA,NA,NA
954,4.01631,7.20876,7.54082,NA,NA,0.835,NA,NA,NA,NA
1052,4.04616,6.98127,8.9599,NA,NA,0.539,NA,NA,NA,NA
1384,4.2935,7.41047,9.00626,NA,NA,0.579,NA,NA,NA,NA
1489,3.81764,7.25628,8.12684,0.841,NA,NA,NA,NA,NA,NA
1698,4.1712,8.5793,7.44668,0.844,NA,NA,NA,NA,NA,NA
1982,4.54619,7.08421,7.84813,NA,0.789,NA,NA,NA,NA,NA
2055,3.92315,7.76202,8.2421,0.916,NA,NA,NA,NA,NA,NA
2260,3.98774,8.33493,6.97198,0.779,NA,NA,NA,NA,NA,NA
2455,6.30593,7.67115,7.9265,0.614,NA,NA,NA,NA,NA,NA
2761,8.26206,8.032,6.98891,NA,NA,NA,0.699,NA,NA,NA
2889,7.27878,7.80051,6.60196,0.711,NA,NA,NA,NA,NA,NA
3192,7.57868,7.42638,7.22179,NA,0.875,NA,NA,NA,NA,NA
3309,7.93964,7.50764,7.5443,NA,0.96,NA,NA,NA,NA,NA
3595,7.53909,8.36243,8.00855,NA,NA,NA,0.756,NA,NA,NA
3637,7.14008,7.76105,7.41609,NA,NA,NA,0.802,NA,NA,NA
3896,7.18974,7.49357,7.6327,0.931,NA,NA,NA,NA,NA,NA
4188,8.74911,8.38098,7.78971,0.739,NA,NA,NA,NA,NA,NA
4315,7.95534,6.91304,7.3682,0.827,NA,NA,NA,NA,NA,NA
4404,7.00005,7.96303,7.97273,0.843,NA,NA,NA,NA,NA,NA
4624,7.75858,7.30081,7.62241,NA,0.955,NA,NA,NA,NA,NA
4883,8.39367,7.42464,7.91873,0.864,NA,NA,NA,NA,NA,NA
5115,7.6894,7.541,8.49648,NA,0.883,NA,NA,NA,NA,NA
5260,7.38843,7.41928,7.95949,NA,0.912,NA,NA,NA,NA,NA
5483,7.73993,7.52447,7.55957,NA,0.983,NA,NA,NA,NA,NA
5618,7.73162,7.78859,7.58039,NA,0.978,NA,NA,NA,NA,NA
5874,7.25151,8.35593,7.3475,NA,0.838,NA,NA,NA,NA,NA
6094,7.63362,7.7408,7.48268,NA,NA,NA,0.803,NA,NA,NA
6204,7.52976,7.79346,8.3612,NA,NA,NA,0.823,NA,NA,NA
6510,7.81358,7.35054,7.85352,NA,NA,0.871,NA,NA,NA,NA
6637,7.47232,7.90966,7.72185,NA,0.969,NA,NA,NA,NA,NA
6947,7.55828,7.54704,7.77264,NA,0.971,NA,NA,NA,NA,NA
7086,8.01357,7.90971,7.19157,0.902,NA,NA,NA,NA,NA,NA
7380,8.19415,7.60183,7.50849,NA,0.919,NA,NA,NA,NA,NA
7564,7.46655,8.33986,7.78582,NA,0.911,NA,NA,NA,NA,NA
7611,7.45358,7.99361,7.87421,NA,NA,0.886,NA,NA,NA,NA
7976,7.68839,7.20554,8.79255,NA,0.747,NA,NA,NA,NA,NA
8035,7.77467,6.99831,7.64802,NA,0.841,NA,NA,NA,NA,NA
8313,7.42142,7.50922,7.49317,NA,NA,NA,0.89,NA,NA,NA
8528,7.33168,7.47793,7.58895,0.95,NA,NA,NA,NA,NA,NA
8724,8.48396,8.11127,8.03472,NA,0.836,NA,NA,NA,NA,NA
8952,7.37868,7.68465,7.76501,NA,0.962,NA,NA,NA,NA,NA
9016,7.71198,8.07103,7.73273,0.974,NA,NA,NA,NA,NA,NA
9260,7.62928,7.70581,7.8728,NA,NA,0.881,NA,NA,NA,NA
9430,6.59602,7.6656,8.08259,NA,0.716,NA,NA,NA,NA,NA
9630,7.9736,7.15887,7.29594,NA,0.883,NA,NA,NA,NA,NA
