id,x0,x1,x2,fitness7,fitness7.5,fitness9.5,fitness9,fitness8.5,fitness8,fitness10,fitness6.5,fitness6,fitness5,fitness4.5,fitness4
71,8.22435,7.4252,9.07149,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,8.58473,8.73373,8.13027,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,6.97661,8.29895,7.3878,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
738,7.24947,7.80094,7.93272,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
933,6.20482,9.02911,8.12177,NA,NA,-0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA
1060,6.94462,7.77005,7.73049,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA,NA,NA
1329,7.60205,7.86035,7.40532,NA,NA,NA,NA,0.834,NA,NA,NA,NA,NA,NA,NA
1533,7.89643,8.15751,7.20752,NA,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA
1638,7.72683,7.4383,8.8292,NA,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,7.36563,7.20695,8.75767,NA,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2170,7.89637,8.12483,8.68091,NA,NA,NA,NA,NA,0.765,NA,NA,NA,NA,NA,NA
2365,7.24091,7.74659,8.64069,NA,NA,NA,NA,NA,NA,0.328,NA,NA,NA,NA,NA
2592,7.97596,7.00219,6.76715,NA,NA,NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA
2702,8.76551,8.69931,7.30322,NA,NA,NA,NA,0.447,NA,NA,NA,NA,NA,NA,NA
2931,8.98313,7.75167,7.58972,NA,NA,NA,NA,NA,NA,NA,0.545,NA,NA,NA,NA
3104,8.12813,8.54852,6.93391,NA,NA,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
3336,7.65782,8.04784,6.33408,NA,NA,NA,NA,NA,NA,0.195,NA,NA,NA,NA,NA
3509,7.75418,7.91936,7.64099,NA,NA,NA,NA,NA,NA,0.517,NA,NA,NA,NA,NA
3623,9.73909,6.83244,7.83411,NA,NA,NA,0.114,NA,NA,NA,NA,NA,NA,NA,NA
3809,7.60417,7.47833,7.80335,NA,NA,NA,NA,NA,0.945,NA,NA,NA,NA,NA,NA
4176,7.39129,7.44728,7.9763,0.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4236,8.53491,6.64482,8.64068,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4594,8.66366,6.6935,8.18233,NA,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4684,8.33183,7.91325,8.28791,NA,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4988,6.96565,7.53278,9.23508,NA,NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,NA
5072,7.73216,8.71398,8.54547,NA,NA,NA,NA,NA,NA,NA,0.439,NA,NA,NA,NA
5357,8.55008,7.14519,8.0268,0.619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5452,9.90909,8.07185,8.2407,NA,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5659,9.76939,7.63606,7.46643,NA,NA,NA,NA,NA,0.556,NA,NA,NA,NA,NA,NA
5818,8.20233,7.54696,7.51228,NA,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA,NA
6090,8.00512,7.19233,6.88514,NA,NA,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA
6385,8.33551,7.95631,7.48433,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA
6436,8.38525,7.77981,7.11524,NA,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA
6793,7.61832,8.38078,8.84192,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA
6813,6.81928,7.881,7.32503,NA,NA,NA,NA,0.713,NA,NA,NA,NA,NA,NA,NA
7020,8.30475,8.15105,7.53464,NA,NA,NA,NA,0.809,NA,NA,NA,NA,NA,NA,NA
7336,6.76609,7.67577,7.68598,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7574,7.91714,8.61907,8.48501,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7749,7.90576,8.64777,9.14451,NA,NA,NA,NA,NA,0.546,NA,NA,NA,NA,NA,NA
7961,8.02462,7.62517,8.98553,NA,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8071,8.38163,6.58668,8.51869,NA,NA,NA,NA,0.438,NA,NA,NA,NA,NA,NA,NA
8217,8.44613,6.7416,8.41255,NA,NA,NA,NA,0.493,NA,NA,NA,NA,NA,NA,NA
8453,7.707,6.66005,9.24742,0.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8666,8.75762,7.03085,8.5333,NA,NA,NA,NA,NA,0.554,NA,NA,NA,NA,NA,NA
8818,8.19197,6.89736,6.88436,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA
9064,7.01137,7.01476,7.95073,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9223,7.8702,8.18143,6.23316,NA,NA,NA,NA,NA,0.554,NA,NA,NA,NA,NA,NA
9543,8.15836,9.04615,7.2669,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9604,8.42319,9.52087,7.66796,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9929,8.27309,8.47153,8.05509,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10117,8.54634,7.51184,7.89802,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10305,7.43663,8.44293,7.96338,NA,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10574,7.55571,9.12242,7.89281,NA,NA,NA,NA,NA,0.657,NA,NA,NA,NA,NA,NA
10634,6.96362,7.85076,6.97348,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10898,7.75997,8.32865,8.123,NA,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
