id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9.5,fitness9,fitness6.5
131,4.05347,9.37581,7.94908,0.517,NA,NA,NA,NA,NA,NA
265,6.89485,8.04549,7.60173,NA,0.835,NA,NA,NA,NA,NA
485,7.53051,8.04526,7.59735,NA,NA,0.95,NA,NA,NA,NA
798,8.44687,7.98618,7.50914,NA,0.869,NA,NA,NA,NA,NA
930,6.91148,7.5932,7.01049,NA,NA,NA,0.688,NA,NA,NA
1150,7.26308,7.80654,7.62523,NA,NA,NA,0.864,NA,NA,NA
1368,8.13084,7.46796,7.52379,NA,NA,0.931,NA,NA,NA,NA
1406,8.22531,8.95319,7.33573,NA,NA,NA,0.597,NA,NA,NA
1633,7.40668,8.87133,7.77564,NA,NA,0.766,NA,NA,NA,NA
1958,8.21862,8.1645,7.22178,NA,NA,0.845,NA,NA,NA,NA
2120,7.9575,7.74913,7.49167,NA,NA,0.971,NA,NA,NA,NA
2307,8.00295,7.74134,7.58765,0.884,NA,NA,NA,NA,NA,NA
2546,8.28827,8.18186,8.16883,NA,NA,0.843,NA,NA,NA,NA
2644,7.42376,7.50793,7.62411,NA,0.961,NA,NA,NA,NA,NA
2844,8.21076,7.22049,7.83063,NA,NA,0.887,NA,NA,NA,NA
3108,7.10426,8.09592,7.99364,NA,NA,0.822,NA,NA,NA,NA
3359,7.42713,7.55847,7.55232,NA,NA,0.972,NA,NA,NA,NA
3485,7.33341,8.3174,7.28006,NA,0.85,NA,NA,NA,NA,NA
3662,7.33803,8.5009,7.29613,0.753,NA,NA,NA,NA,NA,NA
3959,7.28973,7.94365,6.84483,NA,NA,0.756,NA,NA,NA,NA
4196,7.20346,8.89897,8.01185,NA,NA,0.688,NA,NA,NA,NA
4369,7.88473,8.53169,7.51092,NA,NA,NA,0.78,NA,NA,NA
4427,8.25349,8.47734,8.09368,NA,NA,NA,0.737,NA,NA,NA
4791,7.73023,7.96918,7.74248,NA,NA,0.973,NA,NA,NA,NA
4968,7.20139,7.63736,7.43053,NA,0.918,NA,NA,NA,NA,NA
5072,7.58123,8.47395,7.18874,NA,NA,0.828,NA,NA,NA,NA
5368,7.78683,7.83857,8.00674,0.909,NA,NA,NA,NA,NA,NA
5438,8.06871,8.06159,7.86718,NA,0.942,NA,NA,NA,NA,NA
