id,x0,x1,x2,fitness7.5,fitness8.5,fitness8,fitness7,fitness9,fitness9.5,fitness6,fitness6.5,fitness10,fitness5,fitness4.5,fitness3.5,fitness2.5,fitness0.5,fitness1,fitness2
116,4.9687,8.49967,6.78887,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,6.32271,8.30615,7.1871,NA,0.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,6.72333,7.27428,7.26939,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
769,6.26216,7.23079,8.39337,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,7.94105,7.41753,9.35234,NA,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043,8.46032,7.29049,10.0213,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1345,7.6384,8.30302,8.80124,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,7.15382,8.40656,9.84513,NA,NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1749,8.26136,8.6243,9.46821,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,8.39922,9.24542,8.3973,NA,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2066,8.39206,6.85217,8.11284,NA,NA,NA,NA,0.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2332,8.45296,7.3774,7.68554,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2412,7.78436,6.9711,8.61733,NA,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2754,7.63444,8.04813,8.033,NA,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2954,6.88576,8.78712,6.97126,NA,NA,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3056,7.0509,7.69974,7.70127,NA,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3397,8.08116,7.52208,7.64668,NA,NA,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3449,8.14823,7.47465,8.27459,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3692,8.2154,7.3764,7.7698,NA,NA,NA,NA,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3966,7.62442,7.38625,7.36499,NA,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4184,8.82396,8.44366,7.29323,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4244,8.60769,7.76512,8.69755,NA,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4473,8.56641,8.79006,7.50409,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4627,9.11257,9.01381,7.61179,NA,NA,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4857,8.4544,7.34302,9.37323,NA,NA,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5065,8.7372,7.94723,9.61377,NA,NA,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5350,8.47278,7.03617,8.92261,NA,NA,NA,NA,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5541,8.16098,7.30352,8.7377,NA,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5661,8.23911,7.03944,7.75862,NA,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5954,7.34831,6.8986,7.5815,NA,NA,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6085,6.93848,7.53526,6.97306,NA,NA,NA,NA,0.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6331,7.27302,7.68892,8.04913,NA,NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6440,7.80924,7.75432,8.01697,NA,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6676,8.19942,8.5132,8.4564,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6891,8.24923,7.55185,7.30059,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7171,7.57679,8.12868,7.4805,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7388,8.6412,7.05438,7.82071,NA,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7553,8.05457,7.84814,9.60741,NA,NA,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7676,7.19261,7.0926,7.51415,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7909,7.06388,7.43721,8.33151,NA,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8066,8.00008,7.88444,8.46039,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8387,8.33976,7.28938,8.36488,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8505,6.66705,7.94124,6.50428,NA,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8653,7.45288,8.47875,8.34398,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8856,7.80245,7.25704,8.60887,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9038,7.94331,6.29952,8.0528,NA,NA,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9301,7.87964,7.65381,8.00645,NA,NA,0.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9450,8.15064,9.51726,6.72898,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9782,7.6629,7.46082,7.25823,NA,NA,NA,NA,NA,NA,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA
9976,7.85459,7.30865,8.14961,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10140,8.1189,7.0218,9.17153,NA,NA,NA,NA,NA,NA,NA,0.216,NA,NA,NA,NA,NA,NA,NA,NA
10382,6.65209,6.67259,8.44644,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10523,6.59168,7.74844,7.37509,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10734,6.77385,8.18255,7.87472,NA,0.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10851,7.72047,7.01642,7.21641,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11157,7.88724,7.02687,7.34101,NA,NA,NA,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11334,10.0583,6.78262,7.5509,NA,NA,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11545,8.90272,6.99492,7.07619,NA,NA,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
