id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness6.5,fitness9,fitness8.5,fitness9.5,fitness10,fitness6
10,7.05683,9.66594,7.2698,0.329,NA,NA,NA,NA,NA,NA,NA,NA
350,7.52597,8.93036,7.28487,NA,0.729,NA,NA,NA,NA,NA,NA,NA
464,8.19658,9.08835,6.81479,0.406,NA,NA,NA,NA,NA,NA,NA,NA
743,7.35617,9.71645,7.22959,0.457,NA,NA,NA,NA,NA,NA,NA,NA
939,7.75743,8.70489,7.55075,0.755,NA,NA,NA,NA,NA,NA,NA,NA
1062,7.24323,8.57741,8.07784,NA,NA,0.789,NA,NA,NA,NA,NA,NA
1320,7.28185,8.75054,7.51228,NA,0.774,NA,NA,NA,NA,NA,NA,NA
1467,7.90073,8.30573,7.8389,0.813,NA,NA,NA,NA,NA,NA,NA,NA
1620,7.10592,6.86316,7.23794,NA,0.725,NA,NA,NA,NA,NA,NA,NA
1906,8.02538,7.77422,7.43286,0.867,NA,NA,NA,NA,NA,NA,NA,NA
2051,8.03895,7.00034,7.93152,NA,0.834,NA,NA,NA,NA,NA,NA,NA
2202,7.96676,7.94694,7.88035,NA,0.962,NA,NA,NA,NA,NA,NA,NA
2529,8.43231,7.11929,8.00628,0.663,NA,NA,NA,NA,NA,NA,NA,NA
2779,8.70676,7.41536,6.84737,NA,0.653,NA,NA,NA,NA,NA,NA,NA
2986,7.43869,8.17524,8.10878,NA,NA,NA,0.715,NA,NA,NA,NA,NA
3107,7.15823,9.2386,8.75663,NA,0.421,NA,NA,NA,NA,NA,NA,NA
3220,6.62699,8.16753,8.20429,NA,NA,0.674,NA,NA,NA,NA,NA,NA
3414,6.87609,8.58776,7.91356,NA,NA,NA,NA,0.425,NA,NA,NA,NA
3697,6.60605,8.38428,7.43286,NA,NA,0.61,NA,NA,NA,NA,NA,NA
3912,7.86688,8.59274,7.49296,NA,0.841,NA,NA,NA,NA,NA,NA,NA
4155,7.06781,7.79816,7.67236,0.765,NA,NA,NA,NA,NA,NA,NA,NA
4308,8.7078,7.83269,7.97308,0.761,NA,NA,NA,NA,NA,NA,NA,NA
4434,6.97496,7.66599,7.85316,0.776,NA,NA,NA,NA,NA,NA,NA,NA
4733,7.87722,8.52837,7.95349,NA,NA,NA,NA,NA,0.776,NA,NA,NA
4971,7.46395,8.64485,8.25462,NA,NA,NA,NA,0.59,NA,NA,NA,NA
5139,8.57092,8.43184,7.79514,NA,NA,NA,NA,NA,0.699,NA,NA,NA
5274,8.5005,8.60202,6.99398,NA,NA,NA,NA,NA,0.512,NA,NA,NA
5597,7.4246,8.63272,8.28135,NA,NA,0.775,NA,NA,NA,NA,NA,NA
5724,7.56291,8.50753,7.62125,NA,NA,NA,NA,0.7,NA,NA,NA,NA
5884,7.12204,7.87254,7.36885,NA,NA,NA,NA,NA,0.792,NA,NA,NA
6183,7.62646,7.40782,7.18568,NA,NA,0.908,NA,NA,NA,NA,NA,NA
6380,7.04759,6.71368,8.20658,NA,NA,0.623,NA,NA,NA,NA,NA,NA
6450,8.27237,8.26252,6.64317,0.594,NA,NA,NA,NA,NA,NA,NA,NA
6634,9.27395,7.86099,7.38769,NA,NA,0.638,NA,NA,NA,NA,NA,NA
6815,8.75138,8.08931,6.83315,0.56,NA,NA,NA,NA,NA,NA,NA,NA
7122,7.93304,7.41533,8.21168,NA,0.922,NA,NA,NA,NA,NA,NA,NA
7358,7.95586,7.30079,7.78303,0.905,NA,NA,NA,NA,NA,NA,NA,NA
7480,8.44219,5.88969,8.07809,NA,NA,0.381,NA,NA,NA,NA,NA,NA
7769,7.3834,6.3178,7.57417,NA,NA,NA,NA,0.368,NA,NA,NA,NA
7935,9.10879,7.23673,7.76302,0.613,NA,NA,NA,NA,NA,NA,NA,NA
8050,7.51566,7.3172,7.18784,NA,NA,0.876,NA,NA,NA,NA,NA,NA
8360,7.18149,7.40282,8.15447,NA,NA,0.88,NA,NA,NA,NA,NA,NA
8415,7.51652,8.26628,7.7404,NA,NA,NA,NA,NA,NA,0.594,NA,NA
8799,8.45006,7.29388,7.23101,NA,0.783,NA,NA,NA,NA,NA,NA,NA
8826,8.18553,6.88135,7.7794,0.739,NA,NA,NA,NA,NA,NA,NA,NA
9109,8.20308,8.13071,7.70874,NA,NA,0.875,NA,NA,NA,NA,NA,NA
9213,8.18544,8.26762,6.37544,NA,NA,NA,NA,NA,0.405,NA,NA,NA
9526,7.6474,8.97148,8.07982,NA,NA,0.719,NA,NA,NA,NA,NA,NA
9634,6.69908,8.3515,7.73108,NA,NA,NA,NA,NA,0.62,NA,NA,NA
9956,7.32423,8.15275,8.78237,0.567,NA,NA,NA,NA,NA,NA,NA,NA
10165,6.90492,8.11651,7.8633,NA,NA,0.819,NA,NA,NA,NA,NA,NA
10312,8.36661,7.72621,7.77845,NA,0.917,NA,NA,NA,NA,NA,NA,NA
10587,7.40763,6.56705,7.02938,NA,NA,0.577,NA,NA,NA,NA,NA,NA
10770,6.9536,7.91429,7.6125,NA,0.853,NA,NA,NA,NA,NA,NA,NA
10842,7.55065,7.40472,6.82196,NA,0.809,NA,NA,NA,NA,NA,NA,NA
11033,7.17047,8.88452,7.56646,0.564,NA,NA,NA,NA,NA,NA,NA,NA
11251,8.3548,8.10499,7.46078,NA,0.85,NA,NA,NA,NA,NA,NA,NA
11515,8.05377,8.20617,7.35197,NA,0.862,NA,NA,NA,NA,NA,NA,NA
11771,7.96936,7.77652,6.79864,NA,0.803,NA,NA,NA,NA,NA,NA,NA
11952,8.30387,8.20818,7.3668,0.689,NA,NA,NA,NA,NA,NA,NA,NA
12002,7.18276,6.76941,7.32621,NA,0.682,NA,NA,NA,NA,NA,NA,NA
12350,8.50624,7.02909,8.02317,NA,NA,0.714,NA,NA,NA,NA,NA,NA
12550,8.09633,8.58576,7.67369,NA,0.834,NA,NA,NA,NA,NA,NA,NA
12763,7.85375,8.79888,7.32054,NA,0.768,NA,NA,NA,NA,NA,NA,NA
12890,7.80081,8.70698,8.05483,NA,NA,0.791,NA,NA,NA,NA,NA,NA
13087,7.05615,8.69814,8.59709,NA,0.608,NA,NA,NA,NA,NA,NA,NA
13203,7.07733,7.94273,8.43845,NA,0.807,NA,NA,NA,NA,NA,NA,NA
13459,6.90178,7.50132,7.33928,NA,NA,NA,NA,NA,NA,NA,0.356,NA
13611,7.91366,7.39368,7.13662,NA,NA,NA,NA,NA,0.819,NA,NA,NA
13882,8.13865,7.14315,7.25884,NA,0.818,NA,NA,NA,NA,NA,NA,NA
14161,7.05641,7.1298,6.83489,0.632,NA,NA,NA,NA,NA,NA,NA,NA
14368,6.80352,7.63978,7.92032,NA,NA,0.764,NA,NA,NA,NA,NA,NA
14595,7.92692,7.17331,7.58735,NA,NA,NA,NA,NA,0.862,NA,NA,NA
14732,7.65993,7.87197,8.00984,NA,NA,0.923,NA,NA,NA,NA,NA,NA
14929,7.79368,8.34353,8.2553,NA,NA,0.836,NA,NA,NA,NA,NA,NA
15009,8.9865,7.98828,8.08519,NA,0.685,NA,NA,NA,NA,NA,NA,NA
15358,7.74671,7.83065,7.40939,NA,NA,0.97,NA,NA,NA,NA,NA,NA
15408,6.64239,6.72791,8.51321,NA,NA,0.458,NA,NA,NA,NA,NA,NA
15785,7.63315,7.65062,7.53373,NA,0.976,NA,NA,NA,NA,NA,NA,NA
15926,8.78432,7.47942,7.66527,NA,NA,0.803,NA,NA,NA,NA,NA,NA
16174,7.68318,7.72479,7.82151,0.907,NA,NA,NA,NA,NA,NA,NA,NA
16224,8.16425,7.44612,8.02691,0.754,NA,NA,NA,NA,NA,NA,NA,NA
16570,8.22538,7.03825,8.16875,0.753,NA,NA,NA,NA,NA,NA,NA,NA
16790,7.94884,8.51243,8.89396,NA,0.628,NA,NA,NA,NA,NA,NA,NA
16947,7.42419,8.48675,7.1133,NA,NA,0.791,NA,NA,NA,NA,NA,NA
17146,7.44625,8.22442,8.02154,NA,NA,0.911,NA,NA,NA,NA,NA,NA
17214,6.64899,6.90549,7.81022,NA,NA,0.634,NA,NA,NA,NA,NA,NA
17512,6.56414,7.68862,7.57871,NA,NA,0.693,NA,NA,NA,NA,NA,NA
17648,8.056,7.54175,7.05055,NA,NA,0.863,NA,NA,NA,NA,NA,NA
17966,7.28064,7.15983,7.83683,0.826,NA,NA,NA,NA,NA,NA,NA,NA
18123,7.29726,8.10562,7.40708,NA,NA,0.858,NA,NA,NA,NA,NA,NA
18351,7.38154,8.49887,7.75905,0.745,NA,NA,NA,NA,NA,NA,NA,NA
