id,x0,x1,x2,fitness6.5,fitness7,fitness7.5,fitness8,fitness8.5,fitness9
152,7.36356,8.17681,7.39811,0.675,NA,NA,NA,NA,NA
374,7.99131,8.05947,7.88583,NA,0.807,NA,NA,NA,NA
590,7.52901,7.77696,7.38065,NA,0.904,NA,NA,NA,NA
793,8.34145,8.55365,7.51964,NA,NA,0.778,NA,NA,NA
806,8.06626,8.13553,7.96888,NA,NA,0.909,NA,NA,NA
1126,7.98363,7.94196,7.79047,NA,0.903,NA,NA,NA,NA
1225,8.31884,7.8242,7.484,NA,NA,0.895,NA,NA,NA
1432,7.64781,7.28397,7.6288,NA,NA,0.956,NA,NA,NA
1724,8.37482,7.96078,7.64342,NA,NA,0.893,NA,NA,NA
1921,7.29467,8.40071,8.07347,NA,NA,0.838,NA,NA,NA
2148,6.96667,7.98449,7.40749,NA,NA,NA,0.844,NA,NA
2286,8.22488,8.87378,7.64492,NA,NA,NA,0.703,NA,NA
2553,7.24674,7.42768,8.05791,NA,NA,NA,0.896,NA,NA
2686,7.63057,7.73963,7.11617,NA,NA,NA,0.921,NA,NA
2806,8.1564,7.87827,7.42015,NA,NA,0.899,NA,NA,NA
3023,7.37529,7.65125,8.07391,NA,0.788,NA,NA,NA,NA
3395,6.98142,8.4993,7.9305,NA,NA,NA,0.754,NA,NA
3525,8.0417,7.66835,7.76541,NA,NA,NA,0.968,NA,NA
3606,8.15051,7.45485,7.68919,NA,NA,NA,0.929,NA,NA
3852,7.63272,7.69754,7.41054,NA,NA,NA,0.974,NA,NA
4178,7.16039,7.80627,7.47738,NA,0.867,NA,NA,NA,NA
4263,7.76961,7.21188,7.45021,NA,NA,0.912,NA,NA,NA
4568,7.18199,7.35097,7.69351,NA,NA,0.911,NA,NA,NA
4774,7.37427,8.21076,7.17106,NA,NA,0.865,NA,NA,NA
4833,7.33115,7.47006,7.26592,NA,NA,0.912,NA,NA,NA
5001,7.13441,7.4315,7.38307,NA,NA,NA,NA,0.789,NA
5358,7.5188,8.28264,7.79508,NA,NA,NA,0.919,NA,NA
5578,7.4761,7.95905,7.40317,NA,NA,0.953,NA,NA,NA
5602,7.93173,7.77894,8.37816,NA,NA,NA,0.894,NA,NA
5942,7.81945,8.08431,7.74375,NA,NA,0.968,NA,NA,NA
6043,7.50512,8.13545,7.55084,NA,NA,NA,0.932,NA,NA
6255,7.4753,7.73067,8.80701,NA,NA,0.775,NA,NA,NA
6484,7.07898,7.65077,7.38856,NA,0.811,NA,NA,NA,NA
6733,8.14215,6.87403,7.70836,NA,NA,NA,NA,0.748,NA
6831,7.62118,7.6154,8.16059,NA,NA,NA,NA,0.887,NA
7075,8.17844,7.84563,7.47024,NA,NA,0.94,NA,NA,NA
7324,8.47712,8.01065,7.75599,NA,NA,0.849,NA,NA,NA
7547,7.57311,8.40341,6.95513,NA,NA,0.783,NA,NA,NA
7770,7.68579,8.10974,7.6138,NA,NA,0.954,NA,NA,NA
7907,7.49239,7.66618,7.45527,NA,NA,NA,0.933,NA,NA
8005,7.62485,6.73925,7.38954,NA,NA,NA,NA,0.675,NA
8302,8.27816,7.38119,6.87569,NA,NA,NA,0.744,NA,NA
8429,7.39461,6.87088,8.1327,NA,NA,NA,0.758,NA,NA
8604,7.29419,7.98973,7.37304,NA,NA,NA,0.91,NA,NA
8914,7.31907,7.82987,8.35779,NA,NA,NA,NA,0.756,NA
9063,8.30043,7.74239,8.2838,NA,NA,NA,0.826,NA,NA
9281,8.44821,8.30192,8.04021,NA,NA,NA,0.804,NA,NA
9512,7.90157,8.29152,6.69911,NA,NA,NA,0.684,NA,NA
9714,7.69331,7.93729,7.44136,NA,NA,NA,0.97,NA,NA
9971,7.91284,7.6732,6.89843,NA,NA,NA,0.852,NA,NA
10023,7.32389,7.60352,6.66548,NA,NA,NA,0.713,NA,NA
10312,7.85974,7.54566,6.95324,NA,NA,0.848,NA,NA,NA
10579,7.73261,7.77909,7.26238,NA,NA,NA,NA,NA,0.657
10750,7.26406,7.96209,7.38747,NA,NA,NA,NA,0.79,NA
10864,7.60345,7.51672,7.22647,0.729,NA,NA,NA,NA,NA
11027,7.24717,7.04292,6.95052,NA,NA,0.738,NA,NA,NA
11203,8.14541,8.24251,7.61139,NA,NA,NA,0.905,NA,NA
11473,7.43219,8.30998,7.90893,NA,NA,NA,0.903,NA,NA
11720,7.91963,7.5425,8.02304,NA,NA,0.963,NA,NA,NA
11868,7.93578,7.83235,7.38428,NA,NA,NA,0.939,NA,NA
12069,8.11605,8.02125,7.78507,NA,NA,NA,0.899,NA,NA
12265,7.23672,7.92046,7.50957,NA,NA,0.925,NA,NA,NA
12432,6.78012,8.1045,7.93623,NA,NA,0.749,NA,NA,NA
12616,8.24614,8.00758,8.52165,NA,NA,NA,0.807,NA,NA
12892,7.31606,8.28491,8.01696,NA,NA,NA,0.865,NA,NA
13027,7.49637,7.75616,7.71132,NA,NA,NA,NA,0.841,NA
13310,7.96623,7.52698,7.57164,NA,NA,NA,0.934,NA,NA
13453,7.41324,7.89984,7.27238,NA,NA,NA,NA,0.86,NA
