id,x0,x1,x2,fitness1,fitness0.5,fitness2,fitness1.5,fitness3.5,fitness3,fitness4,fitness5,fitness5.5,fitness6.5,fitness8,fitness7,fitness9.5,fitness7.5,fitness4.5,fitness8.5,fitness10,fitness6,fitness9,fitness2.5
36,8.05505,9.19409,9.19277,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,7.64887,7.87304,7.44176,NA,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,7.46617,7.58749,7.99528,NA,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648,7.41595,8.1663,8.13692,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,7.56799,7.74875,9.17245,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,7.17538,8.39277,10.0215,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1215,7.21391,7.71255,10.0572,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1472,7.57124,7.96042,9.85257,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1667,7.11034,8.09818,9.78984,NA,NA,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,7.26976,7.33864,9.1581,0.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2141,7.33668,7.74097,9.91394,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2381,6.87372,6.93869,8.95181,NA,NA,NA,0.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2471,7.12022,6.85134,8.81274,NA,NA,NA,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2739,7.20779,9.25823,7.66718,NA,NA,NA,NA,0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2834,9.11206,7.43735,8.19813,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3054,7.10479,8.67793,7.18242,NA,NA,NA,NA,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3203,7.34228,6.32393,7.50539,NA,NA,NA,NA,NA,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3417,7.21608,6.68309,7.35355,NA,NA,NA,NA,NA,NA,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3748,7.74118,8.51629,7.89005,NA,NA,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3993,8.10283,7.75252,8.07437,NA,NA,NA,NA,NA,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4128,10.1582,8.44079,7.07287,NA,NA,NA,NA,NA,NA,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4266,9.64092,7.64282,6.57655,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4535,9.45897,8.05509,7.19714,NA,NA,NA,NA,NA,NA,NA,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4659,8.54434,9.88672,7.80739,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4854,10.0203,9.96479,7.20113,NA,NA,NA,NA,NA,NA,NA,-0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5115,8.41335,9.97206,6.96142,NA,NA,NA,NA,NA,NA,0.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5209,8.7649,7.97588,7.70782,NA,NA,NA,NA,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5544,8.15543,7.03271,7.63079,NA,NA,NA,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5721,7.87515,5.28704,7.55941,NA,NA,NA,NA,NA,NA,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5829,7.13162,6.32222,8.44005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6044,5.57855,7.17332,7.72161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA
6344,5.71687,8.15148,8.31924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA
6514,4.83549,7.75843,8.25028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619,NA,NA,NA,NA,NA,NA,NA,NA
6753,4.90509,7.20246,7.71529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA,NA
6813,6.79627,5.6735,6.8994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,NA,NA,NA,NA,NA,NA,NA
7153,6.93876,6.29368,8.52318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356,NA,NA,NA,NA,NA,NA
7282,5.53595,7.0214,8.30055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265,NA,NA,NA,NA,NA,NA,NA,NA
7436,6.74385,7.69383,9.30969,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7794,7.90772,7.63231,9.00729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622,NA,NA,NA,NA,NA
7825,7.90105,6.61478,8.87002,NA,NA,NA,NA,NA,NA,NA,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8110,7.85845,7.2252,9.11222,NA,NA,NA,NA,NA,NA,0.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
