id,x0,x1,x2,fitness10,fitness8.5,fitness7,fitness7.5,fitness8,fitness9.5,fitness6.5,fitness6,fitness9,fitness5,fitness5.5,fitness4.5
147,7.30801,8.15682,8.58528,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,7.42204,8.51873,6.26559,NA,0.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,7.27184,8.10675,6.38448,NA,NA,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA
766,7.50557,6.91838,6.87516,NA,NA,0.537,NA,NA,NA,NA,NA,NA,NA,NA,NA
961,7.50297,7.29201,8.76699,NA,NA,NA,0.748,NA,NA,NA,NA,NA,NA,NA,NA
1143,6.3751,8.60082,8.56432,NA,NA,0.311,NA,NA,NA,NA,NA,NA,NA,NA,NA
1351,7.47266,8.22246,8.58416,NA,0.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,7.21919,8.57953,7.45326,NA,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1670,6.37531,8.78303,7.25523,NA,NA,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA
1835,6.82903,9.26276,7.43929,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA
2089,6.45545,8.71669,7.4379,NA,NA,NA,0.518,NA,NA,NA,NA,NA,NA,NA,NA
2276,6.81108,8.09262,8.43201,NA,NA,NA,0.677,NA,NA,NA,NA,NA,NA,NA,NA
2500,6.25492,6.77551,8.31615,NA,NA,NA,0.352,NA,NA,NA,NA,NA,NA,NA,NA
2748,7.23815,6.80078,7.48624,NA,NA,NA,NA,0.716,NA,NA,NA,NA,NA,NA,NA
2882,7.57198,6.36808,7.748,NA,NA,NA,0.663,NA,NA,NA,NA,NA,NA,NA,NA
3054,7.73692,6.95413,7.83863,NA,NA,NA,NA,0.854,NA,NA,NA,NA,NA,NA,NA
3392,6.82026,6.92459,8.27862,NA,NA,NA,0.608,NA,NA,NA,NA,NA,NA,NA,NA
3535,8.51528,6.81164,8.22052,NA,NA,NA,0.667,NA,NA,NA,NA,NA,NA,NA,NA
3655,6.52964,8.70357,8.10399,NA,NA,0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
3803,6.50723,8.01675,7.24063,NA,NA,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA
4031,8.31163,6.56128,7.90224,NA,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4305,8.13502,7.69248,7.17574,NA,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4530,7.34574,8.80703,7.70268,NA,NA,NA,NA,NA,0.455,NA,NA,NA,NA,NA,NA
4708,8.31261,8.25675,7.36907,NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA
4948,6.83173,7.79009,7.65073,NA,NA,NA,NA,0.836,NA,NA,NA,NA,NA,NA,NA
5006,7.10689,7.11573,7.44452,NA,NA,NA,NA,0.827,NA,NA,NA,NA,NA,NA,NA
5286,7.61956,7.56075,8.14573,NA,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5472,7.61513,7.24185,7.41203,NA,NA,NA,NA,0.922,NA,NA,NA,NA,NA,NA,NA
5685,7.26823,8.19384,7.26174,NA,NA,NA,NA,0.861,NA,NA,NA,NA,NA,NA,NA
5834,7.85459,7.72071,8.46766,NA,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6111,8.15437,7.8595,8.93111,NA,NA,NA,NA,0.701,NA,NA,NA,NA,NA,NA,NA
6252,8.0117,7.97561,7.48633,NA,NA,NA,0.933,NA,NA,NA,NA,NA,NA,NA,NA
6401,8.63979,8.053,8.61001,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA
