id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9,fitness6.5,fitness9.5,fitness6
134,7.31475,3.64022,6.69275,0.484,NA,NA,NA,NA,NA,NA,NA
380,8.32833,4.13266,7.19902,NA,0.865,NA,NA,NA,NA,NA,NA
444,8.27431,4.92503,7.81916,NA,0.621,NA,NA,NA,NA,NA,NA
706,9.67609,7.05349,7.67886,NA,NA,0.483,NA,NA,NA,NA,NA
994,9.8478,8.11716,8.15405,NA,NA,0.484,NA,NA,NA,NA,NA
1034,8.7857,7.24072,7.9311,0.709,NA,NA,NA,NA,NA,NA,NA
1234,7.9279,7.13338,8.15547,0.79,NA,NA,NA,NA,NA,NA,NA
1583,7.92268,7.27627,7.66086,0.892,NA,NA,NA,NA,NA,NA,NA
1735,9.08227,7.67291,8.03043,NA,NA,NA,0.598,NA,NA,NA,NA
1997,6.97246,7.70417,8.44503,NA,0.78,NA,NA,NA,NA,NA,NA
2147,8.04853,7.86602,7.30769,NA,NA,NA,0.822,NA,NA,NA,NA
2360,7.05638,7.91156,7.46045,NA,NA,0.884,NA,NA,NA,NA,NA
2468,6.49141,8.35209,7.3846,NA,NA,0.613,NA,NA,NA,NA,NA
2612,7.49333,8.98949,8.28499,NA,NA,NA,0.555,NA,NA,NA,NA
2873,8.15625,8.74229,8.34604,NA,0.69,NA,NA,NA,NA,NA,NA
3038,7.96242,7.62073,8.42422,NA,NA,NA,NA,0.686,NA,NA,NA
3357,8.45012,7.5224,7.99811,NA,0.835,NA,NA,NA,NA,NA,NA
3510,8.55706,7.43785,8.8926,NA,NA,NA,0.5,NA,NA,NA,NA
3719,8.40711,8.40253,7.28525,NA,NA,0.754,NA,NA,NA,NA,NA
3913,8.40906,8.53402,7.85579,0.652,NA,NA,NA,NA,NA,NA,NA
4177,7.69264,7.42341,7.39978,NA,0.954,NA,NA,NA,NA,NA,NA
4292,8.30178,8.45519,7.30129,NA,NA,0.794,NA,NA,NA,NA,NA
4542,7.1523,8.00821,7.96159,NA,NA,0.892,NA,NA,NA,NA,NA
4735,8.05557,8.17227,8.53608,NA,NA,0.811,NA,NA,NA,NA,NA
4893,7.31104,8.31843,7.83973,NA,NA,0.847,NA,NA,NA,NA,NA
5026,7.47747,7.33076,7.48883,0.865,NA,NA,NA,NA,NA,NA,NA
5342,7.47648,7.79053,7.73846,NA,NA,0.962,NA,NA,NA,NA,NA
5408,8.16134,6.86184,8.6247,NA,0.629,NA,NA,NA,NA,NA,NA
5763,7.85476,9.02207,8.48344,NA,0.628,NA,NA,NA,NA,NA,NA
5908,7.58165,8.36074,8.83635,NA,0.718,NA,NA,NA,NA,NA,NA
6114,7.26946,8.24512,8.74345,0.667,NA,NA,NA,NA,NA,NA,NA
6203,8.00973,7.74519,8.47766,NA,0.861,NA,NA,NA,NA,NA,NA
6543,8.41308,7.05466,8.39329,0.619,NA,NA,NA,NA,NA,NA,NA
6746,9.96258,7.17881,8.29983,NA,NA,0.412,NA,NA,NA,NA,NA
6862,8.79232,8.13086,8.32869,NA,NA,0.689,NA,NA,NA,NA,NA
7187,8.16675,8.07937,8.35675,NA,NA,NA,NA,0.644,NA,NA,NA
7265,7.9835,7.92568,8.17263,NA,NA,NA,0.854,NA,NA,NA,NA
7565,7.66021,8.99946,7.06644,NA,0.664,NA,NA,NA,NA,NA,NA
7663,7.90407,8.27245,7.45389,NA,NA,0.902,NA,NA,NA,NA,NA
7826,8.77999,8.26945,7.62671,NA,NA,NA,0.687,NA,NA,NA,NA
8104,8.42818,7.71667,7.01681,NA,NA,NA,0.637,NA,NA,NA,NA
8321,8.47957,7.18286,7.39685,NA,NA,0.813,NA,NA,NA,NA,NA
8484,7.76347,7.82698,7.68699,NA,NA,NA,0.921,NA,NA,NA,NA
8687,8.22424,7.81947,8.16157,NA,NA,0.906,NA,NA,NA,NA,NA
8948,8.32338,7.82989,8.04231,NA,NA,0.901,NA,NA,NA,NA,NA
9102,6.6533,7.34198,7.72532,NA,0.733,NA,NA,NA,NA,NA,NA
9376,7.87035,7.18913,8.38529,NA,0.838,NA,NA,NA,NA,NA,NA
9461,7.20784,8.1405,7.31615,0.691,NA,NA,NA,NA,NA,NA,NA
9753,7.32208,7.58322,7.97853,NA,NA,0.933,NA,NA,NA,NA,NA
9956,8.26884,8.38002,9.33249,NA,0.485,NA,NA,NA,NA,NA,NA
10153,8.40204,7.21675,8.95147,NA,0.628,NA,NA,NA,NA,NA,NA
