id,x0,x1,x2,fitness-4,fitness-3,fitness-3.5,fitness-2.5,fitness-1.5,fitness-1,fitness-4.5,fitness-5,fitness0,fitness-2,fitness-0.5
14,0.694399,-3.57281,-4.23009,-1182.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1.17328,-2.11675,-3.80275,NA,-1033.639,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,1.51958,-0.811914,-4.55572,NA,-377.961,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,0.857456,0.458339,-4.08665,-148.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,1.20582,0.689588,-4.50461,NA,NA,-87.591,NA,NA,NA,NA,NA,NA,NA,NA
1167,1.67872,1.71597,-4.82629,-48.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,2.97805,1.17507,-4.91532,NA,-53.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
1512,2.10345,1.7472,-4.19826,NA,NA,NA,-4.656,NA,NA,NA,NA,NA,NA,NA
1694,2.31756,2.25848,-3.60099,NA,NA,NA,NA,-45.181,NA,NA,NA,NA,NA,NA
1959,2.01318,2.77214,-4.84365,NA,NA,NA,NA,NA,-71.34,NA,NA,NA,NA,NA
2005,2.2581,2.4948,-4.44327,NA,NA,NA,-24.525,NA,NA,NA,NA,NA,NA,NA
2282,2.65834,1.92573,-4.22464,NA,NA,-36.025,NA,NA,NA,NA,NA,NA,NA,NA
2522,3.3028,1.77282,-4.83373,-110.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2678,2.25582,2.57563,-3.2903,NA,-60.223,NA,NA,NA,NA,NA,NA,NA,NA,NA
2887,1.22913,0.778999,-3.442,NA,NA,NA,NA,NA,NA,-131.213,NA,NA,NA,NA
3027,1.13634,0.717876,-4.9777,NA,-80.712,NA,NA,NA,NA,NA,NA,NA,NA,NA
3212,1.46938,1.27115,-4.2967,-50.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3547,1.06025,2.25292,-4.75553,NA,NA,-46.262,NA,NA,NA,NA,NA,NA,NA,NA
3723,1.87129,2.14931,-3.26816,NA,NA,NA,NA,NA,NA,-119.521,NA,NA,NA,NA
3976,2.68461,1.05466,-3.91252,NA,NA,NA,NA,NA,NA,-129.567,NA,NA,NA,NA
4164,1.33272,0.534213,-3.74759,-128.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4223,1.60565,0.888347,-3.40127,NA,NA,NA,-58.96,NA,NA,NA,NA,NA,NA,NA
4582,1.25529,1.92846,-4.14956,NA,NA,NA,NA,-33.519,NA,NA,NA,NA,NA,NA
