id,x0,x1,x2,fitness-3.5,fitness-4,fitness-2.5,fitness-2,fitness-1,fitness-1.5,fitness-3,fitness-4.5,fitness-0.5,fitness-5
44,2.08619,3.24379,-4.86485,-84.314,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,2.78107,1.59321,-4.81945,NA,-90.193,NA,NA,NA,NA,NA,NA,NA,NA
429,1.96472,1.79791,-3.97602,NA,NA,-6.829,NA,NA,NA,NA,NA,NA,NA
673,1.39792,3.37975,-3.56172,NA,NA,NA,-95.4,NA,NA,NA,NA,NA,NA
921,1.97851,3.55973,-2.5003,NA,NA,-180.485,NA,NA,NA,NA,NA,NA,NA
1092,2.1653,2.68704,-4.57173,NA,NA,-31.622,NA,NA,NA,NA,NA,NA,NA
1345,2.12912,1.93074,-4.69226,NA,NA,NA,-13.559,NA,NA,NA,NA,NA,NA
1579,1.68741,1.84077,-4.30566,NA,NA,NA,NA,-65.212,NA,NA,NA,NA,NA
1625,1.80414,0.977346,-4.04893,NA,NA,NA,NA,NA,-50.025,NA,NA,NA,NA
1911,2.31701,1.7181,-3.64543,NA,NA,NA,NA,NA,-58.004,NA,NA,NA,NA
2132,2.46928,2.08598,-4.96063,NA,NA,NA,-28.361,NA,NA,NA,NA,NA,NA
2251,2.70535,2.61505,-4.79612,NA,NA,-46.792,NA,NA,NA,NA,NA,NA,NA
2537,2.73959,2.4519,-4.61252,NA,NA,-38.927,NA,NA,NA,NA,NA,NA,NA
2639,2.15929,1.87854,-4.59628,NA,NA,-9.323,NA,NA,NA,NA,NA,NA,NA
2819,2.24662,0.78104,-4.45871,NA,NA,NA,-48.791,NA,NA,NA,NA,NA,NA
3076,1.58792,1.48306,-4.59992,NA,NA,NA,NA,-64.772,NA,NA,NA,NA,NA
3266,1.8886,1.62827,-4.6469,NA,NA,NA,NA,NA,NA,-8.696,NA,NA,NA
3487,0.941229,1.48239,-4.74252,NA,NA,NA,NA,NA,NA,-39.998,NA,NA,NA
3702,2.40113,1.8627,-4.68727,NA,NA,-17.208,NA,NA,NA,NA,NA,NA,NA
3807,0.508161,2.74405,-4.60953,NA,NA,-64.694,NA,NA,NA,NA,NA,NA,NA
4084,1.5864,1.55594,-3.70272,NA,NA,-15.144,NA,NA,NA,NA,NA,NA,NA
4382,1.42732,1.98997,-3.98705,NA,NA,-11.798,NA,NA,NA,NA,NA,NA,NA
4466,1.93201,2.5889,-3.95217,NA,NA,-26.833,NA,NA,NA,NA,NA,NA,NA
4794,2.14813,2.00875,-2.94071,NA,-105.932,NA,NA,NA,NA,NA,NA,NA,NA
4842,3.6117,0.849204,-4.64008,-122.365,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107,2.86647,2.01435,-4.04582,NA,-72.074,NA,NA,NA,NA,NA,NA,NA,NA
5341,1.53227,1.08147,-3.64067,NA,NA,NA,NA,NA,NA,-35.473,NA,NA,NA
5441,1.58088,1.97255,-3.8065,NA,NA,NA,NA,NA,NA,-15.624,NA,NA,NA
5654,1.97972,1.24604,-4.59749,NA,-51.351,NA,NA,NA,NA,NA,NA,NA,NA
5889,2.21311,1.4697,-4.86483,NA,-77.091,NA,NA,NA,NA,NA,NA,NA,NA
6123,1.84768,2.16728,-4.85364,-34.052,NA,NA,NA,NA,NA,NA,NA,NA,NA
6310,2.40082,1.73206,-4.71933,-40.129,NA,NA,NA,NA,NA,NA,NA,NA,NA
6432,2.14152,2.08124,-4.86179,NA,NA,-16.907,NA,NA,NA,NA,NA,NA,NA
6707,1.42952,1.65475,-4.1869,NA,NA,-5.514,NA,NA,NA,NA,NA,NA,NA
6950,1.6395,1.0557,-2.73262,NA,NA,-91.902,NA,NA,NA,NA,NA,NA,NA
7163,1.07423,1.9278,-3.62571,NA,NA,-33.506,NA,NA,NA,NA,NA,NA,NA
7376,0.701087,2.25753,-3.92158,NA,NA,-44.579,NA,NA,NA,NA,NA,NA,NA
7541,1.14492,2.12854,-4.02534,NA,NA,-22.154,NA,NA,NA,NA,NA,NA,NA
7724,2.16217,2.54212,-3.88588,NA,-75.238,NA,NA,NA,NA,NA,NA,NA,NA
7835,1.80354,2.41076,-4.89127,NA,NA,NA,NA,NA,NA,NA,-113.696,NA,NA
8077,2.84908,2.28115,-4.12406,-65.716,NA,NA,NA,NA,NA,NA,NA,NA,NA
8244,2.87052,1.21376,-3.94228,NA,NA,NA,-53.195,NA,NA,NA,NA,NA,NA
8512,2.1959,1.6191,-4.71709,NA,NA,NA,NA,NA,-26.731,NA,NA,NA,NA
8689,1.61234,1.03985,-4.60216,NA,NA,NA,NA,NA,-42.918,NA,NA,NA,NA
8950,1.84206,0.834417,-4.80419,NA,NA,NA,NA,NA,NA,-37.45,NA,NA,NA
9070,2.37966,1.19152,-4.28401,NA,NA,NA,-26.725,NA,NA,NA,NA,NA,NA
9349,1.8511,1.34727,-3.20112,NA,NA,NA,NA,NA,-62.956,NA,NA,NA,NA
9496,2.25954,1.55026,-3.61282,NA,NA,NA,-27.539,NA,NA,NA,NA,NA,NA
