id,x0,x1,x2,fitness-3.5,fitness-5,fitness-4,fitness-3,fitness-2.5,fitness-2,fitness-1.5,fitness-1,fitness-4.5
44,2.08619,3.24379,-4.86485,-84.314,NA,NA,NA,NA,NA,NA,NA,NA
386,0.0427817,2.67258,-3.92622,NA,-211.758,NA,NA,NA,NA,NA,NA,NA
536,1.28465,1.12312,-4.2239,NA,NA,-73.862,NA,NA,NA,NA,NA,NA
686,1.53497,1.77553,-3.44235,NA,NA,NA,-34.709,NA,NA,NA,NA,NA
945,1.19901,1.78496,-4.22579,NA,NA,NA,-19.982,NA,NA,NA,NA,NA
1128,1.05233,2.31265,-4.66913,NA,NA,NA,-32.157,NA,NA,NA,NA,NA
1242,0.810131,1.52469,-3.90042,NA,NA,NA,NA,-39.274,NA,NA,NA,NA
1471,1.91714,2.63869,-3.81805,NA,NA,NA,NA,-32.627,NA,NA,NA,NA
1675,2.83541,1.7896,-4.66947,NA,NA,NA,NA,-31.813,NA,NA,NA,NA
1825,0.974737,1.79213,-4.30124,-36.559,NA,NA,NA,NA,NA,NA,NA,NA
2054,2.01767,1.20491,-4.72519,NA,NA,NA,-18.383,NA,NA,NA,NA,NA
2261,0.81696,1.6121,-4.12391,NA,NA,NA,NA,-34.268,NA,NA,NA,NA
2479,1.39,1.74671,-4.47651,NA,NA,NA,-8.81,NA,NA,NA,NA,NA
2711,1.83621,2.32761,-4.19285,NA,NA,NA,NA,NA,-16.093,NA,NA,NA
2888,1.57617,2.45625,-3.85164,NA,NA,NA,NA,-24.803,NA,NA,NA,NA
3039,1.9858,1.89014,-4.62373,NA,NA,NA,-9.719,NA,NA,NA,NA,NA
3351,1.28229,2.63295,-4.0692,NA,NA,NA,-37.238,NA,NA,NA,NA,NA
3534,2.6127,2.7154,-4.62194,NA,NA,NA,-47.748,NA,NA,NA,NA,NA
3743,2.35769,2.77278,-4.60916,NA,NA,NA,NA,-40.11,NA,NA,NA,NA
3947,2.02116,1.33734,-4.47234,NA,NA,NA,NA,NA,-20.336,NA,NA,NA
4155,1.74943,1.57921,-4.56969,NA,NA,NA,NA,NA,-7.511,NA,NA,NA
4252,1.93264,2.06714,-3.76396,NA,NA,NA,NA,NA,NA,-50.177,NA,NA
4591,1.12018,2.22209,-3.94461,NA,NA,NA,NA,-25.457,NA,NA,NA,NA
4746,1.64711,1.35793,-3.3225,-59.621,NA,NA,NA,NA,NA,NA,NA,NA
4809,2.00761,1.37034,-4.83268,NA,NA,NA,-21.101,NA,NA,NA,NA,NA
5183,1.49853,1.19003,-3.82149,-37.272,NA,NA,NA,NA,NA,NA,NA,NA
5292,1.21485,2.31953,-4.8061,NA,NA,NA,-29.39,NA,NA,NA,NA,NA
5548,1.94014,2.50561,-4.91985,NA,NA,NA,NA,NA,NA,-43.8,NA,NA
5703,2.40384,1.41482,-4.85789,NA,NA,NA,NA,-22.133,NA,NA,NA,NA
5994,2.48642,1.3434,-4.40474,NA,NA,NA,NA,NA,-22.828,NA,NA,NA
6186,1.72124,1.47101,-4.87315,NA,NA,NA,NA,-12.327,NA,NA,NA,NA
6237,1.85522,2.34554,-4.34865,NA,NA,NA,NA,NA,-17.591,NA,NA,NA
6578,1.73387,1.40092,-4.79336,NA,NA,NA,NA,-10.689,NA,NA,NA,NA
6612,2.02727,2.65006,-4.701,NA,NA,NA,NA,-29.322,NA,NA,NA,NA
6907,1.05484,2.45287,-3.89716,NA,NA,NA,NA,-34.735,NA,NA,NA,NA
7161,1.09249,1.4988,-4.48326,NA,NA,NA,NA,NA,-25.267,NA,NA,NA
7286,1.50957,1.62217,-4.45344,NA,NA,NA,-15.379,NA,NA,NA,NA,NA
7496,1.07878,1.35009,-4.39214,-44.282,NA,NA,NA,NA,NA,NA,NA,NA
7681,0.577566,2.30033,-4.02754,NA,NA,NA,-50.713,NA,NA,NA,NA,NA
7986,1.64298,2.83107,-4.99901,NA,NA,NA,-44.016,NA,NA,NA,NA,NA
8125,0.877199,2.32731,-4.80381,NA,NA,NA,NA,NA,-41.137,NA,NA,NA
8211,1.53773,1.52676,-4.40999,NA,NA,NA,NA,NA,-8.818,NA,NA,NA
8537,1.39561,1.59865,-4.1222,NA,NA,NA,NA,-6.035,NA,NA,NA,NA
8653,1.51925,0.987739,-4.58866,NA,NA,NA,NA,NA,-37.638,NA,NA,NA
8840,1.29634,1.72813,-4.14853,NA,NA,NA,NA,NA,NA,-45.744,NA,NA
9079,0.691445,2.19842,-4.64796,NA,NA,NA,NA,NA,-44.387,NA,NA,NA
9344,1.79358,2.00363,-3.92453,NA,NA,NA,NA,-9.066,NA,NA,NA,NA
9501,1.34071,2.93715,-4.49898,NA,NA,NA,NA,-43.362,NA,NA,NA,NA
9644,1.72389,2.06095,-4.59715,NA,NA,NA,NA,-8.586,NA,NA,NA,NA
9891,1.62576,1.2336,-4.88532,NA,NA,NA,NA,-18.277,NA,NA,NA,NA
10061,2.36128,1.19851,-4.50158,-32.77,NA,NA,NA,NA,NA,NA,NA,NA
10320,1.71683,1.89992,-4.44781,NA,NA,NA,NA,NA,NA,-26.083,NA,NA
10574,1.35285,1.50821,-4.65645,NA,NA,NA,NA,-10.859,NA,NA,NA,NA
10775,1.78077,2.0159,-4.12582,NA,NA,NA,NA,-6.182,NA,NA,NA,NA
10973,2.01876,1.96897,-3.99702,NA,NA,NA,NA,NA,-20.547,NA,NA,NA
11069,1.52127,1.66983,-3.79884,NA,NA,NA,NA,-11.937,NA,NA,NA,NA
