id,x0,x1,x2,fitness-5,fitness-4,fitness-3.5,fitness-4.5,fitness-3,fitness-2.5,fitness-2,fitness-1.5
163,-4.95807,2.2404,-1.62653,-580.634,NA,NA,NA,NA,NA,NA,NA
314,-3.26394,3.08221,-3.64173,NA,-146.954,NA,NA,NA,NA,NA,NA
414,-2.12998,4.26119,-4.54044,NA,NA,-74.411,NA,NA,NA,NA,NA
644,-2.20022,4.89319,-4.0046,NA,NA,NA,-91.621,NA,NA,NA,NA
889,-1.22296,4.07577,-2.96312,-178.815,NA,NA,NA,NA,NA,NA,NA
1038,-1.36863,4.1306,-3.76434,-110.595,NA,NA,NA,NA,NA,NA,NA
1294,-0.75855,4.76707,-4.07017,-141.363,NA,NA,NA,NA,NA,NA,NA
1595,-0.707772,4.25765,-2.97244,NA,NA,NA,-246.073,NA,NA,NA,NA
1791,-0.503899,4.54124,-3.31674,-186.653,NA,NA,NA,NA,NA,NA,NA
1960,-1.70562,4.01786,-3.59656,NA,NA,NA,-103.639,NA,NA,NA,NA
2197,-1.19214,3.81857,-4.98074,NA,NA,NA,-31.435,NA,NA,NA,NA
2362,-0.73764,4.07696,-4.64028,NA,NA,NA,-96.023,NA,NA,NA,NA
2427,-1.364,4.66639,-3.51486,NA,NA,-187.769,NA,NA,NA,NA,NA
2768,-1.20766,4.37492,-3.63049,NA,NA,NA,-121.766,NA,NA,NA,NA
2820,-2.02162,4.0246,-4.38164,NA,NA,NA,-43.909,NA,NA,NA,NA
3154,-0.722488,2.31988,-3.35735,NA,-318.058,NA,NA,NA,NA,NA,NA
3389,-0.969734,2.45076,-4.34353,NA,NA,NA,-149.585,NA,NA,NA,NA
3407,-1.38759,3.73392,-4.43731,NA,NA,NA,-29.121,NA,NA,NA,NA
3706,-2.03901,3.65182,-4.03042,NA,NA,NA,-69.796,NA,NA,NA,NA
3873,-2.21584,3.32876,-3.88669,NA,-99.917,NA,NA,NA,NA,NA,NA
4137,-0.803816,4.45218,-3.69281,NA,NA,NA,-145.194,NA,NA,NA,NA
4366,-2.43755,3.9501,-4.62026,-59.405,NA,NA,NA,NA,NA,NA,NA
4579,-0.439233,3.79327,-3.82332,NA,NA,NA,-93.899,NA,NA,NA,NA
4795,-0.252215,1.98342,-3.89281,NA,-409.117,NA,NA,NA,NA,NA,NA
4933,-1.1484,3.16833,-4.0983,NA,NA,-195.9,NA,NA,NA,NA,NA
5002,-2.34931,4.41921,-3.0044,NA,NA,-182.782,NA,NA,NA,NA,NA
5245,-2.40644,4.71691,-3.6827,NA,NA,-136.667,NA,NA,NA,NA,NA
5448,-2.53664,4.94756,-3.00576,NA,NA,NA,-163.559,NA,NA,NA,NA
5615,-2.47988,2.69975,-3.2247,NA,NA,NA,-174.55,NA,NA,NA,NA
5832,-2.73669,3.41207,-3.53418,NA,-123.61,NA,NA,NA,NA,NA,NA
6029,-4.06808,2.58847,-3.51645,NA,NA,-264.438,NA,NA,NA,NA,NA
6204,-4.62413,4.51399,-4.33978,NA,NA,-242.411,NA,NA,NA,NA,NA
6404,-3.66414,4.20416,-4.81008,NA,NA,NA,-121.919,NA,NA,NA,NA
6647,-3.91693,4.56848,-3.56622,NA,NA,NA,-185.612,NA,NA,NA,NA
6982,-2.92266,4.67407,-3.71567,NA,NA,-147.057,NA,NA,NA,NA,NA
7067,-1.51956,4.55493,-3.5553,NA,NA,NA,-117.204,NA,NA,NA,NA
7288,-1.27695,3.29336,-4.36281,NA,NA,-163.137,NA,NA,NA,NA,NA
7479,-1.74899,4.40052,-4.24907,NA,-84.868,NA,NA,NA,NA,NA,NA
7650,-1.53097,4.55106,-3.61401,NA,NA,-136.855,NA,NA,NA,NA,NA
7938,-1.38896,4.61488,-4.79707,NA,-81.85,NA,NA,NA,NA,NA,NA
8149,-0.636706,4.47197,-4.91842,NA,NA,-193.194,NA,NA,NA,NA,NA
8248,-1.61373,4.73137,-4.11642,NA,NA,-129.828,NA,NA,NA,NA,NA
8502,-0.336787,3.50718,-3.46392,NA,-313.432,NA,NA,NA,NA,NA,NA
8749,-1.40978,4.58966,-2.72481,NA,-231.517,NA,NA,NA,NA,NA,NA
8889,-1.28365,4.41568,-3.66012,NA,-122.138,NA,NA,NA,NA,NA,NA
9177,-1.78312,3.13704,-3.42913,NA,-168.005,NA,NA,NA,NA,NA,NA
9202,-0.897592,2.38153,-3.59403,-274.046,NA,NA,NA,NA,NA,NA,NA
9411,-1.62003,3.6148,-4.80336,NA,NA,NA,-5.127,NA,NA,NA,NA
9601,-1.65321,3.33285,-3.84251,-83.533,NA,NA,NA,NA,NA,NA,NA
9966,-1.953,3.87968,-3.7091,NA,NA,NA,-119.433,NA,NA,NA,NA
10043,-2.26342,4.9164,-2.59719,NA,NA,NA,-196.035,NA,NA,NA,NA
10211,-2.93182,3.45143,-3.49836,NA,-135.714,NA,NA,NA,NA,NA,NA
10416,-3.05969,4.90212,-2.96349,NA,NA,-216.862,NA,NA,NA,NA,NA
10748,-3.45301,3.73903,-2.98469,NA,-195.815,NA,NA,NA,NA,NA,NA
10804,-3.20727,4.17167,-4.15444,NA,-104.83,NA,NA,NA,NA,NA,NA
11147,-4.43138,4.01792,-3.89077,NA,-212.223,NA,NA,NA,NA,NA,NA
11338,-2.99658,3.75012,-4.75954,NA,NA,NA,-72.895,NA,NA,NA,NA
11570,-1.42658,3.98356,-4.49181,NA,-28.041,NA,NA,NA,NA,NA,NA
11601,-0.983963,4.40153,-4.88321,NA,NA,NA,-83.116,NA,NA,NA,NA
11810,-1.00512,3.57065,-4.50624,-89.606,NA,NA,NA,NA,NA,NA,NA
12170,-1.0532,4.30285,-4.38438,-109.788,NA,NA,NA,NA,NA,NA,NA
12361,-2.17383,3.17807,-4.27564,NA,NA,NA,-76.951,NA,NA,NA,NA
12582,-0.881244,3.86262,-3.86647,NA,NA,NA,-158.57,NA,NA,NA,NA
12706,-0.860169,3.81894,-4.91386,-61.717,NA,NA,NA,NA,NA,NA,NA
12963,-0.121564,3.94458,-3.50975,NA,-288.833,NA,NA,NA,NA,NA,NA
13046,-0.55236,4.01895,-3.90911,NA,NA,NA,-166.097,NA,NA,NA,NA
13266,-2.16016,4.34243,-3.4476,NA,NA,NA,-106.713,NA,NA,NA,NA
13546,-1.68012,4.10495,-2.86907,NA,NA,NA,-171.974,NA,NA,NA,NA
13694,-4.2972,4.74993,-3.56652,NA,NA,-256.406,NA,NA,NA,NA,NA
13925,-4.00565,4.89049,-3.25728,NA,-229.493,NA,NA,NA,NA,NA,NA
14015,-4.43611,3.91349,-4.72247,NA,NA,-196.881,NA,NA,NA,NA,NA
14355,-4.52659,3.57664,-3.87059,NA,NA,-239.977,NA,NA,NA,NA,NA
14424,-3.37733,3.72103,-3.80173,NA,NA,NA,-124.002,NA,NA,NA,NA
14779,-2.52607,4.23811,-4.72486,NA,-63.288,NA,NA,NA,NA,NA,NA
14957,-2.78405,3.61487,-3.79775,NA,NA,NA,NA,-160.591,NA,NA,NA
15183,-2.38734,4.89094,-3.64026,NA,NA,NA,NA,-151.196,NA,NA,NA
15372,-2.04651,3.04393,-4.12276,NA,NA,NA,-84.606,NA,NA,NA,NA
15497,-1.32548,3.94941,-3.82685,NA,NA,NA,-120.99,NA,NA,NA,NA
15736,-2.13807,4.87203,-3.98165,NA,NA,NA,NA,-142.428,NA,NA,NA
15861,-2.43063,4.73461,-4.12356,NA,NA,-125.64,NA,NA,NA,NA,NA
16136,-3.42567,4.73865,-4.8784,NA,NA,NA,NA,-151.438,NA,NA,NA
