id,x0,x1,x2,fitness-5,fitness-4,fitness-3.5,fitness-4.5,fitness-3,fitness-2.5,fitness-2
163,-4.95807,2.2404,-1.62653,-580.634,NA,NA,NA,NA,NA,NA
314,-3.26394,3.08221,-3.64173,NA,-146.954,NA,NA,NA,NA,NA
414,-2.12998,4.26119,-4.54044,NA,NA,-74.411,NA,NA,NA,NA
644,-2.20022,4.89319,-4.0046,NA,NA,NA,-91.621,NA,NA,NA
889,-1.22296,4.07577,-2.96312,-178.815,NA,NA,NA,NA,NA,NA
1038,-1.36863,4.1306,-3.76434,-110.595,NA,NA,NA,NA,NA,NA
1294,-0.75855,4.76707,-4.07017,-141.363,NA,NA,NA,NA,NA,NA
1595,-0.707772,4.25765,-2.97244,NA,NA,NA,-246.073,NA,NA,NA
1791,-0.503899,4.54124,-3.31674,-186.653,NA,NA,NA,NA,NA,NA
1960,-1.70562,4.01786,-3.59656,NA,NA,NA,-103.639,NA,NA,NA
2197,-1.19214,3.81857,-4.98074,NA,NA,NA,-31.435,NA,NA,NA
2362,-0.73764,4.07696,-4.64028,NA,NA,NA,-96.023,NA,NA,NA
2427,-1.364,4.66639,-3.51486,NA,NA,-187.769,NA,NA,NA,NA
2768,-1.20766,4.37492,-3.63049,NA,NA,NA,-121.766,NA,NA,NA
2820,-2.02162,4.0246,-4.38164,NA,NA,NA,-43.909,NA,NA,NA
3154,-0.722488,2.31988,-3.35735,NA,-318.058,NA,NA,NA,NA,NA
3389,-0.969734,2.45076,-4.34353,NA,NA,NA,-149.585,NA,NA,NA
3407,-1.38759,3.73392,-4.43731,NA,NA,NA,-29.121,NA,NA,NA
3706,-2.03901,3.65182,-4.03042,NA,NA,NA,-69.796,NA,NA,NA
3873,-2.21584,3.32876,-3.88669,NA,-99.917,NA,NA,NA,NA,NA
4137,-0.803816,4.45218,-3.69281,NA,NA,NA,-145.194,NA,NA,NA
4366,-2.43755,3.9501,-4.62026,-59.405,NA,NA,NA,NA,NA,NA
4579,-0.439233,3.79327,-3.82332,NA,NA,NA,-93.899,NA,NA,NA
4795,-0.252215,1.98342,-3.89281,NA,-409.117,NA,NA,NA,NA,NA
4933,-1.1484,3.16833,-4.0983,NA,NA,-195.9,NA,NA,NA,NA
5002,-2.34931,4.41921,-3.0044,NA,NA,-182.782,NA,NA,NA,NA
5245,-2.40644,4.71691,-3.6827,NA,NA,-136.667,NA,NA,NA,NA
5448,-2.53664,4.94756,-3.00576,NA,NA,NA,-163.559,NA,NA,NA
5615,-2.47988,2.69975,-3.2247,NA,NA,NA,-174.55,NA,NA,NA
5832,-2.73669,3.41207,-3.53418,NA,-123.61,NA,NA,NA,NA,NA
6029,-4.06808,2.58847,-3.51645,NA,NA,-264.438,NA,NA,NA,NA
6204,-4.62413,4.51399,-4.33978,NA,NA,-242.411,NA,NA,NA,NA
6404,-3.66414,4.20416,-4.81008,NA,NA,NA,-121.919,NA,NA,NA
6647,-3.91693,4.56848,-3.56622,NA,NA,NA,-185.612,NA,NA,NA
6982,-2.92266,4.67407,-3.71567,NA,NA,-147.057,NA,NA,NA,NA
7067,-1.51956,4.55493,-3.5553,NA,NA,NA,-117.204,NA,NA,NA
7288,-1.27695,3.29336,-4.36281,NA,NA,-163.137,NA,NA,NA,NA
7479,-1.74899,4.40052,-4.24907,NA,-84.868,NA,NA,NA,NA,NA
7650,-1.53097,4.55106,-3.61401,NA,NA,-136.855,NA,NA,NA,NA
7938,-1.38896,4.61488,-4.79707,NA,-81.85,NA,NA,NA,NA,NA
8149,-0.636706,4.47197,-4.91842,NA,NA,-193.194,NA,NA,NA,NA
8248,-1.61373,4.73137,-4.11642,NA,NA,-129.828,NA,NA,NA,NA
8502,-0.336787,3.50718,-3.46392,NA,-313.432,NA,NA,NA,NA,NA
8749,-1.40978,4.58966,-2.72481,NA,-231.517,NA,NA,NA,NA,NA
8889,-1.28365,4.41568,-3.66012,NA,-122.138,NA,NA,NA,NA,NA
9177,-1.78312,3.13704,-3.42913,NA,-168.005,NA,NA,NA,NA,NA
9202,-0.897592,2.38153,-3.59403,-274.046,NA,NA,NA,NA,NA,NA
9411,-1.62003,3.6148,-4.80336,NA,NA,NA,-5.127,NA,NA,NA
9601,-1.65321,3.33285,-3.84251,-83.533,NA,NA,NA,NA,NA,NA
9966,-1.953,3.87968,-3.7091,NA,NA,NA,-119.433,NA,NA,NA
10043,-2.26342,4.9164,-2.59719,NA,NA,NA,-196.035,NA,NA,NA
10211,-2.93182,3.45143,-3.49836,NA,-135.714,NA,NA,NA,NA,NA
10416,-3.05969,4.90212,-2.96349,NA,NA,-216.862,NA,NA,NA,NA
10748,-3.45301,3.73903,-2.98469,NA,-195.815,NA,NA,NA,NA,NA
10804,-3.20727,4.17167,-4.15444,NA,-104.83,NA,NA,NA,NA,NA
11147,-4.43138,4.01792,-3.89077,NA,-212.223,NA,NA,NA,NA,NA
11338,-2.99658,3.75012,-4.75954,NA,NA,NA,-72.895,NA,NA,NA
11570,-1.42658,3.98356,-4.49181,NA,-28.041,NA,NA,NA,NA,NA
11601,-0.983963,4.40153,-4.88321,NA,NA,NA,-83.116,NA,NA,NA
11810,-1.00512,3.57065,-4.50624,-89.606,NA,NA,NA,NA,NA,NA
12170,-1.0532,4.30285,-4.38438,-109.788,NA,NA,NA,NA,NA,NA
12361,-2.17383,3.17807,-4.27564,NA,NA,NA,-76.951,NA,NA,NA
12582,-0.881244,3.86262,-3.86647,NA,NA,NA,-158.57,NA,NA,NA
12706,-0.860169,3.81894,-4.91386,-61.717,NA,NA,NA,NA,NA,NA
12963,-0.121564,3.94458,-3.50975,NA,-288.833,NA,NA,NA,NA,NA
13046,-0.55236,4.01895,-3.90911,NA,NA,NA,-166.097,NA,NA,NA
13266,-2.16016,4.34243,-3.4476,NA,NA,NA,-106.713,NA,NA,NA
13546,-1.68012,4.10495,-2.86907,NA,NA,NA,-171.974,NA,NA,NA
13694,-4.2972,4.74993,-3.56652,NA,NA,-256.406,NA,NA,NA,NA
13925,-4.00565,4.89049,-3.25728,NA,-229.493,NA,NA,NA,NA,NA
14015,-4.43611,3.91349,-4.72247,NA,NA,-196.881,NA,NA,NA,NA
14355,-4.52659,3.57664,-3.87059,NA,NA,-239.977,NA,NA,NA,NA
14424,-3.37733,3.72103,-3.80173,NA,NA,NA,-124.002,NA,NA,NA
14779,-2.52607,4.23811,-4.72486,NA,-63.288,NA,NA,NA,NA,NA
14957,-2.78405,3.61487,-3.79775,NA,NA,NA,NA,-160.591,NA,NA
15183,-2.38734,4.89094,-3.64026,NA,NA,NA,NA,-151.196,NA,NA
15372,-2.04651,3.04393,-4.12276,NA,NA,NA,-84.606,NA,NA,NA
15497,-1.32548,3.94941,-3.82685,NA,NA,NA,-120.99,NA,NA,NA
15736,-2.13807,4.87203,-3.98165,NA,NA,NA,NA,-142.428,NA,NA
15861,-2.43063,4.73461,-4.12356,NA,NA,-125.64,NA,NA,NA,NA
16136,-3.42567,4.73865,-4.8784,NA,NA,NA,NA,-151.438,NA,NA
16300,-3.3857,4.56839,-4.31689,-115.815,NA,NA,NA,NA,NA,NA
16437,-2.4643,4.75644,-4.35022,NA,NA,-101.854,NA,NA,NA,NA
16643,-3.68512,4.19804,-3.58479,-157.173,NA,NA,NA,NA,NA,NA
16824,-4.23055,4.72186,-3.56781,NA,NA,-241.051,NA,NA,NA,NA
17123,-4.87455,4.39063,-4.25269,NA,NA,NA,NA,NA,-337.128,NA
17324,-2.62989,3.91255,-3.63193,NA,NA,-107.227,NA,NA,NA,NA
17528,-1.07559,3.89254,-4.38023,NA,-73.236,NA,NA,NA,NA,NA
17785,-0.760612,3.49241,-4.9769,NA,NA,NA,-64.14,NA,NA,NA
17873,-1.4302,4.66108,-4.69851,NA,NA,NA,-64.517,NA,NA,NA
18025,-0.647991,4.53522,-3.44789,NA,NA,NA,-182.34,NA,NA,NA
18332,-1.34988,4.99934,-3.26463,NA,NA,NA,-176.98,NA,NA,NA
18488,-1.78784,4.8105,-4.07734,NA,NA,NA,-84.602,NA,NA,NA
18759,-1.61608,3.99306,-4.20532,NA,-65.892,NA,NA,NA,NA,NA
18931,-2.25689,3.72873,-4.7435,NA,NA,NA,-37.143,NA,NA,NA
19200,-1.82798,4.19855,-4.93274,NA,NA,NA,-34.628,NA,NA,NA
19223,-3.45486,4.10038,-4.28185,NA,-110.285,NA,NA,NA,NA,NA
19519,-2.92124,4.93648,-3.16259,NA,NA,NA,-160.677,NA,NA,NA
19614,-2.16718,3.878,-3.27216,NA,NA,NA,-123.037,NA,NA,NA
19811,-2.12631,3.64031,-4.33297,NA,NA,NA,-51.18,NA,NA,NA
20166,-2.10269,4.716,-4.09743,NA,-97.888,NA,NA,NA,NA,NA
20399,-0.835328,3.78241,-4.47129,-103.671,NA,NA,NA,NA,NA,NA
20483,-1.90673,4.07394,-4.89491,-42.79,NA,NA,NA,NA,NA,NA
20719,-3.87966,4.14594,-4.91247,NA,NA,NA,-130.628,NA,NA,NA
20902,-3.59659,4.51555,-4.83936,NA,NA,NA,-116.674,NA,NA,NA
21005,-2.75351,4.05349,-3.91174,NA,-92.894,NA,NA,NA,NA,NA
21298,-2.68572,3.83487,-3.63709,NA,NA,NA,-116.073,NA,NA,NA
21412,-2.33847,2.9151,-4.14435,NA,NA,-115.525,NA,NA,NA,NA
21773,-1.35279,4.65226,-4.29883,NA,NA,NA,NA,-108.781,NA,NA
21886,-2.02259,3.51501,-3.93485,NA,NA,NA,NA,-175.67,NA,NA
22156,-1.16681,4.43737,-4.75128,NA,NA,-88.228,NA,NA,NA,NA
22208,-2.31866,4.51819,-4.5645,NA,NA,-79.311,NA,NA,NA,NA
22506,-2.52071,4.419,-4.48859,NA,-69.015,NA,NA,NA,NA,NA
22647,-2.28449,3.85048,-4.46003,NA,-53.682,NA,NA,NA,NA,NA
22908,-4.13915,4.37819,-4.49915,-168.694,NA,NA,NA,NA,NA,NA
23160,-3.40428,3.90618,-4.72946,NA,NA,NA,-99.212,NA,NA,NA
23313,-2.55138,4.23481,-4.71358,-65.221,NA,NA,NA,NA,NA,NA
23578,-1.66833,4.55646,-3.81894,NA,NA,-130.761,NA,NA,NA,NA
23617,-1.28193,4.90193,-4.75527,NA,NA,NA,-86.312,NA,NA,NA
23948,-1.66143,4.31323,-4.89921,NA,NA,-76.106,NA,NA,NA,NA
24184,-1.77745,4.28393,-4.76453,NA,-41.262,NA,NA,NA,NA,NA
24256,-1.75218,4.19259,-3.97405,NA,NA,-140.296,NA,NA,NA,NA
24591,-1.77266,4.27221,-4.17665,-81.84,NA,NA,NA,NA,NA,NA
24741,-1.15166,4.47504,-4.54787,NA,NA,-143.701,NA,NA,NA,NA
24931,-2.13544,4.54092,-4.59129,NA,NA,NA,-57.589,NA,NA,NA
25181,-1.43941,4.70101,-4.16274,-103.042,NA,NA,NA,NA,NA,NA
25363,0.559737,4.70414,-3.30806,NA,-361.444,NA,NA,NA,NA,NA
25508,-1.06284,4.24917,-2.58525,NA,-204.578,NA,NA,NA,NA,NA
25756,-3.44682,4.07165,-3.3571,-154.322,NA,NA,NA,NA,NA,NA
25925,-1.84258,4.37909,-3.50622,-106.755,NA,NA,NA,NA,NA,NA
26057,-2.46227,3.423,-3.09992,NA,-156.218,NA,NA,NA,NA,NA
26282,-2.10081,4.54552,-3.22963,NA,NA,NA,-121.048,NA,NA,NA
26572,-2.03102,4.73155,-4.85079,NA,NA,NA,NA,NA,-123.245,NA
26639,-2.35352,4.91857,-3.2666,NA,NA,NA,NA,-193.637,NA,NA
26977,-1.91752,3.51587,-2.87458,NA,-178.091,NA,NA,NA,NA,NA
27002,-2.26716,3.97812,-3.64962,NA,NA,NA,-86.597,NA,NA,NA
27258,-1.15502,4.83094,-4.42006,NA,NA,NA,-108.678,NA,NA,NA
27435,-2.66984,4.38653,-3.73233,NA,-107.193,NA,NA,NA,NA,NA
27617,-3.85145,4.38684,-4.81441,NA,NA,NA,-133.033,NA,NA,NA
27806,-2.6921,4.11596,-4.15597,NA,NA,-93.447,NA,NA,NA,NA
28147,-2.8506,4.33264,-4.04669,NA,NA,NA,-88.69,NA,NA,NA
28249,-4.26068,4.5548,-3.16156,NA,-248.49,NA,NA,NA,NA,NA
28570,-1.84657,4.068,-2.98879,-148.701,NA,NA,NA,NA,NA,NA
28797,-1.53085,3.98817,-4.3717,-53.985,NA,NA,NA,NA,NA,NA
28890,-2.17138,4.81438,-4.27948,NA,NA,NA,-76.522,NA,NA,NA
29135,-3.82355,3.51669,-3.80854,NA,NA,-179.093,NA,NA,NA,NA
29338,-4.30703,3.05549,-3.09519,NA,NA,-272.247,NA,NA,NA,NA
29412,-4.94343,3.57515,-3.7871,NA,NA,NA,NA,-322.89,NA,NA
29721,-3.08306,3.95812,-3.48775,NA,NA,-150.512,NA,NA,NA,NA
29804,-3.18092,3.82503,-4.38122,NA,NA,-120.468,NA,NA,NA,NA
30087,-1.87468,4.44128,-4.18689,NA,NA,NA,-66.438,NA,NA,NA
30338,-1.76371,3.68273,-4.27341,NA,-51.447,NA,NA,NA,NA,NA
30526,-0.862041,4.76648,-3.75872,NA,NA,NA,-145.845,NA,NA,NA
30745,-1.85125,4.49048,-4.90656,NA,-56.489,NA,NA,NA,NA,NA
30951,-1.59305,4.36971,-4.91003,NA,NA,-61.668,NA,NA,NA,NA
31122,-2.51443,4.67096,-4.01218,NA,-91.095,NA,NA,NA,NA,NA
31256,-2.55651,4.0774,-3.54534,NA,NA,NA,-102.853,NA,NA,NA
31405,-3.03235,3.93934,-4.19756,NA,NA,-100.101,NA,NA,NA,NA
31627,-2.12659,3.85779,-4.59649,NA,NA,NA,NA,-150.346,NA,NA
31886,-0.706774,2.95511,-4.79908,NA,NA,NA,NA,NA,-239.385,NA
32153,-1.81587,2.53369,-4.23189,NA,NA,-208.448,NA,NA,NA,NA
32301,-1.56756,2.04758,-4.49997,-184.09,NA,NA,NA,NA,NA,NA
32530,-1.53537,3.31776,-4.933,NA,NA,NA,-19.283,NA,NA,NA
32781,-2.25141,4.72265,-3.90304,NA,NA,NA,-83.202,NA,NA,NA
32950,-2.56229,4.49193,-4.55022,-68.959,NA,NA,NA,NA,NA,NA
